%310
@RELATION PLPEKAO00016
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG30 NUMERIC 
@ATTRIBUTE WIG20 NUMERIC 
@ATTRIBUTE WIGdiv NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG30TR NUMERIC 
@ATTRIBUTE WIG20TR NUMERIC 
@ATTRIBUTE WIG-BANKI NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
246,2505.09,2367.49,1068.28,48968.87,3751.23,3557.48,7423.72,49861.54,194184173.30,1162173.30,33584.98,173.20,173.30
247,2447.70,2308.44,1050.12,47919.09,3665.29,3468.76,7224.31,48781.63,798521168.05,3636168.05,137043.86,173.30,168.05
248,2335.64,2201.50,1001.99,45830.66,3497.48,3308.06,6871.10,46598.42,1607885163.00,9390163.00,259120.59,168.05,163.00
249,2376.81,2238.98,1022.64,46717.04,3559.13,3364.39,6984.90,47514.09,1079053163.50,3311163.50,175885.29,163.00,163.50
250,?,?,?,?,?,?,?,?,?,?,?,163.50,?
251,?,?,?,?,?,?,?,?,?,?,?,?,?
252,2435.57,2290.86,1046.43,47808.90,3647.13,3442.34,7167.82,48651.54,733887167.00,2480167.00,121511.17,?,167.00
253,2498.88,2357.25,1073.73,48961.51,3741.93,3542.10,7319.57,49839.90,782191169.00,3161169.00,132119.16,167.00,169.00
254,2521.27,2380.01,1082.59,49437.02,3778.98,3579.75,7383.43,50312.63,483129169.60,1946169.60,81633.11,169.00,169.60
255,2539.05,2399.23,1091.91,49771.55,3805.64,3608.66,7491.58,50644.38,565084172.80,2447172.80,97063.22,169.60,172.80
256,2514.24,2375.44,1085.54,49348.61,3768.45,3572.88,7396.99,50196.31,289451171.00,1318171.00,49732.73,172.80,171.00
257,?,?,?,?,?,?,?,?,?,?,?,171.00,?
258,?,?,?,?,?,?,?,?,?,?,?,?,?
259,2486.32,2354.66,1075.00,48917.85,3726.60,3541.63,7350.50,49741.35,560997171.90,3518171.90,97450.21,?,171.90
260,2503.51,2365.36,1083.52,49434.46,3772.16,3586.48,7442.52,50258.11,373522173.55,2283173.55,64878.70,171.90,173.55
261,2502.71,2363.78,1082.59,49413.33,3770.95,3584.09,7447.45,50227.43,327031174.00,1439174.00,56608.00,173.55,174.00
262,2552.89,2410.92,1101.90,50300.53,3846.56,3655.56,7592.68,51171.25,519136178.00,3030178.00,91750.06,174.00,178.00
263,2558.08,2408.16,1102.87,50308.19,3854.39,3651.38,7503.20,51202.75,829729177.00,2994177.00,146237.99,178.00,177.00
264,?,?,?,?,?,?,?,?,?,?,?,177.00,?
265,?,?,?,?,?,?,?,?,?,?,?,?,?
266,2539.64,2388.66,1092.34,49955.87,3826.61,3621.82,7473.22,50869.00,239355173.90,1608173.90,41765.02,?,173.90
267,2542.62,2393.06,1090.75,49979.47,3831.80,3628.48,7459.10,50887.67,228020173.00,1090173.00,39466.69,173.90,173.00
268,2559.90,2407.12,1100.93,50301.69,3857.84,3649.80,7591.30,51221.45,288364177.50,1836177.50,50743.58,173.00,177.50
269,2590.77,2435.83,1114.22,50936.34,3904.36,3693.34,7795.20,51846.54,752010181.60,3483181.60,135882.74,177.50,181.60
270,2578.88,2422.46,1114.37,50819.81,3886.45,3673.05,7783.75,51704.53,358319182.00,1461182.00,65318.90,181.60,182.00
271,?,?,?,?,?,?,?,?,?,?,?,182.00,?
272,?,?,?,?,?,?,?,?,?,?,?,?,?
273,2547.69,2391.53,1101.87,50301.85,3839.44,3626.17,7692.60,51191.50,484257178.50,3434178.50,86581.81,?,178.50
274,2580.08,2413.17,1107.49,50782.48,3888.26,3658.98,7773.53,51691.24,498473178.30,2574178.30,88409.71,178.50,178.30
275,2578.50,2412.37,1106.60,50803.40,3885.87,3657.76,7824.34,51709.58,468396180.00,2461180.00,83863.36,178.30,180.00
276,2585.32,2420.17,1106.08,50982.03,3896.16,3669.59,7871.09,51911.61,1102976184.50,3352184.50,203007.28,180.00,184.50
277,2559.40,2394.59,1100.03,50601.24,3857.08,3630.81,7792.42,51511.63,324505183.20,2321183.20,59620.98,184.50,183.20
278,?,?,?,?,?,?,?,?,?,?,?,183.20,?
279,?,?,?,?,?,?,?,?,?,?,?,?,?
280,2544.72,2380.18,1099.18,50338.71,3834.97,3608.96,7742.09,51239.47,265965181.55,1814181.55,48323.79,?,181.55
281,2534.15,2373.23,1094.43,50137.88,3819.04,3598.41,7719.92,51021.26,201496181.00,1419181.00,36595.14,181.55,181.00
282,2546.78,2384.30,1099.62,50335.02,3838.07,3615.20,7784.61,51215.99,215022183.50,977183.50,39392.81,181.00,183.50
283,2626.03,2468.70,1133.79,51806.83,3957.50,3743.18,8093.08,52744.48,384759190.00,1860190.00,73016.88,183.50,190.00
284,2651.95,2489.64,1145.75,52230.47,3996.56,3774.93,8206.57,53193.87,663170193.00,2617193.00,127982.01,190.00,193.00
285,?,?,?,?,?,?,?,?,?,?,?,193.00,?
286,?,?,?,?,?,?,?,?,?,?,?,?,?
287,2662.89,2498.77,1149.36,52520.91,4013.06,3788.77,8293.73,53498.97,490839197.00,2517197.00,95842.84,?,197.00
288,2660.99,2490.34,1155.55,52590.73,4010.19,3775.99,8278.53,53588.87,521968192.00,2936192.00,102190.93,197.00,192.00
289,2679.62,2505.20,1157.21,52861.41,4038.26,3798.52,8316.68,53918.41,538088192.00,2358192.00,104081.11,192.00,192.00
290,2650.84,2474.92,1145.47,52573.59,3994.89,3752.60,8224.51,53571.90,636147192.40,2293192.40,123331.24,192.00,192.40
291,2645.30,2485.13,1149.25,52587.24,3986.54,3768.08,8171.55,53572.92,402322196.00,2693196.00,78665.98,192.40,196.00
292,?,?,?,?,?,?,?,?,?,?,?,196.00,?
293,?,?,?,?,?,?,?,?,?,?,?,?,?
294,2716.84,2554.61,1183.23,53853.55,4094.35,3873.43,8421.58,54903.39,501939201.50,2036201.50,100712.35,?,201.50
295,2711.02,2544.45,1179.93,53781.81,4085.59,3858.04,8324.12,54818.06,500269196.50,2263196.50,99254.29,201.50,196.50
296,2690.21,2523.32,1168.29,53389.74,4054.22,3825.99,8228.03,54433.41,678862190.25,3115190.25,131595.51,196.50,190.25
297,2718.20,2551.43,1183.43,53994.46,4096.41,3868.61,8334.63,55063.75,296314194.00,1927194.00,57435.78,190.25,194.00
298,2701.30,2537.62,1179.30,53887.13,4070.93,3847.68,8342.60,55023.42,172730191.95,1318191.95,33358.73,194.00,191.95
299,?,?,?,?,?,?,?,?,?,?,?,191.95,?
300,?,?,?,?,?,?,?,?,?,?,?,?,?
301,2714.03,2557.77,1192.58,54180.04,4090.12,3878.23,8437.32,55362.19,250048195.00,1285195.00,48933.99,?,195.00
302,2729.38,2574.60,1198.39,54536.95,4113.25,3903.74,8489.31,55688.45,382118199.00,1812199.00,76176.85,195.00,199.00
303,2706.26,2553.51,1190.55,54095.32,4078.41,3871.77,8375.95,55240.01,447990196.00,2212196.00,89551.95,199.00,196.00
304,2676.12,2528.97,1179.94,53607.86,4032.99,3834.56,8327.62,54734.18,243588193.00,1784193.00,47349.04,196.00,193.00
305,?,?,?,?,?,?,?,?,?,?,?,193.00,?
306,?,?,?,?,?,?,?,?,?,?,?,?,?
307,?,?,?,?,?,?,?,?,?,?,?,?,?
308,2695.89,2548.15,1187.46,53989.37,4062.79,3863.63,8356.61,55121.60,294210,1850,56826.49,?,192.65
309,2669.72,2521.41,1170.73,53504.47,4023.35,3823.09,8263.97,54600.05,202511,1800,38985.49,192.65,190.30
310,2693.97,2546.67,1181.53,53924.01,4059.89,3861.40,8345.41,55035.36,538389,2126,103992.16,190.30,194.00
340,2274.83041930165,2188.8059760505303,940.5391915423164,45857.110734846676,3384.910015005461,3256.6436393116282,7243.294026440237,47106.0108522239,?,?,?,?,?,? 
370,2265.0072733966595,2186.385367626361,941.0590531479316,46189.882480874876,3385.417572068476,3242.0371694635364,7317.988224569833,47398.32393415799,?,?,?,?,?,? 
400,2255.1841274916687,2183.964759202192,941.578914753547,46522.654226903076,3385.9251291314913,3227.4306996154446,7392.68242269943,47690.63701609208,?,?,?,?,?,? 
490,2225.714689776696,2176.7029339296846,943.1384995703929,47520.969464987684,3387.4478003205377,3183.611290071169,7616.765017088219,48567.57626189435,?,?,?,?,?,? 
670,2166.775814346752,2162.1792833846703,946.2576692040852,49517.5999411569,3390.493142698631,3095.9724709826187,8064.9302058657995,50321.45475349891,?,?,?,?,?,? 
