%310
@RELATION PLTRKPL00014
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE sWIG80 NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-BUDOW NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
54,?,?,?,?,?,?,?,?,0.60,?
55,?,?,?,?,?,?,?,?,?,?
56,11033.69,46286.28,1850.28,46487.05,2840.57,3087340.60,700.60,182.50,?,0.60
57,10972.28,45868.35,1831.29,46065.85,2831.16,3422580.59,1040.59,198.88,0.60,0.59
58,11039.20,46241.92,1848.22,46459.99,2855.69,4180210.58,1090.58,241.47,0.59,0.58
59,11052.03,46280.36,1866.67,46510.83,2865.27,2908310.58,830.58,166.05,0.58,0.58
60,11010.83,46341.14,1880.05,46622.90,2859.05,12832070.58,2620.58,753.20,0.58,0.58
61,?,?,?,?,?,?,?,?,0.58,?
62,?,?,?,?,?,?,?,?,?,?
63,10998.55,46137.70,1870.04,46454.13,2860.68,2619730.58,700.58,151.14,?,0.58
64,10997.33,46676.09,1867.84,47001.38,2868.06,3232100.58,770.58,186.40,0.58,0.58
65,11042.47,46762.65,1848.50,47090.49,2872.90,8956680.57,1600.57,513.84,0.58,0.57
66,11042.08,46745.26,1870.22,47060.66,2873.49,4859130.58,930.58,276.83,0.57,0.58
67,11119.06,47074.39,1871.59,47436.21,2906.74,7042130.57,1450.57,396.76,0.58,0.57
68,?,?,?,?,?,?,?,?,0.57,?
69,?,?,?,?,?,?,?,?,?,?
70,11133.10,46933.03,1873.37,47269.75,2914.24,16055160.57,2780.57,909.66,?,0.57
71,11150.86,47010.40,1865.43,47340.43,2911.38,7227830.56,1320.56,406.85,0.57,0.56
72,11194.08,46888.37,1864.62,47235.72,2901.67,4197840.56,950.56,233.62,0.56,0.56
73,11231.22,47223.68,1848.14,47606.16,2912.13,14538960.54,3270.54,789.18,0.56,0.54
74,11228.39,47125.93,1849.89,47522.10,2909.77,11005280.56,2410.56,591.60,0.54,0.56
75,?,?,?,?,?,?,?,?,0.56,?
76,?,?,?,?,?,?,?,?,?,?
77,11190.20,46668.41,1834.95,47094.18,2900.59,1911070.55,600.55,104.70,?,0.55
78,11135.62,46029.35,1794.48,46473.62,2868.24,6199750.53,1280.53,329.87,0.55,0.53
79,11168.63,46068.24,1801.52,46511.62,2874.75,3237410.54,790.54,172.12,0.53,0.54
80,11069.03,45580.47,1769.42,46017.88,2833.61,30419160.47,6260.47,1436.45,0.54,0.47
81,10908.77,45066.18,1707.83,45473.08,2800.67,21855220.41,5020.41,906.68,0.47,0.41
82,?,?,?,?,?,?,?,?,0.41,?
83,?,?,?,?,?,?,?,?,?,?
84,10899.26,44585.10,1660.44,44946.32,2780.21,13509590.43,3090.43,584.91,?,0.43
85,10815.43,44724.88,1648.36,45119.16,2774.13,8107470.42,1250.42,338.86,0.43,0.42
86,10867.86,45247.90,1653.10,45644.09,2785.46,5491890.41,1410.41,227.63,0.42,0.41
87,10938.55,45147.57,1677.23,45528.85,2797.31,9153930.42,1440.42,380.15,0.41,0.42
88,?,?,?,?,?,?,?,?,0.42,?
89,?,?,?,?,?,?,?,?,?,?
90,?,?,?,?,?,?,?,?,?,?
91,?,?,?,?,?,?,?,?,?,?
92,10998.70,45304.74,1656.40,45679.51,2814.33,7137170.41,980.41,295.04,?,0.41
93,10809.87,44604.61,1620.82,44940.36,2769.02,14863090.38,2070.38,596.81,0.41,0.38
94,10817.23,44623.89,1588.07,44980.62,2766.19,5812750.38,1820.38,215.82,0.38,0.38
95,10803.99,44597.66,1585.00,44960.02,2760.91,4800160.37,1050.37,184.22,0.38,0.37
96,?,?,?,?,?,?,?,?,0.37,?
97,?,?,?,?,?,?,?,?,?,?
98,10819.93,44590.97,1584.03,44963.96,2764.28,2980890.36,780.36,110.66,?,0.36
99,10820.89,44725.03,1600.11,45096.35,2767.26,7944590.39,2180.39,308.31,0.36,0.39
100,10845.27,45091.63,1609.16,45495.34,2780.21,32761920.44,5700.44,1426.68,0.39,0.44
101,10908.65,45688.48,1647.89,46131.66,2794.43,27143670.44,6030.44,1258.07,0.44,0.44
102,10807.45,45525.92,1602.65,45960.10,2783.53,6744630.41,1360.41,284.53,0.44,0.41
103,?,?,?,?,?,?,?,?,0.41,?
104,?,?,?,?,?,?,?,?,?,?
105,10663.67,44724.14,1590.14,45167.65,2754.91,7733980.40,1260.40,310.41,?,0.40
106,?,?,?,?,?,?,?,?,0.40,?
107,10431.02,43916.24,1578.30,44404.81,2705.88,3706980.41,600.41,152.11,?,0.41
108,10415.53,43364.70,1582.90,43850.06,2695.55,7693080.43,1330.43,323.28,0.41,0.43
109,10373.60,43447.75,1551.70,43993.98,2685.57,8788380.44,1490.44,390.63,0.43,0.44
110,?,?,?,?,?,?,?,?,0.44,?
111,?,?,?,?,?,?,?,?,?,?
112,10335.77,43360.30,1572.53,43892.82,2660.28,2934650.44,790.44,130.93,?,0.44
113,10282.22,43159.57,1577.62,43707.88,2624.40,3303210.43,580.43,144.26,0.44,0.43
114,10264.95,43356.73,1568.91,43908.95,2636.70,5239840.44,1090.44,230.63,0.43,0.44
115,10327.20,43482.18,1578.90,44027.03,2658.57,4726600.42,1030.42,203.24,0.44,0.42
116,10407.26,43665.21,1567.21,44226.06,2669.93,1325910.42,490.42,55.32,0.42,0.42
117,?,?,?,?,?,?,?,?,0.42,?
118,?,?,?,?,?,?,?,?,?,?
119,10465.41,43882.16,1568.27,44420.22,2685.14,858960.43,300.43,35.94,?,0.43
120,10511.46,44162.18,1577.58,44653.34,2704.84,668990.42,200.42,28.03,0.43,0.42
121,?,?,?,?,?,?,?,?,0.42,?
122,10554.34,43991.51,1593.50,44466.89,2695.22,959030.43,360.43,40.49,?,0.43
123,?,?,?,?,?,?,?,?,0.43,?
124,?,?,?,?,?,?,?,?,?,?
125,?,?,?,?,?,?,?,?,?,?
126,10605.72,44541.73,1610.11,45060.80,2714.72,4520910.45,1260.45,200.87,?,0.45
127,10618.63,44742.22,1618.85,45244.29,2733.96,17814260.48,3340.48,850.31,0.45,0.48
128,10692.81,45117.94,1640.06,45647.76,2752.14,8624030.48,1750.48,416.06,0.48,0.48
129,10714.80,44943.16,1640.84,45475.08,2760.20,2970160.47,860.47,138.89,0.48,0.47
130,10758.03,44895.35,1627.28,45408.06,2769.85,2336640.47,820.47,108.74,0.47,0.47
131,?,?,?,?,?,?,?,?,0.47,?
132,?,?,?,?,?,?,?,?,?,?
133,10762.74,45207.84,1680.51,45746.01,2790.62,4441370.48,920.48,209.73,?,0.48
134,10819.27,45771.11,1669.79,46336.62,2822.41,4296830.47,750.47,204.72,0.48,0.47
135,10913.18,46102.42,1662.38,46676.61,2848.38,6676860.48,890.48,320.49,0.47,0.48
136,10976.80,45992.03,1668.63,46581.16,2871.70,15128500.47,1430.47,702.44,0.48,0.47
137,10991.63,46078.68,1720.89,46646.58,2885.19,30015860.53,3580.53,1558.48,0.47,0.53
138,?,?,?,?,?,?,?,?,0.53,?
139,?,?,?,?,?,?,?,?,?,?
140,11070.23,46041.35,1720.79,46615.31,2921.95,6899700.53,1520.53,371.89,?,0.53
141,11089.17,45851.80,1715.41,46439.10,2893.12,1700490.53,620.53,88.95,0.53,0.53
142,11082.19,45933.66,1721.17,46529.96,2912.70,1292810.53,630.53,68.95,0.53,0.53
143,11050.12,45687.76,1700.24,46311.26,2894.53,3136290.52,740.52,162.29,0.53,0.52
144,11130.47,46145.44,1717.23,46783.61,2929.62,1153990.54,370.54,61.44,0.52,0.54
145,?,?,?,?,?,?,?,?,0.54,?
146,?,?,?,?,?,?,?,?,?,?
147,11329.88,47277.10,1770.93,47957.54,2976.83,12294680.55,1940.55,680.02,?,0.55
148,11439.53,47579.87,1794.53,48258.02,2997.81,6541270.55,1320.55,358.08,0.55,0.55
149,11434.08,47476.64,1826.11,48138.07,3000.58,3571690.55,850.55,196.26,0.55,0.55
150,?,?,?,?,?,?,?,?,0.55,?
151,11518.87,47806.34,1832.70,48503.87,2994.25,986560.55,470.55,54.35,?,0.55
152,?,?,?,?,?,?,?,?,0.55,?
153,?,?,?,?,?,?,?,?,?,?
154,11428.58,47175.79,1796.86,47868.36,2970.24,2624700.54,550.54,141.27,?,0.54
155,11527.78,47620.68,1812.04,48323.88,2998.79,1691990.54,510.54,90.44,0.54,0.54
156,11566.33,47805.94,1846.56,48513.29,3026.87,20496370.54,2160.54,1129.04,0.54,0.54
157,11598.90,47573.66,1856.88,48259.19,3020.15,2991970.55,730.55,161.69,0.54,0.55
158,11721.20,48209.65,1849.90,48918.37,3044.38,4471100.55,660.55,244.33,0.55,0.55
159,?,?,?,?,?,?,?,?,0.55,?
160,?,?,?,?,?,?,?,?,?,?
161,11855.82,48495.01,1856.85,49207.65,3065.91,2770830.54,640.54,151.79,?,0.54
162,11906.69,48324.52,1866.45,49050.96,3074.89,15675790.57,2170.57,884.90,0.54,0.57
163,12044.12,48383.93,1901.79,49098.70,3098.83,16938550.57,2920.57,988.39,0.57,0.57
164,11997.09,48152.82,1913.84,48890.47,3089.32,29171780.58,3930.58,1727.44,0.57,0.58
165,11980.74,48273.42,1917.53,49057.66,3092.65,25905760.56,2790.56,1441.15,0.58,0.56
166,?,?,?,?,?,?,?,?,0.56,?
167,?,?,?,?,?,?,?,?,?,?
168,11950.70,48131.61,1911.93,48917.56,3100.24,7404740.55,1070.55,408.59,?,0.55
169,12001.25,48119.72,1917.62,48891.04,3120.39,12341320.56,1790.56,685.17,0.55,0.56
170,11995.61,47743.10,1923.19,48509.84,3122.21,48698790.55,1490.55,2682.83,0.56,0.55
171,11755.38,45870.00,1891.03,46587.68,3038.18,17841730.54,2180.54,955.97,0.55,0.54
172,11698.05,44732.92,1879.16,45456.77,3001.68,7053240.55,730.55,380.84,0.54,0.55
173,?,?,?,?,?,?,?,?,0.55,?
174,?,?,?,?,?,?,?,?,?,?
175,11694.70,44824.62,1899.94,45531.46,2990.89,4509920.55,810.55,248.91,?,0.55
176,11846.22,44966.09,1919.70,45672.10,2999.31,2799640.55,480.55,154.96,0.55,0.55
177,11772.39,44893.99,1923.12,45601.51,2972.55,4514280.55,640.55,243.56,0.55,0.55
178,11665.86,43667.37,1881.89,44326.49,2915.58,2667050.53,340.53,143.71,0.55,0.53
179,11716.43,44747.79,1851.41,45442.51,2948.80,5010820.53,590.53,264.69,0.53,0.53
180,?,?,?,?,?,?,?,?,0.53,?
181,?,?,?,?,?,?,?,?,?,?
182,11756.83,44769.00,1835.70,45461.06,2963.91,1744150.54,450.54,91.75,?,0.54
183,11805.57,45533.94,1831.78,46254.71,2981.48,2678010.55,450.55,145.13,0.54,0.55
184,11736.24,45184.98,1823.41,45899.36,2971.57,1590230.54,350.54,85.38,0.55,0.54
185,11820.50,45613.75,1818.75,46344.42,2988.19,2078560.55,370.55,111.97,0.54,0.55
186,11822.63,45110.89,1805.32,45805.34,2977.06,1109620.54,350.54,59.23,0.55,0.54
187,?,?,?,?,?,?,?,?,0.54,?
188,?,?,?,?,?,?,?,?,?,?
189,11711.98,44534.34,1768.95,45172.40,2948.16,308130.54,110.54,16.36,?,0.54
190,11610.73,44342.23,1782.40,44969.23,2924.69,3562930.54,340.54,188.93,0.54,0.54
191,11643.94,45068.55,1817.53,45727.71,2962.09,1997170.53,460.53,107.01,0.54,0.53
192,11739.32,45712.72,1810.46,46390.36,2992.86,980020.54,230.54,53.06,0.53,0.54
193,11784.60,46150.78,1837.14,46839.89,3017.66,1485070.54,340.54,79.56,0.54,0.54
194,?,?,?,?,?,?,?,?,0.54,?
195,?,?,?,?,?,?,?,?,?,?
196,11770.78,46218.05,1814.28,46922.43,3022.70,780440.53,220.53,42.03,?,0.53
197,11753.20,46155.10,1823.37,46860.35,3017.11,1131790.54,260.54,60.99,0.53,0.54
198,11768.81,46287.08,1818.62,47003.76,3021.27,9950220.53,590.53,535.15,0.54,0.53
199,11813.42,46221.23,1819.97,46919.83,3023.16,3254990.53,310.53,172.57,0.53,0.53
200,11837.95,46399.74,1818.57,47120.88,3019.85,6823740.54,690.54,363.24,0.53,0.54
201,?,?,?,?,?,?,?,?,0.54,?
202,?,?,?,?,?,?,?,?,?,?
203,11864.19,46361.70,1824.40,47075.43,3021.70,9503160.54,860.54,510.60,?,0.54
204,11905.16,46714.43,1824.74,47454.90,3029.97,6689020.56,960.56,369.89,0.54,0.56
205,11975.99,46835.98,1835.56,47575.74,3050.63,77325130.56,2860.56,4376.53,0.56,0.56
206,11939.68,46713.02,1829.12,47446.69,3036.16,9530180.56,1120.56,522.72,0.56,0.56
207,11930.54,46258.91,1830.71,46981.22,3015.00,18961860.54,1430.54,1044.38,0.56,0.54
208,?,?,?,?,?,?,?,?,0.54,?
209,?,?,?,?,?,?,?,?,?,?
210,11917.93,46480.62,1842.00,47214.30,3032.94,2762340.56,520.56,151.57,?,0.56
211,11914.45,46663.41,1839.88,47398.08,3038.42,1954370.55,450.55,106.37,0.56,0.55
212,11934.08,46925.65,1831.05,47676.43,3046.08,5981730.54,1080.54,326.28,0.55,0.54
213,12025.60,47370.81,1808.90,48147.76,3060.17,960020.55,240.55,52.07,0.54,0.55
214,12096.51,48325.33,1853.85,49133.14,3110.79,182668290.63,15560.63,11111.12,0.55,0.63
215,?,?,?,?,?,?,?,?,0.63,?
216,?,?,?,?,?,?,?,?,?,?
217,12181.61,48458.44,1867.91,49272.86,3127.41,106151520.62,7980.62,6530.19,?,0.62
218,12213.07,47942.81,1866.84,48742.34,3127.38,48252960.63,4360.63,3074.98,0.62,0.63
219,12294.72,48306.55,1881.25,49124.78,3168.23,114562840.68,7790.68,7672.07,0.63,0.68
220,12425.78,48862.88,1886.72,49700.18,3190.86,89744020.72,8100.72,6352.89,0.68,0.72
221,12524.35,49125.36,1893.84,49994.77,3206.86,55486280.73,4090.73,3930.92,0.72,0.73
222,?,?,?,?,?,?,?,?,0.73,?
223,?,?,?,?,?,?,?,?,?,?
224,12613.68,49580.16,1919.56,50476.37,3225.79,146355270.82,13010.82,11828.64,?,0.82
225,12783.95,49747.66,1936.51,50646.05,3233.22,53253340.80,6660.80,4291.50,0.82,0.80
226,12961.14,50223.95,1962.38,51152.95,3271.49,92387950.77,9300.77,7046.79,0.80,0.77
227,?,?,?,?,?,?,?,?,0.77,?
228,12933.31,49976.48,1966.79,50906.11,3253.28,17128070.76,2520.76,1298.07,?,0.76
229,?,?,?,?,?,?,?,?,0.76,?
230,?,?,?,?,?,?,?,?,?,?
231,12877.73,49772.46,1945.70,50713.14,3237.31,71099470.78,7380.78,5637.10,?,0.78
232,12831.52,49162.16,1917.73,50077.30,3210.57,7847150.78,1740.78,609.70,0.78,0.78
233,12826.21,49128.05,1916.46,50032.45,3221.87,24958780.77,2740.77,1972.42,0.78,0.77
234,12985.38,49846.48,1919.07,50780.47,3260.69,29558950.77,3640.77,2300.65,0.77,0.77
235,13050.37,49895.10,1931.18,50836.47,3260.35,21275460.78,3250.78,1686.40,0.77,0.78
236,?,?,?,?,?,?,?,?,0.78,?
237,?,?,?,?,?,?,?,?,?,?
238,13056.86,49818.48,1930.40,50756.86,3255.45,34345740.79,3650.79,2752.58,?,0.79
239,12781.02,48833.58,1906.94,49731.02,3197.48,22585370.74,4270.74,1708.81,0.79,0.74
240,12706.26,48537.65,1893.65,49421.50,3183.87,26527120.74,4380.74,1932.48,0.74,0.74
241,12801.41,48676.45,1898.85,49569.11,3204.20,7946440.75,1760.75,594.01,0.74,0.75
242,12801.04,48871.98,1888.37,49771.98,3196.27,6601130.75,1060.75,495.73,0.75,0.75
243,?,?,?,?,?,?,?,?,0.75,?
244,?,?,?,?,?,?,?,?,?,?
245,12870.44,49187.22,1867.21,50099.55,3230.20,19497080.77,3720.77,1450.21,?,0.77
246,12843.19,48968.87,1863.87,49861.54,3226.75,8578100.75,1960.75,649.98,0.77,0.75
247,12637.81,47919.09,1824.69,48781.63,3174.71,10630030.71,2410.71,770.69,0.75,0.71
248,12178.22,45830.66,1761.23,46598.42,3061.25,30958850.71,5640.71,2133.24,0.71,0.71
249,12457.22,46717.04,1820.13,47514.09,3142.61,14706080.72,1810.72,1051.24,0.71,0.72
250,?,?,?,?,?,?,?,?,0.72,?
251,?,?,?,?,?,?,?,?,?,?
252,12726.39,47808.90,1848.42,48651.54,3199.68,28141550.79,3180.79,2151.54,?,0.79
253,12962.91,48961.51,1921.50,49839.90,3256.85,50465210.84,6710.84,4207.28,0.79,0.84
254,12983.95,49437.02,1935.28,50312.63,3285.29,11349650.83,2070.83,945.72,0.84,0.83
255,13011.41,49771.55,1981.13,50644.38,3303.55,4455560.84,1140.84,368.92,0.83,0.84
256,12998.59,49348.61,1986.17,50196.31,3285.49,14187760.80,2520.80,1156.85,0.84,0.80
257,?,?,?,?,?,?,?,?,0.80,?
258,?,?,?,?,?,?,?,?,?,?
259,13003.37,48917.85,1997.16,49741.35,3260.05,19166110.79,3460.79,1547.97,?,0.79
260,13085.22,49434.46,1994.79,50258.11,3286.61,26258500.79,3660.79,2033.78,0.79,0.79
261,13049.76,49413.33,1985.11,50227.43,3277.41,11418810.77,2390.77,898.23,0.79,0.77
262,13124.47,50300.53,2000.89,51171.25,3316.59,11122170.78,1990.78,872.57,0.77,0.78
263,13140.38,50308.19,2005.00,51202.75,3316.08,16459350.80,2220.80,1308.02,0.78,0.80
264,?,?,?,?,?,?,?,?,0.80,?
265,?,?,?,?,?,?,?,?,?,?
266,13089.15,49955.87,1988.08,50869.00,3291.57,18791800.78,2550.78,1500.85,?,0.78
267,13131.43,49979.47,1972.58,50887.67,3275.67,15865380.76,2590.76,1215.20,0.78,0.76
268,13114.91,50301.69,1979.81,51221.45,3299.72,22734600.75,2540.75,1710.82,0.76,0.75
269,13233.88,50936.34,1986.14,51846.54,3336.44,19581030.77,2260.77,1496.48,0.75,0.77
270,13346.97,50819.81,1999.08,51704.53,3352.18,11129980.75,1560.75,840.58,0.77,0.75
271,?,?,?,?,?,?,?,?,0.75,?
272,?,?,?,?,?,?,?,?,?,?
273,13314.68,50301.85,2010.06,51191.50,3349.29,35733000.73,4230.73,2601.18,?,0.73
274,13338.19,50782.48,2007.69,51691.24,3351.68,8377970.72,1150.72,609.01,0.73,0.72
275,13386.01,50803.40,2016.99,51709.58,3364.40,15245550.76,2250.76,1136.29,0.72,0.76
276,13476.11,50982.03,2073.65,51911.61,3383.62,423665510.86,26880.86,36405.19,0.76,0.86
277,13513.64,50601.24,2097.98,51511.63,3381.52,300774120.88,11160.88,26382.93,0.86,0.88
278,?,?,?,?,?,?,?,?,0.88,?
279,?,?,?,?,?,?,?,?,?,?
280,13477.58,50338.71,2120.60,51239.47,3383.60,73306830.93,7280.93,6613.42,?,0.93
281,13399.64,50137.88,2131.10,51021.26,3368.14,48085630.93,6080.93,4470.01,0.93,0.93
282,13361.98,50335.02,2126.57,51215.99,3379.96,54367500.89,7700.89,4833.39,0.93,0.89
283,13589.27,51806.83,2150.38,52744.48,3454.41,53462720.89,5710.89,4782.85,0.89,0.89
284,13638.56,52230.47,2175.63,53193.87,3477.04,26042350.92,3700.92,2366.17,0.89,0.92
285,?,?,?,?,?,?,?,?,0.92,?
286,?,?,?,?,?,?,?,?,?,?
287,13701.85,52520.91,2196.86,53498.97,3508.85,153830880.90,5020.90,13917.20,?,0.90
288,13824.94,52590.73,2249.42,53588.87,3544.07,117169520.98,16980.98,11401.31,0.90,0.98
289,13886.79,52861.41,2267.93,53918.41,3548.14,57037961.03,10161.03,5784.44,0.98,1.03
290,14155.74,52573.59,2280.53,53571.90,3572.96,86930971.09,14291.09,9368.09,1.03,1.09
291,14253.72,52587.24,2320.78,53572.92,3535.97,51267301.09,9951.09,5665.64,1.09,1.09
292,?,?,?,?,?,?,?,?,1.09,?
293,?,?,?,?,?,?,?,?,?,?
294,14459.56,53853.55,2342.90,54903.39,3606.06,26415371.10,4711.10,2903.86,?,1.10
295,14512.68,53781.81,2351.77,54818.06,3615.60,27728361.11,4761.11,3073.93,1.10,1.11
296,14327.32,53389.74,2357.93,54433.41,3596.10,20043941.10,3461.10,2183.19,1.11,1.10
297,14572.10,53994.46,2411.97,55063.75,3637.76,29261131.11,3961.11,3231.36,1.10,1.11
298,14753.57,53887.13,2452.72,55023.42,3651.19,17941881.11,3251.11,1972.13,1.11,1.11
299,?,?,?,?,?,?,?,?,1.11,?
300,?,?,?,?,?,?,?,?,?,?
301,14896.01,54180.04,2458.33,55362.19,3660.45,125873161.19,14091.19,14640.49,?,1.19
302,14994.44,54536.95,2476.37,55688.45,3688.57,36785801.21,8021.21,4520.53,1.19,1.21
303,14942.82,54095.32,2472.94,55240.01,3660.80,90815251.27,14591.27,11343.74,1.21,1.27
304,14928.63,53607.86,2475.98,54734.18,3628.73,84358261.32,13811.32,11140.86,1.27,1.32
305,?,?,?,?,?,?,?,?,1.32,?
306,?,?,?,?,?,?,?,?,?,?
307,?,?,?,?,?,?,?,?,?,?
308,15023.33,53989.37,2482.39,55121.60,3668.56,9036380,1759,11715.93,?,1.26
309,14877.29,53504.47,2450.55,54600.05,3645.18,8423621,1577,10222.09,1.26,1.17
310,14860.69,53924.01,2477.66,55035.36,3650.27,5011186,1024,5990.21,1.17,1.22
340,13476.564027366672,45857.110734846676,2077.6816212987255,47106.0108522239,3215.763816454578,?,?,?,?,?,? 
370,13789.514663168062,46189.882480874876,2130.4556810728736,47398.32393415799,3267.20146029432,?,?,?,?,?,? 
400,14102.465298969453,46522.654226903076,2183.229740847022,47690.63701609208,3318.639104134063,?,?,?,?,?,? 
490,15041.317206373624,47520.969464987684,2341.551920169468,48567.57626189435,3472.9520356532903,?,?,?,?,?,? 
670,16919.02102118197,49517.5999411569,2658.1962788143587,50321.45475349891,3781.5778986917467,?,?,?,?,?,? 
