%310
@RELATION PLELZAB00010
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
96,?,?,?,?,2.45,?
97,?,?,?,?,?,?
98,2764.28,194992.45,52.45,47.77,?,2.45
99,2767.26,70002.45,52.45,17.15,2.45,2.45
100,2780.21,28992.42,52.42,6.98,2.45,2.42
101,2794.43,27002.45,42.45,6.62,2.42,2.45
102,2783.53,308372.50,142.50,76.97,2.45,2.50
103,?,?,?,?,2.50,?
104,?,?,?,?,?,?
105,2754.91,21302.55,42.55,5.43,?,2.55
106,?,?,?,?,2.55,?
107,2705.88,12682.57,52.57,3.26,?,2.57
108,2695.55,02.57,02.57,0.00,2.57,2.57
109,2685.57,5012.54,32.54,1.27,2.57,2.54
110,?,?,?,?,2.54,?
111,?,?,?,?,?,?
112,2660.28,22952.55,52.55,5.67,?,2.55
113,2624.40,52542.57,72.57,13.50,2.55,2.57
114,2636.70,250532.57,172.57,63.89,2.57,2.57
115,2658.57,98692.58,72.58,25.46,2.57,2.58
116,2669.93,234242.60,142.60,60.82,2.58,2.60
117,?,?,?,?,2.60,?
118,?,?,?,?,?,?
119,2685.14,131552.60,72.60,34.20,?,2.60
120,2704.84,53702.62,32.62,14.06,2.60,2.62
121,?,?,?,?,2.62,?
122,2695.22,50642.65,82.65,13.40,?,2.65
123,?,?,?,?,2.65,?
124,?,?,?,?,?,?
125,?,?,?,?,?,?
126,2714.72,49162.67,72.67,13.12,?,2.67
127,2733.96,358992.79,202.79,99.22,2.67,2.79
128,2752.14,346683.30,493.30,108.31,2.79,3.30
129,2760.20,150393.24,293.24,48.34,3.30,3.24
130,2769.85,395413.30,373.30,130.49,3.24,3.30
131,?,?,?,?,3.30,?
132,?,?,?,?,?,?
133,2790.62,171083.30,273.30,56.46,?,3.30
134,2822.41,51163.34,103.34,17.00,3.30,3.34
135,2848.38,187203.50,423.50,64.89,3.34,3.50
136,2871.70,132923.60,263.60,47.24,3.50,3.60
137,2885.19,152133.95,263.95,58.76,3.60,3.95
138,?,?,?,?,3.95,?
139,?,?,?,?,?,?
140,2921.95,138544.15,414.15,55.84,?,4.15
141,2893.12,75764.15,234.15,31.44,4.15,4.15
142,2912.70,97404.00,154.00,39.50,4.15,4.00
143,2894.53,129233.80,183.80,51.33,4.00,3.80
144,2929.62,154703.82,193.82,58.88,3.80,3.82
145,?,?,?,?,3.82,?
146,?,?,?,?,?,?
147,2976.83,20103.85,73.85,7.73,?,3.85
148,2997.81,95773.80,123.80,36.47,3.85,3.80
149,3000.58,69563.26,203.26,22.82,3.80,3.26
150,?,?,?,?,3.26,?
151,2994.25,24503.57,83.57,8.56,?,3.57
152,?,?,?,?,3.57,?
153,?,?,?,?,?,?
154,2970.24,33743.49,93.49,11.79,?,3.49
155,2998.79,37193.55,83.55,13.17,3.49,3.55
156,3026.87,52803.55,43.55,18.94,3.55,3.55
157,3020.15,50233.57,93.57,17.85,3.55,3.57
158,3044.38,88353.70,143.70,31.96,3.57,3.70
159,?,?,?,?,3.70,?
160,?,?,?,?,?,?
161,3065.91,41863.70,43.70,15.49,?,3.70
162,3074.89,31353.65,53.65,11.59,3.70,3.65
163,3098.83,12583.65,63.65,4.59,3.65,3.65
164,3089.32,36473.71,43.71,13.50,3.65,3.71
165,3092.65,22803.71,63.71,8.46,3.71,3.71
166,?,?,?,?,3.71,?
167,?,?,?,?,?,?
168,3100.24,5703.73,13.73,2.13,?,3.73
169,3120.39,13363.75,63.75,5.01,3.73,3.75
170,3122.21,9563.85,23.85,3.67,3.75,3.85
171,3038.18,20293.86,73.86,7.87,3.85,3.86
172,3001.68,20593.85,53.85,7.95,3.86,3.85
173,?,?,?,?,3.85,?
174,?,?,?,?,?,?
175,2990.89,47123.80,113.80,17.99,?,3.80
176,2999.31,43.80,23.80,0.02,3.80,3.80
177,2972.55,21003.74,43.74,7.91,3.80,3.74
178,2915.58,03.74,03.74,0.00,3.74,3.74
179,2948.80,88233.87,113.87,34.15,3.74,3.87
180,?,?,?,?,3.87,?
181,?,?,?,?,?,?
182,2963.91,86124.15,214.15,33.97,?,4.15
183,2981.48,46294.12,114.12,19.00,4.15,4.12
184,2971.57,63844.05,104.05,25.30,4.12,4.05
185,2988.19,13043.99,43.99,5.20,4.05,3.99
186,2977.06,23703.98,53.98,9.08,3.99,3.98
187,?,?,?,?,3.98,?
188,?,?,?,?,?,?
189,2948.16,10003.94,13.94,3.94,?,3.94
190,2924.69,15993.97,73.97,6.25,3.94,3.97
191,2962.09,95454.00,104.00,37.93,3.97,4.00
192,2992.86,9483.99,23.99,3.78,4.00,3.99
193,3017.66,14003.99,43.99,5.56,3.99,3.99
194,?,?,?,?,3.99,?
195,?,?,?,?,?,?
196,3022.70,15003.98,23.98,5.96,?,3.98
197,3017.11,30003.99,73.99,11.95,3.98,3.99
198,3021.27,10003.99,33.99,3.95,3.99,3.99
199,3023.16,20003.99,33.99,7.83,3.99,3.99
200,3019.85,42463.99,53.99,16.72,3.99,3.99
201,?,?,?,?,3.99,?
202,?,?,?,?,?,?
203,3021.70,2203.95,23.95,0.86,?,3.95
204,3029.97,03.95,03.95,0.00,3.95,3.95
205,3050.63,03.95,03.95,0.00,3.95,3.95
206,3036.16,48503.95,73.95,19.02,3.95,3.95
207,3015.00,74103.95,63.95,29.27,3.95,3.95
208,?,?,?,?,3.95,?
209,?,?,?,?,?,?
210,3032.94,109913.99,83.99,42.81,?,3.99
211,3038.42,29003.99,73.99,11.55,3.99,3.99
212,3046.08,03.99,03.99,0.00,3.99,3.99
213,3060.17,7273.99,43.99,2.90,3.99,3.99
214,3110.79,1254.05,24.05,0.51,3.99,4.05
215,?,?,?,?,4.05,?
216,?,?,?,?,?,?
217,3127.41,133704.15,174.15,54.50,?,4.15
218,3127.38,128614.11,54.11,51.18,4.15,4.11
219,3168.23,38404.10,64.10,15.47,4.11,4.10
220,3190.86,2004.08,14.08,0.82,4.10,4.08
221,3206.86,20904.08,34.08,8.36,4.08,4.08
222,?,?,?,?,4.08,?
223,?,?,?,?,?,?
224,3225.79,169204.00,254.00,67.19,?,4.00
225,3233.22,162603.96,113.96,63.02,4.00,3.96
226,3271.49,28163.92,63.92,11.02,3.96,3.92
227,?,?,?,?,3.92,?
228,3253.28,11433.92,53.92,4.46,?,3.92
229,?,?,?,?,3.92,?
230,?,?,?,?,?,?
231,3237.31,34003.93,63.93,13.47,?,3.93
232,3210.57,20703.90,33.90,8.11,3.93,3.90
233,3221.87,55453.75,73.75,20.90,3.90,3.75
234,3260.69,8003.75,33.75,2.99,3.75,3.75
235,3260.35,13063.80,73.80,4.91,3.75,3.80
236,?,?,?,?,3.80,?
237,?,?,?,?,?,?
238,3255.45,9653.81,43.81,3.68,?,3.81
239,3197.48,27353.88,83.88,10.57,3.81,3.88
240,3183.87,03.88,03.88,0.00,3.88,3.88
241,3204.20,03.88,03.88,0.00,3.88,3.88
242,3196.27,03.88,03.88,0.00,3.88,3.88
243,?,?,?,?,3.88,?
244,?,?,?,?,?,?
245,3230.20,993.80,13.80,0.38,?,3.80
246,3226.75,5013.80,33.80,1.90,3.80,3.80
247,3174.71,13493.97,73.97,5.23,3.80,3.97
248,3061.25,37883.80,43.80,14.39,3.97,3.80
249,3142.61,313.95,23.95,0.12,3.80,3.95
250,?,?,?,?,3.95,?
251,?,?,?,?,?,?
252,3199.68,7013.80,63.80,2.66,?,3.80
253,3256.85,1193.80,13.80,0.45,3.80,3.80
254,3285.29,8503.80,43.80,3.28,3.80,3.80
255,3303.55,1193.81,13.81,0.45,3.80,3.81
256,3285.49,1683.80,13.80,0.64,3.81,3.80
257,?,?,?,?,3.80,?
258,?,?,?,?,?,?
259,3260.05,3503.81,13.81,1.33,?,3.81
260,3286.61,5003.81,23.81,1.91,3.81,3.81
261,3277.41,13383.80,53.80,5.08,3.81,3.80
262,3316.59,2403.80,13.80,0.91,3.80,3.80
263,3316.08,14753.81,43.81,5.61,3.80,3.81
264,?,?,?,?,3.81,?
265,?,?,?,?,?,?
266,3291.57,29003.95,83.95,11.46,?,3.95
267,3275.67,15003.95,33.95,5.93,3.95,3.95
268,3299.72,7593.95,33.95,3.00,3.95,3.95
269,3336.44,473.82,13.82,0.18,3.95,3.82
270,3352.18,03.82,03.82,0.00,3.82,3.82
271,?,?,?,?,3.82,?
272,?,?,?,?,?,?
273,3349.29,03.82,03.82,0.00,?,3.82
274,3351.68,03.82,03.82,0.00,3.82,3.82
275,3364.40,03.82,03.82,0.00,3.82,3.82
276,3383.62,19833.80,63.80,7.55,3.82,3.80
277,3381.52,55153.80,63.80,20.96,3.80,3.80
278,?,?,?,?,3.80,?
279,?,?,?,?,?,?
280,3383.60,21573.82,43.82,8.22,?,3.82
281,3368.14,30843.88,33.88,11.97,3.82,3.88
282,3379.96,50003.90,13.90,19.50,3.88,3.90
283,3454.41,66323.95,83.95,26.20,3.90,3.95
284,3477.04,4004.05,14.05,1.62,3.95,4.05
285,?,?,?,?,4.05,?
286,?,?,?,?,?,?
287,3508.85,18104.05,54.05,7.33,?,4.05
288,3544.07,87564.10,84.10,35.90,4.05,4.10
289,3548.14,9634.10,34.10,3.95,4.10,4.10
290,3572.96,48454.15,74.15,20.08,4.10,4.15
291,3535.97,8304.15,44.15,3.45,4.15,4.15
292,?,?,?,?,4.15,?
293,?,?,?,?,?,?
294,3606.06,94654.19,124.19,39.51,?,4.19
295,3615.60,63674.25,64.25,26.90,4.19,4.25
296,3596.10,29344.31,84.31,12.65,4.25,4.31
297,3637.76,36264.37,44.37,15.82,4.31,4.37
298,3651.19,43754.46,84.46,19.48,4.37,4.46
299,?,?,?,?,4.46,?
300,?,?,?,?,?,?
301,3660.45,37424.50,134.50,16.84,?,4.50
302,3688.57,54764.56,114.56,24.84,4.50,4.56
303,3660.80,27174.65,54.65,12.51,4.56,4.65
304,3628.73,26454.66,44.66,12.33,4.65,4.66
305,?,?,?,?,4.66,?
306,?,?,?,?,?,?
307,?,?,?,?,?,?
308,3668.56,3467,5,16.39,?,4.80
309,3645.18,2962,13,14.69,4.80,4.97
310,3650.27,11092,15,55.53,4.97,5.05
340,3215.763816454578,?,?,?,?,?,? 
370,3267.20146029432,?,?,?,?,?,? 
400,3318.639104134063,?,?,?,?,?,? 
490,3472.9520356532903,?,?,?,?,?,? 
670,3781.5778986917467,?,?,?,?,?,? 
