%310
@RELATION PLMCSFT00018
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-INFO NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
59,844.08,46280.36,1140.99,46510.83,2865.27,15731.00,231.00,4.87,31.50,31.00
60,842.02,46341.14,1150.40,46622.90,2859.05,2530.58,130.58,0.76,31.00,30.58
61,?,?,?,?,?,?,?,?,30.58,?
62,?,?,?,?,?,?,?,?,?,?
63,838.26,46137.70,1147.38,46454.13,2860.68,030.58,030.58,0.00,?,30.58
64,845.88,46676.09,1156.77,47001.38,2868.06,030.58,030.58,0.00,30.58,30.58
65,849.88,46762.65,1150.07,47090.49,2872.90,10030.50,330.50,3.05,30.58,30.50
66,855.99,46745.26,1155.43,47060.66,2873.49,030.50,030.50,0.00,30.50,30.50
67,861.67,47074.39,1164.85,47436.21,2906.74,25232.24,632.24,7.94,30.50,32.24
68,?,?,?,?,?,?,?,?,32.24,?
69,?,?,?,?,?,?,?,?,?,?
70,863.89,46933.03,1184.08,47269.75,2914.24,532.24,132.24,0.16,?,32.24
71,866.79,47010.40,1185.21,47340.43,2911.38,9931.31,331.31,3.16,32.24,31.31
72,872.90,46888.37,1178.50,47235.72,2901.67,19732.50,432.50,6.29,31.31,32.50
73,871.52,47223.68,1177.46,47606.16,2912.13,232.55,232.55,0.06,32.50,32.55
74,873.21,47125.93,1176.61,47522.10,2909.77,10032.55,132.55,3.26,32.55,32.55
75,?,?,?,?,?,?,?,?,32.55,?
76,?,?,?,?,?,?,?,?,?,?
77,868.37,46668.41,1163.52,47094.18,2900.59,15132.75,432.75,4.92,?,32.75
78,864.73,46029.35,1143.53,46473.62,2868.24,9234.00,334.00,3.10,32.75,34.00
79,862.97,46068.24,1121.08,46511.62,2874.75,195535.90,2335.90,67.78,34.00,35.90
80,850.86,45580.47,1110.00,46017.88,2833.61,56336.00,1436.00,20.20,35.90,36.00
81,845.32,45066.18,1091.98,45473.08,2800.67,52537.20,1637.20,19.06,36.00,37.20
82,?,?,?,?,?,?,?,?,37.20,?
83,?,?,?,?,?,?,?,?,?,?
84,839.36,44585.10,1091.47,44946.32,2780.21,342436.70,3636.70,127.33,?,36.70
85,830.80,44724.88,1081.75,45119.16,2774.13,131837.10,2037.10,48.36,36.70,37.10
86,835.51,45247.90,1090.32,45644.09,2785.46,70235.10,1535.10,24.31,37.10,35.10
87,839.42,45147.57,1091.06,45528.85,2797.31,26734.00,534.00,9.05,35.10,34.00
88,?,?,?,?,?,?,?,?,34.00,?
89,?,?,?,?,?,?,?,?,?,?
90,?,?,?,?,?,?,?,?,?,?
91,?,?,?,?,?,?,?,?,?,?
92,840.31,45304.74,1102.99,45679.51,2814.33,11832.50,332.50,3.90,?,32.50
93,828.79,44604.61,1070.68,44940.36,2769.02,40830.02,1330.02,12.43,32.50,30.02
94,824.35,44623.89,1070.17,44980.62,2766.19,27630.00,1030.00,8.01,30.02,30.00
95,819.73,44597.66,1086.26,44960.02,2760.91,030.00,030.00,0.00,30.00,30.00
96,?,?,?,?,?,?,?,?,30.00,?
97,?,?,?,?,?,?,?,?,?,?
98,818.75,44590.97,1086.13,44963.96,2764.28,2030.00,130.00,0.60,?,30.00
99,815.74,44725.03,1084.77,45096.35,2767.26,132.10,132.10,0.03,30.00,32.10
100,820.16,45091.63,1089.08,45495.34,2780.21,032.10,032.10,0.00,32.10,32.10
101,824.04,45688.48,1095.29,46131.66,2794.43,5031.50,131.50,1.58,32.10,31.50
102,819.29,45525.92,1102.49,45960.10,2783.53,9030.55,230.55,2.79,31.50,30.55
103,?,?,?,?,?,?,?,?,30.55,?
104,?,?,?,?,?,?,?,?,?,?
105,814.07,44724.14,1097.10,45167.65,2754.91,030.55,030.55,0.00,?,30.55
106,?,?,?,?,?,?,?,?,30.55,?
107,796.68,43916.24,1090.97,44404.81,2705.88,40430.25,430.25,12.34,?,30.25
108,787.39,43364.70,1089.24,43850.06,2695.55,43930.05,630.05,12.99,30.25,30.05
109,783.37,43447.75,1086.50,43993.98,2685.57,030.05,030.05,0.00,30.05,30.05
110,?,?,?,?,?,?,?,?,30.05,?
111,?,?,?,?,?,?,?,?,?,?
112,776.37,43360.30,1090.01,43892.82,2660.28,8030.75,130.75,2.46,?,30.75
113,769.16,43159.57,1070.14,43707.88,2624.40,1230.00,130.00,0.36,30.75,30.00
114,769.82,43356.73,1084.85,43908.95,2636.70,030.00,030.00,0.00,30.00,30.00
115,774.88,43482.18,1076.35,44027.03,2658.57,24730.40,130.40,7.51,30.00,30.40
116,777.86,43665.21,1081.14,44226.06,2669.93,030.40,030.40,0.00,30.40,30.40
117,?,?,?,?,?,?,?,?,30.40,?
118,?,?,?,?,?,?,?,?,?,?
119,779.98,43882.16,1086.18,44420.22,2685.14,030.40,030.40,0.00,?,30.40
120,784.81,44162.18,1096.22,44653.34,2704.84,030.40,030.40,0.00,30.40,30.40
121,?,?,?,?,?,?,?,?,30.40,?
122,787.45,43991.51,1077.28,44466.89,2695.22,030.40,030.40,0.00,?,30.40
123,?,?,?,?,?,?,?,?,30.40,?
124,?,?,?,?,?,?,?,?,?,?
125,?,?,?,?,?,?,?,?,?,?
126,786.57,44541.73,1104.54,45060.80,2714.72,57629.15,1129.15,16.97,?,29.15
127,793.09,44742.22,1111.64,45244.29,2733.96,029.15,029.15,0.00,29.15,29.15
128,798.10,45117.94,1106.26,45647.76,2752.14,12329.01,129.01,3.57,29.15,29.01
129,800.71,44943.16,1111.55,45475.08,2760.20,42328.50,628.50,12.07,29.01,28.50
130,800.42,44895.35,1118.53,45408.06,2769.85,028.50,028.50,0.00,28.50,28.50
131,?,?,?,?,?,?,?,?,28.50,?
132,?,?,?,?,?,?,?,?,?,?
133,802.74,45207.84,1126.14,45746.01,2790.62,529.40,129.40,0.15,?,29.40
134,804.49,45771.11,1157.28,46336.62,2822.41,029.40,029.40,0.00,29.40,29.40
135,802.28,46102.42,1180.62,46676.61,2848.38,10029.40,129.40,2.94,29.40,29.40
136,806.45,45992.03,1159.61,46581.16,2871.70,029.40,029.40,0.00,29.40,29.40
137,810.69,46078.68,1125.40,46646.58,2885.19,31229.40,529.40,8.96,29.40,29.40
138,?,?,?,?,?,?,?,?,29.40,?
139,?,?,?,?,?,?,?,?,?,?
140,815.60,46041.35,1137.52,46615.31,2921.95,40029.40,329.40,11.76,?,29.40
141,819.76,45851.80,1125.99,46439.10,2893.12,140930.10,430.10,42.04,29.40,30.10
142,818.82,45933.66,1125.44,46529.96,2912.70,32430.00,430.00,9.72,30.10,30.00
143,814.69,45687.76,1120.21,46311.26,2894.53,5429.40,129.40,1.59,30.00,29.40
144,820.11,46145.44,1124.91,46783.61,2929.62,2025430.00,230.00,607.62,29.40,30.00
145,?,?,?,?,?,?,?,?,30.00,?
146,?,?,?,?,?,?,?,?,?,?
147,828.12,47277.10,1142.01,47957.54,2976.83,9930.00,230.00,2.98,?,30.00
148,838.40,47579.87,1154.78,48258.02,2997.81,7030.00,130.00,2.10,30.00,30.00
149,842.72,47476.64,1171.08,48138.07,3000.58,5630.00,130.00,1.68,30.00,30.00
150,?,?,?,?,?,?,?,?,30.00,?
151,841.72,47806.34,1165.26,48503.87,2994.25,7229.60,129.60,2.13,?,29.60
152,?,?,?,?,?,?,?,?,29.60,?
153,?,?,?,?,?,?,?,?,?,?
154,839.57,47175.79,1165.63,47868.36,2970.24,230.00,130.00,0.06,?,30.00
155,854.67,47620.68,1159.94,48323.88,2998.79,17330.00,230.00,5.19,30.00,30.00
156,859.35,47805.94,1151.72,48513.29,3026.87,20030.00,130.00,6.00,30.00,30.00
157,864.95,47573.66,1162.00,48259.19,3020.15,030.00,030.00,0.00,30.00,30.00
158,866.67,48209.65,1181.72,48918.37,3044.38,030.00,030.00,0.00,30.00,30.00
159,?,?,?,?,?,?,?,?,30.00,?
160,?,?,?,?,?,?,?,?,?,?
161,870.65,48495.01,1181.70,49207.65,3065.91,14029.81,229.81,4.18,?,29.81
162,870.60,48324.52,1178.63,49050.96,3074.89,029.81,029.81,0.00,29.81,29.81
163,878.91,48383.93,1192.84,49098.70,3098.83,1630.66,230.66,0.48,29.81,30.66
164,877.48,48152.82,1194.64,48890.47,3089.32,24830.66,230.66,7.60,30.66,30.66
165,880.65,48273.42,1193.40,49057.66,3092.65,630.09,130.09,0.18,30.66,30.09
166,?,?,?,?,?,?,?,?,30.09,?
167,?,?,?,?,?,?,?,?,?,?
168,883.59,48131.61,1195.82,48917.56,3100.24,630.01,130.01,0.18,?,30.01
169,886.71,48119.72,1195.92,48891.04,3120.39,5030.10,130.10,1.51,30.01,30.10
170,885.25,47743.10,1196.01,48509.84,3122.21,331.00,131.00,0.09,30.10,31.00
171,864.38,45870.00,1146.73,46587.68,3038.18,50431.00,631.00,15.20,31.00,31.00
172,855.18,44732.92,1176.34,45456.77,3001.68,354631.50,731.50,107.23,31.00,31.50
173,?,?,?,?,?,?,?,?,31.50,?
174,?,?,?,?,?,?,?,?,?,?
175,857.74,44824.62,1173.52,45531.46,2990.89,6631.51,131.51,2.08,?,31.51
176,863.23,44966.09,1180.90,45672.10,2999.31,86333.00,833.00,28.39,31.51,33.00
177,858.05,44893.99,1166.57,45601.51,2972.55,53534.24,734.24,18.03,33.00,34.24
178,847.97,43667.37,1139.46,44326.49,2915.58,40835.79,835.79,14.23,34.24,35.79
179,848.08,44747.79,1160.39,45442.51,2948.80,325936.50,1336.50,116.16,35.79,36.50
180,?,?,?,?,?,?,?,?,36.50,?
181,?,?,?,?,?,?,?,?,?,?
182,848.80,44769.00,1150.94,45461.06,2963.91,12536.70,436.70,4.57,?,36.70
183,853.37,45533.94,1175.36,46254.71,2981.48,32937.27,437.27,12.23,36.70,37.27
184,850.45,45184.98,1196.30,45899.36,2971.57,35137.27,737.27,13.03,37.27,37.27
185,855.94,45613.75,1189.64,46344.42,2988.19,037.27,037.27,0.00,37.27,37.27
186,851.88,45110.89,1161.10,45805.34,2977.06,037.27,037.27,0.00,37.27,37.27
187,?,?,?,?,?,?,?,?,37.27,?
188,?,?,?,?,?,?,?,?,?,?
189,849.30,44534.34,1167.58,45172.40,2948.16,037.27,037.27,0.00,?,37.27
190,842.60,44342.23,1165.35,44969.23,2924.69,15135.60,435.60,5.36,37.27,35.60
191,844.03,45068.55,1180.80,45727.71,2962.09,1035.67,135.67,0.36,35.60,35.67
192,845.84,45712.72,1192.09,46390.36,2992.86,101035.70,1035.70,35.93,35.67,35.70
193,849.99,46150.78,1209.79,46839.89,3017.66,96838.50,1338.50,35.81,35.70,38.50
194,?,?,?,?,?,?,?,?,38.50,?
195,?,?,?,?,?,?,?,?,?,?
196,850.04,46218.05,1196.78,46922.43,3022.70,31037.30,437.30,11.62,?,37.30
197,847.84,46155.10,1214.42,46860.35,3017.11,10438.49,338.49,3.90,37.30,38.49
198,845.85,46287.08,1215.81,47003.76,3021.27,40239.00,539.00,15.51,38.49,39.00
199,845.70,46221.23,1211.51,46919.83,3023.16,28339.50,339.50,11.08,39.00,39.50
200,848.06,46399.74,1210.19,47120.88,3019.85,24539.90,539.90,9.78,39.50,39.90
201,?,?,?,?,?,?,?,?,39.90,?
202,?,?,?,?,?,?,?,?,?,?
203,849.27,46361.70,1235.07,47075.43,3021.70,38640.00,740.00,15.39,?,40.00
204,852.44,46714.43,1232.24,47454.90,3029.97,50041.10,1141.10,20.34,40.00,41.10
205,858.02,46835.98,1222.66,47575.74,3050.63,041.10,041.10,0.00,41.10,41.10
206,858.31,46713.02,1219.75,47446.69,3036.16,14640.85,140.85,5.96,41.10,40.85
207,858.83,46258.91,1209.19,46981.22,3015.00,55340.31,1040.31,21.64,40.85,40.31
208,?,?,?,?,?,?,?,?,40.31,?
209,?,?,?,?,?,?,?,?,?,?
210,862.18,46480.62,1199.78,47214.30,3032.94,120241.35,2441.35,49.34,?,41.35
211,870.15,46663.41,1213.77,47398.08,3038.42,45941.40,1141.40,19.01,41.35,41.40
212,878.25,46925.65,1223.90,47676.43,3046.08,41941.50,841.50,17.40,41.40,41.50
213,881.30,47370.81,1222.52,48147.76,3060.17,041.50,041.50,0.00,41.50,41.50
214,884.10,48325.33,1231.68,49133.14,3110.79,9841.90,441.90,4.11,41.50,41.90
215,?,?,?,?,?,?,?,?,41.90,?
216,?,?,?,?,?,?,?,?,?,?
217,891.59,48458.44,1230.24,49272.86,3127.41,52643.00,1343.00,22.55,?,43.00
218,891.86,47942.81,1233.34,48742.34,3127.38,62944.00,644.00,27.37,43.00,44.00
219,898.91,48306.55,1236.11,49124.78,3168.23,7543.00,643.00,3.26,44.00,43.00
220,903.85,48862.88,1227.93,49700.18,3190.86,57143.00,843.00,24.60,43.00,43.00
221,909.96,49125.36,1228.51,49994.77,3206.86,043.00,043.00,0.00,43.00,43.00
222,?,?,?,?,?,?,?,?,43.00,?
223,?,?,?,?,?,?,?,?,?,?
224,918.93,49580.16,1249.41,50476.37,3225.79,12042.50,342.50,5.08,?,42.50
225,922.16,49747.66,1253.14,50646.05,3233.22,45642.01,742.01,19.54,42.50,42.01
226,928.58,50223.95,1260.91,51152.95,3271.49,3041.98,241.98,1.26,42.01,41.98
227,?,?,?,?,?,?,?,?,41.98,?
228,928.83,49976.48,1262.98,50906.11,3253.28,9341.50,341.50,3.86,?,41.50
229,?,?,?,?,?,?,?,?,41.50,?
230,?,?,?,?,?,?,?,?,?,?
231,919.57,49772.46,1251.04,50713.14,3237.31,6841.50,341.50,2.83,?,41.50
232,914.58,49162.16,1247.19,50077.30,3210.57,53541.50,641.50,22.20,41.50,41.50
233,920.30,49128.05,1248.67,50032.45,3221.87,041.50,041.50,0.00,41.50,41.50
234,931.73,49846.48,1258.64,50780.47,3260.69,041.50,041.50,0.00,41.50,41.50
235,930.27,49895.10,1247.33,50836.47,3260.35,041.50,041.50,0.00,41.50,41.50
236,?,?,?,?,?,?,?,?,41.50,?
237,?,?,?,?,?,?,?,?,?,?
238,927.73,49818.48,1237.10,50756.86,3255.45,22141.50,541.50,9.23,?,41.50
239,921.40,48833.58,1229.04,49731.02,3197.48,041.50,041.50,0.00,41.50,41.50
240,919.00,48537.65,1239.92,49421.50,3183.87,041.50,041.50,0.00,41.50,41.50
241,924.88,48676.45,1251.80,49569.11,3204.20,041.50,041.50,0.00,41.50,41.50
242,925.91,48871.98,1261.01,49771.98,3196.27,041.50,041.50,0.00,41.50,41.50
243,?,?,?,?,?,?,?,?,41.50,?
244,?,?,?,?,?,?,?,?,?,?
245,929.89,49187.22,1259.01,50099.55,3230.20,041.50,041.50,0.00,?,41.50
246,926.93,48968.87,1257.15,49861.54,3226.75,041.50,041.50,0.00,41.50,41.50
247,918.91,47919.09,1243.35,48781.63,3174.71,041.50,041.50,0.00,41.50,41.50
248,890.19,45830.66,1185.76,46598.42,3061.25,6038.50,238.50,2.33,41.50,38.50
249,902.70,46717.04,1237.06,47514.09,3142.61,15038.00,438.00,5.72,38.50,38.00
250,?,?,?,?,?,?,?,?,38.00,?
251,?,?,?,?,?,?,?,?,?,?
252,916.76,47808.90,1243.34,48651.54,3199.68,159534.99,3734.99,56.01,?,34.99
253,931.39,48961.51,1250.38,49839.90,3256.85,63034.60,1334.60,21.79,34.99,34.60
254,934.25,49437.02,1263.62,50312.63,3285.29,71634.00,834.00,24.43,34.60,34.00
255,943.52,49771.55,1276.66,50644.38,3303.55,46435.00,735.00,16.12,34.00,35.00
256,948.06,49348.61,1298.01,50196.31,3285.49,5534.20,234.20,1.92,35.00,34.20
257,?,?,?,?,?,?,?,?,34.20,?
258,?,?,?,?,?,?,?,?,?,?
259,956.00,48917.85,1275.46,49741.35,3260.05,25534.00,734.00,8.67,?,34.00
260,960.97,49434.46,1297.54,50258.11,3286.61,5734.20,434.20,1.93,34.00,34.20
261,957.28,49413.33,1284.43,50227.43,3277.41,27036.90,736.90,9.51,34.20,36.90
262,963.32,50300.53,1287.16,51171.25,3316.59,4336.30,136.30,1.56,36.90,36.30
263,962.49,50308.19,1303.27,51202.75,3316.08,1034.36,134.36,0.34,36.30,34.36
264,?,?,?,?,?,?,?,?,34.36,?
265,?,?,?,?,?,?,?,?,?,?
266,959.46,49955.87,1279.78,50869.00,3291.57,7034.45,234.45,2.41,?,34.45
267,957.44,49979.47,1298.17,50887.67,3275.67,4334.55,134.55,1.49,34.45,34.55
268,961.02,50301.69,1316.37,51221.45,3299.72,1834.55,234.55,0.62,34.55,34.55
269,969.92,50936.34,1330.10,51846.54,3336.44,034.55,034.55,0.00,34.55,34.55
270,977.10,50819.81,1345.84,51704.53,3352.18,29936.90,836.90,10.80,34.55,36.90
271,?,?,?,?,?,?,?,?,36.90,?
272,?,?,?,?,?,?,?,?,?,?
273,983.39,50301.85,1344.48,51191.50,3349.29,88439.57,1439.57,34.32,?,39.57
274,984.17,50782.48,1340.21,51691.24,3351.68,039.57,039.57,0.00,39.57,39.57
275,987.01,50803.40,1343.11,51709.58,3364.40,12539.90,139.90,4.99,39.57,39.90
276,988.62,50982.03,1339.95,51911.61,3383.62,039.90,039.90,0.00,39.90,39.90
277,992.25,50601.24,1323.45,51511.63,3381.52,44539.10,839.10,16.54,39.90,39.10
278,?,?,?,?,?,?,?,?,39.10,?
279,?,?,?,?,?,?,?,?,?,?
280,995.75,50338.71,1339.98,51239.47,3383.60,6740.00,140.00,2.68,?,40.00
281,993.38,50137.88,1327.31,51021.26,3368.14,26540.90,740.90,10.03,40.00,40.90
282,996.97,50335.02,1320.08,51215.99,3379.96,25040.88,540.88,10.13,40.90,40.88
283,1011.15,51806.83,1352.10,52744.48,3454.41,110040.87,240.87,44.96,40.88,40.87
284,1024.81,52230.47,1345.83,53193.87,3477.04,125238.01,738.01,50.55,40.87,38.01
285,?,?,?,?,?,?,?,?,38.01,?
286,?,?,?,?,?,?,?,?,?,?
287,1029.64,52520.91,1348.18,53498.97,3508.85,038.01,038.01,0.00,?,38.01
288,1039.64,52590.73,1382.18,53588.87,3544.07,5039.94,339.94,2.00,38.01,39.94
289,1036.86,52861.41,1368.16,53918.41,3548.14,2538.60,138.60,0.97,39.94,38.60
290,1049.92,52573.59,1375.02,53571.90,3572.96,3839.87,139.87,1.52,38.60,39.87
291,1051.86,52587.24,1361.11,53572.92,3535.97,039.87,039.87,0.00,39.87,39.87
292,?,?,?,?,?,?,?,?,39.87,?
293,?,?,?,?,?,?,?,?,?,?
294,1066.25,53853.55,1389.98,54903.39,3606.06,3239.86,239.86,1.27,?,39.86
295,1078.51,53781.81,1383.79,54818.06,3615.60,15039.89,239.89,5.98,39.86,39.89
296,1074.66,53389.74,1387.21,54433.41,3596.10,40039.89,439.89,15.95,39.89,39.89
297,1083.34,53994.46,1392.05,55063.75,3637.76,33039.89,639.89,13.16,39.89,39.89
298,1095.80,53887.13,1408.73,55023.42,3651.19,3539.89,139.89,1.40,39.89,39.89
299,?,?,?,?,?,?,?,?,39.89,?
300,?,?,?,?,?,?,?,?,?,?
301,1105.65,54180.04,1424.20,55362.19,3660.45,1439.71,339.71,0.56,?,39.71
302,1114.63,54536.95,1415.96,55688.45,3688.57,439.70,139.70,0.16,39.71,39.70
303,1107.62,54095.32,1435.46,55240.01,3660.80,8840.49,440.49,3.52,39.70,40.49
304,1109.36,53607.86,1416.41,54734.18,3628.73,51541.50,1041.50,21.24,40.49,41.50
305,?,?,?,?,?,?,?,?,41.50,?
306,?,?,?,?,?,?,?,?,?,?
307,?,?,?,?,?,?,?,?,?,?
308,1108.16,53989.37,1446.55,55121.60,3668.56,72,2,2.95,?,41.00
309,1101.37,53504.47,1441.92,54600.05,3645.18,0,0,0.00,41.00,41.00
310,1106.35,53924.01,1445.73,55035.36,3650.27,0,0,0.00,41.00,41.00
340,991.5027484429278,45857.110734846676,1298.5945247741247,47106.0108522239,3215.763816454578,?,?,?,?,?,? 
370,1011.5865587108091,46189.882480874876,1325.4888178463666,47398.32393415799,3267.20146029432,?,?,?,?,?,? 
400,1031.6703689786905,46522.654226903076,1352.3831109186085,47690.63701609208,3318.639104134063,?,?,?,?,?,? 
490,1091.9217997823343,47520.969464987684,1433.0659901353345,48567.57626189435,3472.9520356532903,?,?,?,?,?,? 
670,1212.4246613896223,49517.5999411569,1594.4317485687864,50321.45475349891,3781.5778986917467,?,?,?,?,?,? 
