%310
@RELATION PLMSTPL00018
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-BUDOW NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
135,802.28,46102.42,1662.38,46676.61,10117.81,217.81,1.87,18.50,17.81
136,806.45,45992.03,1668.63,46581.16,35918.36,618.36,6.37,17.81,18.36
137,810.69,46078.68,1720.89,46646.58,1018.36,118.36,0.18,18.36,18.36
138,?,?,?,?,?,?,?,18.36,?
139,?,?,?,?,?,?,?,?,?
140,815.60,46041.35,1720.79,46615.31,7917.55,717.55,1.39,?,17.55
141,819.76,45851.80,1715.41,46439.10,12617.54,317.54,2.21,17.55,17.54
142,818.82,45933.66,1721.17,46529.96,19118.16,418.16,3.41,17.54,18.16
143,814.69,45687.76,1700.24,46311.26,3118.15,1718.15,0.56,18.16,18.15
144,820.11,46145.44,1717.23,46783.61,140418.15,4518.15,24.62,18.15,18.15
145,?,?,?,?,?,?,?,18.15,?
146,?,?,?,?,?,?,?,?,?
147,828.12,47277.10,1770.93,47957.54,64118.37,2218.37,11.73,?,18.37
148,838.40,47579.87,1794.53,48258.02,46218.20,2718.20,8.44,18.37,18.20
149,842.72,47476.64,1826.11,48138.07,66118.45,818.45,12.49,18.20,18.45
150,?,?,?,?,?,?,?,18.45,?
151,841.72,47806.34,1832.70,48503.87,2318.95,1318.95,0.44,?,18.95
152,?,?,?,?,?,?,?,18.95,?
153,?,?,?,?,?,?,?,?,?
154,839.57,47175.79,1796.86,47868.36,71518.52,3618.52,13.13,?,18.52
155,854.67,47620.68,1812.04,48323.88,2118.49,2118.49,0.39,18.52,18.49
156,859.35,47805.94,1846.56,48513.29,6718.52,818.52,1.24,18.49,18.52
157,864.95,47573.66,1856.88,48259.19,38919.50,2919.50,7.32,18.52,19.50
158,866.67,48209.65,1849.90,48918.37,83019.50,30919.50,16.07,19.50,19.50
159,?,?,?,?,?,?,?,19.50,?
160,?,?,?,?,?,?,?,?,?
161,870.65,48495.01,1856.85,49207.65,10519.50,6219.50,2.05,?,19.50
162,870.60,48324.52,1866.45,49050.96,43219.59,10819.59,8.43,19.50,19.59
163,878.91,48383.93,1901.79,49098.70,99119.50,3119.50,19.40,19.59,19.50
164,877.48,48152.82,1913.84,48890.47,8719.45,1819.45,1.68,19.50,19.45
165,880.65,48273.42,1917.53,49057.66,78319.00,519.00,14.89,19.45,19.00
166,?,?,?,?,?,?,?,19.00,?
167,?,?,?,?,?,?,?,?,?
168,883.59,48131.61,1911.93,48917.56,119.00,119.00,0.02,?,19.00
169,886.71,48119.72,1917.62,48891.04,23019.00,419.00,4.37,19.00,19.00
170,885.25,47743.10,1923.19,48509.84,26119.38,419.38,4.93,19.00,19.38
171,864.38,45870.00,1891.03,46587.68,81618.06,718.06,14.97,19.38,18.06
172,855.18,44732.92,1879.16,45456.77,257918.79,2018.79,44.72,18.06,18.79
173,?,?,?,?,?,?,?,18.79,?
174,?,?,?,?,?,?,?,?,?
175,857.74,44824.62,1899.94,45531.46,1218.25,1218.25,0.22,?,18.25
176,863.23,44966.09,1919.70,45672.10,43518.20,918.20,7.79,18.25,18.20
177,858.05,44893.99,1923.12,45601.51,14218.20,418.20,2.58,18.20,18.20
178,847.97,43667.37,1881.89,44326.49,018.20,018.20,0.00,18.20,18.20
179,848.08,44747.79,1851.41,45442.51,52218.74,7318.74,9.53,18.20,18.74
180,?,?,?,?,?,?,?,18.74,?
181,?,?,?,?,?,?,?,?,?
182,848.80,44769.00,1835.70,45461.06,4418.60,318.60,0.81,?,18.60
183,853.37,45533.94,1831.78,46254.71,13117.90,517.90,2.36,18.60,17.90
184,850.45,45184.98,1823.41,45899.36,43018.44,218.44,7.72,17.90,18.44
185,855.94,45613.75,1818.75,46344.42,60217.90,417.90,10.59,18.44,17.90
186,851.88,45110.89,1805.32,45805.34,217.99,217.99,0.04,17.90,17.99
187,?,?,?,?,?,?,?,17.99,?
188,?,?,?,?,?,?,?,?,?
189,849.30,44534.34,1768.95,45172.40,117.21,117.21,0.02,?,17.21
190,842.60,44342.23,1782.40,44969.23,117.99,117.99,0.02,17.21,17.99
191,844.03,45068.55,1817.53,45727.71,517.50,317.50,0.09,17.99,17.50
192,845.84,45712.72,1810.46,46390.36,10217.50,317.50,1.79,17.50,17.50
193,849.99,46150.78,1837.14,46839.89,8917.40,317.40,1.53,17.50,17.40
194,?,?,?,?,?,?,?,17.40,?
195,?,?,?,?,?,?,?,?,?
196,850.04,46218.05,1814.28,46922.43,2217.50,317.50,0.38,?,17.50
197,847.84,46155.10,1823.37,46860.35,111417.12,717.12,19.20,17.50,17.12
198,845.85,46287.08,1818.62,47003.76,117.50,117.50,0.02,17.12,17.50
199,845.70,46221.23,1819.97,46919.83,111816.80,716.80,18.21,17.50,16.80
200,848.06,46399.74,1818.57,47120.88,1116.15,216.15,0.18,16.80,16.15
201,?,?,?,?,?,?,?,16.15,?
202,?,?,?,?,?,?,?,?,?
203,849.27,46361.70,1824.40,47075.43,216.20,216.20,0.03,?,16.20
204,852.44,46714.43,1824.74,47454.90,516.30,516.30,0.08,16.20,16.30
205,858.02,46835.98,1835.56,47575.74,52317.64,517.64,8.84,16.30,17.64
206,858.31,46713.02,1829.12,47446.69,8117.10,217.10,1.39,17.64,17.10
207,858.83,46258.91,1830.71,46981.22,19616.94,316.94,3.33,17.10,16.94
208,?,?,?,?,?,?,?,16.94,?
209,?,?,?,?,?,?,?,?,?
210,862.18,46480.62,1842.00,47214.30,1117.00,217.00,0.19,?,17.00
211,870.15,46663.41,1839.88,47398.08,717.30,717.30,0.12,17.00,17.30
212,878.25,46925.65,1831.05,47676.43,43517.30,217.30,7.53,17.30,17.30
213,881.30,47370.81,1808.90,48147.76,43617.30,417.30,7.54,17.30,17.30
214,884.10,48325.33,1853.85,49133.14,217.40,217.40,0.03,17.30,17.40
215,?,?,?,?,?,?,?,17.40,?
216,?,?,?,?,?,?,?,?,?
217,891.59,48458.44,1867.91,49272.86,217.77,217.77,0.04,?,17.77
218,891.86,47942.81,1866.84,48742.34,217.77,217.77,0.04,17.77,17.77
