%310
@RELATION PLMKRNP00015
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-SPOZYW NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
39,813.77,46741.54,3696.69,46931.40,139702.55,172.55,36.00,2.60,2.55
40,?,?,?,?,?,?,?,2.55,?
41,?,?,?,?,?,?,?,?,?
42,817.03,46786.74,3695.92,46988.04,129082.49,172.49,31.48,?,2.49
43,817.32,46399.26,3702.31,46564.61,157312.28,212.28,36.90,2.49,2.28
44,817.35,46406.74,3714.64,46569.81,388742.27,292.27,85.88,2.28,2.27
45,818.81,46211.54,3733.52,46360.51,55602.21,112.21,12.36,2.27,2.21
46,826.73,46370.13,3763.34,46523.63,36752.26,92.26,8.26,2.21,2.26
47,?,?,?,?,?,?,?,2.26,?
48,?,?,?,?,?,?,?,?,?
49,830.85,46508.27,3757.44,46665.39,137302.35,222.35,31.49,?,2.35
50,832.30,46490.89,3763.52,46652.19,181382.48,292.48,44.25,2.35,2.48
51,830.62,46051.76,3745.72,46198.42,338862.69,502.69,88.32,2.48,2.69
52,823.32,45879.90,3760.90,46050.52,689902.84,1152.84,193.11,2.69,2.84
53,826.66,45948.12,3733.92,46124.82,620363.12,1143.12,188.56,2.84,3.12
54,?,?,?,?,?,?,?,3.12,?
55,?,?,?,?,?,?,?,?,?
56,829.61,46286.28,3698.83,46487.05,215523.14,473.14,66.53,?,3.14
57,828.81,45868.35,3687.46,46065.85,48383.10,153.10,14.84,3.14,3.10
58,836.69,46241.92,3723.24,46459.99,56863.08,153.08,17.25,3.10,3.08
59,844.08,46280.36,3694.46,46510.83,129023.03,243.03,38.73,3.08,3.03
60,842.02,46341.14,3596.60,46622.90,138863.03,253.03,40.74,3.03,3.03
61,?,?,?,?,?,?,?,3.03,?
62,?,?,?,?,?,?,?,?,?
63,838.26,46137.70,3528.81,46454.13,317313.16,463.16,97.86,?,3.16
64,845.88,46676.09,3522.56,47001.38,340613.31,533.31,112.19,3.16,3.31
65,849.88,46762.65,3541.17,47090.49,263913.53,533.53,91.04,3.31,3.53
66,855.99,46745.26,3558.65,47060.66,143883.46,383.46,49.60,3.53,3.46
67,861.67,47074.39,3529.57,47436.21,129203.38,373.38,43.32,3.46,3.38
68,?,?,?,?,?,?,?,3.38,?
69,?,?,?,?,?,?,?,?,?
70,863.89,46933.03,3595.74,47269.75,145473.37,273.37,49.94,?,3.37
71,866.79,47010.40,3613.57,47340.43,66243.47,203.47,22.71,3.37,3.47
72,872.90,46888.37,3595.65,47235.72,24893.44,73.44,8.47,3.47,3.44
73,871.52,47223.68,3593.14,47606.16,102363.61,183.61,36.23,3.44,3.61
74,873.21,47125.93,3575.34,47522.10,395313.90,643.90,152.47,3.61,3.90
75,?,?,?,?,?,?,?,3.90,?
76,?,?,?,?,?,?,?,?,?
77,868.37,46668.41,3531.93,47094.18,142323.94,353.94,55.54,?,3.94
78,864.73,46029.35,3446.97,46473.62,38943.90,143.90,15.17,3.94,3.90
79,862.97,46068.24,3416.12,46511.62,52613.80,223.80,20.21,3.90,3.80
80,850.86,45580.47,3320.24,46017.88,145963.14,443.14,49.14,3.80,3.14
81,845.32,45066.18,3327.55,45473.08,290583.55,723.55,97.25,3.14,3.55
82,?,?,?,?,?,?,?,3.55,?
83,?,?,?,?,?,?,?,?,?
84,839.36,44585.10,3387.98,44946.32,76823.57,223.57,27.75,?,3.57
85,830.80,44724.88,3369.87,45119.16,138423.57,213.57,49.17,3.57,3.57
86,835.51,45247.90,3430.06,45644.09,99353.45,243.45,34.04,3.57,3.45
87,839.42,45147.57,3478.60,45528.85,27593.48,93.48,9.35,3.45,3.48
88,?,?,?,?,?,?,?,3.48,?
89,?,?,?,?,?,?,?,?,?
90,?,?,?,?,?,?,?,?,?
91,?,?,?,?,?,?,?,?,?
92,840.31,45304.74,3523.68,45679.51,44973.50,143.50,15.44,?,3.50
93,828.79,44604.61,3482.18,44940.36,229323.60,453.60,82.31,3.50,3.60
94,824.35,44623.89,3486.55,44980.62,16963.50,103.50,5.83,3.60,3.50
95,819.73,44597.66,3479.32,44960.02,70213.50,163.50,24.75,3.50,3.50
96,?,?,?,?,?,?,?,3.50,?
97,?,?,?,?,?,?,?,?,?
98,818.75,44590.97,3450.97,44963.96,42093.44,133.44,14.57,?,3.44
99,815.74,44725.03,3474.49,45096.35,5253.50,43.50,1.84,3.44,3.50
100,820.16,45091.63,3463.81,45495.34,11373.50,73.50,3.87,3.50,3.50
101,824.04,45688.48,3504.28,46131.66,36713.41,133.41,12.37,3.50,3.41
102,819.29,45525.92,3481.04,45960.10,99673.52,113.52,34.16,3.41,3.52
103,?,?,?,?,?,?,?,3.52,?
104,?,?,?,?,?,?,?,?,?
105,814.07,44724.14,3368.83,45167.65,52843.50,143.50,18.26,?,3.50
106,?,?,?,?,?,?,?,3.50,?
107,796.68,43916.24,3195.69,44404.81,111043.19,103.19,37.14,?,3.19
108,787.39,43364.70,3142.65,43850.06,115623.15,163.15,35.43,3.19,3.15
109,783.37,43447.75,2992.95,43993.98,9653.19,53.19,3.00,3.15,3.19
110,?,?,?,?,?,?,?,3.19,?
111,?,?,?,?,?,?,?,?,?
112,776.37,43360.30,3007.40,43892.82,67983.15,43.15,21.45,?,3.15
113,769.16,43159.57,3011.64,43707.88,18843.05,93.05,5.75,3.15,3.05
114,769.82,43356.73,3012.77,43908.95,1603.00,33.00,0.48,3.05,3.00
115,774.88,43482.18,2993.56,44027.03,169043.27,253.27,53.03,3.00,3.27
116,777.86,43665.21,3051.09,44226.06,29133.25,53.25,9.47,3.27,3.25
117,?,?,?,?,?,?,?,3.25,?
118,?,?,?,?,?,?,?,?,?
119,779.98,43882.16,3107.87,44420.22,226303.34,453.34,75.01,?,3.34
120,784.81,44162.18,3270.96,44653.34,197823.20,553.20,64.50,3.34,3.20
121,?,?,?,?,?,?,?,3.20,?
122,787.45,43991.51,3273.77,44466.89,28373.23,143.23,9.04,?,3.23
123,?,?,?,?,?,?,?,3.23,?
124,?,?,?,?,?,?,?,?,?
125,?,?,?,?,?,?,?,?,?
126,786.57,44541.73,3221.83,45060.80,97623.17,263.17,30.97,?,3.17
127,793.09,44742.22,3278.44,45244.29,50813.17,73.17,16.08,3.17,3.17
128,798.10,45117.94,3274.88,45647.76,15683.12,113.12,4.93,3.17,3.12
129,800.71,44943.16,3287.31,45475.08,38493.18,113.18,12.26,3.12,3.18
130,800.42,44895.35,3305.97,45408.06,170073.25,333.25,54.68,3.18,3.25
131,?,?,?,?,?,?,?,3.25,?
132,?,?,?,?,?,?,?,?,?
133,802.74,45207.84,3331.03,45746.01,71693.33,213.33,23.77,?,3.33
134,804.49,45771.11,3344.63,46336.62,263273.23,593.23,83.23,3.33,3.23
135,802.28,46102.42,3424.41,46676.61,74523.23,123.23,23.95,3.23,3.23
136,806.45,45992.03,3377.14,46581.16,67613.22,163.22,21.35,3.23,3.22
137,810.69,46078.68,3435.39,46646.58,142413.20,273.20,44.74,3.22,3.20
138,?,?,?,?,?,?,?,3.20,?
139,?,?,?,?,?,?,?,?,?
140,815.60,46041.35,3466.14,46615.31,200723.25,363.25,65.34,?,3.25
141,819.76,45851.80,3392.40,46439.10,372593.35,513.35,123.34,3.25,3.35
142,818.82,45933.66,3344.53,46529.96,552383.50,313.50,190.32,3.35,3.50
143,814.69,45687.76,3276.68,46311.26,99943.40,273.40,34.00,3.50,3.40
144,820.11,46145.44,3277.81,46783.61,3393.41,43.41,1.11,3.40,3.41
145,?,?,?,?,?,?,?,3.41,?
146,?,?,?,?,?,?,?,?,?
147,828.12,47277.10,3325.92,47957.54,46113.30,153.30,15.46,?,3.30
148,838.40,47579.87,3377.00,48258.02,94883.36,223.36,31.09,3.30,3.36
149,842.72,47476.64,3410.78,48138.07,33923.32,83.32,11.15,3.36,3.32
150,?,?,?,?,?,?,?,3.32,?
151,841.72,47806.34,3339.97,48503.87,81943.35,163.35,27.12,?,3.35
152,?,?,?,?,?,?,?,3.35,?
153,?,?,?,?,?,?,?,?,?
154,839.57,47175.79,3252.24,47868.36,38003.34,113.34,12.44,?,3.34
155,854.67,47620.68,3283.47,48323.88,38243.22,93.22,12.39,3.34,3.22
156,859.35,47805.94,3301.92,48513.29,110663.30,323.30,36.41,3.22,3.30
157,864.95,47573.66,3301.52,48259.19,89923.42,233.42,30.43,3.30,3.42
158,866.67,48209.65,3325.43,48918.37,84693.54,243.54,29.25,3.42,3.54
159,?,?,?,?,?,?,?,3.54,?
160,?,?,?,?,?,?,?,?,?
161,870.65,48495.01,3341.26,49207.65,6463.57,43.57,2.30,?,3.57
162,870.60,48324.52,3317.02,49050.96,4263.52,63.52,1.49,3.57,3.52
163,878.91,48383.93,3337.95,49098.70,67923.59,143.59,24.31,3.52,3.59
164,877.48,48152.82,3294.79,48890.47,188153.60,313.60,67.80,3.59,3.60
165,880.65,48273.42,3261.51,49057.66,38823.58,113.58,13.94,3.60,3.58
166,?,?,?,?,?,?,?,3.58,?
167,?,?,?,?,?,?,?,?,?
168,883.59,48131.61,3221.03,48917.56,144263.60,353.60,52.26,?,3.60
169,886.71,48119.72,3243.93,48891.04,32053.62,103.62,11.62,3.60,3.62
170,885.25,47743.10,3245.92,48509.84,75643.42,133.42,26.18,3.62,3.42
171,864.38,45870.00,3150.91,46587.68,167993.18,273.18,54.67,3.42,3.18
172,855.18,44732.92,3055.25,45456.77,65353.10,213.10,20.33,3.18,3.10
173,?,?,?,?,?,?,?,3.10,?
174,?,?,?,?,?,?,?,?,?
175,857.74,44824.62,3144.77,45531.46,46303.02,103.02,14.16,?,3.02
176,863.23,44966.09,3152.21,45672.10,52493.17,123.17,15.84,3.02,3.17
177,858.05,44893.99,3120.81,45601.51,35003.20,143.20,11.10,3.17,3.20
178,847.97,43667.37,3067.07,44326.49,20323.19,33.19,6.37,3.20,3.19
179,848.08,44747.79,3103.44,45442.51,16023.10,63.10,4.94,3.19,3.10
180,?,?,?,?,?,?,?,3.10,?
181,?,?,?,?,?,?,?,?,?
182,848.80,44769.00,3106.66,45461.06,53.17,13.17,0.02,?,3.17
183,853.37,45533.94,3110.28,46254.71,41023.10,113.10,12.88,3.17,3.10
184,850.45,45184.98,3116.57,45899.36,33783.12,43.12,10.54,3.10,3.12
185,855.94,45613.75,3145.35,46344.42,2613.11,43.11,0.81,3.12,3.11
186,851.88,45110.89,3176.37,45805.34,8853.06,53.06,2.73,3.11,3.06
187,?,?,?,?,?,?,?,3.06,?
188,?,?,?,?,?,?,?,?,?
189,849.30,44534.34,3202.26,45172.40,38663.08,143.08,11.96,?,3.08
190,842.60,44342.23,3223.44,44969.23,96622.98,162.98,28.97,3.08,2.98
191,844.03,45068.55,3278.06,45727.71,1002.98,12.98,0.30,2.98,2.98
192,845.84,45712.72,3306.79,46390.36,3443.14,43.14,1.04,2.98,3.14
193,849.99,46150.78,3344.00,46839.89,253.14,23.14,0.08,3.14,3.14
194,?,?,?,?,?,?,?,3.14,?
195,?,?,?,?,?,?,?,?,?
196,850.04,46218.05,3318.87,46922.43,40423.20,93.20,12.56,?,3.20
197,847.84,46155.10,3320.24,46860.35,29703.25,63.25,9.37,3.20,3.25
198,845.85,46287.08,3333.09,47003.76,89823.36,203.36,29.79,3.25,3.36
199,845.70,46221.23,3389.39,46919.83,35263.34,123.34,11.89,3.36,3.34
200,848.06,46399.74,3370.14,47120.88,1143.22,43.22,0.38,3.34,3.22
201,?,?,?,?,?,?,?,3.22,?
202,?,?,?,?,?,?,?,?,?
203,849.27,46361.70,3363.21,47075.43,35453.18,43.18,11.30,?,3.18
204,852.44,46714.43,3398.88,47454.90,12163.21,43.21,3.90,3.18,3.21
205,858.02,46835.98,3451.39,47575.74,42143.35,133.35,13.98,3.21,3.35
206,858.31,46713.02,3417.55,47446.69,61223.40,213.40,20.44,3.35,3.40
207,858.83,46258.91,3376.81,46981.22,2123.39,33.39,0.72,3.40,3.39
208,?,?,?,?,?,?,?,3.39,?
209,?,?,?,?,?,?,?,?,?
210,862.18,46480.62,3407.34,47214.30,99313.52,183.52,34.09,?,3.52
211,870.15,46663.41,3422.75,47398.08,463193.87,833.87,172.59,3.52,3.87
212,878.25,46925.65,3384.71,47676.43,94543.82,383.82,36.72,3.87,3.82
213,881.30,47370.81,3341.99,48147.76,151443.84,323.84,55.77,3.82,3.84
214,884.10,48325.33,3426.64,49133.14,407204.00,434.00,157.05,3.84,4.00
215,?,?,?,?,?,?,?,4.00,?
216,?,?,?,?,?,?,?,?,?
217,891.59,48458.44,3483.43,49272.86,602744.44,594.44,261.77,?,4.44
218,891.86,47942.81,3486.01,48742.34,105434.45,234.45,46.53,4.44,4.45
219,898.91,48306.55,3527.25,49124.78,44824.32,204.32,19.75,4.45,4.32
220,903.85,48862.88,3579.17,49700.18,65334.30,194.30,28.55,4.32,4.30
221,909.96,49125.36,3499.45,49994.77,38644.31,154.31,16.87,4.30,4.31
222,?,?,?,?,?,?,?,4.31,?
223,?,?,?,?,?,?,?,?,?
224,918.93,49580.16,3519.19,50476.37,54924.14,274.14,23.30,?,4.14
225,922.16,49747.66,3538.38,50646.05,82664.20,214.20,35.28,4.14,4.20
226,928.58,50223.95,3530.29,51152.95,25144.26,114.26,10.87,4.20,4.26
227,?,?,?,?,?,?,?,4.26,?
228,928.83,49976.48,3459.16,50906.11,93954.39,184.39,40.43,?,4.39
229,?,?,?,?,?,?,?,4.39,?
230,?,?,?,?,?,?,?,?,?
231,919.57,49772.46,3428.34,50713.14,30774.41,154.41,13.54,?,4.41
232,914.58,49162.16,3400.95,50077.30,161824.40,294.40,70.74,4.41,4.40
233,920.30,49128.05,3447.66,50032.45,47894.40,74.40,20.41,4.40,4.40
234,931.73,49846.48,3478.42,50780.47,32154.39,104.39,14.10,4.40,4.39
235,930.27,49895.10,3467.02,50836.47,49014.31,224.31,21.37,4.39,4.31
236,?,?,?,?,?,?,?,4.31,?
237,?,?,?,?,?,?,?,?,?
238,927.73,49818.48,3495.18,50756.86,123024.39,164.39,53.16,?,4.39
239,921.40,48833.58,3423.51,49731.02,43574.37,174.37,18.96,4.39,4.37
240,919.00,48537.65,3384.22,49421.50,849713.88,1723.88,326.30,4.37,3.88
241,924.88,48676.45,3385.51,49569.11,82733.80,223.80,30.82,3.88,3.80
242,925.91,48871.98,3363.18,49771.98,211523.67,473.67,77.01,3.80,3.67
243,?,?,?,?,?,?,?,3.67,?
244,?,?,?,?,?,?,?,?,?
245,929.89,49187.22,3393.26,50099.55,312183.78,543.78,119.26,?,3.78
246,926.93,48968.87,3405.95,49861.54,49493.88,193.88,19.08,3.78,3.88
247,918.91,47919.09,3338.86,48781.63,33843.85,133.85,12.73,3.88,3.85
248,890.19,45830.66,3280.10,46598.42,555393.38,773.38,193.80,3.85,3.38
249,902.70,46717.04,3320.52,47514.09,140343.68,503.68,50.95,3.38,3.68
250,?,?,?,?,?,?,?,3.68,?
251,?,?,?,?,?,?,?,?,?
252,916.76,47808.90,3374.64,48651.54,31893.70,123.70,11.74,?,3.70
253,931.39,48961.51,3449.10,49839.90,94403.75,273.75,35.07,3.70,3.75
254,934.25,49437.02,3502.00,50312.63,65093.84,243.84,24.64,3.75,3.84
255,943.52,49771.55,3561.86,50644.38,90923.90,183.90,35.16,3.84,3.90
256,948.06,49348.61,3556.85,50196.31,16203.92,63.92,6.29,3.90,3.92
257,?,?,?,?,?,?,?,3.92,?
258,?,?,?,?,?,?,?,?,?
259,956.00,48917.85,3498.14,49741.35,45623.70,213.70,17.48,?,3.70
260,960.97,49434.46,3583.06,50258.11,34463.75,113.75,13.10,3.70,3.75
261,957.28,49413.33,3581.84,50227.43,77213.86,193.86,28.99,3.75,3.86
262,963.32,50300.53,3605.94,51171.25,4483.86,33.86,1.73,3.86,3.86
263,962.49,50308.19,3585.84,51202.75,27353.88,93.88,10.57,3.86,3.88
264,?,?,?,?,?,?,?,3.88,?
265,?,?,?,?,?,?,?,?,?
266,959.46,49955.87,3517.39,50869.00,19103.81,63.81,7.33,?,3.81
267,957.44,49979.47,3512.70,50887.67,9843.90,43.90,3.77,3.81,3.90
268,961.02,50301.69,3515.41,51221.45,1253.90,13.90,0.49,3.90,3.90
269,969.92,50936.34,3538.09,51846.54,53323.85,143.85,20.21,3.90,3.85
270,977.10,50819.81,3532.05,51704.53,25523.74,133.74,9.60,3.85,3.74
271,?,?,?,?,?,?,?,3.74,?
272,?,?,?,?,?,?,?,?,?
273,983.39,50301.85,3494.36,51191.50,54203.70,113.70,20.03,?,3.70
274,984.17,50782.48,3499.03,51691.24,63503.70,83.70,23.49,3.70,3.70
275,987.01,50803.40,3513.56,51709.58,58433.86,153.86,22.16,3.70,3.86
276,988.62,50982.03,3525.92,51911.61,51613.88,183.88,20.07,3.86,3.88
277,992.25,50601.24,3510.90,51511.63,48353.80,153.80,18.07,3.88,3.80
278,?,?,?,?,?,?,?,3.80,?
279,?,?,?,?,?,?,?,?,?
280,995.75,50338.71,3501.94,51239.47,80553.94,193.94,31.42,?,3.94
281,993.38,50137.88,3519.36,51021.26,33193.87,73.87,12.89,3.94,3.87
282,996.97,50335.02,3561.38,51215.99,2203.87,43.87,0.85,3.87,3.87
283,1011.15,51806.83,3648.78,52744.48,134803.88,283.88,52.31,3.87,3.88
284,1024.81,52230.47,3656.01,53193.87,302553.97,383.97,118.70,3.88,3.97
285,?,?,?,?,?,?,?,3.97,?
286,?,?,?,?,?,?,?,?,?
287,1029.64,52520.91,3648.47,53498.97,113754.04,374.04,45.40,?,4.04
288,1039.64,52590.73,3614.40,53588.87,262944.17,704.17,107.82,4.04,4.17
289,1036.86,52861.41,3568.21,53918.41,95124.12,194.12,39.06,4.17,4.12
290,1049.92,52573.59,3637.13,53571.90,86734.13,164.13,35.57,4.12,4.13
291,1051.86,52587.24,3669.50,53572.92,61644.10,104.10,24.70,4.13,4.10
292,?,?,?,?,?,?,?,4.10,?
293,?,?,?,?,?,?,?,?,?
294,1066.25,53853.55,3737.21,54903.39,49034.13,194.13,20.18,?,4.13
295,1078.51,53781.81,3771.51,54818.06,48904.03,164.03,19.86,4.13,4.03
296,1074.66,53389.74,3696.25,54433.41,34443.99,103.99,13.83,4.03,3.99
297,1083.34,53994.46,3739.61,55063.75,171593.96,233.96,67.44,3.99,3.96
298,1095.80,53887.13,3516.88,55023.42,173764.06,244.06,70.61,3.96,4.06
299,?,?,?,?,?,?,?,4.06,?
300,?,?,?,?,?,?,?,?,?
301,1105.65,54180.04,3427.82,55362.19,11464.05,64.05,4.61,?,4.05
302,1114.63,54536.95,3478.84,55688.45,34134.00,134.00,13.56,4.05,4.00
303,1107.62,54095.32,3394.12,55240.01,44094.01,144.01,17.65,4.00,4.01
304,1109.36,53607.86,3362.26,54734.18,22284.07,84.07,8.87,4.01,4.07
305,?,?,?,?,?,?,?,4.07,?
306,?,?,?,?,?,?,?,?,?
307,?,?,?,?,?,?,?,?,?
308,1108.16,53989.37,3422.88,55121.60,12827,12,50.82,?,4.05
309,1101.37,53504.47,3437.50,54600.05,5742,12,23.02,4.05,3.99
310,1106.35,53924.01,3426.03,55035.36,7680,7,30.34,3.99,3.95
340,991.5027484429278,45857.110734846676,2864.893371122059,47106.0108522239,?,?,?,?,?,? 
370,1011.5865587108091,46189.882480874876,2842.611796073331,47398.32393415799,?,?,?,?,?,? 
400,1031.6703689786905,46522.654226903076,2820.330221024603,47690.63701609208,?,?,?,?,?,? 
490,1091.9217997823343,47520.969464987684,2753.4854958784194,48567.57626189435,?,?,?,?,?,? 
670,1212.4246613896223,49517.5999411569,2619.796045586054,50321.45475349891,?,?,?,?,?,? 
