%310
@RELATION LU0627170920
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-CEE NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
129,800.71,44943.16,781.58,274120.55,190.55,15.15,0.56,0.55
130,800.42,44895.35,783.10,505120.55,270.55,27.12,0.55,0.55
131,?,?,?,?,?,?,0.55,?
132,?,?,?,?,?,?,?,?
133,802.74,45207.84,785.63,140100.56,110.56,7.73,?,0.56
134,804.49,45771.11,787.41,874710.54,310.54,46.31,0.56,0.54
135,802.28,46102.42,791.27,438820.54,260.54,23.13,0.54,0.54
136,806.45,45992.03,797.55,430750.55,290.55,23.58,0.54,0.55
137,810.69,46078.68,807.85,3639080.69,1620.69,228.06,0.55,0.69
138,?,?,?,?,?,?,0.69,?
139,?,?,?,?,?,?,?,?
140,815.60,46041.35,805.46,7075800.71,3070.71,482.19,?,0.71
141,819.76,45851.80,802.36,907820.67,510.67,61.70,0.71,0.67
142,818.82,45933.66,802.44,2961320.67,1160.67,207.47,0.67,0.67
143,814.69,45687.76,799.56,660370.67,400.67,44.68,0.67,0.67
144,820.11,46145.44,799.95,461910.70,330.70,31.54,0.67,0.70
145,?,?,?,?,?,?,0.70,?
146,?,?,?,?,?,?,?,?
147,828.12,47277.10,803.87,962450.66,590.66,63.90,?,0.66
148,838.40,47579.87,817.59,4309230.56,1980.56,249.94,0.66,0.56
149,842.72,47476.64,818.62,920310.60,500.60,54.37,0.56,0.60
150,?,?,?,?,?,?,0.60,?
151,841.72,47806.34,812.55,3270960.65,1440.65,214.21,?,0.65
152,?,?,?,?,?,?,0.65,?
153,?,?,?,?,?,?,?,?
154,839.57,47175.79,811.28,1309520.62,590.62,82.14,?,0.62
155,854.67,47620.68,827.29,3700860.64,1090.64,233.98,0.62,0.64
156,859.35,47805.94,822.00,2058200.69,850.69,139.81,0.64,0.69
157,864.95,47573.66,825.44,589010.66,370.66,39.07,0.69,0.66
158,866.67,48209.65,833.27,178750.66,160.66,11.69,0.66,0.66
159,?,?,?,?,?,?,0.66,?
160,?,?,?,?,?,?,?,?
161,870.65,48495.01,832.21,459570.66,320.66,29.85,?,0.66
162,870.60,48324.52,830.21,423010.66,290.66,27.40,0.66,0.66
163,878.91,48383.93,834.07,550110.65,290.65,35.32,0.66,0.65
164,877.48,48152.82,823.27,3472430.60,1450.60,208.82,0.65,0.60
165,880.65,48273.42,812.33,633300.60,390.60,38.20,0.60,0.60
166,?,?,?,?,?,?,0.60,?
167,?,?,?,?,?,?,?,?
168,883.59,48131.61,818.14,202210.61,180.61,12.18,?,0.61
169,886.71,48119.72,819.04,183390.62,140.62,11.18,0.61,0.62
170,885.25,47743.10,821.56,84010.61,80.61,5.10,0.62,0.61
171,864.38,45870.00,807.19,1006030.58,400.58,58.69,0.61,0.58
172,855.18,44732.92,784.14,383250.59,350.59,22.07,0.58,0.59
173,?,?,?,?,?,?,0.59,?
174,?,?,?,?,?,?,?,?
175,857.74,44824.62,817.50,614470.58,320.58,35.03,?,0.58
176,863.23,44966.09,815.69,532190.58,180.58,30.25,0.58,0.58
177,858.05,44893.99,812.28,188030.57,170.57,10.71,0.58,0.57
178,847.97,43667.37,810.66,352740.56,250.56,19.86,0.57,0.56
179,848.08,44747.79,828.31,478540.58,300.58,27.23,0.56,0.58
180,?,?,?,?,?,?,0.58,?
181,?,?,?,?,?,?,?,?
182,848.80,44769.00,828.89,773320.59,430.59,44.47,?,0.59
183,853.37,45533.94,834.81,65410.58,80.58,3.80,0.59,0.58
184,850.45,45184.98,831.67,231300.58,190.58,13.15,0.58,0.58
185,855.94,45613.75,833.56,2246900.66,770.66,141.93,0.58,0.66
186,851.88,45110.89,829.03,2200560.61,910.61,139.28,0.66,0.61
187,?,?,?,?,?,?,0.61,?
188,?,?,?,?,?,?,?,?
189,849.30,44534.34,829.35,376610.61,260.61,22.50,?,0.61
190,842.60,44342.23,835.95,442130.61,150.61,26.12,0.61,0.61
191,844.03,45068.55,834.08,159470.61,180.61,9.63,0.61,0.61
192,845.84,45712.72,846.83,347750.60,250.60,21.05,0.61,0.60
193,849.99,46150.78,851.12,145260.62,110.62,8.71,0.60,0.62
194,?,?,?,?,?,?,0.62,?
195,?,?,?,?,?,?,?,?
196,850.04,46218.05,841.34,241990.61,210.61,14.46,?,0.61
197,847.84,46155.10,847.20,1226600.60,420.60,72.17,0.61,0.60
198,845.85,46287.08,841.92,815320.59,340.59,47.24,0.60,0.59
199,845.70,46221.23,835.62,236720.58,210.58,13.70,0.59,0.58
200,848.06,46399.74,827.03,191260.59,90.59,10.97,0.58,0.59
201,?,?,?,?,?,?,0.59,?
202,?,?,?,?,?,?,?,?
203,849.27,46361.70,836.07,3389720.62,1080.62,210.48,?,0.62
204,852.44,46714.43,826.21,1056020.61,380.61,65.75,0.62,0.61
205,858.02,46835.98,829.10,322720.59,190.59,19.29,0.61,0.59
206,858.31,46713.02,833.47,293470.60,150.60,17.32,0.59,0.60
207,858.83,46258.91,828.78,361130.59,220.59,20.86,0.60,0.59
208,?,?,?,?,?,?,0.59,?
209,?,?,?,?,?,?,?,?
210,862.18,46480.62,828.93,260340.59,190.59,15.06,?,0.59
211,870.15,46663.41,830.71,115090.59,80.59,6.74,0.59,0.59
212,878.25,46925.65,834.03,215200.59,230.59,12.56,0.59,0.59
213,881.30,47370.81,828.08,116320.60,170.60,6.88,0.59,0.60
214,884.10,48325.33,832.32,341410.61,260.61,20.68,0.60,0.61
215,?,?,?,?,?,?,0.61,?
216,?,?,?,?,?,?,?,?
217,891.59,48458.44,832.30,279580.60,100.60,16.80,?,0.60
218,891.86,47942.81,828.82,510730.61,290.61,30.37,0.60,0.61
219,898.91,48306.55,825.54,324460.60,180.60,19.16,0.61,0.60
220,903.85,48862.88,817.92,4413690.66,1630.66,285.75,0.60,0.66
221,909.96,49125.36,808.11,1458970.64,580.64,92.91,0.66,0.64
222,?,?,?,?,?,?,0.64,?
223,?,?,?,?,?,?,?,?
224,918.93,49580.16,810.35,800990.63,450.63,51.74,?,0.63
225,922.16,49747.66,809.96,557760.62,380.62,34.32,0.63,0.62
226,928.58,50223.95,810.20,83600.63,70.63,5.11,0.62,0.63
227,?,?,?,?,?,?,0.63,?
228,928.83,49976.48,807.81,355740.65,220.65,22.43,?,0.65
229,?,?,?,?,?,?,0.65,?
230,?,?,?,?,?,?,?,?
231,919.57,49772.46,806.40,1734810.59,650.59,104.65,?,0.59
232,914.58,49162.16,797.53,1560850.61,620.61,90.79,0.59,0.61
233,920.30,49128.05,799.53,178310.59,160.59,10.57,0.61,0.59
234,931.73,49846.48,808.23,463050.62,180.62,27.80,0.59,0.62
235,930.27,49895.10,807.44,297090.60,240.60,17.94,0.62,0.60
236,?,?,?,?,?,?,0.60,?
237,?,?,?,?,?,?,?,?
238,927.73,49818.48,802.90,98190.60,100.60,5.77,?,0.60
239,921.40,48833.58,801.21,687130.58,390.58,39.61,0.60,0.58
240,919.00,48537.65,809.89,1245220.56,460.56,69.49,0.58,0.56
241,924.88,48676.45,810.38,131050.58,90.58,7.60,0.56,0.58
242,925.91,48871.98,814.59,716220.56,420.56,41.54,0.58,0.56
243,?,?,?,?,?,?,0.56,?
244,?,?,?,?,?,?,?,?
245,929.89,49187.22,810.85,67250.58,80.58,3.91,?,0.58
246,926.93,48968.87,813.16,566870.59,320.59,32.92,0.58,0.59
247,918.91,47919.09,809.19,5010.59,30.59,0.29,0.59,0.59
248,890.19,45830.66,802.87,388910.58,260.58,22.28,0.59,0.58
249,902.70,46717.04,812.70,461630.57,210.57,25.75,0.58,0.57
250,?,?,?,?,?,?,0.57,?
251,?,?,?,?,?,?,?,?
252,916.76,47808.90,814.52,119000.59,90.59,6.86,?,0.59
253,931.39,48961.51,825.20,4086550.62,910.62,245.20,0.59,0.62
254,934.25,49437.02,845.31,1932000.58,650.58,116.40,0.62,0.58
