%310
@RELATION PLBIOTN00029
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
234,3260.69,596938590.03,3100.03,1790.82,0.02,0.03
235,3260.35,28211050.02,740.02,71.18,0.03,0.02
236,?,?,?,?,0.02,?
237,?,?,?,?,?,?
238,3255.45,2657673920.02,6370.02,5315.35,?,0.02
239,3197.48,76075070.02,1200.02,152.15,0.02,0.02
240,3183.87,40859920.02,830.02,81.72,0.02,0.02
241,3204.20,39722900.03,840.03,95.54,0.02,0.03
242,3196.27,51470210.02,970.02,129.07,0.03,0.02
243,?,?,?,?,0.02,?
244,?,?,?,?,?,?
245,3230.20,139925600.03,1040.03,419.78,?,0.03
246,3226.75,48483820.03,1000.03,145.45,0.03,0.03
247,3174.71,47096740.03,860.03,114.66,0.03,0.03
248,3061.25,59856730.02,850.02,119.71,0.03,0.02
249,3142.61,1039665930.02,3960.02,2090.00,0.02,0.02
250,?,?,?,?,0.02,?
251,?,?,?,?,?,?
252,3199.68,55792370.03,810.03,122.24,?,0.03
253,3256.85,14942640.02,750.02,37.89,0.03,0.02
254,3285.29,25554900.03,680.03,65.26,0.02,0.03
255,3303.55,20691320.03,650.03,47.80,0.03,0.03
256,3285.49,30247530.02,760.02,78.07,0.03,0.02
257,?,?,?,?,0.02,?
258,?,?,?,?,?,?
259,3260.05,40798120.03,850.03,99.98,?,0.03
260,3286.61,41608850.02,1120.02,103.52,0.03,0.02
261,3277.41,30571270.02,860.02,61.14,0.02,0.02
262,3316.59,20395260.02,860.02,40.79,0.02,0.02
263,3316.08,36108030.02,860.02,90.25,0.02,0.02
264,?,?,?,?,0.02,?
265,?,?,?,?,?,?
266,3291.57,40318960.02,960.02,80.64,?,0.02
267,3275.67,23488800.02,690.02,61.42,0.02,0.02
268,3299.72,43029010.03,610.03,129.09,0.02,0.03
269,3336.44,21250040.02,700.02,42.50,0.03,0.02
270,3352.18,21465450.02,730.02,42.93,0.02,0.02
271,?,?,?,?,0.02,?
272,?,?,?,?,?,?
273,3349.29,42445170.02,660.02,84.89,?,0.02
274,3351.68,44758150.03,1010.03,134.27,0.02,0.03
275,3364.40,211170920.03,2630.03,633.51,0.03,0.03
276,3383.62,33132030.02,920.02,66.26,0.03,0.02
277,3381.52,31962620.02,860.02,74.62,0.02,0.02
278,?,?,?,?,0.02,?
279,?,?,?,?,?,?
280,3383.60,43201680.02,830.02,109.64,?,0.02
281,3368.14,222945780.02,1030.02,445.89,0.02,0.02
282,3379.96,68243990.02,930.02,136.49,0.02,0.02
283,3454.41,92072910.02,1410.02,184.15,0.02,0.02
284,3477.04,52191470.02,1020.02,104.38,0.02,0.02
285,?,?,?,?,0.02,?
286,?,?,?,?,?,?
287,3508.85,48895250.03,940.03,146.69,?,0.03
288,3544.07,84434960.02,820.02,168.87,0.03,0.02
289,3548.14,40307120.02,870.02,107.60,0.02,0.02
290,3572.96,38775970.03,750.03,116.33,0.02,0.03
291,3535.97,56838240.03,740.03,130.83,0.03,0.03
292,?,?,?,?,0.03,?
293,?,?,?,?,?,?
294,3606.06,54067280.02,870.02,108.13,?,0.02
295,3615.60,87680640.02,1300.02,175.36,0.02,0.02
296,3596.10,35969630.02,850.02,97.11,0.02,0.02
297,3637.76,44353970.02,1010.02,88.71,0.02,0.02
298,3651.19,77017250.02,1000.02,154.03,0.02,0.02
299,?,?,?,?,0.02,?
300,?,?,?,?,?,?
301,3660.45,196022270.02,1360.02,392.04,?,0.02
302,3688.57,61271860.02,920.02,152.08,0.02,0.02
303,3660.80,190176490.02,2260.02,380.35,0.02,0.02
304,3628.73,84712560.03,970.03,210.81,0.02,0.03
305,?,?,?,?,0.03,?
306,?,?,?,?,?,?
307,?,?,?,?,?,?
308,3668.56,7265547,108,217.97,?,0.03
309,3645.18,2815106,83,74.13,0.03,0.02
310,3650.27,3362207,76,100.87,0.02,0.03
340,3215.763816454578,?,?,?,?,?,? 
370,3267.20146029432,?,?,?,?,?,? 
400,3318.639104134063,?,?,?,?,?,? 
490,3472.9520356532903,?,?,?,?,?,? 
670,3781.5778986917467,?,?,?,?,?,? 
