%310
@RELATION PLPGNIG00014
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG30 NUMERIC 
@ATTRIBUTE WIG20 NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE RESPECT NUMERIC 
@ATTRIBUTE WIG30TR NUMERIC 
@ATTRIBUTE WIG20TR NUMERIC 
@ATTRIBUTE WIG-PALIWA NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
65,2519.46,2481.36,46762.65,2504.03,3637.73,3582.71,3976.58,47090.49,22730335.72,6105.72,13005.37,5.73,5.72
66,2516.92,2474.70,46745.26,2502.93,3634.06,3573.10,3958.73,47060.66,13692225.74,4795.74,7835.37,5.72,5.74
67,2538.66,2490.70,47074.39,2543.21,3665.45,3596.20,4048.79,47436.21,48166165.93,17235.93,28129.09,5.74,5.93
68,?,?,?,?,?,?,?,?,?,?,?,5.93,?
69,?,?,?,?,?,?,?,?,?,?,?,?,?
70,2525.69,2479.20,46933.03,2522.52,3646.72,3579.59,3954.03,47269.75,31369295.88,9515.88,18358.61,?,5.88
71,2532.30,2482.39,47010.40,2517.65,3656.26,3584.20,3956.89,47340.43,13253395.83,5755.83,7748.83,5.88,5.83
72,2525.33,2473.95,46888.37,2503.94,3646.20,3572.01,3915.99,47235.72,22901525.84,7155.84,13366.15,5.83,5.84
73,2548.95,2498.84,47223.68,2532.24,3680.31,3607.96,3983.68,47606.16,64347435.99,20565.99,38419.69,5.84,5.99
74,2543.87,2486.30,47125.93,2511.47,3672.97,3589.85,3952.89,47522.10,109254055.92,25695.92,65443.66,5.99,5.92
75,?,?,?,?,?,?,?,?,?,?,?,5.92,?
76,?,?,?,?,?,?,?,?,?,?,?,?,?
77,2516.69,2453.90,46668.41,2495.62,3633.72,3543.06,3925.66,47094.18,30995635.95,8235.95,18297.53,?,5.95
78,2480.67,2421.94,46029.35,2464.10,3581.72,3496.92,3918.94,46473.62,45654215.93,14285.93,27083.58,5.95,5.93
79,2479.47,2422.61,46068.24,2469.12,3579.99,3497.89,3909.56,46511.62,35522185.87,10985.87,20766.05,5.93,5.87
80,2453.97,2395.82,45580.47,2438.71,3543.16,3459.21,3847.08,46017.88,23951235.86,5995.86,13998.64,5.87,5.86
81,2426.14,2370.02,45066.18,2419.55,3502.98,3421.95,3791.82,45473.08,18321825.80,7875.80,10713.08,5.86,5.80
82,?,?,?,?,?,?,?,?,?,?,?,5.80,?
83,?,?,?,?,?,?,?,?,?,?,?,?,?
84,2395.40,2339.48,44585.10,2366.31,3458.60,3377.86,3682.00,44946.32,58350515.56,16445.56,32992.23,?,5.56
85,2406.05,2353.41,44724.88,2370.58,3473.97,3397.98,3685.71,45119.16,42696915.53,10955.53,23506.59,5.56,5.53
86,2440.82,2385.27,45247.90,2408.57,3524.18,3443.98,3807.99,45644.09,45150245.60,9065.60,24855.37,5.53,5.60
87,2430.73,2370.07,45147.57,2399.27,3509.61,3422.02,3693.72,45528.85,31867725.53,9295.53,17664.97,5.60,5.53
88,?,?,?,?,?,?,?,?,?,?,?,5.53,?
89,?,?,?,?,?,?,?,?,?,?,?,?,?
90,?,?,?,?,?,?,?,?,?,?,?,?,?
91,?,?,?,?,?,?,?,?,?,?,?,?,?
92,2440.15,2375.67,45304.74,2400.60,3523.22,3430.12,3693.53,45679.51,17601535.50,4945.50,9669.18,?,5.50
93,2398.83,2336.45,44604.61,2358.53,3463.55,3373.48,3570.69,44940.36,51946415.27,17935.27,27635.82,5.50,5.27
94,2402.20,2342.64,44623.89,2372.92,3468.42,3382.42,3597.71,44980.62,38604785.36,13415.36,20477.09,5.27,5.36
95,2400.73,2346.37,44597.66,2366.71,3466.30,3387.81,3596.75,44960.02,21951355.36,7645.36,11772.75,5.36,5.36
96,?,?,?,?,?,?,?,?,?,?,?,5.36,?
97,?,?,?,?,?,?,?,?,?,?,?,?,?
98,2401.04,2344.72,44590.97,2363.50,3466.74,3385.42,3578.45,44963.96,45156345.30,11035.30,24114.79,?,5.30
99,2403.05,2347.10,44725.03,2366.79,3477.52,3396.49,3612.34,45096.35,50624085.38,5675.38,27204.38,5.30,5.38
100,2423.82,2370.51,45091.63,2381.73,3507.58,3430.37,3663.20,45495.34,69397605.43,13665.43,38013.57,5.38,5.43
101,2462.75,2409.02,45688.48,2424.99,3563.91,3486.10,3703.24,46131.66,24666705.56,6105.56,13584.70,5.43,5.56
102,2456.16,2397.08,45525.92,2426.63,3554.37,3468.81,3725.60,45960.10,28018405.66,9035.66,15715.25,5.56,5.66
103,?,?,?,?,?,?,?,?,?,?,?,5.66,?
104,?,?,?,?,?,?,?,?,?,?,?,?,?
105,2411.63,2350.08,44724.14,2384.90,3489.94,3400.81,3650.58,45167.65,28137435.54,11715.54,15544.77,?,5.54
106,?,?,?,?,?,?,?,?,?,?,?,5.54,?
107,2372.48,2304.59,43916.24,2368.24,3433.28,3334.98,3655.63,44404.81,79283675.61,24805.61,44605.50,?,5.61
108,2338.69,2269.22,43364.70,2329.94,3387.52,3283.79,3551.78,43850.06,48685165.45,7455.45,27147.51,5.61,5.45
109,2342.83,2277.71,43447.75,2326.99,3393.51,3296.08,3490.48,43993.98,65562335.37,14025.37,35431.11,5.45,5.37
110,?,?,?,?,?,?,?,?,?,?,?,5.37,?
111,?,?,?,?,?,?,?,?,?,?,?,?,?
112,2337.88,2278.07,43360.30,2324.80,3386.35,3296.60,3488.71,43892.82,28289775.36,6375.36,15237.25,?,5.36
113,2331.94,2273.47,43159.57,2322.43,3377.74,3289.95,3475.81,43707.88,70718345.34,17235.34,37408.02,5.36,5.34
114,2345.85,2286.71,43356.73,2333.85,3397.89,3309.10,3553.45,43908.95,33161405.31,10555.31,17568.91,5.34,5.31
115,2349.59,2288.09,43482.18,2351.74,3403.31,3311.10,3573.45,44027.03,39157115.49,12705.49,21148.79,5.31,5.49
116,2359.18,2294.06,43665.21,2347.25,3417.20,3319.74,3529.71,44226.06,21044465.40,7075.40,11456.11,5.49,5.40
117,?,?,?,?,?,?,?,?,?,?,?,5.40,?
118,?,?,?,?,?,?,?,?,?,?,?,?,?
119,2372.13,2303.18,43882.16,2352.08,3435.94,3332.94,3528.05,44420.22,45371435.30,13845.30,24282.29,?,5.30
120,2388.07,2319.15,44162.18,2365.51,3459.03,3356.04,3527.90,44653.34,40914075.34,12635.34,21600.17,5.30,5.34
121,?,?,?,?,?,?,?,?,?,?,?,5.34,?
122,2374.97,2305.90,43991.51,2371.23,3440.07,3336.87,3487.44,44466.89,31384425.49,14465.49,17194.42,?,5.49
123,?,?,?,?,?,?,?,?,?,?,?,5.49,?
124,?,?,?,?,?,?,?,?,?,?,?,?,?
125,?,?,?,?,?,?,?,?,?,?,?,?,?
126,2407.08,2339.22,44541.73,2405.15,3486.58,3385.09,3536.18,45060.80,31821185.65,10145.65,17816.69,?,5.65
127,2417.54,2347.82,44742.22,2406.38,3501.73,3397.54,3560.06,45244.29,33902115.54,17935.54,18929.47,5.65,5.54
128,2439.21,2367.91,45117.94,2431.87,3533.12,3426.60,3622.35,45647.76,19281155.70,8455.70,10893.83,5.54,5.70
129,2431.22,2348.95,44943.16,2432.74,3521.54,3399.18,3631.29,45475.08,16537885.79,6965.79,9467.39,5.70,5.79
130,2426.35,2338.16,44895.35,2418.77,3514.48,3383.56,3585.45,45408.06,11565645.68,6035.68,6614.99,5.79,5.68
131,?,?,?,?,?,?,?,?,?,?,?,5.68,?
132,?,?,?,?,?,?,?,?,?,?,?,?,?
133,2443.14,2354.34,45207.84,2429.59,3541.49,3409.58,3617.11,45746.01,15555395.71,7455.71,8897.48,?,5.71
134,2479.96,2386.81,45771.11,2464.03,3594.88,3456.59,3684.10,46336.62,63320685.88,17635.88,37350.39,5.71,5.88
135,2500.68,2408.86,46102.42,2475.71,3624.90,3488.53,3771.80,46676.61,57884265.94,15845.94,34130.26,5.88,5.94
136,2488.92,2390.32,45992.03,2482.49,3611.62,3465.30,3771.09,46581.16,26630665.93,12405.93,15761.90,5.94,5.93
137,2493.28,2391.07,46078.68,2496.00,3617.94,3466.38,3782.90,46646.58,49700725.91,6915.91,29345.66,5.93,5.91
138,?,?,?,?,?,?,?,?,?,?,?,5.91,?
139,?,?,?,?,?,?,?,?,?,?,?,?,?
140,2488.97,2376.78,46041.35,2490.85,3611.69,3445.67,3773.81,46615.31,22327555.87,7305.87,13150.87,?,5.87
141,2472.29,2370.32,45851.80,2463.54,3587.49,3436.30,3726.44,46439.10,37439775.85,8845.85,21913.58,5.87,5.85
142,2474.43,2371.95,45933.66,2469.68,3590.59,3438.66,3774.47,46529.96,82473515.95,17315.95,49266.21,5.85,5.95
143,2459.61,2359.42,45687.76,2453.92,3569.08,3420.51,3774.96,46311.26,86240686.10,48076.10,52411.84,5.95,6.10
144,2486.10,2384.58,46145.44,2484.35,3607.51,3456.98,3817.04,46783.61,35428576.13,21196.13,21755.70,6.10,6.13
145,?,?,?,?,?,?,?,?,?,?,?,6.13,?
146,?,?,?,?,?,?,?,?,?,?,?,?,?
147,2556.62,2451.06,47277.10,2561.94,3709.85,3553.36,3979.24,47957.54,52603106.30,20346.30,32689.08,?,6.30
148,2573.63,2469.37,47579.87,2578.46,3734.53,3579.90,3978.79,48258.02,29686236.35,16856.35,19080.77,6.30,6.35
149,2563.21,2463.37,47476.64,2562.11,3723.76,3575.43,3914.03,48138.07,36550086.19,20376.19,22970.39,6.35,6.19
150,?,?,?,?,?,?,?,?,?,?,?,6.19,?
151,2583.50,2485.50,47806.34,2578.05,3753.24,3607.54,3911.72,48503.87,150823466.17,46076.17,93791.84,?,6.17
152,?,?,?,?,?,?,?,?,?,?,?,6.17,?
153,?,?,?,?,?,?,?,?,?,?,?,?,?
154,2546.43,2443.65,47175.79,2540.78,3699.39,3546.80,3882.96,47868.36,39993996.16,30156.16,24475.50,?,6.16
155,2569.08,2462.92,47620.68,2555.93,3732.30,3574.77,3951.95,48323.88,31440226.35,16156.35,19633.17,6.16,6.35
156,2578.21,2461.51,47805.94,2580.38,3745.56,3572.72,3978.73,48513.29,43950816.37,14256.37,28042.48,6.35,6.37
157,2559.39,2446.29,47573.66,2554.45,3718.21,3550.63,3930.30,48259.19,20274786.34,11706.34,12883.14,6.37,6.34
158,2595.30,2488.84,48209.65,2580.49,3771.86,3613.82,4011.58,48918.37,32301236.46,17226.46,20578.25,6.34,6.46
159,?,?,?,?,?,?,?,?,?,?,?,6.46,?
160,?,?,?,?,?,?,?,?,?,?,?,?,?
161,2608.91,2503.41,48495.01,2587.96,3791.64,3634.98,4011.02,49207.65,22045816.38,14686.38,14056.81,?,6.38
162,2595.04,2484.11,48324.52,2579.42,3771.49,3606.96,3975.14,49050.96,30442416.34,18526.34,19364.09,6.38,6.34
163,2591.90,2481.60,48383.93,2564.00,3766.92,3603.31,3932.32,49098.70,31143346.16,31506.16,19322.60,6.34,6.16
164,2573.85,2472.75,48152.82,2551.55,3740.69,3590.46,3874.52,48890.47,44850586.14,31736.14,27437.10,6.16,6.14
165,2583.39,2478.43,48273.42,2554.84,3754.56,3598.71,3892.86,49057.66,20333886.20,12076.20,12625.13,6.14,6.20
166,?,?,?,?,?,?,?,?,?,?,?,6.20,?
167,?,?,?,?,?,?,?,?,?,?,?,?,?
168,2575.47,2463.37,48131.61,2552.66,3743.05,3576.84,3874.73,48917.56,26694096.10,12586.10,16457.95,?,6.10
169,2571.29,2455.15,48119.72,2541.67,3736.96,3564.90,3817.02,48891.04,13679646.10,9366.10,8321.58,6.10,6.10
170,2537.36,2413.40,47743.10,2537.78,3707.74,3526.33,3792.01,48509.84,42645746.27,22296.27,26597.55,6.10,6.27
171,2429.92,2297.91,45870.00,2447.48,3550.74,3357.59,3626.85,46587.68,56399296.06,20506.06,35003.46,6.27,6.06
172,2359.89,2233.64,44732.92,2351.03,3448.40,3263.68,3454.63,45456.77,125490065.75,66785.75,73134.33,6.06,5.75
173,?,?,?,?,?,?,?,?,?,?,?,5.75,?
174,?,?,?,?,?,?,?,?,?,?,?,?,?
175,2366.01,2244.27,44824.62,2350.17,3457.35,3279.21,3485.54,45531.46,42713665.82,22385.82,24740.65,?,5.82
176,2363.41,2246.69,44966.09,2357.80,3460.00,3289.02,3514.51,45672.10,37233275.84,23305.84,21707.91,5.82,5.84
177,2357.52,2246.66,44893.99,2333.53,3451.37,3288.98,3498.28,45601.51,44905575.79,21045.79,25929.97,5.84,5.79
178,2286.99,2177.02,43667.37,2250.80,3348.11,3187.03,3353.17,44326.49,52188695.50,38825.50,29226.46,5.79,5.50
179,2357.01,2245.64,44747.79,2334.15,3450.62,3287.49,3524.10,45442.51,96700565.80,38775.80,54993.59,5.50,5.80
180,?,?,?,?,?,?,?,?,?,?,?,5.80,?
181,?,?,?,?,?,?,?,?,?,?,?,?,?
182,2357.66,2237.25,44769.00,2346.58,3451.57,3275.21,3588.05,45461.06,39276375.86,16195.86,23154.87,?,5.86
183,2407.09,2284.76,45533.94,2387.78,3523.94,3344.76,3677.15,46254.71,54809496.15,18986.15,33367.83,5.86,6.15
184,2384.58,2262.92,45184.98,2382.08,3494.73,3316.41,3634.28,45899.36,49079886.06,27666.06,30058.41,6.15,6.06
185,2405.42,2287.54,45613.75,2398.24,3525.27,3352.49,3650.70,46344.42,12300956.11,10526.11,7503.54,6.06,6.11
186,2372.96,2253.49,45110.89,2379.17,3477.69,3302.60,3592.88,45805.34,32392916.25,16616.25,19974.41,6.11,6.25
187,?,?,?,?,?,?,?,?,?,?,?,6.25,?
188,?,?,?,?,?,?,?,?,?,?,?,?,?
189,2336.57,2223.28,44534.34,2329.18,3424.36,3258.31,3511.08,45172.40,22540796.05,13886.05,13773.15,?,6.05
190,2330.27,2218.77,44342.23,2329.35,3415.12,3251.71,3575.89,44969.23,34377366.15,15236.15,21096.53,6.05,6.15
191,2360.11,2244.63,45068.55,2370.74,3482.45,3316.05,3640.56,45727.71,34625856.22,9466.22,21500.87,6.15,6.22
192,2394.81,2279.09,45712.72,2399.69,3533.66,3366.95,3695.25,46390.36,29671926.28,13346.28,18594.93,6.22,6.28
193,2418.20,2302.81,46150.78,2414.72,3568.17,3402.00,3726.32,46839.89,34216706.26,19706.26,21419.16,6.28,6.26
194,?,?,?,?,?,?,?,?,?,?,?,6.26,?
195,?,?,?,?,?,?,?,?,?,?,?,?,?
196,2421.43,2305.78,46218.05,2415.20,3572.94,3406.39,3710.20,46922.43,15871696.23,7686.23,9870.85,?,6.23
197,2418.21,2303.05,46155.10,2404.94,3568.19,3402.35,3696.46,46860.35,19063486.25,13446.25,11822.74,6.23,6.25
198,2424.23,2309.79,46287.08,2417.44,3581.34,3416.47,3712.65,47003.76,35656016.15,23466.15,22177.37,6.25,6.15
199,2418.23,2300.33,46221.23,2417.37,3572.47,3402.47,3742.96,46919.83,29227536.10,15676.10,17760.96,6.15,6.10
200,2427.55,2313.31,46399.74,2416.51,3587.20,3421.67,3710.73,47120.88,10671236.09,6816.09,6533.83,6.10,6.09
201,?,?,?,?,?,?,?,?,?,?,?,6.09,?
202,?,?,?,?,?,?,?,?,?,?,?,?,?
203,2420.11,2311.49,46361.70,2396.23,3576.21,3418.98,3592.72,47075.43,21480295.92,8085.92,12907.97,?,5.92
204,2440.78,2327.28,46714.43,2410.94,3606.75,3442.34,3582.23,47454.90,32812766.00,8026.00,19714.15,5.92,6.00
205,2441.59,2324.17,46835.98,2432.91,3617.32,3446.85,3649.31,47575.74,50289456.16,13836.16,30715.05,6.00,6.16
206,2430.68,2317.80,46713.02,2419.35,3601.16,3437.40,3619.57,47446.69,19916936.20,8856.20,12290.01,6.16,6.20
207,2400.81,2291.10,46258.91,2381.24,3556.91,3397.80,3501.02,46981.22,18480146.11,7366.11,11433.51,6.20,6.11
208,?,?,?,?,?,?,?,?,?,?,?,6.11,?
209,?,?,?,?,?,?,?,?,?,?,?,?,?
210,2411.93,2299.26,46480.62,2399.20,3575.31,3411.77,3544.38,47214.30,20532146.16,7316.16,12590.44,?,6.16
211,2421.34,2307.79,46663.41,2395.38,3589.26,3424.43,3515.15,47398.08,8920566.13,5866.13,5477.79,6.16,6.13
212,2434.27,2326.59,46925.65,2406.95,3608.43,3452.34,3535.64,47676.43,50237396.20,13546.20,31197.76,6.13,6.20
213,2458.52,2351.14,47370.81,2423.45,3644.36,3488.76,3535.46,48147.76,23320126.22,7606.22,14530.52,6.20,6.22
214,2514.09,2401.85,48325.33,2497.76,3726.75,3564.00,3668.03,49133.14,42112146.44,13466.44,26781.14,6.22,6.44
215,?,?,?,?,?,?,?,?,?,?,?,6.44,?
216,?,?,?,?,?,?,?,?,?,?,?,?,?
217,2522.03,2405.73,48458.44,2503.49,3738.51,3569.77,3653.01,49272.86,20579036.39,10016.39,13145.95,?,6.39
218,2491.58,2366.74,47942.81,2488.24,3693.37,3511.91,3670.68,48742.34,38032786.50,14876.50,24444.28,6.39,6.50
219,2511.06,2380.01,48306.55,2509.90,3722.25,3531.59,3731.96,49124.78,32566376.55,15416.55,21204.23,6.50,6.55
220,2541.46,2406.40,48862.88,2531.42,3767.32,3570.76,3728.11,49700.18,35254006.49,12386.49,22992.56,6.55,6.49
221,2549.05,2414.28,49125.36,2525.23,3778.56,3582.45,3688.72,49994.77,20077026.40,14616.40,12855.74,6.49,6.40
222,?,?,?,?,?,?,?,?,?,?,?,6.40,?
223,?,?,?,?,?,?,?,?,?,?,?,?,?
224,2574.11,2440.05,49580.16,2552.44,3815.71,3620.69,3652.67,50476.37,30187446.25,14586.25,19026.60,?,6.25
225,2582.83,2442.30,49747.66,2567.59,3828.64,3624.03,3644.19,50646.05,47695046.30,17756.30,30210.09,6.25,6.30
226,2609.42,2461.22,50223.95,2588.79,3868.05,3652.11,3697.35,51152.95,72085926.45,55236.45,47102.99,6.30,6.45
227,?,?,?,?,?,?,?,?,?,?,?,6.45,?
228,2594.32,2445.60,49976.48,2574.59,3845.67,3628.93,3656.29,50906.11,28630766.38,20636.38,18384.65,?,6.38
229,?,?,?,?,?,?,?,?,?,?,?,6.38,?
230,?,?,?,?,?,?,?,?,?,?,?,?,?
231,2583.71,2438.83,49772.46,2578.29,3829.94,3618.88,3679.88,50713.14,23189966.42,6906.42,14752.58,?,6.42
232,2548.00,2405.32,49162.16,2541.92,3777.01,3569.15,3605.16,50077.30,38438126.35,28736.35,24338.16,6.42,6.35
233,2526.73,2383.15,49128.05,2539.12,3769.54,3568.90,3600.42,50032.45,51295806.28,12876.28,32293.31,6.35,6.28
234,2566.11,2420.68,49846.48,2592.17,3828.29,3625.10,3684.73,50780.47,39987186.22,23336.22,24863.32,6.28,6.22
235,2565.81,2417.23,49895.10,2582.43,3827.84,3619.92,3653.13,50836.47,31116556.11,14906.11,19170.43,6.22,6.11
236,?,?,?,?,?,?,?,?,?,?,?,6.11,?
237,?,?,?,?,?,?,?,?,?,?,?,?,?
238,2561.87,2417.91,49818.48,2584.54,3821.96,3620.95,3694.30,50756.86,15701316.18,7376.18,9660.17,?,6.18
239,2506.92,2367.63,48833.58,2530.18,3739.99,3545.65,3597.10,49731.02,22048966.03,17516.03,13389.43,6.18,6.03
240,2491.80,2361.85,48537.65,2529.20,3717.43,3537.00,3616.56,49421.50,36444426.19,20376.19,22092.81,6.03,6.19
241,2496.28,2367.84,48676.45,2535.66,3724.11,3545.97,3633.37,49569.11,29800346.15,19936.15,18443.27,6.19,6.15
242,2515.12,2384.22,48871.98,2550.55,3752.23,3570.50,3627.05,49771.98,30858726.18,17816.18,18969.73,6.15,6.18
243,?,?,?,?,?,?,?,?,?,?,?,6.18,?
244,?,?,?,?,?,?,?,?,?,?,?,?,?
245,2529.85,2394.90,49187.22,2559.42,3774.19,3586.48,3589.78,50099.55,10592976.07,7596.07,6544.71,?,6.07
246,2505.09,2367.49,48968.87,2551.42,3751.23,3557.48,3562.73,49861.54,44540826.05,23156.05,26821.27,6.07,6.05
