%310
@RELATION PLPTRLI00018
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE mWIG40 NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-PALIWA NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
213,2945.73,47370.81,3535.46,48147.76,3060.17,18686370.43,3040.43,798.98,0.42,0.43
214,3020.01,48325.33,3668.03,49133.14,3110.79,34843000.45,4340.45,1553.75,0.43,0.45
215,?,?,?,?,?,?,?,?,0.45,?
216,?,?,?,?,?,?,?,?,?,?
217,3032.65,48458.44,3653.01,49272.86,3127.41,22518940.46,3070.46,1029.09,?,0.46
218,3037.01,47942.81,3670.68,48742.34,3127.38,8637210.44,1450.44,386.38,0.46,0.44
219,3084.81,48306.55,3731.96,49124.78,3168.23,11190390.44,1570.44,491.49,0.44,0.44
220,3128.68,48862.88,3728.11,49700.18,3190.86,14076000.45,1810.45,633.32,0.44,0.45
221,3163.87,49125.36,3688.72,49994.77,3206.86,4783680.45,1390.45,214.46,0.45,0.45
222,?,?,?,?,?,?,?,?,0.45,?
223,?,?,?,?,?,?,?,?,?,?
224,3182.23,49580.16,3652.67,50476.37,3225.79,21648660.44,3300.44,943.21,?,0.44
225,3202.74,49747.66,3644.19,50646.05,3233.22,20741090.43,2490.43,891.49,0.44,0.43
226,3253.52,50223.95,3697.35,51152.95,3271.49,46636290.40,7300.40,1903.82,0.43,0.40
227,?,?,?,?,?,?,?,?,0.40,?
228,3239.52,49976.48,3656.29,50906.11,3253.28,28967010.40,3450.40,1172.77,?,0.40
229,?,?,?,?,?,?,?,?,0.40,?
230,?,?,?,?,?,?,?,?,?,?
231,3222.20,49772.46,3679.88,50713.14,3237.31,57843420.38,6110.38,2204.88,?,0.38
232,3180.64,49162.16,3605.16,50077.30,3210.57,165114890.34,12540.34,5808.93,0.38,0.34
233,3168.92,49128.05,3600.42,50032.45,3221.87,106918050.34,7460.34,3771.77,0.34,0.34
234,3209.11,49846.48,3684.73,50780.47,3260.69,129783280.32,10380.32,4315.62,0.34,0.32
235,3231.44,49895.10,3653.13,50836.47,3260.35,139939940.28,14710.28,4149.77,0.32,0.28
236,?,?,?,?,?,?,?,?,0.28,?
237,?,?,?,?,?,?,?,?,?,?
238,3205.90,49818.48,3694.30,50756.86,3255.45,134554620.27,13320.27,3621.63,?,0.27
239,3147.92,48833.58,3597.10,49731.02,3197.48,95992790.28,8600.28,2697.02,0.27,0.28
240,3091.84,48537.65,3616.56,49421.50,3183.87,101429750.25,10580.25,2591.76,0.28,0.25
241,3095.55,48676.45,3633.37,49569.11,3204.20,290255490.23,19620.23,6354.12,0.25,0.23
242,3087.13,48871.98,3627.05,49771.98,3196.27,174139730.21,9150.21,3733.25,0.23,0.21
243,?,?,?,?,?,?,?,?,0.21,?
244,?,?,?,?,?,?,?,?,?,?
