%310
@RELATION PLHOOP000010
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE sWIG80 NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-SPOZYW NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
37,10953.57,46149.14,3658.81,46341.54,2811.05,4025.81,225.81,1.03,27.00,25.81
38,10950.03,46329.66,3691.32,46512.72,2815.91,325.81,325.81,0.08,25.81,25.81
39,10986.53,46741.54,3696.69,46931.40,2825.70,025.81,025.81,0.00,25.81,25.81
40,?,?,?,?,?,?,?,?,25.81,?
41,?,?,?,?,?,?,?,?,?,?
42,10947.75,46786.74,3695.92,46988.04,2826.84,10124.62,224.62,2.61,?,24.62
43,10981.98,46399.26,3702.31,46564.61,2821.25,024.62,024.62,0.00,24.62,24.62
44,11022.58,46406.74,3714.64,46569.81,2825.02,1125.85,125.85,0.28,24.62,25.85
45,11017.48,46211.54,3733.52,46360.51,2825.15,025.85,025.85,0.00,25.85,25.85
46,11071.18,46370.13,3763.34,46523.63,2838.22,025.85,025.85,0.00,25.85,25.85
47,?,?,?,?,?,?,?,?,25.85,?
48,?,?,?,?,?,?,?,?,?,?
49,11089.91,46508.27,3757.44,46665.39,2848.48,025.85,025.85,0.00,?,25.85
50,11119.72,46490.89,3763.52,46652.19,2843.90,025.85,025.85,0.00,25.85,25.85
51,11014.53,46051.76,3745.72,46198.42,2831.71,025.85,025.85,0.00,25.85,25.85
52,10948.88,45879.90,3760.90,46050.52,2801.83,025.85,025.85,0.00,25.85,25.85
53,10985.79,45948.12,3733.92,46124.82,2817.57,1624.62,124.62,0.39,25.85,24.62
54,?,?,?,?,?,?,?,?,24.62,?
55,?,?,?,?,?,?,?,?,?,?
56,11033.69,46286.28,3698.83,46487.05,2840.57,11224.40,424.40,2.73,?,24.40
57,10972.28,45868.35,3687.46,46065.85,2831.16,4025.11,225.11,1.01,24.40,25.11
58,11039.20,46241.92,3723.24,46459.99,2855.69,33027.60,427.60,8.42,25.11,27.60
59,11052.03,46280.36,3694.46,46510.83,2865.27,73227.30,727.30,19.50,27.60,27.30
60,11010.83,46341.14,3596.60,46622.90,2859.05,7627.60,227.60,2.08,27.30,27.60
61,?,?,?,?,?,?,?,?,27.60,?
62,?,?,?,?,?,?,?,?,?,?
63,10998.55,46137.70,3528.81,46454.13,2860.68,027.60,027.60,0.00,?,27.60
64,10997.33,46676.09,3522.56,47001.38,2868.06,2827.40,327.40,0.76,27.60,27.40
65,11042.47,46762.65,3541.17,47090.49,2872.90,027.40,027.40,0.00,27.40,27.40
66,11042.08,46745.26,3558.65,47060.66,2873.49,127.50,127.50,0.03,27.40,27.50
67,11119.06,47074.39,3529.57,47436.21,2906.74,7526.40,126.40,1.98,27.50,26.40
68,?,?,?,?,?,?,?,?,26.40,?
69,?,?,?,?,?,?,?,?,?,?
70,11133.10,46933.03,3595.74,47269.75,2914.24,026.40,026.40,0.00,?,26.40
71,11150.86,47010.40,3613.57,47340.43,2911.38,026.40,026.40,0.00,26.40,26.40
72,11194.08,46888.37,3595.65,47235.72,2901.67,026.40,026.40,0.00,26.40,26.40
73,11231.22,47223.68,3593.14,47606.16,2912.13,026.40,026.40,0.00,26.40,26.40
74,11228.39,47125.93,3575.34,47522.10,2909.77,026.40,026.40,0.00,26.40,26.40
75,?,?,?,?,?,?,?,?,26.40,?
76,?,?,?,?,?,?,?,?,?,?
77,11190.20,46668.41,3531.93,47094.18,2900.59,326.50,126.50,0.08,?,26.50
78,11135.62,46029.35,3446.97,46473.62,2868.24,21926.00,426.00,5.71,26.50,26.00
79,11168.63,46068.24,3416.12,46511.62,2874.75,026.00,026.00,0.00,26.00,26.00
80,11069.03,45580.47,3320.24,46017.88,2833.61,026.00,026.00,0.00,26.00,26.00
81,10908.77,45066.18,3327.55,45473.08,2800.67,38325.50,225.50,9.91,26.00,25.50
82,?,?,?,?,?,?,?,?,25.50,?
83,?,?,?,?,?,?,?,?,?,?
84,10899.26,44585.10,3387.98,44946.32,2780.21,20526.32,326.32,5.40,?,26.32
85,10815.43,44724.88,3369.87,45119.16,2774.13,9226.97,226.97,2.48,26.32,26.97
86,10867.86,45247.90,3430.06,45644.09,2785.46,2027.29,127.29,0.55,26.97,27.29
87,10938.55,45147.57,3478.60,45528.85,2797.31,027.29,027.29,0.00,27.29,27.29
88,?,?,?,?,?,?,?,?,27.29,?
89,?,?,?,?,?,?,?,?,?,?
90,?,?,?,?,?,?,?,?,?,?
91,?,?,?,?,?,?,?,?,?,?
92,10998.70,45304.74,3523.68,45679.51,2814.33,027.29,027.29,0.00,?,27.29
93,10809.87,44604.61,3482.18,44940.36,2769.02,2527.27,127.27,0.68,27.29,27.27
94,10817.23,44623.89,3486.55,44980.62,2766.19,027.27,027.27,0.00,27.27,27.27
95,10803.99,44597.66,3479.32,44960.02,2760.91,027.27,027.27,0.00,27.27,27.27
96,?,?,?,?,?,?,?,?,27.27,?
97,?,?,?,?,?,?,?,?,?,?
98,10819.93,44590.97,3450.97,44963.96,2764.28,10226.40,226.40,2.65,?,26.40
99,10820.89,44725.03,3474.49,45096.35,2767.26,126.80,126.80,0.03,26.40,26.80
100,10845.27,45091.63,3463.81,45495.34,2780.21,026.80,026.80,0.00,26.80,26.80
101,10908.65,45688.48,3504.28,46131.66,2794.43,126.80,126.80,0.03,26.80,26.80
102,10807.45,45525.92,3481.04,45960.10,2783.53,126.50,126.50,0.03,26.80,26.50
103,?,?,?,?,?,?,?,?,26.50,?
104,?,?,?,?,?,?,?,?,?,?
105,10663.67,44724.14,3368.83,45167.65,2754.91,14625.99,225.99,3.80,?,25.99
106,?,?,?,?,?,?,?,?,25.99,?
107,10431.02,43916.24,3195.69,44404.81,2705.88,34024.96,224.96,8.49,?,24.96
108,10415.53,43364.70,3142.65,43850.06,2695.55,1625.10,225.10,0.39,24.96,25.10
109,10373.60,43447.75,2992.95,43993.98,2685.57,025.10,025.10,0.00,25.10,25.10
110,?,?,?,?,?,?,?,?,25.10,?
111,?,?,?,?,?,?,?,?,?,?
112,10335.77,43360.30,3007.40,43892.82,2660.28,10025.10,125.10,2.51,?,25.10
113,10282.22,43159.57,3011.64,43707.88,2624.40,025.10,025.10,0.00,25.10,25.10
114,10264.95,43356.73,3012.77,43908.95,2636.70,18524.00,224.00,4.48,25.10,24.00
115,10327.20,43482.18,2993.56,44027.03,2658.57,024.00,024.00,0.00,24.00,24.00
116,10407.26,43665.21,3051.09,44226.06,2669.93,14123.81,323.81,3.32,24.00,23.81
117,?,?,?,?,?,?,?,?,23.81,?
118,?,?,?,?,?,?,?,?,?,?
119,10465.41,43882.16,3107.87,44420.22,2685.14,9123.70,323.70,2.12,?,23.70
120,10511.46,44162.18,3270.96,44653.34,2704.84,12523.80,323.80,3.00,23.70,23.80
121,?,?,?,?,?,?,?,?,23.80,?
122,10554.34,43991.51,3273.77,44466.89,2695.22,023.80,023.80,0.00,?,23.80
123,?,?,?,?,?,?,?,?,23.80,?
124,?,?,?,?,?,?,?,?,?,?
125,?,?,?,?,?,?,?,?,?,?
126,10605.72,44541.73,3221.83,45060.80,2714.72,11224.50,324.50,2.76,?,24.50
127,10618.63,44742.22,3278.44,45244.29,2733.96,12425.19,425.19,3.08,24.50,25.19
128,10692.81,45117.94,3274.88,45647.76,2752.14,22025.50,125.50,5.61,25.19,25.50
129,10714.80,44943.16,3287.31,45475.08,2760.20,125.90,125.90,0.03,25.50,25.90
130,10758.03,44895.35,3305.97,45408.06,2769.85,125.90,125.90,0.03,25.90,25.90
131,?,?,?,?,?,?,?,?,25.90,?
132,?,?,?,?,?,?,?,?,?,?
133,10762.74,45207.84,3331.03,45746.01,2790.62,3825.00,225.00,0.95,?,25.00
134,10819.27,45771.11,3344.63,46336.62,2822.41,125.00,125.00,0.03,25.00,25.00
135,10913.18,46102.42,3424.41,46676.61,2848.38,425.89,225.89,0.10,25.00,25.89
136,10976.80,45992.03,3377.14,46581.16,2871.70,025.89,025.89,0.00,25.89,25.89
137,10991.63,46078.68,3435.39,46646.58,2885.19,025.89,025.89,0.00,25.89,25.89
138,?,?,?,?,?,?,?,?,25.89,?
139,?,?,?,?,?,?,?,?,?,?
140,11070.23,46041.35,3466.14,46615.31,2921.95,025.89,025.89,0.00,?,25.89
141,11089.17,45851.80,3392.40,46439.10,2893.12,025.89,025.89,0.00,25.89,25.89
142,11082.19,45933.66,3344.53,46529.96,2912.70,37025.20,325.20,9.21,25.89,25.20
143,11050.12,45687.76,3276.68,46311.26,2894.53,2225.50,325.50,0.56,25.20,25.50
144,11130.47,46145.44,3277.81,46783.61,2929.62,3225.72,325.72,0.78,25.50,25.72
145,?,?,?,?,?,?,?,?,25.72,?
146,?,?,?,?,?,?,?,?,?,?
147,11329.88,47277.10,3325.92,47957.54,2976.83,225.70,225.70,0.05,?,25.70
148,11439.53,47579.87,3377.00,48258.02,2997.81,125.70,125.70,0.03,25.70,25.70
149,11434.08,47476.64,3410.78,48138.07,3000.58,125.70,125.70,0.03,25.70,25.70
150,?,?,?,?,?,?,?,?,25.70,?
151,11518.87,47806.34,3339.97,48503.87,2994.25,125.70,125.70,0.03,?,25.70
152,?,?,?,?,?,?,?,?,25.70,?
153,?,?,?,?,?,?,?,?,?,?
154,11428.58,47175.79,3252.24,47868.36,2970.24,2124.51,324.51,0.51,?,24.51
155,11527.78,47620.68,3283.47,48323.88,2998.79,125.70,125.70,0.03,24.51,25.70
156,11566.33,47805.94,3301.92,48513.29,3026.87,225.70,225.70,0.05,25.70,25.70
157,11598.90,47573.66,3301.52,48259.19,3020.15,25326.00,326.00,6.51,25.70,26.00
158,11721.20,48209.65,3325.43,48918.37,3044.38,226.00,226.00,0.05,26.00,26.00
159,?,?,?,?,?,?,?,?,26.00,?
160,?,?,?,?,?,?,?,?,?,?
161,11855.82,48495.01,3341.26,49207.65,3065.91,12525.00,425.00,3.14,?,25.00
162,11906.69,48324.52,3317.02,49050.96,3074.89,025.00,025.00,0.00,25.00,25.00
163,12044.12,48383.93,3337.95,49098.70,3098.83,125.50,125.50,0.03,25.00,25.50
164,11997.09,48152.82,3294.79,48890.47,3089.32,8425.00,225.00,2.10,25.50,25.00
165,11980.74,48273.42,3261.51,49057.66,3092.65,1625.50,225.50,0.41,25.00,25.50
166,?,?,?,?,?,?,?,?,25.50,?
167,?,?,?,?,?,?,?,?,?,?
168,11950.70,48131.61,3221.03,48917.56,3100.24,125.00,125.00,0.03,?,25.00
169,12001.25,48119.72,3243.93,48891.04,3120.39,025.00,025.00,0.00,25.00,25.00
170,11995.61,47743.10,3245.92,48509.84,3122.21,225.50,225.50,0.05,25.00,25.50
171,11755.38,45870.00,3150.91,46587.68,3038.18,154027.40,2127.40,41.18,25.50,27.40
172,11698.05,44732.92,3055.25,45456.77,3001.68,25429.63,829.63,7.36,27.40,29.63
173,?,?,?,?,?,?,?,?,29.63,?
174,?,?,?,?,?,?,?,?,?,?
175,11694.70,44824.62,3144.77,45531.46,2990.89,33033.95,1333.95,10.56,?,33.95
176,11846.22,44966.09,3152.21,45672.10,2999.31,1433.95,233.95,0.48,33.95,33.95
177,11772.39,44893.99,3120.81,45601.51,2972.55,41832.25,532.25,13.40,33.95,32.25
178,11665.86,43667.37,3067.07,44326.49,2915.58,9031.49,331.49,2.79,32.25,31.49
179,11716.43,44747.79,3103.44,45442.51,2948.80,131.78,131.78,0.03,31.49,31.78
180,?,?,?,?,?,?,?,?,31.78,?
181,?,?,?,?,?,?,?,?,?,?
182,11756.83,44769.00,3106.66,45461.06,2963.91,2131.90,231.90,0.67,?,31.90
183,11805.57,45533.94,3110.28,46254.71,2981.48,3331.22,331.22,1.04,31.90,31.22
184,11736.24,45184.98,3116.57,45899.36,2971.57,6930.39,430.39,2.15,31.22,30.39
185,11820.50,45613.75,3145.35,46344.42,2988.19,230.99,230.99,0.06,30.39,30.99
186,11822.63,45110.89,3176.37,45805.34,2977.06,230.50,230.50,0.06,30.99,30.50
187,?,?,?,?,?,?,?,?,30.50,?
188,?,?,?,?,?,?,?,?,?,?
189,11711.98,44534.34,3202.26,45172.40,2948.16,13430.00,330.00,4.01,?,30.00
190,11610.73,44342.23,3223.44,44969.23,2924.69,1029.99,129.99,0.30,30.00,29.99
191,11643.94,45068.55,3278.06,45727.71,2962.09,029.99,029.99,0.00,29.99,29.99
192,11739.32,45712.72,3306.79,46390.36,2992.86,1829.98,129.98,0.54,29.99,29.98
193,11784.60,46150.78,3344.00,46839.89,3017.66,129.50,129.50,0.03,29.98,29.50
194,?,?,?,?,?,?,?,?,29.50,?
195,?,?,?,?,?,?,?,?,?,?
196,11770.78,46218.05,3318.87,46922.43,3022.70,8929.00,429.00,2.58,?,29.00
197,11753.20,46155.10,3320.24,46860.35,3017.11,029.00,029.00,0.00,29.00,29.00
198,11768.81,46287.08,3333.09,47003.76,3021.27,7928.70,128.70,2.27,29.00,28.70
199,11813.42,46221.23,3389.39,46919.83,3023.16,228.65,228.65,0.06,28.70,28.65
200,11837.95,46399.74,3370.14,47120.88,3019.85,128.65,128.65,0.03,28.65,28.65
201,?,?,?,?,?,?,?,?,28.65,?
202,?,?,?,?,?,?,?,?,?,?
203,11864.19,46361.70,3363.21,47075.43,3021.70,429.60,229.60,0.12,?,29.60
204,11905.16,46714.43,3398.88,47454.90,3029.97,7529.97,229.97,2.25,29.60,29.97
205,11975.99,46835.98,3451.39,47575.74,3050.63,8829.99,229.99,2.64,29.97,29.99
206,11939.68,46713.02,3417.55,47446.69,3036.16,8829.99,229.99,2.64,29.99,29.99
207,11930.54,46258.91,3376.81,46981.22,3015.00,9128.80,428.80,2.62,29.99,28.80
208,?,?,?,?,?,?,?,?,28.80,?
209,?,?,?,?,?,?,?,?,?,?
210,11917.93,46480.62,3407.34,47214.30,3032.94,18730.15,730.15,5.56,?,30.15
211,11914.45,46663.41,3422.75,47398.08,3038.42,7030.20,130.20,2.11,30.15,30.20
212,11934.08,46925.65,3384.71,47676.43,3046.08,10730.99,330.99,3.32,30.20,30.99
213,12025.60,47370.81,3341.99,48147.76,3060.17,69831.02,431.02,21.64,30.99,31.02
214,12096.51,48325.33,3426.64,49133.14,3110.79,8830.90,130.90,2.72,31.02,30.90
215,?,?,?,?,?,?,?,?,30.90,?
216,?,?,?,?,?,?,?,?,?,?
217,12181.61,48458.44,3483.43,49272.86,3127.41,8831.90,231.90,2.81,?,31.90
218,12213.07,47942.81,3486.01,48742.34,3127.38,20933.00,533.00,6.74,31.90,33.00
219,12294.72,48306.55,3527.25,49124.78,3168.23,56636.24,1236.24,19.26,33.00,36.24
220,12425.78,48862.88,3579.17,49700.18,3190.86,18436.60,636.60,6.73,36.24,36.60
221,12524.35,49125.36,3499.45,49994.77,3206.86,21336.55,336.55,7.79,36.60,36.55
222,?,?,?,?,?,?,?,?,36.55,?
223,?,?,?,?,?,?,?,?,?,?
224,12613.68,49580.16,3519.19,50476.37,3225.79,54239.05,639.05,20.32,?,39.05
225,12783.95,49747.66,3538.38,50646.05,3233.22,26139.00,939.00,10.17,39.05,39.00
226,12961.14,50223.95,3530.29,51152.95,3271.49,51539.01,839.01,20.23,39.00,39.01
227,?,?,?,?,?,?,?,?,39.01,?
228,12933.31,49976.48,3459.16,50906.11,3253.28,640.54,240.54,0.24,?,40.54
229,?,?,?,?,?,?,?,?,40.54,?
230,?,?,?,?,?,?,?,?,?,?
231,12877.73,49772.46,3428.34,50713.14,3237.31,72842.00,1342.00,29.50,?,42.00
232,12831.52,49162.16,3400.95,50077.30,3210.57,79542.00,942.00,33.18,42.00,42.00
233,12826.21,49128.05,3447.66,50032.45,3221.87,13642.00,542.00,5.71,42.00,42.00
234,12985.38,49846.48,3478.42,50780.47,3260.69,14441.40,441.40,5.96,42.00,41.40
235,13050.37,49895.10,3467.02,50836.47,3260.35,109741.40,1341.40,45.10,41.40,41.40
236,?,?,?,?,?,?,?,?,41.40,?
237,?,?,?,?,?,?,?,?,?,?
238,13056.86,49818.48,3495.18,50756.86,3255.45,11242.00,542.00,4.70,?,42.00
239,12781.02,48833.58,3423.51,49731.02,3197.48,29739.90,339.90,11.85,42.00,39.90
240,12706.26,48537.65,3384.22,49421.50,3183.87,539.88,439.88,0.20,39.90,39.88
241,12801.41,48676.45,3385.51,49569.11,3204.20,5639.90,439.90,2.27,39.88,39.90
242,12801.04,48871.98,3363.18,49771.98,3196.27,1439.34,139.34,0.55,39.90,39.34
243,?,?,?,?,?,?,?,?,39.34,?
244,?,?,?,?,?,?,?,?,?,?
245,12870.44,49187.22,3393.26,50099.55,3230.20,039.34,039.34,0.00,?,39.34
246,12843.19,48968.87,3405.95,49861.54,3226.75,039.34,039.34,0.00,39.34,39.34
247,12637.81,47919.09,3338.86,48781.63,3174.71,5039.00,339.00,1.95,39.34,39.00
248,12178.22,45830.66,3280.10,46598.42,3061.25,38639.00,439.00,15.02,39.00,39.00
249,12457.22,46717.04,3320.52,47514.09,3142.61,039.00,039.00,0.00,39.00,39.00
250,?,?,?,?,?,?,?,?,39.00,?
251,?,?,?,?,?,?,?,?,?,?
252,12726.39,47808.90,3374.64,48651.54,3199.68,139.05,139.05,0.04,?,39.05
253,12962.91,48961.51,3449.10,49839.90,3256.85,11739.00,339.00,4.55,39.05,39.00
254,12983.95,49437.02,3502.00,50312.63,3285.29,8939.00,439.00,3.47,39.00,39.00
255,13011.41,49771.55,3561.86,50644.38,3303.55,4739.00,339.00,1.83,39.00,39.00
256,12998.59,49348.61,3556.85,50196.31,3285.49,9939.05,439.05,3.87,39.00,39.05
257,?,?,?,?,?,?,?,?,39.05,?
258,?,?,?,?,?,?,?,?,?,?
259,13003.37,48917.85,3498.14,49741.35,3260.05,8839.05,239.05,3.44,?,39.05
260,13085.22,49434.46,3583.06,50258.11,3286.61,2738.80,238.80,1.05,39.05,38.80
261,13049.76,49413.33,3581.84,50227.43,3277.41,138.61,138.61,0.04,38.80,38.61
262,13124.47,50300.53,3605.94,51171.25,3316.59,739.00,339.00,0.27,38.61,39.00
263,13140.38,50308.19,3585.84,51202.75,3316.08,6039.00,239.00,2.34,39.00,39.00
264,?,?,?,?,?,?,?,?,39.00,?
265,?,?,?,?,?,?,?,?,?,?
266,13089.15,49955.87,3517.39,50869.00,3291.57,039.00,039.00,0.00,?,39.00
267,13131.43,49979.47,3512.70,50887.67,3275.67,30538.70,338.70,11.83,39.00,38.70
268,13114.91,50301.69,3515.41,51221.45,3299.72,038.70,038.70,0.00,38.70,38.70
269,13233.88,50936.34,3538.09,51846.54,3336.44,038.70,038.70,0.00,38.70,38.70
270,13346.97,50819.81,3532.05,51704.53,3352.18,038.70,038.70,0.00,38.70,38.70
271,?,?,?,?,?,?,?,?,38.70,?
272,?,?,?,?,?,?,?,?,?,?
273,13314.68,50301.85,3494.36,51191.50,3349.29,39336.12,636.12,14.38,?,36.12
274,13338.19,50782.48,3499.03,51691.24,3351.68,5437.00,237.00,2.00,36.12,37.00
275,13386.01,50803.40,3513.56,51709.58,3364.40,33635.45,735.45,12.28,37.00,35.45
276,13476.11,50982.03,3525.92,51911.61,3383.62,12736.71,436.71,4.62,35.45,36.71
277,13513.64,50601.24,3510.90,51511.63,3381.52,3935.31,335.31,1.40,36.71,35.31
278,?,?,?,?,?,?,?,?,35.31,?
279,?,?,?,?,?,?,?,?,?,?
280,13477.58,50338.71,3501.94,51239.47,3383.60,27835.22,535.22,9.81,?,35.22
281,13399.64,50137.88,3519.36,51021.26,3368.14,4335.50,335.50,1.53,35.22,35.50
282,13361.98,50335.02,3561.38,51215.99,3379.96,535.99,235.99,0.18,35.50,35.99
283,13589.27,51806.83,3648.78,52744.48,3454.41,45935.25,835.25,16.30,35.99,35.25
284,13638.56,52230.47,3656.01,53193.87,3477.04,2035.31,635.31,0.71,35.25,35.31
285,?,?,?,?,?,?,?,?,35.31,?
286,?,?,?,?,?,?,?,?,?,?
287,13701.85,52520.91,3648.47,53498.97,3508.85,035.31,035.31,0.00,?,35.31
288,13824.94,52590.73,3614.40,53588.87,3544.07,035.31,035.31,0.00,35.31,35.31
289,13886.79,52861.41,3568.21,53918.41,3548.14,035.31,035.31,0.00,35.31,35.31
290,14155.74,52573.59,3637.13,53571.90,3572.96,25937.00,437.00,9.61,35.31,37.00
291,14253.72,52587.24,3669.50,53572.92,3535.97,30838.07,238.07,11.41,37.00,38.07
292,?,?,?,?,?,?,?,?,38.07,?
293,?,?,?,?,?,?,?,?,?,?
294,14459.56,53853.55,3737.21,54903.39,3606.06,8737.99,137.99,3.31,?,37.99
295,14512.68,53781.81,3771.51,54818.06,3615.60,2937.99,237.99,1.10,37.99,37.99
296,14327.32,53389.74,3696.25,54433.41,3596.10,5036.20,136.20,1.81,37.99,36.20
297,14572.10,53994.46,3739.61,55063.75,3637.76,9137.98,437.98,3.46,36.20,37.98
298,14753.57,53887.13,3516.88,55023.42,3651.19,6337.95,237.95,2.39,37.98,37.95
299,?,?,?,?,?,?,?,?,37.95,?
300,?,?,?,?,?,?,?,?,?,?
301,14896.01,54180.04,3427.82,55362.19,3660.45,67039.81,1239.81,26.04,?,39.81
302,14994.44,54536.95,3478.84,55688.45,3688.57,20439.88,739.88,8.14,39.81,39.88
303,14942.82,54095.32,3394.12,55240.01,3660.80,10739.90,239.90,4.27,39.88,39.90
304,14928.63,53607.86,3362.26,54734.18,3628.73,44238.52,738.52,17.03,39.90,38.52
305,?,?,?,?,?,?,?,?,38.52,?
306,?,?,?,?,?,?,?,?,?,?
307,?,?,?,?,?,?,?,?,?,?
308,15023.33,53989.37,3422.88,55121.60,3668.56,143,3,5.51,?,38.50
309,14877.29,53504.47,3437.50,54600.05,3645.18,93,4,3.66,38.50,39.37
310,14860.69,53924.01,3426.03,55035.36,3650.27,3,3,0.11,39.37,37.98
340,13476.564027366672,45857.110734846676,2864.893371122059,47106.0108522239,3215.763816454578,?,?,?,?,?,? 
370,13789.514663168062,46189.882480874876,2842.611796073331,47398.32393415799,3267.20146029432,?,?,?,?,?,? 
400,14102.465298969453,46522.654226903076,2820.330221024603,47690.63701609208,3318.639104134063,?,?,?,?,?,? 
490,15041.317206373624,47520.969464987684,2753.4854958784194,48567.57626189435,3472.9520356532903,?,?,?,?,?,? 
670,16919.02102118197,49517.5999411569,2619.796045586054,50321.45475349891,3781.5778986917467,?,?,?,?,?,? 
