%310
@RELATION PLHOGA000041
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-INFO NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
237,?,?,?,?,?,?,?,?,?
238,49818.48,1237.10,50756.86,3255.45,225782.49,422.49,56.48,?,2.49
239,48833.58,1229.04,49731.02,3197.48,560122.45,822.45,136.60,2.49,2.45
240,48537.65,1239.92,49421.50,3183.87,248502.42,442.42,59.11,2.45,2.42
241,48676.45,1251.80,49569.11,3204.20,145092.41,202.41,34.96,2.42,2.41
242,48871.98,1261.01,49771.98,3196.27,516242.38,622.38,122.60,2.41,2.38
243,?,?,?,?,?,?,?,2.38,?
244,?,?,?,?,?,?,?,?,?
245,49187.22,1259.01,50099.55,3230.20,6157852.63,5212.63,1602.75,?,2.63
246,48968.87,1257.15,49861.54,3226.75,2302722.53,2352.53,596.70,2.63,2.53
247,47919.09,1243.35,48781.63,3174.71,1919502.40,1972.40,470.29,2.53,2.40
248,45830.66,1185.76,46598.42,3061.25,2098662.35,2682.35,492.43,2.40,2.35
249,46717.04,1237.06,47514.09,3142.61,1037382.37,1092.37,246.91,2.35,2.37
250,?,?,?,?,?,?,?,2.37,?
251,?,?,?,?,?,?,?,?,?
252,47808.90,1243.34,48651.54,3199.68,357262.37,632.37,85.13,?,2.37
253,48961.51,1250.38,49839.90,3256.85,601162.38,722.38,144.52,2.37,2.38
254,49437.02,1263.62,50312.63,3285.29,558742.38,852.38,133.45,2.38,2.38
255,49771.55,1276.66,50644.38,3303.55,717202.43,782.43,173.41,2.38,2.43
256,49348.61,1298.01,50196.31,3285.49,227592.42,422.42,54.61,2.43,2.42
257,?,?,?,?,?,?,?,2.42,?
258,?,?,?,?,?,?,?,?,?
259,48917.85,1275.46,49741.35,3260.05,468152.37,992.37,111.28,?,2.37
260,49434.46,1297.54,50258.11,3286.61,474132.39,672.39,111.41,2.37,2.39
261,49413.33,1284.43,50227.43,3277.41,296602.37,542.37,69.82,2.39,2.37
262,50300.53,1287.16,51171.25,3316.59,842002.40,1072.40,198.46,2.37,2.40
263,50308.19,1303.27,51202.75,3316.08,112332.39,442.39,26.79,2.40,2.39
264,?,?,?,?,?,?,?,2.39,?
265,?,?,?,?,?,?,?,?,?
266,49955.87,1279.78,50869.00,3291.57,226352.38,342.38,53.66,?,2.38
267,49979.47,1298.17,50887.67,3275.67,240852.38,542.38,56.90,2.38,2.38
268,50301.69,1316.37,51221.45,3299.72,192012.37,342.37,44.95,2.38,2.37
269,50936.34,1330.10,51846.54,3336.44,693912.41,942.41,164.94,2.37,2.41
270,50819.81,1345.84,51704.53,3352.18,1945992.43,1992.43,480.61,2.41,2.43
271,?,?,?,?,?,?,?,2.43,?
272,?,?,?,?,?,?,?,?,?
273,50301.85,1344.48,51191.50,3349.29,1961962.50,1562.50,491.80,?,2.50
274,50782.48,1340.21,51691.24,3351.68,547752.49,742.49,136.73,2.50,2.49
275,50803.40,1343.11,51709.58,3364.40,1007792.42,1312.42,243.01,2.49,2.42
276,50982.03,1339.95,51911.61,3383.62,467202.39,682.39,112.83,2.42,2.39
277,50601.24,1323.45,51511.63,3381.52,272222.42,492.42,65.04,2.39,2.42
278,?,?,?,?,?,?,?,2.42,?
279,?,?,?,?,?,?,?,?,?
280,50338.71,1339.98,51239.47,3383.60,415432.38,432.38,98.62,?,2.38
281,50137.88,1327.31,51021.26,3368.14,612262.36,652.36,145.95,2.38,2.36
282,50335.02,1320.08,51215.99,3379.96,409972.39,542.39,96.97,2.36,2.39
