%310
@RELATION AT0000827209
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-DEWEL NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
36,46674.78,1376.05,187886.00,256.00,109.94,5.61,6.00
37,46149.14,1368.56,588055.90,235.90,334.41,6.00,5.90
38,46329.66,1379.50,103225.58,225.58,58.47,5.90,5.58
39,46741.54,1389.85,207765.40,315.40,113.21,5.58,5.40
40,?,?,?,?,?,5.40,?
41,?,?,?,?,?,?,?
42,46786.74,1393.28,23865.54,105.54,12.88,?,5.54
43,46399.26,1383.89,84385.70,185.70,47.38,5.54,5.70
44,46406.74,1354.82,38305.68,75.68,21.76,5.70,5.68
45,46211.54,1313.43,48405.67,85.67,26.93,5.68,5.67
46,46370.13,1349.87,77885.60,175.60,44.33,5.67,5.60
47,?,?,?,?,?,5.60,?
48,?,?,?,?,?,?,?
49,46508.27,1365.73,56125.65,115.65,31.38,?,5.65
50,46490.89,1352.40,34515.70,75.70,19.04,5.65,5.70
51,46051.76,1342.16,302215.41,285.41,164.28,5.70,5.41
52,45879.90,1322.82,215265.53,315.53,116.42,5.41,5.53
53,45948.12,1345.82,50655.40,55.40,27.75,5.53,5.40
54,?,?,?,?,?,5.40,?
55,?,?,?,?,?,?,?
56,46286.28,1357.55,109935.70,205.70,61.46,?,5.70
57,45868.35,1359.10,10375.51,35.51,5.89,5.70,5.51
58,46241.92,1359.06,17365.41,85.41,9.63,5.51,5.41
59,46280.36,1354.30,2121125.66,125.66,1156.43,5.41,5.66
60,46341.14,1347.19,17115.50,65.50,9.45,5.66,5.50
61,?,?,?,?,?,5.50,?
62,?,?,?,?,?,?,?
63,46137.70,1363.77,16765.37,15.37,9.00,?,5.37
64,46676.09,1397.73,232565.50,135.50,129.94,5.37,5.50
65,46762.65,1387.52,3005.60,25.60,1.67,5.50,5.60
66,46745.26,1372.44,21865.58,115.58,12.32,5.60,5.58
67,47074.39,1370.33,44785.72,95.72,25.45,5.58,5.72
68,?,?,?,?,?,5.72,?
69,?,?,?,?,?,?,?
70,46933.03,1396.97,19335.63,85.63,10.95,?,5.63
71,47010.40,1423.31,17085.76,95.76,9.65,5.63,5.76
72,46888.37,1423.72,22015.76,35.76,12.39,5.76,5.76
73,47223.68,1436.51,59825.63,125.63,33.62,5.76,5.63
74,47125.93,1431.31,6085.66,25.66,3.42,5.63,5.66
75,?,?,?,?,?,5.66,?
76,?,?,?,?,?,?,?
77,46668.41,1419.01,6835.65,25.65,3.91,?,5.65
78,46029.35,1400.23,34545.70,105.70,19.56,5.65,5.70
79,46068.24,1396.66,05.70,05.70,0.00,5.70,5.70
80,45580.47,1372.60,39235.60,105.60,21.99,5.70,5.60
81,45066.18,1354.95,9505.59,25.59,5.28,5.60,5.59
82,?,?,?,?,?,5.59,?
83,?,?,?,?,?,?,?
84,44585.10,1336.25,6122515.30,415.30,3245.72,?,5.30
85,44724.88,1334.81,134225.30,165.30,70.74,5.30,5.30
86,45247.90,1332.17,76365.32,105.32,40.26,5.30,5.32
87,45147.57,1335.61,225725.28,105.28,119.70,5.32,5.28
88,?,?,?,?,?,5.28,?
89,?,?,?,?,?,?,?
90,?,?,?,?,?,?,?
91,?,?,?,?,?,?,?
92,45304.74,1342.68,116135.48,155.48,61.31,?,5.48
93,44604.61,1315.67,127885.30,85.30,67.40,5.48,5.30
94,44623.89,1312.91,57865.40,45.40,30.64,5.30,5.40
95,44597.66,1319.91,110385.25,45.25,57.59,5.40,5.25
96,?,?,?,?,?,5.25,?
97,?,?,?,?,?,?,?
98,44590.97,1329.86,1354055.16,265.16,715.91,?,5.16
99,44725.03,1322.63,172345.35,85.35,90.87,5.16,5.35
100,45091.63,1341.74,149065.35,105.35,77.27,5.35,5.35
101,45688.48,1350.66,28765.47,35.47,14.84,5.35,5.47
102,45525.92,1356.50,10635.22,35.22,5.54,5.47,5.22
103,?,?,?,?,?,5.22,?
104,?,?,?,?,?,?,?
105,44724.14,1314.18,121855.16,65.16,63.63,?,5.16
106,?,?,?,?,?,5.16,?
107,43916.24,1291.19,245255.17,75.17,127.33,?,5.17
108,43364.70,1280.02,63215.15,55.15,32.50,5.17,5.15
109,43447.75,1280.06,127465.08,105.08,64.25,5.15,5.08
110,?,?,?,?,?,5.08,?
111,?,?,?,?,?,?,?
112,43360.30,1292.08,316915.16,35.16,163.41,?,5.16
113,43159.57,1277.53,116235.09,65.09,58.92,5.16,5.09
114,43356.73,1283.16,33105.11,85.11,16.88,5.09,5.11
115,43482.18,1295.48,15875.09,35.09,8.00,5.11,5.09
116,43665.21,1299.40,3775.23,35.23,2.01,5.09,5.23
117,?,?,?,?,?,5.23,?
118,?,?,?,?,?,?,?
119,43882.16,1311.59,1775.21,15.21,0.92,?,5.21
120,44162.18,1303.66,126515.29,145.29,66.42,5.21,5.29
121,?,?,?,?,?,5.29,?
122,43991.51,1274.69,5005.40,25.40,2.70,?,5.40
123,?,?,?,?,?,5.40,?
124,?,?,?,?,?,?,?
125,?,?,?,?,?,?,?
126,44541.73,1283.84,30765.40,55.40,16.47,?,5.40
127,44742.22,1301.78,11765.31,15.31,6.24,5.40,5.31
128,45117.94,1318.36,19985.29,35.29,10.72,5.31,5.29
129,44943.16,1323.45,1125.25,15.25,0.59,5.29,5.25
130,44895.35,1326.21,24195.30,45.30,12.82,5.25,5.30
131,?,?,?,?,?,5.30,?
132,?,?,?,?,?,?,?
133,45207.84,1330.79,5475.16,25.16,2.82,?,5.16
134,45771.11,1313.36,8405.21,45.21,4.35,5.16,5.21
135,46102.42,1324.54,2235.18,25.18,1.16,5.21,5.18
136,45992.03,1332.96,162415.07,135.07,83.63,5.18,5.07
137,46078.68,1345.72,1152565.20,65.20,599.32,5.07,5.20
138,?,?,?,?,?,5.20,?
139,?,?,?,?,?,?,?
140,46041.35,1341.55,61085.15,65.15,31.38,?,5.15
141,45851.80,1351.99,32225.40,35.40,17.20,5.15,5.40
142,45933.66,1344.81,1605.22,15.22,0.84,5.40,5.22
143,45687.76,1350.88,98165.25,75.25,50.67,5.22,5.25
144,46145.44,1393.25,89515.30,105.30,47.53,5.25,5.30
145,?,?,?,?,?,5.30,?
146,?,?,?,?,?,?,?
147,47277.10,1431.34,20645.32,25.32,10.98,?,5.32
148,47579.87,1444.94,2167225.34,225.34,1152.96,5.32,5.34
149,47476.64,1464.18,163205.50,345.50,88.48,5.34,5.50
150,?,?,?,?,?,5.50,?
151,47806.34,1471.74,25475.55,105.55,14.06,?,5.55
152,?,?,?,?,?,5.55,?
153,?,?,?,?,?,?,?
154,47175.79,1461.53,419745.63,105.63,236.21,?,5.63
155,47620.68,1476.35,316225.92,285.92,182.92,5.63,5.92
156,47805.94,1489.88,156455.69,215.69,89.80,5.92,5.69
157,47573.66,1469.75,117345.71,135.71,65.91,5.69,5.71
158,48209.65,1514.93,25005.74,35.74,14.13,5.71,5.74
159,?,?,?,?,?,5.74,?
160,?,?,?,?,?,?,?
161,48495.01,1524.65,116675.75,405.75,66.92,?,5.75
162,48324.52,1551.97,30795.75,95.75,17.39,5.75,5.75
163,48383.93,1598.45,503005.92,275.92,292.15,5.75,5.92
164,48152.82,1595.96,334695.68,55.68,190.12,5.92,5.68
165,48273.42,1585.79,113345.50,135.50,64.49,5.68,5.50
166,?,?,?,?,?,5.50,?
167,?,?,?,?,?,?,?
168,48131.61,1583.00,8865.72,35.72,4.98,?,5.72
169,48119.72,1588.25,50965.57,55.57,28.58,5.72,5.57
170,47743.10,1571.15,100005.60,105.60,56.00,5.57,5.60
171,45870.00,1544.23,54135.65,65.65,30.57,5.60,5.65
172,44732.92,1507.70,36685.65,85.65,19.96,5.65,5.65
173,?,?,?,?,?,5.65,?
174,?,?,?,?,?,?,?
175,44824.62,1501.45,115615.38,75.38,64.52,?,5.38
176,44966.09,1503.06,30115.38,85.38,15.76,5.38,5.38
177,44893.99,1492.93,15695.27,85.27,7.87,5.38,5.27
178,43667.37,1472.46,7005.32,45.32,3.72,5.27,5.32
179,44747.79,1476.14,17665.47,35.47,9.29,5.32,5.47
180,?,?,?,?,?,5.47,?
181,?,?,?,?,?,?,?
182,44769.00,1492.65,3365.33,15.33,1.79,?,5.33
183,45533.94,1495.04,300405.50,35.50,165.23,5.33,5.50
184,45184.98,1487.37,267245.62,45.62,150.00,5.50,5.62
185,45613.75,1499.27,807785.76,65.76,465.19,5.62,5.76
186,45110.89,1482.20,2000015.85,25.85,1160.01,5.76,5.85
187,?,?,?,?,?,5.85,?
188,?,?,?,?,?,?,?
189,44534.34,1474.90,162275.77,85.77,93.43,?,5.77
190,44342.23,1456.02,2735.80,25.80,1.57,5.77,5.80
191,45068.55,1468.88,694765.62,25.62,402.94,5.80,5.62
192,45712.72,1484.29,2175.80,15.80,1.26,5.62,5.80
193,46150.78,1481.99,05.80,05.80,0.00,5.80,5.80
194,?,?,?,?,?,5.80,?
195,?,?,?,?,?,?,?
196,46218.05,1489.11,41665.79,65.79,24.08,?,5.79
197,46155.10,1489.88,05.79,05.79,0.00,5.79,5.79
198,46287.08,1499.74,17875.69,25.69,10.10,5.79,5.69
199,46221.23,1491.54,05.69,05.69,0.00,5.69,5.69
200,46399.74,1495.90,05.69,05.69,0.00,5.69,5.69
201,?,?,?,?,?,5.69,?
202,?,?,?,?,?,?,?
203,46361.70,1484.19,05.69,05.69,0.00,?,5.69
204,46714.43,1494.62,741865.43,295.43,412.23,5.69,5.43
205,46835.98,1489.09,320005.70,315.70,182.17,5.43,5.70
206,46713.02,1474.03,60675.63,105.63,34.13,5.70,5.63
207,46258.91,1469.58,120505.47,85.47,67.57,5.63,5.47
208,?,?,?,?,?,5.47,?
209,?,?,?,?,?,?,?
210,46480.62,1481.47,500005.70,105.70,284.80,?,5.70
211,46663.41,1464.82,630505.70,105.70,359.27,5.70,5.70
212,46925.65,1472.71,33125.70,25.70,18.88,5.70,5.70
213,47370.81,1481.84,20995.59,45.59,11.88,5.70,5.59
214,48325.33,1499.33,63415.70,55.70,36.14,5.59,5.70
215,?,?,?,?,?,5.70,?
216,?,?,?,?,?,?,?
217,48458.44,1492.08,3805.70,35.70,2.15,?,5.70
218,47942.81,1487.96,247805.55,75.55,140.99,5.70,5.55
219,48306.55,1495.92,75845.69,45.69,43.15,5.55,5.69
220,48862.88,1508.03,55505.69,25.69,31.53,5.69,5.69
221,49125.36,1513.10,55505.66,25.66,31.37,5.69,5.66
222,?,?,?,?,?,5.66,?
223,?,?,?,?,?,?,?
224,49580.16,1510.53,152905.70,75.70,86.55,?,5.70
225,49747.66,1507.50,179845.80,135.80,103.07,5.70,5.80
226,50223.95,1512.82,139945.70,75.70,79.78,5.80,5.70
227,?,?,?,?,?,5.70,?
228,49976.48,1502.62,4395.61,45.61,2.45,?,5.61
229,?,?,?,?,?,5.61,?
230,?,?,?,?,?,?,?
231,49772.46,1499.73,104175.63,35.63,58.65,?,5.63
232,49162.16,1472.26,65155.70,95.70,37.10,5.63,5.70
233,49128.05,1477.77,55.70,15.70,0.03,5.70,5.70
234,49846.48,1471.70,42865.70,95.70,24.65,5.70,5.70
235,49895.10,1463.61,5775.70,35.70,3.29,5.70,5.70
236,?,?,?,?,?,5.70,?
237,?,?,?,?,?,?,?
238,49818.48,1468.33,295.66,15.66,0.16,?,5.66
239,48833.58,1447.65,100595.70,65.70,57.38,5.66,5.70
240,48537.65,1440.74,172885.67,75.67,98.76,5.70,5.67
241,48676.45,1465.81,2715.70,15.70,1.54,5.67,5.70
242,48871.98,1440.79,507925.71,175.71,289.97,5.70,5.71
243,?,?,?,?,?,5.71,?
244,?,?,?,?,?,?,?
245,49187.22,1458.21,140505.68,55.68,79.98,?,5.68
246,48968.87,1451.26,103625.70,85.70,58.95,5.68,5.70
247,47919.09,1426.01,271775.64,135.64,154.85,5.70,5.64
248,45830.66,1364.15,192365.61,105.61,108.41,5.64,5.61
249,46717.04,1375.61,656115.80,305.80,374.07,5.61,5.80
250,?,?,?,?,?,5.80,?
251,?,?,?,?,?,?,?
252,47808.90,1385.20,233985.80,335.80,136.87,?,5.80
253,48961.51,1408.19,224775.93,185.93,133.21,5.80,5.93
254,49437.02,1422.23,288316.10,316.10,173.77,5.93,6.10
255,49771.55,1436.34,137365.91,155.91,82.36,6.10,5.91
256,49348.61,1425.63,42705.99,55.99,25.60,5.91,5.99
257,?,?,?,?,?,5.99,?
258,?,?,?,?,?,?,?
259,48917.85,1415.04,188265.99,525.99,111.47,?,5.99
260,49434.46,1419.82,132365.93,145.93,78.48,5.99,5.93
261,49413.33,1427.60,92235.93,105.93,54.75,5.93,5.93
262,50300.53,1430.45,25475.98,55.98,15.21,5.93,5.98
263,50308.19,1424.93,76365.99,85.99,45.30,5.98,5.99
264,?,?,?,?,?,5.99,?
265,?,?,?,?,?,?,?
266,49955.87,1413.29,108285.90,95.90,63.99,?,5.90
267,49979.47,1407.11,57605.95,75.95,34.13,5.90,5.95
268,50301.69,1417.72,312376.15,236.15,187.75,5.95,6.15
269,50936.34,1433.07,217675.95,345.95,131.60,6.15,5.95
270,50819.81,1443.45,17866.10,36.10,10.74,5.95,6.10
271,?,?,?,?,?,6.10,?
272,?,?,?,?,?,?,?
273,50301.85,1435.33,211226.00,206.00,126.13,?,6.00
274,50782.48,1430.56,5885.95,35.95,3.50,6.00,5.95
275,50803.40,1447.48,34526.00,56.00,20.70,5.95,6.00
276,50982.03,1455.40,98236.09,146.09,59.17,6.00,6.09
277,50601.24,1444.69,7706.05,56.05,4.68,6.09,6.05
278,?,?,?,?,?,6.05,?
279,?,?,?,?,?,?,?
280,50338.71,1445.73,66585.95,175.95,40.00,?,5.95
281,50137.88,1430.85,80015.97,95.97,48.10,5.95,5.97
282,50335.02,1441.04,05.97,05.97,0.00,5.97,5.97
283,51806.83,1467.04,106315.95,75.95,63.50,5.97,5.95
284,52230.47,1480.78,36785.96,95.96,22.15,5.95,5.96
285,?,?,?,?,?,5.96,?
286,?,?,?,?,?,?,?
287,52520.91,1494.80,15476.12,76.12,9.49,?,6.12
288,52590.73,1502.66,3166.02,36.02,1.90,6.12,6.02
289,52861.41,1515.16,795.98,35.98,0.47,6.02,5.98
290,52573.59,1562.31,173116.13,176.13,105.71,5.98,6.13
291,52587.24,1560.66,803126.49,1206.49,497.92,6.13,6.49
292,?,?,?,?,?,6.49,?
293,?,?,?,?,?,?,?
294,53853.55,1567.16,451746.95,1026.95,299.84,?,6.95
295,53781.81,1553.89,111616.66,286.66,74.37,6.95,6.66
296,53389.74,1546.62,753476.87,336.87,514.65,6.66,6.87
297,53994.46,1547.05,82997.09,167.09,56.72,6.87,7.09
298,53887.13,1563.80,55036.81,86.81,38.17,7.09,6.81
299,?,?,?,?,?,6.81,?
300,?,?,?,?,?,?,?
301,54180.04,1561.20,8607.06,87.06,5.99,?,7.06
302,54536.95,1571.77,132566.80,486.80,91.02,7.06,6.80
303,54095.32,1565.67,426786.95,656.95,289.77,6.80,6.95
304,53607.86,1550.39,244997.42,407.42,171.18,6.95,7.42
305,?,?,?,?,?,7.42,?
306,?,?,?,?,?,?,?
307,?,?,?,?,?,?,?
308,53989.37,1576.65,7661,31,54.90,?,7.35
309,53504.47,1569.20,3125,13,21.75,7.35,7.10
310,53924.01,1574.21,612,4,4.26,7.10,7.00
340,45857.110734846676,1517.0604490598248,?,?,?,?,?,? 
370,46189.882480874876,1525.0638171806484,?,?,?,?,?,? 
400,46522.654226903076,1533.067185301472,?,?,?,?,?,? 
490,47520.969464987684,1557.077289663942,?,?,?,?,?,? 
670,49517.5999411569,1605.0974983888825,?,?,?,?,?,? 
