%310
@RELATION PLIZNS000022
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-SPOZYW NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
165,48273.42,3261.51,49057.66,3092.65,151992.35,172.35,35.56,2.36,2.35
166,?,?,?,?,?,?,?,2.35,?
167,?,?,?,?,?,?,?,?,?
168,48131.61,3221.03,48917.56,3100.24,128972.32,92.32,30.18,?,2.32
169,48119.72,3243.93,48891.04,3120.39,887272.39,572.39,210.66,2.32,2.39
170,47743.10,3245.92,48509.84,3122.21,729492.36,432.36,172.56,2.39,2.36
171,45870.00,3150.91,46587.68,3038.18,1059902.42,692.42,252.56,2.36,2.42
172,44732.92,3055.25,45456.77,3001.68,2179072.52,1102.52,538.89,2.42,2.52
173,?,?,?,?,?,?,?,2.52,?
174,?,?,?,?,?,?,?,?,?
175,44824.62,3144.77,45531.46,2990.89,1482912.57,792.57,378.54,?,2.57
176,44966.09,3152.21,45672.10,2999.31,1329602.54,452.54,334.12,2.57,2.54
177,44893.99,3120.81,45601.51,2972.55,635412.60,332.60,162.33,2.54,2.60
178,43667.37,3067.07,44326.49,2915.58,880222.64,462.64,227.96,2.60,2.64
179,44747.79,3103.44,45442.51,2948.80,908092.70,552.70,239.11,2.64,2.70
180,?,?,?,?,?,?,?,2.70,?
181,?,?,?,?,?,?,?,?,?
182,44769.00,3106.66,45461.06,2963.91,329912.68,252.68,87.77,?,2.68
183,45533.94,3110.28,46254.71,2981.48,248932.64,262.64,65.87,2.68,2.64
184,45184.98,3116.57,45899.36,2971.57,340892.60,262.60,88.50,2.64,2.60
185,45613.75,3145.35,46344.42,2988.19,127952.64,192.64,33.29,2.60,2.64
186,45110.89,3176.37,45805.34,2977.06,127252.68,142.68,33.58,2.64,2.68
187,?,?,?,?,?,?,?,2.68,?
188,?,?,?,?,?,?,?,?,?
189,44534.34,3202.26,45172.40,2948.16,199402.68,142.68,53.34,?,2.68
190,44342.23,3223.44,44969.23,2924.69,273312.60,222.60,71.61,2.68,2.60
191,45068.55,3278.06,45727.71,2962.09,111222.57,162.57,28.94,2.60,2.57
192,45712.72,3306.79,46390.36,2992.86,339022.63,312.63,86.31,2.57,2.63
193,46150.78,3344.00,46839.89,3017.66,106182.64,132.64,28.16,2.63,2.64
194,?,?,?,?,?,?,?,2.64,?
195,?,?,?,?,?,?,?,?,?
196,46218.05,3318.87,46922.43,3022.70,334322.62,262.62,87.73,?,2.62
197,46155.10,3320.24,46860.35,3017.11,425102.62,342.62,112.51,2.62,2.62
198,46287.08,3333.09,47003.76,3021.27,254442.63,202.63,66.66,2.62,2.63
199,46221.23,3389.39,46919.83,3023.16,377992.60,272.60,97.84,2.63,2.60
200,46399.74,3370.14,47120.88,3019.85,484972.64,382.64,126.18,2.60,2.64
201,?,?,?,?,?,?,?,2.64,?
202,?,?,?,?,?,?,?,?,?
203,46361.70,3363.21,47075.43,3021.70,339682.63,302.63,89.37,?,2.63
204,46714.43,3398.88,47454.90,3029.97,282052.62,152.62,73.77,2.63,2.62
205,46835.98,3451.39,47575.74,3050.63,520122.62,292.62,135.78,2.62,2.62
206,46713.02,3417.55,47446.69,3036.16,733852.71,542.71,195.40,2.62,2.71
207,46258.91,3376.81,46981.22,3015.00,484972.78,472.78,133.87,2.71,2.78
208,?,?,?,?,?,?,?,2.78,?
209,?,?,?,?,?,?,?,?,?
210,46480.62,3407.34,47214.30,3032.94,597232.84,622.84,169.12,?,2.84
211,46663.41,3422.75,47398.08,3038.42,826942.92,682.92,239.51,2.84,2.92
212,46925.65,3384.71,47676.43,3046.08,729602.97,782.97,216.72,2.92,2.97
213,47370.81,3341.99,48147.76,3060.17,362212.91,382.91,105.56,2.97,2.91
214,48325.33,3426.64,49133.14,3110.79,210832.89,182.89,61.25,2.91,2.89
215,?,?,?,?,?,?,?,2.89,?
216,?,?,?,?,?,?,?,?,?
217,48458.44,3483.43,49272.86,3127.41,193592.89,262.89,56.12,?,2.89
218,47942.81,3486.01,48742.34,3127.38,400752.89,382.89,114.66,2.89,2.89
219,48306.55,3527.25,49124.78,3168.23,197192.85,202.85,56.56,2.89,2.85
220,48862.88,3579.17,49700.18,3190.86,219052.86,202.86,62.60,2.85,2.86
221,49125.36,3499.45,49994.77,3206.86,260372.87,172.87,74.49,2.86,2.87
222,?,?,?,?,?,?,?,2.87,?
223,?,?,?,?,?,?,?,?,?
224,49580.16,3519.19,50476.37,3225.79,298862.85,422.85,85.54,?,2.85
225,49747.66,3538.38,50646.05,3233.22,163972.85,222.85,46.73,2.85,2.85
226,50223.95,3530.29,51152.95,3271.49,166382.81,222.81,47.32,2.85,2.81
227,?,?,?,?,?,?,?,2.81,?
228,49976.48,3459.16,50906.11,3253.28,326722.89,392.89,93.01,?,2.89
229,?,?,?,?,?,?,?,2.89,?
230,?,?,?,?,?,?,?,?,?
231,49772.46,3428.34,50713.14,3237.31,238032.85,232.85,68.10,?,2.85
232,49162.16,3400.95,50077.30,3210.57,321262.83,352.83,90.69,2.85,2.83
233,49128.05,3447.66,50032.45,3221.87,158812.87,162.87,45.40,2.83,2.87
234,49846.48,3478.42,50780.47,3260.69,590092.87,662.87,166.38,2.87,2.87
235,49895.10,3467.02,50836.47,3260.35,821342.88,552.88,235.07,2.87,2.88
236,?,?,?,?,?,?,?,2.88,?
237,?,?,?,?,?,?,?,?,?
238,49818.48,3495.18,50756.86,3255.45,1772323.03,983.03,518.41,?,3.03
239,48833.58,3423.51,49731.02,3197.48,3340663.21,2303.21,1047.07,3.03,3.21
240,48537.65,3384.22,49421.50,3183.87,1360423.31,593.31,442.07,3.21,3.31
241,48676.45,3385.51,49569.11,3204.20,1695963.49,933.49,582.78,3.31,3.49
242,48871.98,3363.18,49771.98,3196.27,2351193.67,1163.67,844.11,3.49,3.67
243,?,?,?,?,?,?,?,3.67,?
244,?,?,?,?,?,?,?,?,?
245,49187.22,3393.26,50099.55,3230.20,792393.77,763.77,297.06,?,3.77
246,48968.87,3405.95,49861.54,3226.75,974673.79,663.79,366.66,3.77,3.79
247,47919.09,3338.86,48781.63,3174.71,400133.73,563.73,149.31,3.79,3.73
248,45830.66,3280.10,46598.42,3061.25,1145773.68,1003.68,423.22,3.73,3.68
249,46717.04,3320.52,47514.09,3142.61,1481063.85,573.85,552.82,3.68,3.85
250,?,?,?,?,?,?,?,3.85,?
251,?,?,?,?,?,?,?,?,?
252,47808.90,3374.64,48651.54,3199.68,2063124.00,1754.00,817.47,?,4.00
253,48961.51,3449.10,49839.90,3256.85,567553.99,553.99,226.24,4.00,3.99
254,49437.02,3502.00,50312.63,3285.29,107643.96,323.96,42.57,3.99,3.96
255,49771.55,3561.86,50644.38,3303.55,809203.94,633.94,316.97,3.96,3.94
256,49348.61,3556.85,50196.31,3285.49,536623.97,303.97,213.07,3.94,3.97
257,?,?,?,?,?,?,?,3.97,?
258,?,?,?,?,?,?,?,?,?
259,48917.85,3498.14,49741.35,3260.05,592813.98,403.98,235.35,?,3.98
260,49434.46,3583.06,50258.11,3286.61,827463.96,483.96,327.55,3.98,3.96
261,49413.33,3581.84,50227.43,3277.41,2086254.10,804.10,822.47,3.96,4.10
262,50300.53,3605.94,51171.25,3316.59,1723934.35,1184.35,741.89,4.10,4.35
263,50308.19,3585.84,51202.75,3316.08,1400624.28,864.28,601.16,4.35,4.28
264,?,?,?,?,?,?,?,4.28,?
265,?,?,?,?,?,?,?,?,?
266,49955.87,3517.39,50869.00,3291.57,2366044.20,1174.20,992.07,?,4.20
267,49979.47,3512.70,50887.67,3275.67,2917234.49,1274.49,1253.68,4.20,4.49
268,50301.69,3515.41,51221.45,3299.72,672664.49,764.49,298.36,4.49,4.49
269,50936.34,3538.09,51846.54,3336.44,790914.48,624.48,351.90,4.49,4.48
270,50819.81,3532.05,51704.53,3352.18,736874.47,404.47,328.21,4.48,4.47
271,?,?,?,?,?,?,?,4.47,?
272,?,?,?,?,?,?,?,?,?
273,50301.85,3494.36,51191.50,3349.29,1840874.49,1714.49,810.55,?,4.49
274,50782.48,3499.03,51691.24,3351.68,199094.47,274.47,88.45,4.49,4.47
275,50803.40,3513.56,51709.58,3364.40,239734.47,514.47,106.08,4.47,4.47
276,50982.03,3525.92,51911.61,3383.62,176304.46,374.46,78.38,4.47,4.46
277,50601.24,3510.90,51511.63,3381.52,242924.47,374.47,107.20,4.46,4.47
278,?,?,?,?,?,?,?,4.47,?
279,?,?,?,?,?,?,?,?,?
280,50338.71,3501.94,51239.47,3383.60,86254.43,174.43,38.01,?,4.43
281,50137.88,3519.36,51021.26,3368.14,246854.34,254.34,107.52,4.43,4.34
282,50335.02,3561.38,51215.99,3379.96,164914.28,364.28,70.22,4.34,4.28
283,51806.83,3648.78,52744.48,3454.41,193864.26,504.26,81.18,4.28,4.26
284,52230.47,3656.01,53193.87,3477.04,155814.26,294.26,65.83,4.26,4.26
285,?,?,?,?,?,?,?,4.26,?
286,?,?,?,?,?,?,?,?,?
287,52520.91,3648.47,53498.97,3508.85,180184.24,334.24,75.23,?,4.24
288,52590.73,3614.40,53588.87,3544.07,573434.12,674.12,237.64,4.24,4.12
289,52861.41,3568.21,53918.41,3548.14,613474.19,984.19,248.90,4.12,4.19
290,52573.59,3637.13,53571.90,3572.96,364104.06,504.06,151.57,4.19,4.06
291,52587.24,3669.50,53572.92,3535.97,361594.03,514.03,146.91,4.06,4.03
292,?,?,?,?,?,?,?,4.03,?
293,?,?,?,?,?,?,?,?,?
294,53853.55,3737.21,54903.39,3606.06,672694.05,1004.05,266.66,?,4.05
295,53781.81,3771.51,54818.06,3615.60,731854.09,694.09,295.68,4.05,4.09
296,53389.74,3696.25,54433.41,3596.10,312484.09,254.09,127.53,4.09,4.09
297,53994.46,3739.61,55063.75,3637.76,157804.07,254.07,64.63,4.09,4.07
298,53887.13,3516.88,55023.42,3651.19,412234.03,494.03,166.50,4.07,4.03
299,?,?,?,?,?,?,?,4.03,?
300,?,?,?,?,?,?,?,?,?
301,54180.04,3427.82,55362.19,3660.45,678824.20,764.20,277.45,?,4.20
302,54536.95,3478.84,55688.45,3688.57,1327294.34,1054.34,567.22,4.20,4.34
303,54095.32,3394.12,55240.01,3660.80,220654.31,344.31,95.07,4.34,4.31
304,53607.86,3362.26,54734.18,3628.73,633184.39,524.39,274.24,4.31,4.39
305,?,?,?,?,?,?,?,4.39,?
306,?,?,?,?,?,?,?,?,?
307,?,?,?,?,?,?,?,?,?
308,53989.37,3422.88,55121.60,3668.56,21929,33,95.44,?,4.30
309,53504.47,3437.50,54600.05,3645.18,68774,57,299.10,4.30,4.23
310,53924.01,3426.03,55035.36,3650.27,11671,28,49.46,4.23,4.31
340,45857.110734846676,2864.893371122059,47106.0108522239,3215.763816454578,?,?,?,?,?,? 
370,46189.882480874876,2842.611796073331,47398.32393415799,3267.20146029432,?,?,?,?,?,? 
400,46522.654226903076,2820.330221024603,47690.63701609208,3318.639104134063,?,?,?,?,?,? 
490,47520.969464987684,2753.4854958784194,48567.57626189435,3472.9520356532903,?,?,?,?,?,? 
670,49517.5999411569,2619.796045586054,50321.45475349891,3781.5778986917467,?,?,?,?,?,? 
