%310
@RELATION PLATM0000021
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-MEDIA NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
207,858.83,46258.91,3139.34,46981.22,3015.00,327661.47,191.47,47.58,1.44,1.47
208,?,?,?,?,?,?,?,?,1.47,?
209,?,?,?,?,?,?,?,?,?,?
210,862.18,46480.62,3198.11,47214.30,3032.94,521781.49,401.49,76.10,?,1.49
211,870.15,46663.41,3193.87,47398.08,3038.42,977451.50,351.50,146.69,1.49,1.50
212,878.25,46925.65,3155.49,47676.43,3046.08,224261.48,121.48,33.47,1.50,1.48
213,881.30,47370.81,3181.95,48147.76,3060.17,858421.50,161.50,128.19,1.48,1.50
214,884.10,48325.33,3281.00,49133.14,3110.79,1444781.49,121.49,217.29,1.50,1.49
215,?,?,?,?,?,?,?,?,1.49,?
216,?,?,?,?,?,?,?,?,?,?
217,891.59,48458.44,3273.93,49272.86,3127.41,582851.44,261.44,85.25,?,1.44
218,891.86,47942.81,3294.82,48742.34,3127.38,351501.43,211.43,50.60,1.44,1.43
219,898.91,48306.55,3296.25,49124.78,3168.23,29061.43,51.43,4.16,1.43,1.43
220,903.85,48862.88,3347.67,49700.18,3190.86,5111.46,21.46,0.75,1.43,1.46
221,909.96,49125.36,3339.13,49994.77,3206.86,274671.49,211.49,40.56,1.46,1.49
222,?,?,?,?,?,?,?,?,1.49,?
223,?,?,?,?,?,?,?,?,?,?
224,918.93,49580.16,3357.82,50476.37,3225.79,2531991.60,951.60,398.68,?,1.60
225,922.16,49747.66,3371.42,50646.05,3233.22,821851.68,571.68,137.72,1.60,1.68
226,928.58,50223.95,3408.63,51152.95,3271.49,102481.64,161.64,16.81,1.68,1.64
227,?,?,?,?,?,?,?,?,1.64,?
228,928.83,49976.48,3380.10,50906.11,3253.28,92551.63,71.63,15.04,?,1.63
229,?,?,?,?,?,?,?,?,1.63,?
230,?,?,?,?,?,?,?,?,?,?
231,919.57,49772.46,3285.01,50713.14,3237.31,549541.63,241.63,88.07,?,1.63
232,914.58,49162.16,3253.81,50077.30,3210.57,3234701.80,721.80,541.63,1.63,1.80
