%310
@RELATION PLJSW0000015
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG30 NUMERIC 
@ATTRIBUTE WIG20 NUMERIC 
@ATTRIBUTE WIGdiv NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE RESPECT NUMERIC 
@ATTRIBUTE WIG30TR NUMERIC 
@ATTRIBUTE WIG20TR NUMERIC 
@ATTRIBUTE WIG-SUROWC NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
24,2601.37,2568.63,1093.21,47942.04,2650.72,3756.00,3708.72,6119.89,48203.43,4803093.85,65293.85,4481.85,93.30,93.85
25,2578.18,2542.32,1084.16,47613.95,2622.74,3722.51,3670.73,6001.94,47851.99,9075493.00,54993.00,8448.45,93.85,93.00
26,?,?,?,?,?,?,?,?,?,?,?,?,93.00,?
27,?,?,?,?,?,?,?,?,?,?,?,?,?,?
28,2558.56,2521.50,1079.13,47324.06,2591.34,3694.19,3640.67,5915.03,47553.14,9723092.30,70892.30,8950.66,?,92.30
29,2560.73,2524.36,1078.99,47328.40,2586.29,3697.32,3644.80,5925.42,47565.10,5404691.50,35291.50,4957.38,92.30,91.50
30,2532.09,2496.15,1071.11,46917.19,2576.43,3655.96,3604.07,5992.61,47113.08,4804392.20,51892.20,4419.94,91.50,92.20
31,2522.74,2492.76,1070.81,46840.15,2575.55,3642.47,3599.17,6028.75,47011.43,11151894.00,79194.00,10423.46,92.20,94.00
32,2529.59,2499.19,1073.47,46945.58,2583.37,3652.36,3608.45,6035.19,47121.08,9788893.25,63893.25,9163.09,94.00,93.25
33,?,?,?,?,?,?,?,?,?,?,?,?,93.25,?
34,?,?,?,?,?,?,?,?,?,?,?,?,?,?
35,2502.46,2469.73,1061.01,46556.55,2547.25,3613.18,3565.92,5976.74,46735.25,4187191.40,39791.40,3848.47,?,91.40
36,2517.38,2485.25,1066.05,46674.78,2560.42,3634.73,3588.33,5995.81,46862.43,12973991.00,58891.00,11773.10,91.40,91.00
37,2486.34,2455.47,1054.01,46149.14,2519.42,3589.91,3545.34,5900.50,46341.54,6769290.20,55290.20,6114.78,91.00,90.20
38,2495.53,2467.45,1057.65,46329.66,2528.23,3603.17,3562.63,5943.76,46512.72,5511791.70,52491.70,5050.95,90.20,91.70
39,2520.06,2495.42,1068.97,46741.54,2552.12,3638.59,3603.02,6055.39,46931.40,8207393.40,65093.40,7656.25,91.70,93.40
40,?,?,?,?,?,?,?,?,?,?,?,?,93.40,?
41,?,?,?,?,?,?,?,?,?,?,?,?,?,?
42,2524.86,2497.88,1067.80,46786.74,2558.20,3645.53,3606.56,6025.00,46988.04,8508993.90,41593.90,7944.54,?,93.90
43,2492.15,2470.48,1038.81,46399.26,2481.31,3598.29,3567.01,6018.00,46564.61,14491793.95,74393.95,13614.96,93.90,93.95
44,2492.46,2471.21,1034.74,46406.74,2484.02,3598.75,3568.06,6021.33,46569.81,4409594.05,37594.05,4127.61,93.95,94.05
45,2475.92,2456.36,1024.61,46211.54,2456.32,3574.86,3546.62,5994.22,46360.51,11981394.20,92094.20,11262.72,94.05,94.20
46,2488.01,2467.63,1029.14,46370.13,2472.53,3592.31,3562.89,5963.56,46523.63,18307996.20,139196.20,17399.38,94.20,96.20
47,?,?,?,?,?,?,?,?,?,?,?,?,96.20,?
48,?,?,?,?,?,?,?,?,?,?,?,?,?,?
49,2496.81,2476.01,1033.03,46508.27,2481.71,3605.03,3574.99,6022.84,46665.39,9263997.60,88397.60,8973.26,?,97.60
50,2498.71,2477.19,1028.99,46490.89,2480.51,3607.77,3576.69,5980.16,46652.19,15219297.35,74797.35,14814.90,97.60,97.35
51,2469.66,2443.16,1013.84,46051.76,2452.52,3565.83,3527.55,5870.71,46198.42,11838293.50,85293.50,11129.54,97.35,93.50
52,2465.43,2436.47,1009.79,45879.90,2449.91,3559.72,3517.90,5749.62,46050.52,11591093.35,59593.35,10713.80,93.50,93.35
53,2468.34,2437.24,1008.41,45948.12,2447.21,3563.91,3519.01,5767.71,46124.82,12104093.60,93793.60,11210.71,93.35,93.60
54,?,?,?,?,?,?,?,?,?,?,?,?,93.60,?
55,?,?,?,?,?,?,?,?,?,?,?,?,?,?
56,2485.01,2454.92,1013.72,46286.28,2457.59,3587.99,3544.53,5813.13,46487.05,10388495.00,78695.00,9828.39,?,95.00
57,2458.58,2428.57,1007.53,45868.35,2428.46,3549.82,3506.49,5781.02,46065.85,9120293.60,75493.60,8528.29,95.00,93.60
58,2481.27,2450.36,1014.91,46241.92,2456.88,3582.59,3537.96,5859.61,46459.99,12285393.15,59993.15,11438.39,93.60,93.15
59,2483.07,2452.01,1015.09,46280.36,2464.60,3585.19,3540.33,5785.56,46510.83,6066895.00,56995.00,5723.52,93.15,95.00
60,2494.13,2452.86,1019.44,46341.14,2483.58,3601.15,3541.56,5637.89,46622.90,13810695.90,104395.90,13172.71,95.00,95.90
61,?,?,?,?,?,?,?,?,?,?,?,?,95.90,?
62,?,?,?,?,?,?,?,?,?,?,?,?,?,?
63,2483.53,2438.97,1017.25,46137.70,2477.48,3585.84,3521.50,5566.40,46454.13,17780396.85,125896.85,17144.85,?,96.85
64,2515.78,2477.68,1023.77,46676.09,2495.06,3632.41,3577.40,5631.77,47001.38,10036094.75,68394.75,9634.83,96.85,94.75
65,2519.46,2481.36,1022.74,46762.65,2504.03,3637.73,3582.71,5618.77,47090.49,9704094.50,67594.50,9190.65,94.75,94.50
66,2516.92,2474.70,1022.01,46745.26,2502.93,3634.06,3573.10,5584.19,47060.66,18592694.65,57194.65,17600.13,94.50,94.65
67,2538.66,2490.70,1029.77,47074.39,2543.21,3665.45,3596.20,5642.49,47436.21,28874196.60,67196.60,27574.52,94.65,96.60
68,?,?,?,?,?,?,?,?,?,?,?,?,96.60,?
69,?,?,?,?,?,?,?,?,?,?,?,?,?,?
70,2525.69,2479.20,1029.96,46933.03,2522.52,3646.72,3579.59,5587.37,47269.75,26169096.50,46096.50,25139.43,?,96.50
71,2532.30,2482.39,1027.64,47010.40,2517.65,3656.26,3584.20,5632.94,47340.43,23689795.10,60095.10,22725.75,96.50,95.10
72,2525.33,2473.95,1026.57,46888.37,2503.94,3646.20,3572.01,5633.88,47235.72,10630695.80,37895.80,10121.48,95.10,95.80
73,2548.95,2498.84,1033.40,47223.68,2532.24,3680.31,3607.96,5613.80,47606.16,23748495.80,114395.80,22812.05,95.80,95.80
74,2543.87,2486.30,1030.99,47125.93,2511.47,3672.97,3589.85,5536.09,47522.10,64960796.50,287496.50,62884.18,95.80,96.50
75,?,?,?,?,?,?,?,?,?,?,?,?,96.50,?
76,?,?,?,?,?,?,?,?,?,?,?,?,?,?
77,2516.69,2453.90,1019.65,46668.41,2495.62,3633.72,3543.06,5440.92,47094.18,14083996.15,68596.15,13484.38,?,96.15
78,2480.67,2421.94,1004.18,46029.35,2464.10,3581.72,3496.92,5281.11,46473.62,13821795.80,43495.80,13232.20,96.15,95.80
79,2479.47,2422.61,1001.19,46068.24,2469.12,3579.99,3497.89,5358.45,46511.62,6825995.05,49695.05,6520.81,95.80,95.05
80,2453.97,2395.82,992.85,45580.47,2438.71,3543.16,3459.21,5236.73,46017.88,19092294.25,56294.25,18142.74,95.05,94.25
81,2426.14,2370.02,982.63,45066.18,2419.55,3502.98,3421.95,5216.09,45473.08,8463993.10,56793.10,7958.87,94.25,93.10
82,?,?,?,?,?,?,?,?,?,?,?,?,93.10,?
83,?,?,?,?,?,?,?,?,?,?,?,?,?,?
84,2395.40,2339.48,971.44,44585.10,2366.31,3458.60,3377.86,5051.96,44946.32,8551291.00,78191.00,7881.06,?,91.00
85,2406.05,2353.41,974.15,44724.88,2370.58,3473.97,3397.98,5048.24,45119.16,5634392.50,45992.50,5191.64,91.00,92.50
86,2440.82,2385.27,981.90,45247.90,2408.57,3524.18,3443.98,5147.97,45644.09,6868593.40,50093.40,6348.70,92.50,93.40
87,2430.73,2370.07,986.42,45147.57,2399.27,3509.61,3422.02,5156.59,45528.85,5225593.40,43593.40,4843.40,93.40,93.40
88,?,?,?,?,?,?,?,?,?,?,?,?,93.40,?
89,?,?,?,?,?,?,?,?,?,?,?,?,?,?
90,?,?,?,?,?,?,?,?,?,?,?,?,?,?
91,?,?,?,?,?,?,?,?,?,?,?,?,?,?
92,2440.15,2375.67,988.58,45304.74,2400.60,3523.22,3430.12,5142.81,45679.51,12919092.00,34592.00,11952.75,?,92.00
93,2398.83,2336.45,974.84,44604.61,2358.53,3463.55,3373.48,5090.88,44940.36,26521087.80,158987.80,23714.85,92.00,87.80
94,2402.20,2342.64,976.20,44623.89,2372.92,3468.42,3382.42,5208.86,44980.62,11129689.20,112289.20,9886.69,87.80,89.20
95,2400.73,2346.37,975.85,44597.66,2366.71,3466.30,3387.81,5159.17,44960.02,9027587.50,80887.50,8000.42,89.20,87.50
96,?,?,?,?,?,?,?,?,?,?,?,?,87.50,?
97,?,?,?,?,?,?,?,?,?,?,?,?,?,?
98,2401.04,2344.72,975.73,44590.97,2363.50,3466.74,3385.42,5122.37,44963.96,10261887.50,73987.50,9074.79,?,87.50
99,2403.05,2347.10,975.68,44725.03,2366.79,3477.52,3396.49,5118.69,45096.35,4376388.35,38488.35,3867.50,87.50,88.35
100,2423.82,2370.51,979.74,45091.63,2381.73,3507.58,3430.37,5231.33,45495.34,21137887.00,130487.00,18593.87,88.35,87.00
101,2462.75,2409.02,994.45,45688.48,2424.99,3563.91,3486.10,5334.64,46131.66,12667889.20,61989.20,11175.68,87.00,89.20
102,2456.16,2397.08,991.42,45525.92,2426.63,3554.37,3468.81,5213.56,45960.10,10184588.60,44188.60,9011.35,89.20,88.60
103,?,?,?,?,?,?,?,?,?,?,?,?,88.60,?
104,?,?,?,?,?,?,?,?,?,?,?,?,?,?
105,2411.63,2350.08,976.98,44724.14,2384.90,3489.94,3400.81,4963.73,45167.65,8649388.40,63888.40,7576.54,?,88.40
106,?,?,?,?,?,?,?,?,?,?,?,?,88.40,?
107,2372.48,2304.59,961.16,43916.24,2368.24,3433.28,3334.98,4678.37,44404.81,11846587.45,113087.45,10278.04,?,87.45
108,2338.69,2269.22,947.88,43364.70,2329.94,3387.52,3283.79,4622.98,43850.06,15752683.00,102083.00,13325.87,87.45,83.00
109,2342.83,2277.71,953.25,43447.75,2326.99,3393.51,3296.08,4679.92,43993.98,9210582.75,91882.75,7607.04,83.00,82.75
110,?,?,?,?,?,?,?,?,?,?,?,?,82.75,?
111,?,?,?,?,?,?,?,?,?,?,?,?,?,?
112,2337.88,2278.07,957.00,43360.30,2324.80,3386.35,3296.60,4746.73,43892.82,6621982.60,62382.60,5527.67,?,82.60
113,2331.94,2273.47,956.98,43159.57,2322.43,3377.74,3289.95,4653.36,43707.88,15991986.90,90786.90,13687.46,82.60,86.90
114,2345.85,2286.71,956.07,43356.73,2333.85,3397.89,3309.10,4689.33,43908.95,10399384.00,109884.00,8794.88,86.90,84.00
115,2349.59,2288.09,957.91,43482.18,2351.74,3403.31,3311.10,4760.15,44027.03,5124884.41,39084.41,4321.18,84.00,84.41
116,2359.18,2294.06,957.94,43665.21,2347.25,3417.20,3319.74,4780.99,44226.06,4751283.46,44383.46,3990.61,84.41,83.46
117,?,?,?,?,?,?,?,?,?,?,?,?,83.46,?
118,?,?,?,?,?,?,?,?,?,?,?,?,?,?
119,2372.13,2303.18,960.13,43882.16,2352.08,3435.94,3332.94,4713.54,44420.22,3430582.00,36482.00,2847.82,?,82.00
120,2388.07,2319.15,967.66,44162.18,2365.51,3459.03,3356.04,4803.70,44653.34,9794583.50,87183.50,8019.59,82.00,83.50
121,?,?,?,?,?,?,?,?,?,?,?,?,83.50,?
122,2374.97,2305.90,969.80,43991.51,2371.23,3440.07,3336.87,4678.10,44466.89,7482681.00,92281.00,6148.73,?,81.00
123,?,?,?,?,?,?,?,?,?,?,?,?,81.00,?
124,?,?,?,?,?,?,?,?,?,?,?,?,?,?
125,?,?,?,?,?,?,?,?,?,?,?,?,?,?
126,2407.08,2339.22,985.04,44541.73,2405.15,3486.58,3385.09,4747.64,45060.80,9547681.70,66981.70,7814.63,?,81.70
127,2417.54,2347.82,983.62,44742.22,2406.38,3501.73,3397.54,4761.71,45244.29,28458181.00,196381.00,22984.97,81.70,81.00
128,2439.21,2367.91,989.70,45117.94,2431.87,3533.12,3426.60,4795.34,45647.76,18445779.20,178979.20,14659.01,81.00,79.20
129,2431.22,2348.95,982.95,44943.16,2432.74,3521.54,3399.18,4741.73,45475.08,11621179.30,88579.30,9185.00,79.20,79.30
130,2426.35,2338.16,983.43,44895.35,2418.77,3514.48,3383.56,4715.62,45408.06,6071378.80,42178.80,4797.00,79.30,78.80
131,?,?,?,?,?,?,?,?,?,?,?,?,78.80,?
132,?,?,?,?,?,?,?,?,?,?,?,?,?,?
133,2443.14,2354.34,990.06,45207.84,2429.59,3541.49,3409.58,4699.83,45746.01,8700177.80,85577.80,6728.94,?,77.80
134,2479.96,2386.81,1004.51,45771.11,2464.03,3594.88,3456.59,4716.17,46336.62,11574380.39,125680.39,9029.53,77.80,80.39
135,2500.68,2408.86,1009.60,46102.42,2475.71,3624.90,3488.53,4659.72,46676.61,11068180.00,112580.00,8862.88,80.39,80.00
136,2488.92,2390.32,1005.91,45992.03,2482.49,3611.62,3465.30,4587.76,46581.16,17827879.85,136379.85,14263.78,80.00,79.85
137,2493.28,2391.07,1003.88,46078.68,2496.00,3617.94,3466.38,4609.98,46646.58,7916381.37,94981.37,6391.71,79.85,81.37
138,?,?,?,?,?,?,?,?,?,?,?,?,81.37,?
139,?,?,?,?,?,?,?,?,?,?,?,?,?,?
140,2488.97,2376.78,999.39,46041.35,2490.85,3611.69,3445.67,4539.09,46615.31,8112280.75,44080.75,6563.17,?,80.75
141,2472.29,2370.32,996.01,45851.80,2463.54,3587.49,3436.30,4591.43,46439.10,11351378.00,127278.00,8898.38,80.75,78.00
142,2474.43,2371.95,995.72,45933.66,2469.68,3590.59,3438.66,4633.44,46529.96,42464772.60,414672.60,31373.35,78.00,72.60
143,2459.61,2359.42,990.26,45687.76,2453.92,3569.08,3420.51,4520.63,46311.26,47240273.09,242973.09,33489.05,72.60,73.09
144,2486.10,2384.58,999.44,46145.44,2484.35,3607.51,3456.98,4568.53,46783.61,24213573.60,157273.60,17700.81,73.09,73.60
145,?,?,?,?,?,?,?,?,?,?,?,?,73.60,?
146,?,?,?,?,?,?,?,?,?,?,?,?,?,?
147,2556.62,2451.06,1021.35,47277.10,2561.94,3709.85,3553.36,4703.65,47957.54,17713776.00,96476.00,13316.26,?,76.00
148,2573.63,2469.37,1028.33,47579.87,2578.46,3734.53,3579.90,4806.05,48258.02,18141076.90,136576.90,14051.47,76.00,76.90
149,2563.21,2463.37,1032.73,47476.64,2562.11,3723.76,3575.43,4811.60,48138.07,14722876.60,97876.60,11292.90,76.90,76.60
150,?,?,?,?,?,?,?,?,?,?,?,?,76.60,?
151,2583.50,2485.50,1043.83,47806.34,2578.05,3753.24,3607.54,4817.27,48503.87,44750480.23,212280.23,35123.29,?,80.23
152,?,?,?,?,?,?,?,?,?,?,?,?,80.23,?
153,?,?,?,?,?,?,?,?,?,?,?,?,?,?
154,2546.43,2443.65,1025.46,47175.79,2540.78,3699.39,3546.80,4701.48,47868.36,16797775.58,197075.58,12862.78,?,75.58
155,2569.08,2462.92,1028.91,47620.68,2555.93,3732.30,3574.77,4725.87,48323.88,12591576.52,105476.52,9679.06,75.58,76.52
156,2578.21,2461.51,1031.84,47805.94,2580.38,3745.56,3572.72,4759.81,48513.29,33775478.20,200878.20,26345.67,76.52,78.20
157,2559.39,2446.29,1025.43,47573.66,2554.45,3718.21,3550.63,4735.72,48259.19,13586778.45,72578.45,10697.20,78.20,78.45
158,2595.30,2488.84,1036.26,48209.65,2580.49,3771.86,3613.82,4845.23,48918.37,15027379.00,110979.00,11870.47,78.45,79.00
159,?,?,?,?,?,?,?,?,?,?,?,?,79.00,?
160,?,?,?,?,?,?,?,?,?,?,?,?,?,?
161,2608.91,2503.41,1043.13,48495.01,2587.96,3791.64,3634.98,4881.56,49207.65,27392779.90,98879.90,21678.57,?,79.90
162,2595.04,2484.11,1038.53,48324.52,2579.42,3771.49,3606.96,4800.45,49050.96,16663779.00,81379.00,13167.05,79.90,79.00
163,2591.90,2481.60,1039.02,48383.93,2564.00,3766.92,3603.31,4828.25,49098.70,13513778.65,52478.65,10636.74,79.00,78.65
164,2573.85,2472.75,1039.63,48152.82,2551.55,3740.69,3590.46,4809.32,48890.47,17300478.20,124678.20,13517.86,78.65,78.20
165,2583.39,2478.43,1041.54,48273.42,2554.84,3754.56,3598.71,4877.46,49057.66,32106577.91,95377.91,25247.90,78.20,77.91
166,?,?,?,?,?,?,?,?,?,?,?,?,77.91,?
167,?,?,?,?,?,?,?,?,?,?,?,?,?,?
168,2575.47,2463.37,1038.28,48131.61,2552.66,3743.05,3576.84,4835.78,48917.56,10618378.90,88978.90,8345.32,?,78.90
169,2571.29,2455.15,1038.59,48119.72,2541.67,3736.96,3564.90,4820.50,48891.04,10476978.40,76878.40,8276.63,78.90,78.40
170,2537.36,2413.40,1034.52,47743.10,2537.78,3707.74,3526.33,4567.42,48509.84,13171178.20,90778.20,10337.03,78.40,78.20
171,2429.92,2297.91,998.13,45870.00,2447.48,3550.74,3357.59,4249.27,46587.68,46106477.00,232777.00,35404.22,78.20,77.00
172,2359.89,2233.64,976.71,44732.92,2351.03,3448.40,3263.68,4064.76,45456.77,110855271.90,684171.90,79456.24,77.00,71.90
173,?,?,?,?,?,?,?,?,?,?,?,?,71.90,?
174,?,?,?,?,?,?,?,?,?,?,?,?,?,?
175,2366.01,2244.27,975.16,44824.62,2350.17,3457.35,3279.21,4020.20,45531.46,15528569.90,145069.90,10790.76,?,69.90
176,2363.41,2246.69,979.40,44966.09,2357.80,3460.00,3289.02,4011.87,45672.10,21143465.50,250165.50,14042.22,69.90,65.50
177,2357.52,2246.66,972.28,44893.99,2333.53,3451.37,3288.98,3913.90,45601.51,33381762.80,305862.80,20796.20,65.50,62.80
178,2286.99,2177.02,940.51,43667.37,2250.80,3348.11,3187.03,3796.33,44326.49,30441760.00,253760.00,19118.27,62.80,60.00
179,2357.01,2245.64,962.64,44747.79,2334.15,3450.62,3287.49,3880.97,45442.51,59652464.13,233364.13,37558.90,60.00,64.13
180,?,?,?,?,?,?,?,?,?,?,?,?,64.13,?
181,?,?,?,?,?,?,?,?,?,?,?,?,?,?
182,2357.66,2237.25,960.62,44769.00,2346.58,3451.57,3275.21,4011.01,45461.06,15638266.00,108966.00,10262.19,?,66.00
183,2407.09,2284.76,976.14,45533.94,2387.78,3523.94,3344.76,4064.72,46254.71,18027966.68,66166.68,11804.41,66.00,66.68
184,2384.58,2262.92,975.88,45184.98,2382.08,3494.73,3316.41,4073.17,45899.36,9022568.62,81868.62,5995.82,66.68,68.62
185,2405.42,2287.54,982.38,45613.75,2398.24,3525.27,3352.49,4138.72,46344.42,9429466.30,60366.30,6261.02,68.62,66.30
186,2372.96,2253.49,971.06,45110.89,2379.17,3477.69,3302.60,4008.86,45805.34,8941065.40,94865.40,5826.57,66.30,65.40
187,?,?,?,?,?,?,?,?,?,?,?,?,65.40,?
188,?,?,?,?,?,?,?,?,?,?,?,?,?,?
189,2336.57,2223.28,960.34,44534.34,2329.18,3424.36,3258.31,3991.61,45172.40,16613164.50,121964.50,10754.73,?,64.50
190,2330.27,2218.77,955.08,44342.23,2329.35,3415.12,3251.71,3910.79,44969.23,21099063.01,107763.01,13342.44,64.50,63.01
191,2360.11,2244.63,971.81,45068.55,2370.74,3482.45,3316.05,3966.34,45727.71,11042964.59,90264.59,7110.72,63.01,64.59
192,2394.81,2279.09,986.53,45712.72,2399.69,3533.66,3366.95,4080.45,46390.36,13936565.87,82265.87,9177.50,64.59,65.87
193,2418.20,2302.81,996.18,46150.78,2414.72,3568.17,3402.00,4144.87,46839.89,9127067.41,80767.41,6109.58,65.87,67.41
194,?,?,?,?,?,?,?,?,?,?,?,?,67.41,?
195,?,?,?,?,?,?,?,?,?,?,?,?,?,?
196,2421.43,2305.78,997.90,46218.05,2415.20,3572.94,3406.39,4179.18,46922.43,6643866.82,52966.82,4435.92,?,66.82
197,2418.21,2303.05,997.68,46155.10,2404.94,3568.19,3402.35,4063.03,46860.35,11423865.60,84165.60,7522.09,66.82,65.60
198,2424.23,2309.79,1002.01,46287.08,2417.44,3581.34,3416.47,3981.41,47003.76,15413865.10,92265.10,10078.55,65.60,65.10
199,2418.23,2300.33,999.65,46221.23,2417.37,3572.47,3402.47,3959.28,46919.83,7010165.76,64165.76,4562.28,65.10,65.76
200,2427.55,2313.31,1004.40,46399.74,2416.51,3587.20,3421.67,3987.11,47120.88,5981065.54,60665.54,3916.11,65.76,65.54
201,?,?,?,?,?,?,?,?,?,?,?,?,65.54,?
202,?,?,?,?,?,?,?,?,?,?,?,?,?,?
203,2420.11,2311.49,1008.29,46361.70,2396.23,3576.21,3418.98,3993.27,47075.43,6674964.60,60064.60,4336.19,?,64.60
204,2440.78,2327.28,1013.36,46714.43,2410.94,3606.75,3442.34,4051.92,47454.90,9587566.00,64766.00,6262.18,64.60,66.00
205,2441.59,2324.17,1013.85,46835.98,2432.91,3617.32,3446.85,4062.65,47575.74,9125066.20,67666.20,6027.42,66.00,66.20
206,2430.68,2317.80,1009.47,46713.02,2419.35,3601.16,3437.40,4001.36,47446.69,5016666.25,47066.25,3305.02,66.20,66.25
207,2400.81,2291.10,999.82,46258.91,2381.24,3556.91,3397.80,3912.76,46981.22,6139165.80,45965.80,4042.86,66.25,65.80
208,?,?,?,?,?,?,?,?,?,?,?,?,65.80,?
209,?,?,?,?,?,?,?,?,?,?,?,?,?,?
210,2411.93,2299.26,1005.01,46480.62,2399.20,3575.31,3411.77,3970.94,47214.30,5587964.00,60664.00,3555.40,?,64.00
211,2421.34,2307.79,1006.09,46663.41,2395.38,3589.26,3424.43,3928.72,47398.08,9258665.00,74065.00,5924.04,64.00,65.00
212,2434.27,2326.59,1008.66,46925.65,2406.95,3608.43,3452.34,3936.54,47676.43,29446667.00,170067.00,19550.05,65.00,67.00
213,2458.52,2351.14,1020.15,47370.81,2423.45,3644.36,3488.76,3980.96,48147.76,21554366.10,144366.10,14348.09,67.00,66.10
214,2514.09,2401.85,1042.34,48325.33,2497.76,3726.75,3564.00,4108.42,49133.14,23415868.85,128668.85,15891.73,66.10,68.85
215,?,?,?,?,?,?,?,?,?,?,?,?,68.85,?
216,?,?,?,?,?,?,?,?,?,?,?,?,?,?
217,2522.03,2405.73,1046.18,48458.44,2503.49,3738.51,3569.77,4134.16,49272.86,9666967.50,72267.50,6511.72,?,67.50
218,2491.58,2366.74,1029.49,47942.81,2488.24,3693.37,3511.91,4061.29,48742.34,9158367.45,70767.45,6131.70,67.50,67.45
219,2511.06,2380.01,1032.76,48306.55,2509.90,3722.25,3531.59,4054.65,49124.78,8040466.85,67066.85,5366.04,67.45,66.85
220,2541.46,2406.40,1043.81,48862.88,2531.42,3767.32,3570.76,4143.81,49700.18,10858166.40,68066.40,7301.95,66.85,66.40
221,2549.05,2414.28,1049.50,49125.36,2525.23,3778.56,3582.45,4312.39,49994.77,8632566.95,63666.95,5746.00,66.40,66.95
222,?,?,?,?,?,?,?,?,?,?,?,?,66.95,?
223,?,?,?,?,?,?,?,?,?,?,?,?,?,?
224,2574.11,2440.05,1065.87,49580.16,2552.44,3815.71,3620.69,4419.65,50476.37,27788272.00,236672.00,19347.41,?,72.00
225,2582.83,2442.30,1067.80,49747.66,2567.59,3828.64,3624.03,4414.11,50646.05,20828874.00,201974.00,15223.26,72.00,74.00
226,2609.42,2461.22,1077.48,50223.95,2588.79,3868.05,3652.11,4371.50,51152.95,29690374.75,190374.75,22047.07,74.00,74.75
227,?,?,?,?,?,?,?,?,?,?,?,?,74.75,?
228,2594.32,2445.60,1070.04,49976.48,2574.59,3845.67,3628.93,4336.24,50906.11,6259672.81,75372.81,4594.61,?,72.81
229,?,?,?,?,?,?,?,?,?,?,?,?,72.81,?
230,?,?,?,?,?,?,?,?,?,?,?,?,?,?
