%310
@RELATION PLARCUS00040
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-INFO NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
113,769.16,43159.57,1070.14,43707.88,135653.15,213.15,43.94,3.41,3.15
114,769.82,43356.73,1084.85,43908.95,81683.25,133.25,26.40,3.15,3.25
115,774.88,43482.18,1076.35,44027.03,101103.68,333.68,35.07,3.25,3.68
116,777.86,43665.21,1081.14,44226.06,167253.70,243.70,58.72,3.68,3.70
117,?,?,?,?,?,?,?,3.70,?
118,?,?,?,?,?,?,?,?,?
119,779.98,43882.16,1086.18,44420.22,45343.60,83.60,16.46,?,3.60
120,784.81,44162.18,1096.22,44653.34,131303.82,163.82,47.58,3.60,3.82
121,?,?,?,?,?,?,?,3.82,?
122,787.45,43991.51,1077.28,44466.89,46853.80,73.80,17.74,?,3.80
123,?,?,?,?,?,?,?,3.80,?
124,?,?,?,?,?,?,?,?,?
125,?,?,?,?,?,?,?,?,?
126,786.57,44541.73,1104.54,45060.80,99003.66,163.66,36.78,?,3.66
127,793.09,44742.22,1111.64,45244.29,29143.89,43.89,11.09,3.66,3.89
128,798.10,45117.94,1106.26,45647.76,52513.93,83.93,20.54,3.89,3.93
129,800.71,44943.16,1111.55,45475.08,21603.85,53.85,8.13,3.93,3.85
130,800.42,44895.35,1118.53,45408.06,136534.05,204.05,52.83,3.85,4.05
131,?,?,?,?,?,?,?,4.05,?
132,?,?,?,?,?,?,?,?,?
133,802.74,45207.84,1126.14,45746.01,42004.06,174.06,17.19,?,4.06
134,804.49,45771.11,1157.28,46336.62,133673.93,213.93,53.48,4.06,3.93
