%310
@RELATION PLSIMPL00011
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-INFO NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
132,?,?,?,?,?,?,?,?,?
133,802.74,45207.84,1126.14,45746.01,17.30,17.30,0.01,?,7.30
134,804.49,45771.11,1157.28,46336.62,2017.64,67.64,1.42,7.30,7.64
135,802.28,46102.42,1180.62,46676.61,1107.64,27.64,0.84,7.64,7.64
136,806.45,45992.03,1159.61,46581.16,17.61,17.61,0.01,7.64,7.61
137,810.69,46078.68,1125.40,46646.58,17147.80,137.80,13.16,7.61,7.80
138,?,?,?,?,?,?,?,7.80,?
139,?,?,?,?,?,?,?,?,?
140,815.60,46041.35,1137.52,46615.31,13787.75,47.75,10.74,?,7.75
141,819.76,45851.80,1125.99,46439.10,55377.60,177.60,43.61,7.75,7.60
142,818.82,45933.66,1125.44,46529.96,2397.99,27.99,1.90,7.60,7.99
143,814.69,45687.76,1120.21,46311.26,16658.05,98.05,13.20,7.99,8.05
144,820.11,46145.44,1124.91,46783.61,26668.04,88.04,21.25,8.05,8.04
145,?,?,?,?,?,?,?,8.04,?
146,?,?,?,?,?,?,?,?,?
147,828.12,47277.10,1142.01,47957.54,5508.00,38.00,4.40,?,8.00
148,838.40,47579.87,1154.78,48258.02,13247.98,87.98,10.27,8.00,7.98
149,842.72,47476.64,1171.08,48138.07,26307.86,77.86,20.32,7.98,7.86
150,?,?,?,?,?,?,?,7.86,?
151,841.72,47806.34,1165.26,48503.87,13777.85,97.85,10.70,?,7.85
152,?,?,?,?,?,?,?,7.85,?
153,?,?,?,?,?,?,?,?,?
154,839.57,47175.79,1165.63,47868.36,407.85,17.85,0.31,?,7.85
155,854.67,47620.68,1159.94,48323.88,17.85,17.85,0.01,7.85,7.85
156,859.35,47805.94,1151.72,48513.29,16887.84,47.84,13.25,7.85,7.84
