%310
@RELATION PLNFI0900014
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE mWIG40 NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-TELKOM NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
124,?,?,?,?,?,?,?,?,?,?
125,?,?,?,?,?,?,?,?,?,?
126,2568.68,44541.73,754.94,45060.80,2714.72,90502140.77,3910.77,6804.90,?,0.77
127,2587.84,44742.22,740.27,45244.29,2733.96,108244730.80,4940.80,8536.22,0.77,0.80
128,2610.73,45117.94,753.37,45647.76,2752.14,28501300.79,1560.79,2253.86,0.80,0.79
129,2630.10,44943.16,761.78,45475.08,2760.20,44372560.78,1650.78,3460.84,0.79,0.78
130,2654.43,44895.35,761.07,45408.06,2769.85,42237800.78,1220.78,3309.89,0.78,0.78
131,?,?,?,?,?,?,?,?,0.78,?
132,?,?,?,?,?,?,?,?,?,?
133,2678.95,45207.84,770.18,45746.01,2790.62,94977370.82,4630.82,7617.60,?,0.82
134,2713.50,45771.11,796.41,46336.62,2822.41,26941730.81,2090.81,2181.95,0.82,0.81
135,2720.73,46102.42,790.53,46676.61,2848.38,32884040.80,1720.80,2627.70,0.81,0.80
136,2740.12,45992.03,782.75,46581.16,2871.70,49921360.80,3140.80,3906.59,0.80,0.80
137,2751.78,46078.68,780.26,46646.58,2885.19,54409830.81,2230.81,4387.03,0.80,0.81
138,?,?,?,?,?,?,?,?,0.81,?
139,?,?,?,?,?,?,?,?,?,?
140,2788.61,46041.35,782.37,46615.31,2921.95,50885070.84,3400.84,4209.74,?,0.84
141,2759.55,45851.80,770.66,46439.10,2893.12,29877250.83,1930.83,2484.47,0.84,0.83
142,2771.55,45933.66,760.17,46529.96,2912.70,8041290.83,850.83,666.18,0.83,0.83
143,2756.32,45687.76,761.62,46311.26,2894.53,40222070.80,2490.80,3210.89,0.83,0.80
144,2776.52,46145.44,778.68,46783.61,2929.62,37416880.81,1550.81,3045.62,0.80,0.81
145,?,?,?,?,?,?,?,?,0.81,?
146,?,?,?,?,?,?,?,?,?,?
147,2828.89,47277.10,803.36,47957.54,2976.83,18735090.82,1210.82,1535.72,?,0.82
148,2829.62,47579.87,804.57,48258.02,2997.81,12076650.82,1340.82,987.36,0.82,0.82
149,2809.70,47476.64,812.52,48138.07,3000.58,20507280.82,1300.82,1660.96,0.82,0.82
150,?,?,?,?,?,?,?,?,0.82,?
151,2812.75,47806.34,812.32,48503.87,2994.25,76084810.82,4420.82,6264.73,?,0.82
152,?,?,?,?,?,?,?,?,0.82,?
153,?,?,?,?,?,?,?,?,?,?
154,2796.00,47175.79,790.31,47868.36,2970.24,8279730.82,930.82,676.82,?,0.82
155,2837.22,47620.68,787.69,48323.88,2998.79,18617500.82,940.82,1523.44,0.82,0.82
156,2888.79,47805.94,788.29,48513.29,3026.87,44510790.82,1850.82,3642.72,0.82,0.82
157,2875.78,47573.66,795.07,48259.19,3020.15,33013460.81,1490.81,2687.64,0.82,0.81
158,2886.30,48209.65,797.69,48918.37,3044.38,106918750.87,6470.87,9002.23,0.81,0.87
159,?,?,?,?,?,?,?,?,0.87,?
160,?,?,?,?,?,?,?,?,?,?
161,2904.56,48495.01,801.50,49207.65,3065.91,43865910.85,3360.85,3752.02,?,0.85
162,2931.48,48324.52,807.77,49050.96,3074.89,28927390.85,1270.85,2456.18,0.85,0.85
163,2943.65,48383.93,808.77,49098.70,3098.83,44415440.85,1860.85,3772.36,0.85,0.85
164,2925.31,48152.82,806.93,48890.47,3089.32,51479600.87,2270.87,4412.48,0.85,0.87
165,2942.25,48273.42,805.91,49057.66,3092.65,91567490.89,5650.89,8099.97,0.87,0.89
166,?,?,?,?,?,?,?,?,0.89,?
167,?,?,?,?,?,?,?,?,?,?
168,2956.40,48131.61,800.58,48917.56,3100.24,36777050.88,1850.88,3240.09,?,0.88
169,2979.55,48119.72,805.64,48891.04,3120.39,61805000.89,2380.89,5495.50,0.88,0.89
