%310
@RELATION NL0000687309
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE mWIG40 NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-MEDIA NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
143,2756.32,45687.76,2716.44,2894.53,168126.60,626.60,44.71,26.54,26.60
144,2776.52,46145.44,2766.31,2929.62,247127.00,627.00,66.70,26.60,27.00
145,?,?,?,?,?,?,?,27.00,?
146,?,?,?,?,?,?,?,?,?
147,2828.89,47277.10,2877.90,2976.83,2434626.99,1526.99,657.16,?,26.99
148,2829.62,47579.87,2837.61,2997.81,5125526.90,2226.90,1382.51,26.99,26.90
149,2809.70,47476.64,2831.95,3000.58,4430426.99,1826.99,1185.01,26.90,26.99
150,?,?,?,?,?,?,?,26.99,?
151,2812.75,47806.34,2842.44,2994.25,4015927.10,1927.10,1086.32,?,27.10
152,?,?,?,?,?,?,?,27.10,?
153,?,?,?,?,?,?,?,?,?
154,2796.00,47175.79,2851.48,2970.24,2015927.00,1127.00,544.29,?,27.00
155,2837.22,47620.68,2879.25,2998.79,1260627.15,827.15,340.75,27.00,27.15
156,2888.79,47805.94,2930.23,3026.87,18923027.24,2127.24,5122.26,27.15,27.24
157,2875.78,47573.66,2927.35,3020.15,2337627.20,1827.20,631.44,27.24,27.20
158,2886.30,48209.65,2972.76,3044.38,8780027.19,927.19,2371.89,27.20,27.19
159,?,?,?,?,?,?,?,27.19,?
160,?,?,?,?,?,?,?,?,?
161,2904.56,48495.01,2961.52,3065.91,10757127.35,2627.35,2957.43,?,27.35
162,2931.48,48324.52,3012.39,3074.89,8999828.37,3428.37,2477.90,27.35,28.37
163,2943.65,48383.93,3044.90,3098.83,6963629.90,7229.90,1990.64,28.37,29.90
164,2925.31,48152.82,3007.22,3089.32,3381430.00,5230.00,1022.05,29.90,30.00
165,2942.25,48273.42,3038.69,3092.65,8367829.00,6529.00,2426.07,30.00,29.00
166,?,?,?,?,?,?,?,29.00,?
167,?,?,?,?,?,?,?,?,?
168,2956.40,48131.61,3096.81,3100.24,749728.99,1828.99,215.33,?,28.99
169,2979.55,48119.72,3174.21,3120.39,3800029.50,2229.50,1099.31,28.99,29.50
170,2974.95,47743.10,3163.21,3122.21,921030.20,3630.20,274.73,29.50,30.20
171,2905.31,45870.00,3135.33,3038.18,572729.70,2329.70,168.55,30.20,29.70
172,2844.16,44732.92,2970.69,3001.68,450830.00,3730.00,132.25,29.70,30.00
173,?,?,?,?,?,?,?,30.00,?
174,?,?,?,?,?,?,?,?,?
175,2824.47,44824.62,2962.57,2990.89,149729.70,1129.70,44.13,?,29.70
176,2821.05,44966.09,2951.60,2999.31,869129.90,2929.90,259.03,29.70,29.90
177,2807.75,44893.99,2891.59,2972.55,497829.20,1529.20,145.25,29.90,29.20
178,2736.47,43667.37,2856.87,2915.58,13217027.45,1927.45,3805.59,29.20,27.45
179,2776.93,44747.79,2875.12,2948.80,7763128.75,3528.75,2221.09,27.45,28.75
180,?,?,?,?,?,?,?,28.75,?
181,?,?,?,?,?,?,?,?,?
182,2809.58,44769.00,2975.68,2963.91,2428.75,128.75,0.69,?,28.75
