%310
@RELATION PLKETY000011
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE mWIG40 NUMERIC 
@ATTRIBUTE WIGdiv NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
79,2663.64,1001.19,46068.24,46511.62,2874.75,3614141.00,83141.00,506.86,140.10,141.00
80,2635.54,992.85,45580.47,46017.88,2833.61,1889139.30,30139.30,264.36,141.00,139.30
81,2596.69,982.63,45066.18,45473.08,2800.67,2992137.50,40137.50,416.29,139.30,137.50
82,?,?,?,?,?,?,?,?,137.50,?
83,?,?,?,?,?,?,?,?,?,?
84,2576.73,971.44,44585.10,44946.32,2780.21,1204140.50,16140.50,168.50,?,140.50
85,2578.94,974.15,44724.88,45119.16,2774.13,586143.00,11143.00,82.11,140.50,143.00
86,2601.44,981.90,45247.90,45644.09,2785.46,5193139.80,25139.80,725.98,143.00,139.80
87,2624.74,986.42,45147.57,45528.85,2797.31,2380141.00,10141.00,333.56,139.80,141.00
88,?,?,?,?,?,?,?,?,141.00,?
89,?,?,?,?,?,?,?,?,?,?
90,?,?,?,?,?,?,?,?,?,?
91,?,?,?,?,?,?,?,?,?,?
92,2643.63,988.58,45304.74,45679.51,2814.33,701141.00,20141.00,98.68,?,141.00
93,2608.26,974.84,44604.61,44940.36,2769.02,32141.00,3141.00,4.51,141.00,141.00
94,2594.74,976.20,44623.89,44980.62,2766.19,1739137.20,17137.20,239.83,141.00,137.20
95,2572.61,975.85,44597.66,44960.02,2760.91,6018140.00,14140.00,843.04,137.20,140.00
96,?,?,?,?,?,?,?,?,140.00,?
97,?,?,?,?,?,?,?,?,?,?
98,2582.59,975.73,44590.97,44963.96,2764.28,1941140.00,5140.00,271.52,?,140.00
99,2592.09,975.68,44725.03,45096.35,2767.26,219141.00,8141.00,30.65,140.00,141.00
100,2601.25,979.74,45091.63,45495.34,2780.21,3560141.00,2141.00,501.96,141.00,141.00
101,2623.22,994.45,45688.48,46131.66,2794.43,868141.00,3141.00,122.42,141.00,141.00
102,2630.40,991.42,45525.92,45960.10,2783.53,106140.00,3140.00,14.84,141.00,140.00
103,?,?,?,?,?,?,?,?,140.00,?
104,?,?,?,?,?,?,?,?,?,?
105,2587.31,976.98,44724.14,45167.65,2754.91,340139.50,11139.50,47.03,?,139.50
106,?,?,?,?,?,?,?,?,139.50,?
107,2555.73,961.16,43916.24,44404.81,2705.88,12062134.50,30134.50,1676.02,?,134.50
108,2520.54,947.88,43364.70,43850.06,2695.55,3461130.00,16130.00,466.59,134.50,130.00
109,2522.32,953.25,43447.75,43993.98,2685.57,1375130.00,28130.00,178.90,130.00,130.00
110,?,?,?,?,?,?,?,?,130.00,?
111,?,?,?,?,?,?,?,?,?,?
112,2499.84,957.00,43360.30,43892.82,2660.28,67137.50,7137.50,8.94,?,137.50
113,2471.39,956.98,43159.57,43707.88,2624.40,387136.00,7136.00,50.87,137.50,136.00
114,2472.28,956.07,43356.73,43908.95,2636.70,1316132.30,2132.30,173.72,136.00,132.30
115,2492.91,957.91,43482.18,44027.03,2658.57,259141.50,11141.50,35.07,132.30,141.50
116,2520.03,957.94,43665.21,44226.06,2669.93,124140.00,6140.00,17.09,141.50,140.00
117,?,?,?,?,?,?,?,?,140.00,?
118,?,?,?,?,?,?,?,?,?,?
119,2537.81,960.13,43882.16,44420.22,2685.14,29140.00,2140.00,4.03,?,140.00
120,2550.91,967.66,44162.18,44653.34,2704.84,180141.00,10141.00,24.73,140.00,141.00
121,?,?,?,?,?,?,?,?,141.00,?
122,2543.60,969.80,43991.51,44466.89,2695.22,158136.00,16136.00,21.66,?,136.00
123,?,?,?,?,?,?,?,?,136.00,?
124,?,?,?,?,?,?,?,?,?,?
125,?,?,?,?,?,?,?,?,?,?
126,2568.68,985.04,44541.73,45060.80,2714.72,2602140.10,24140.10,360.26,?,140.10
127,2587.84,983.62,44742.22,45244.29,2733.96,639140.00,26140.00,88.91,140.10,140.00
128,2610.73,989.70,45117.94,45647.76,2752.14,2219139.00,33139.00,306.46,140.00,139.00
129,2630.10,982.95,44943.16,45475.08,2760.20,125137.50,15137.50,17.25,139.00,137.50
130,2654.43,983.43,44895.35,45408.06,2769.85,491137.50,20137.50,67.88,137.50,137.50
131,?,?,?,?,?,?,?,?,137.50,?
132,?,?,?,?,?,?,?,?,?,?
133,2678.95,990.06,45207.84,45746.01,2790.62,869140.00,21140.00,121.31,?,140.00
134,2713.50,1004.51,45771.11,46336.62,2822.41,3229142.00,34142.00,455.44,140.00,142.00
135,2720.73,1009.60,46102.42,46676.61,2848.38,2646142.00,45142.00,375.35,142.00,142.00
136,2740.12,1005.91,45992.03,46581.16,2871.70,238141.50,14141.50,33.71,142.00,141.50
137,2751.78,1003.88,46078.68,46646.58,2885.19,7051144.00,36144.00,1004.22,141.50,144.00
138,?,?,?,?,?,?,?,?,144.00,?
139,?,?,?,?,?,?,?,?,?,?
140,2788.61,999.39,46041.35,46615.31,2921.95,1123146.50,69146.50,164.73,?,146.50
141,2759.55,996.01,45851.80,46439.10,2893.12,907147.10,40147.10,133.06,146.50,147.10
142,2771.55,995.72,45933.66,46529.96,2912.70,1845147.95,40147.95,271.29,147.10,147.95
143,2756.32,990.26,45687.76,46311.26,2894.53,3260151.00,201151.00,491.28,147.95,151.00
144,2776.52,999.44,46145.44,46783.61,2929.62,6471155.00,98155.00,1004.38,151.00,155.00
145,?,?,?,?,?,?,?,?,155.00,?
146,?,?,?,?,?,?,?,?,?,?
147,2828.89,1021.35,47277.10,47957.54,2976.83,5676155.60,58155.60,879.55,?,155.60
148,2829.62,1028.33,47579.87,48258.02,2997.81,918155.70,35155.70,143.01,155.60,155.70
149,2809.70,1032.73,47476.64,48138.07,3000.58,759154.00,34154.00,117.60,155.70,154.00
150,?,?,?,?,?,?,?,?,154.00,?
151,2812.75,1043.83,47806.34,48503.87,2994.25,3736153.55,192153.55,575.10,?,153.55
152,?,?,?,?,?,?,?,?,153.55,?
153,?,?,?,?,?,?,?,?,?,?
154,2796.00,1025.46,47175.79,47868.36,2970.24,535149.55,22149.55,80.83,?,149.55
155,2837.22,1028.91,47620.68,48323.88,2998.79,1907151.95,44151.95,287.76,149.55,151.95
156,2888.79,1031.84,47805.94,48513.29,3026.87,11516155.50,92155.50,1778.39,151.95,155.50
157,2875.78,1025.43,47573.66,48259.19,3020.15,157155.00,12155.00,24.40,155.50,155.00
158,2886.30,1036.26,48209.65,48918.37,3044.38,330154.00,26154.00,50.73,155.00,154.00
159,?,?,?,?,?,?,?,?,154.00,?
160,?,?,?,?,?,?,?,?,?,?
161,2904.56,1043.13,48495.01,49207.65,3065.91,678154.00,20154.00,104.60,?,154.00
162,2931.48,1038.53,48324.52,49050.96,3074.89,794154.00,7154.00,122.27,154.00,154.00
163,2943.65,1039.02,48383.93,49098.70,3098.83,1942154.00,81154.00,298.67,154.00,154.00
164,2925.31,1039.63,48152.82,48890.47,3089.32,6676163.70,261163.70,1067.02,154.00,163.70
165,2942.25,1041.54,48273.42,49057.66,3092.65,4221163.50,156163.50,699.56,163.70,163.50
166,?,?,?,?,?,?,?,?,163.50,?
167,?,?,?,?,?,?,?,?,?,?
168,2956.40,1038.28,48131.61,48917.56,3100.24,1174164.95,60164.95,192.56,?,164.95
169,2979.55,1038.59,48119.72,48891.04,3120.39,10733166.80,106166.80,1771.61,164.95,166.80
170,2974.95,1034.52,47743.10,48509.84,3122.21,1391164.95,56164.95,229.79,166.80,164.95
171,2905.31,998.13,45870.00,46587.68,3038.18,3597158.80,86158.80,578.85,164.95,158.80
172,2844.16,976.71,44732.92,45456.77,3001.68,1192155.40,49155.40,185.19,158.80,155.40
173,?,?,?,?,?,?,?,?,155.40,?
174,?,?,?,?,?,?,?,?,?,?
175,2824.47,975.16,44824.62,45531.46,2990.89,2357152.60,52152.60,361.42,?,152.60
176,2821.05,979.40,44966.09,45672.10,2999.31,254156.75,23156.75,39.89,152.60,156.75
177,2807.75,972.28,44893.99,45601.51,2972.55,369154.00,35154.00,57.14,156.75,154.00
178,2736.47,940.51,43667.37,44326.49,2915.58,1567143.00,59143.00,236.17,154.00,143.00
179,2776.93,962.64,44747.79,45442.51,2948.80,5801137.00,118137.00,812.06,143.00,137.00
180,?,?,?,?,?,?,?,?,137.00,?
181,?,?,?,?,?,?,?,?,?,?
182,2809.58,960.62,44769.00,45461.06,2963.91,3007141.00,81141.00,425.32,?,141.00
183,2832.22,976.14,45533.94,46254.71,2981.48,1224141.00,41141.00,172.76,141.00,141.00
184,2815.62,975.88,45184.98,45899.36,2971.57,727142.20,21142.20,103.19,141.00,142.20
185,2833.65,982.38,45613.75,46344.42,2988.19,2856148.20,52148.20,412.70,142.20,148.20
186,2823.50,971.06,45110.89,45805.34,2977.06,1195149.00,40149.00,176.16,148.20,149.00
187,?,?,?,?,?,?,?,?,149.00,?
188,?,?,?,?,?,?,?,?,?,?
189,2780.48,960.34,44534.34,45172.40,2948.16,191149.00,12149.00,28.46,?,149.00
190,2753.06,955.08,44342.23,44969.23,2924.69,7556146.60,71146.60,1119.01,149.00,146.60
191,2792.18,971.81,45068.55,45727.71,2962.09,2431145.00,86145.00,352.60,146.60,145.00
192,2830.11,986.53,45712.72,46390.36,2992.86,2342151.45,54151.45,344.94,145.00,151.45
193,2859.48,996.18,46150.78,46839.89,3017.66,1881153.00,67153.00,287.55,151.45,153.00
194,?,?,?,?,?,?,?,?,153.00,?
195,?,?,?,?,?,?,?,?,?,?
196,2869.26,997.90,46218.05,46922.43,3022.70,2749150.00,52150.00,408.48,?,150.00
197,2865.65,997.68,46155.10,46860.35,3017.11,5522151.50,44151.50,837.47,150.00,151.50
198,2869.34,1002.01,46287.08,47003.76,3021.27,2859149.90,44149.90,432.74,151.50,149.90
199,2886.09,999.65,46221.23,46919.83,3023.16,491150.10,24150.10,73.70,149.90,150.10
200,2881.70,1004.40,46399.74,47120.88,3019.85,307147.00,22147.00,45.13,150.10,147.00
201,?,?,?,?,?,?,?,?,147.00,?
202,?,?,?,?,?,?,?,?,?,?
203,2871.14,1008.29,46361.70,47075.43,3021.70,193147.60,10147.60,28.47,?,147.60
204,2908.96,1013.36,46714.43,47454.90,3029.97,255146.70,13146.70,37.47,147.60,146.70
205,2923.77,1013.85,46835.98,47575.74,3050.63,6377147.95,66147.95,943.22,146.70,147.95
206,2914.72,1009.47,46713.02,47446.69,3036.16,566148.55,25148.55,83.60,147.95,148.55
207,2886.24,999.82,46258.91,46981.22,3015.00,1277148.10,25148.10,189.06,148.55,148.10
208,?,?,?,?,?,?,?,?,148.10,?
209,?,?,?,?,?,?,?,?,?,?
210,2914.05,1005.01,46480.62,47214.30,3032.94,552150.10,28150.10,82.10,?,150.10
211,2928.38,1006.09,46663.41,47398.08,3038.42,22832149.95,82149.95,3382.56,150.10,149.95
212,2924.02,1008.66,46925.65,47676.43,3046.08,857148.40,28148.40,127.33,149.95,148.40
213,2945.73,1020.15,47370.81,48147.76,3060.17,7797152.00,48152.00,1161.84,148.40,152.00
214,3020.01,1042.34,48325.33,49133.14,3110.79,2711160.50,95160.50,428.48,152.00,160.50
215,?,?,?,?,?,?,?,?,160.50,?
216,?,?,?,?,?,?,?,?,?,?
217,3032.65,1046.18,48458.44,49272.86,3127.41,2032162.00,69162.00,327.00,?,162.00
218,3037.01,1029.49,47942.81,48742.34,3127.38,858158.85,38158.85,136.64,162.00,158.85
219,3084.81,1032.76,48306.55,49124.78,3168.23,335159.50,11159.50,53.31,158.85,159.50
220,3128.68,1043.81,48862.88,49700.18,3190.86,4976168.00,90168.00,811.07,159.50,168.00
221,3163.87,1049.50,49125.36,49994.77,3206.86,8699177.50,153177.50,1498.20,168.00,177.50
222,?,?,?,?,?,?,?,?,177.50,?
223,?,?,?,?,?,?,?,?,?,?
224,3182.23,1065.87,49580.16,50476.37,3225.79,5032173.40,100173.40,877.76,?,173.40
225,3202.74,1067.80,49747.66,50646.05,3233.22,7360170.10,76170.10,1257.03,173.40,170.10
226,3253.52,1077.48,50223.95,51152.95,3271.49,1683172.40,40172.40,289.45,170.10,172.40
227,?,?,?,?,?,?,?,?,172.40,?
228,3239.52,1070.04,49976.48,50906.11,3253.28,927170.85,26170.85,158.01,?,170.85
229,?,?,?,?,?,?,?,?,170.85,?
230,?,?,?,?,?,?,?,?,?,?
231,3222.20,1068.34,49772.46,50713.14,3237.31,1505172.00,70172.00,256.37,?,172.00
232,3180.64,1058.51,49162.16,50077.30,3210.57,637172.50,32172.50,108.80,172.00,172.50
233,3168.92,1059.12,49128.05,50032.45,3221.87,2316171.00,54171.00,398.24,172.50,171.00
234,3209.11,1076.61,49846.48,50780.47,3260.69,837172.50,48172.50,144.98,171.00,172.50
235,3231.44,1075.72,49895.10,50836.47,3260.35,2111173.50,55173.50,365.61,172.50,173.50
236,?,?,?,?,?,?,?,?,173.50,?
237,?,?,?,?,?,?,?,?,?,?
238,3205.90,1073.76,49818.48,50756.86,3255.45,1794170.00,59170.00,310.55,?,170.00
239,3147.92,1056.82,48833.58,49731.02,3197.48,6434168.50,129168.50,1088.94,170.00,168.50
240,3091.84,1057.65,48537.65,49421.50,3183.87,6578169.50,43169.50,1115.10,168.50,169.50
241,3095.55,1059.09,48676.45,49569.11,3204.20,225170.00,17170.00,38.25,169.50,170.00
242,3087.13,1066.99,48871.98,49771.98,3196.27,3654169.00,89169.00,617.02,170.00,169.00
243,?,?,?,?,?,?,?,?,169.00,?
244,?,?,?,?,?,?,?,?,?,?
245,3129.09,1072.50,49187.22,50099.55,3230.20,943169.10,37169.10,160.16,?,169.10
246,3139.25,1068.28,48968.87,49861.54,3226.75,1614169.30,25169.30,273.13,169.10,169.30
247,3092.12,1050.12,47919.09,48781.63,3174.71,1104169.30,27169.30,186.82,169.30,169.30
248,2958.80,1001.99,45830.66,46598.42,3061.25,1939154.00,92154.00,307.44,169.30,154.00
249,3043.50,1022.64,46717.04,47514.09,3142.61,1614163.00,54163.00,258.65,154.00,163.00
250,?,?,?,?,?,?,?,?,163.00,?
251,?,?,?,?,?,?,?,?,?,?
252,3124.36,1046.43,47808.90,48651.54,3199.68,625165.60,39165.60,102.26,?,165.60
253,3166.39,1073.73,48961.51,49839.90,3256.85,5505167.00,31167.00,917.81,165.60,167.00
254,3194.64,1082.59,49437.02,50312.63,3285.29,1751175.00,52175.00,296.32,167.00,175.00
255,3213.18,1091.91,49771.55,50644.38,3303.55,1658173.00,22173.00,286.82,175.00,173.00
256,3183.67,1085.54,49348.61,50196.31,3285.49,84172.80,13172.80,14.47,173.00,172.80
257,?,?,?,?,?,?,?,?,172.80,?
258,?,?,?,?,?,?,?,?,?,?
259,3135.12,1075.00,48917.85,49741.35,3260.05,3629169.50,52169.50,621.97,?,169.50
260,3156.03,1083.52,49434.46,50258.11,3286.61,1127169.90,54169.90,189.38,169.50,169.90
261,3157.83,1082.59,49413.33,50227.43,3277.41,5724170.00,32170.00,973.39,169.90,170.00
262,3222.54,1101.90,50300.53,51171.25,3316.59,2606171.00,46171.00,447.04,170.00,171.00
263,3229.62,1102.87,50308.19,51202.75,3316.08,481168.60,24168.60,81.82,171.00,168.60
264,?,?,?,?,?,?,?,?,168.60,?
265,?,?,?,?,?,?,?,?,?,?
266,3217.71,1092.34,49955.87,50869.00,3291.57,765170.00,20170.00,129.91,?,170.00
267,3194.37,1090.75,49979.47,50887.67,3275.67,1456165.00,27165.00,245.28,170.00,165.00
268,3236.84,1100.93,50301.69,51221.45,3299.72,184166.10,12166.10,30.55,165.00,166.10
269,3290.09,1114.22,50936.34,51846.54,3336.44,2481174.00,81174.00,429.17,166.10,174.00
270,3296.37,1114.37,50819.81,51704.53,3352.18,13779179.50,190179.50,2470.15,174.00,179.50
271,?,?,?,?,?,?,?,?,179.50,?
272,?,?,?,?,?,?,?,?,?,?
273,3275.69,1101.87,50301.85,51191.50,3349.29,2301181.00,64181.00,413.61,?,181.00
274,3315.88,1107.49,50782.48,51691.24,3351.68,582181.40,41181.40,105.50,181.00,181.40
275,3320.03,1106.60,50803.40,51709.58,3364.40,1806175.95,61175.95,321.88,181.40,175.95
276,3338.30,1106.08,50982.03,51911.61,3383.62,7387178.85,47178.85,1313.20,175.95,178.85
277,3322.87,1100.03,50601.24,51511.63,3381.52,10510178.00,42178.00,1871.67,178.85,178.00
278,?,?,?,?,?,?,?,?,178.00,?
279,?,?,?,?,?,?,?,?,?,?
280,3307.23,1099.18,50338.71,51239.47,3383.60,243177.70,20177.70,43.54,?,177.70
281,3285.49,1094.43,50137.88,51021.26,3368.14,2160175.70,55175.70,382.33,177.70,175.70
282,3299.43,1099.62,50335.02,51215.99,3379.96,403175.65,26175.65,70.77,175.70,175.65
283,3371.00,1133.79,51806.83,52744.48,3454.41,1192178.65,44178.65,211.43,175.65,178.65
284,3402.39,1145.75,52230.47,53193.87,3477.04,3051181.00,47181.00,547.47,178.65,181.00
285,?,?,?,?,?,?,?,?,181.00,?
286,?,?,?,?,?,?,?,?,?,?
287,3447.55,1149.36,52520.91,53498.97,3508.85,688181.00,23181.00,124.39,?,181.00
288,3490.38,1155.55,52590.73,53588.87,3544.07,8656184.00,106184.00,1591.23,181.00,184.00
289,3511.41,1157.21,52861.41,53918.41,3548.14,2870184.00,58184.00,529.06,184.00,184.00
290,3514.54,1145.47,52573.59,53571.90,3572.96,3159185.00,52185.00,581.99,184.00,185.00
291,3452.12,1149.25,52587.24,53572.92,3535.97,2949192.00,81192.00,546.77,185.00,192.00
292,?,?,?,?,?,?,?,?,192.00,?
293,?,?,?,?,?,?,?,?,?,?
294,3528.36,1183.23,53853.55,54903.39,3606.06,13695192.60,94192.60,2653.66,?,192.60
295,3534.57,1179.93,53781.81,54818.06,3615.60,2103193.00,51193.00,403.02,192.60,193.00
296,3522.13,1168.29,53389.74,54433.41,3596.10,22764193.00,78193.00,4391.26,193.00,193.00
297,3563.56,1183.43,53994.46,55063.75,3637.76,2029197.00,60197.00,398.41,193.00,197.00
298,3567.78,1179.30,53887.13,55023.42,3651.19,7481196.95,23196.95,1472.69,197.00,196.95
299,?,?,?,?,?,?,?,?,196.95,?
300,?,?,?,?,?,?,?,?,?,?
301,3559.25,1192.58,54180.04,55362.19,3660.45,25289199.90,103199.90,5056.46,?,199.90
302,3572.51,1198.39,54536.95,55688.45,3688.57,18707200.00,85200.00,3742.43,199.90,200.00
303,3531.31,1190.55,54095.32,55240.01,3660.80,1834202.00,87202.00,366.30,200.00,202.00
304,3488.69,1179.94,53607.86,54734.18,3628.73,12241190.00,112190.00,2386.06,202.00,190.00
305,?,?,?,?,?,?,?,?,190.00,?
306,?,?,?,?,?,?,?,?,?,?
307,?,?,?,?,?,?,?,?,?,?
308,3514.71,1187.46,53989.37,55121.60,3668.56,5111,159,994.76,?,196.10
309,3493.80,1170.73,53504.47,54600.05,3645.18,16728,92,3330.31,196.10,197.00
310,3512.17,1181.53,53924.01,55035.36,3650.27,4981,58,992.81,197.00,199.65
340,3118.097704907077,940.5391915423164,45857.110734846676,47106.0108522239,3215.763816454578,?,?,?,?,?,? 
370,3156.981569607352,941.0590531479316,46189.882480874876,47398.32393415799,3267.20146029432,?,?,?,?,?,? 
400,3195.865434307627,941.578914753547,46522.654226903076,47690.63701609208,3318.639104134063,?,?,?,?,?,? 
490,3312.517028408451,943.1384995703929,47520.969464987684,48567.57626189435,3472.9520356532903,?,?,?,?,?,? 
670,3545.820216610101,946.2576692040852,49517.5999411569,50321.45475349891,3781.5778986917467,?,?,?,?,?,? 
