%310
@RELATION PLTRCZN00016
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-SPOZYW NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
248,890.19,45830.66,3280.10,46598.42,3061.25,4027912.50,14712.50,486.25,12.85,12.50
249,902.70,46717.04,3320.52,47514.09,3142.61,1013312.80,4312.80,127.96,12.50,12.80
250,?,?,?,?,?,?,?,?,12.80,?
251,?,?,?,?,?,?,?,?,?,?
252,916.76,47808.90,3374.64,48651.54,3199.68,843813.55,3213.55,111.46,?,13.55
253,931.39,48961.51,3449.10,49839.90,3256.85,1624113.90,6813.90,225.63,13.55,13.90
254,934.25,49437.02,3502.00,50312.63,3285.29,2550013.80,2513.80,349.77,13.90,13.80
255,943.52,49771.55,3561.86,50644.38,3303.55,20013.60,513.60,2.74,13.80,13.60
256,948.06,49348.61,3556.85,50196.31,3285.49,86613.66,1013.66,11.79,13.60,13.66
257,?,?,?,?,?,?,?,?,13.66,?
258,?,?,?,?,?,?,?,?,?,?
259,956.00,48917.85,3498.14,49741.35,3260.05,133313.30,1713.30,17.83,?,13.30
260,960.97,49434.46,3583.06,50258.11,3286.61,309213.48,2113.48,41.27,13.30,13.48
261,957.28,49413.33,3581.84,50227.43,3277.41,1277713.09,6313.09,166.84,13.48,13.09
262,963.32,50300.53,3605.94,51171.25,3316.59,1004313.00,3213.00,131.67,13.09,13.00
263,962.49,50308.19,3585.84,51202.75,3316.08,212312.90,1412.90,27.52,13.00,12.90
264,?,?,?,?,?,?,?,?,12.90,?
265,?,?,?,?,?,?,?,?,?,?
266,959.46,49955.87,3517.39,50869.00,3291.57,1141112.65,4412.65,143.57,?,12.65
267,957.44,49979.47,3512.70,50887.67,3275.67,1818512.89,2812.89,234.44,12.65,12.89
268,961.02,50301.69,3515.41,51221.45,3299.72,349113.05,2213.05,45.39,12.89,13.05
269,969.92,50936.34,3538.09,51846.54,3336.44,937213.30,4013.30,123.64,13.05,13.30
270,977.10,50819.81,3532.05,51704.53,3352.18,331413.48,2213.48,44.29,13.30,13.48
271,?,?,?,?,?,?,?,?,13.48,?
272,?,?,?,?,?,?,?,?,?,?
273,983.39,50301.85,3494.36,51191.50,3349.29,551013.40,2313.40,73.94,?,13.40
274,984.17,50782.48,3499.03,51691.24,3351.68,150613.42,1313.42,20.19,13.40,13.42
275,987.01,50803.40,3513.56,51709.58,3364.40,518213.50,2013.50,69.83,13.42,13.50
276,988.62,50982.03,3525.92,51911.61,3383.62,589413.50,2913.50,79.24,13.50,13.50
277,992.25,50601.24,3510.90,51511.63,3381.52,212013.50,1813.50,28.59,13.50,13.50
278,?,?,?,?,?,?,?,?,13.50,?
279,?,?,?,?,?,?,?,?,?,?
280,995.75,50338.71,3501.94,51239.47,3383.60,142013.45,913.45,19.16,?,13.45
281,993.38,50137.88,3519.36,51021.26,3368.14,331713.20,1713.20,44.27,13.45,13.20
282,996.97,50335.02,3561.38,51215.99,3379.96,237113.00,1813.00,30.99,13.20,13.00
283,1011.15,51806.83,3648.78,52744.48,3454.41,183613.30,1413.30,24.12,13.00,13.30
284,1024.81,52230.47,3656.01,53193.87,3477.04,225913.60,2213.60,30.17,13.30,13.60
285,?,?,?,?,?,?,?,?,13.60,?
286,?,?,?,?,?,?,?,?,?,?
287,1029.64,52520.91,3648.47,53498.97,3508.85,138713.50,1213.50,18.84,?,13.50
288,1039.64,52590.73,3614.40,53588.87,3544.07,453913.30,3013.30,60.85,13.50,13.30
289,1036.86,52861.41,3568.21,53918.41,3548.14,411113.25,3213.25,54.81,13.30,13.25
290,1049.92,52573.59,3637.13,53571.90,3572.96,1598513.84,5513.84,216.89,13.25,13.84
