%310
@RELATION PLBSK0000017
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG30 NUMERIC 
@ATTRIBUTE mWIG40 NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE RESPECT NUMERIC 
@ATTRIBUTE WIG30TR NUMERIC 
@ATTRIBUTE WIG-BANKI NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
90,?,?,?,?,?,?,?,?,?,?,?,?
91,?,?,?,?,?,?,?,?,?,?,?,?
92,2440.15,2643.63,45304.74,2400.60,3523.22,6413.91,45679.51,4653190.60,25490.60,4231.37,?,90.60
93,2398.83,2608.26,44604.61,2358.53,3463.55,6325.20,44940.36,10297689.95,22689.95,9268.95,90.60,89.95
94,2402.20,2594.74,44623.89,2372.92,3468.42,6306.27,44980.62,2023490.40,9790.40,1822.07,89.95,90.40
95,2400.73,2572.61,44597.66,2366.71,3466.30,6304.00,44960.02,2910190.00,20490.00,2618.57,90.40,90.00
96,?,?,?,?,?,?,?,?,?,?,90.00,?
97,?,?,?,?,?,?,?,?,?,?,?,?
98,2401.04,2582.59,44590.97,2363.50,3466.74,6316.72,44963.96,3559391.80,9791.80,3257.24,?,91.80
99,2403.05,2592.09,44725.03,2366.79,3477.52,6358.08,45096.35,444190.80,5590.80,404.25,91.80,90.80
100,2423.82,2601.25,45091.63,2381.73,3507.58,6391.36,45495.34,580290.90,4990.90,528.24,90.80,90.90
101,2462.75,2623.22,45688.48,2424.99,3563.91,6458.09,46131.66,130591.50,3391.50,119.50,90.90,91.50
102,2456.16,2630.40,45525.92,2426.63,3554.37,6390.03,45960.10,464391.00,4191.00,423.50,91.50,91.00
103,?,?,?,?,?,?,?,?,?,?,91.00,?
104,?,?,?,?,?,?,?,?,?,?,?,?
105,2411.63,2587.31,44724.14,2384.90,3489.94,6299.92,45167.65,6157985.89,8485.89,5563.15,?,85.89
