%310
@RELATION PLGLBLC00011
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
163,48383.93,49098.70,3098.83,?,?,?,?,?
164,48152.82,48890.47,3089.32,?,?,?,?,?
165,48273.42,49057.66,3092.65,?,?,?,?,?
166,?,?,?,?,?,?,?,?
167,?,?,?,?,?,?,?,?
168,48131.61,48917.56,3100.24,?,?,?,?,?
169,48119.72,48891.04,3120.39,?,?,?,?,?
170,47743.10,48509.84,3122.21,?,?,?,?,?
171,45870.00,46587.68,3038.18,?,?,?,?,?
172,44732.92,45456.77,3001.68,?,?,?,?,?
173,?,?,?,?,?,?,?,?
174,?,?,?,?,?,?,?,?
175,44824.62,45531.46,2990.89,?,?,?,?,?
176,44966.09,45672.10,2999.31,?,?,?,?,?
177,44893.99,45601.51,2972.55,?,?,?,?,?
178,43667.37,44326.49,2915.58,?,?,?,?,?
179,44747.79,45442.51,2948.80,?,?,?,?,?
180,?,?,?,?,?,?,?,?
181,?,?,?,?,?,?,?,?
182,44769.00,45461.06,2963.91,?,?,?,?,?
183,45533.94,46254.71,2981.48,?,?,?,?,?
184,45184.98,45899.36,2971.57,?,?,?,?,?
185,45613.75,46344.42,2988.19,?,?,?,?,?
186,45110.89,45805.34,2977.06,?,?,?,?,?
187,?,?,?,?,?,?,?,?
188,?,?,?,?,?,?,?,?
189,44534.34,45172.40,2948.16,?,?,?,?,?
190,44342.23,44969.23,2924.69,?,?,?,?,?
191,45068.55,45727.71,2962.09,?,?,?,?,?
192,45712.72,46390.36,2992.86,?,?,?,?,?
193,46150.78,46839.89,3017.66,?,?,?,?,?
194,?,?,?,?,?,?,?,?
195,?,?,?,?,?,?,?,?
196,46218.05,46922.43,3022.70,?,?,?,?,?
197,46155.10,46860.35,3017.11,?,?,?,?,?
198,46287.08,47003.76,3021.27,?,?,?,?,?
199,46221.23,46919.83,3023.16,?,?,?,?,?
200,46399.74,47120.88,3019.85,?,?,?,?,?
201,?,?,?,?,?,?,?,?
202,?,?,?,?,?,?,?,?
203,46361.70,47075.43,3021.70,?,?,?,?,?
204,46714.43,47454.90,3029.97,?,?,?,?,?
205,46835.98,47575.74,3050.63,?,?,?,?,?
206,46713.02,47446.69,3036.16,?,?,?,?,?
207,46258.91,46981.22,3015.00,?,?,?,?,?
208,?,?,?,?,?,?,?,?
209,?,?,?,?,?,?,?,?
210,46480.62,47214.30,3032.94,?,?,?,?,?
211,46663.41,47398.08,3038.42,?,?,?,?,?
212,46925.65,47676.43,3046.08,?,?,?,?,?
213,47370.81,48147.76,3060.17,?,?,?,?,?
214,48325.33,49133.14,3110.79,?,?,?,?,?
215,?,?,?,?,?,?,?,?
216,?,?,?,?,?,?,?,?
217,48458.44,49272.86,3127.41,?,?,?,?,?
218,47942.81,48742.34,3127.38,?,?,?,?,?
219,48306.55,49124.78,3168.23,?,?,?,?,?
220,48862.88,49700.18,3190.86,?,?,?,?,?
221,49125.36,49994.77,3206.86,?,?,?,?,?
222,?,?,?,?,?,?,?,?
223,?,?,?,?,?,?,?,?
224,49580.16,50476.37,3225.79,?,?,?,?,?
225,49747.66,50646.05,3233.22,?,?,?,?,?
226,50223.95,51152.95,3271.49,?,?,?,?,?
227,?,?,?,?,?,?,?,?
228,49976.48,50906.11,3253.28,?,?,?,?,?
229,?,?,?,?,?,?,?,?
230,?,?,?,?,?,?,?,?
