%310
@RELATION PLTRAST00020
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
44,2825.02,217110.16,100.16,3.47,0.17,0.16
45,2825.15,63010.16,40.16,0.97,0.16,0.16
46,2838.22,10908060.10,990.10,123.51,0.16,0.10
47,?,?,?,?,0.10,?
48,?,?,?,?,?,?
49,2848.48,2571110.10,300.10,25.71,?,0.10
50,2843.90,2291940.10,170.10,22.92,0.10,0.10
51,2831.71,2715020.10,300.10,24.50,0.10,0.10
52,2801.83,50020.10,30.10,0.50,0.10,0.10
53,2817.57,2305170.09,280.09,19.79,0.10,0.09
54,?,?,?,?,0.09,?
55,?,?,?,?,?,?
56,2840.57,6907100.08,400.08,55.72,?,0.08
57,2831.16,856280.08,140.08,6.85,0.08,0.08
58,2855.69,1319600.08,110.08,10.56,0.08,0.08
59,2865.27,875560.08,110.08,7.00,0.08,0.08
60,2859.05,1244920.09,120.09,9.97,0.08,0.09
61,?,?,?,?,0.09,?
62,?,?,?,?,?,?
63,2860.68,245010.09,40.09,2.21,?,0.09
64,2868.06,449240.09,80.09,3.87,0.09,0.09
65,2872.90,905050.09,120.09,7.44,0.09,0.09
66,2873.49,1260010.09,50.09,10.09,0.09,0.09
67,2906.74,1597760.09,210.09,13.03,0.09,0.09
68,?,?,?,?,0.09,?
69,?,?,?,?,?,?
70,2914.24,30715570.08,1080.08,261.18,?,0.08
71,2911.38,6792780.08,630.08,48.64,0.08,0.08
72,2901.67,5200030.08,480.08,37.28,0.08,0.08
73,2912.13,1800950.07,290.07,12.63,0.08,0.07
74,2909.77,1443090.07,180.07,10.10,0.07,0.07
75,?,?,?,?,0.07,?
76,?,?,?,?,?,?
77,2900.59,9571380.06,870.06,58.38,?,0.06
78,2868.24,2218810.06,320.06,13.31,0.06,0.06
79,2874.75,882260.06,130.06,5.29,0.06,0.06
80,2833.61,1166350.06,190.06,7.00,0.06,0.06
81,2800.67,104590.07,70.07,0.66,0.06,0.07
82,?,?,?,?,0.07,?
83,?,?,?,?,?,?
84,2780.21,1713970.06,230.06,10.31,?,0.06
85,2774.13,795920.06,110.06,4.78,0.06,0.06
86,2785.46,598420.06,110.06,3.52,0.06,0.06
87,2797.31,5591470.06,360.06,33.55,0.06,0.06
88,?,?,?,?,0.06,?
89,?,?,?,?,?,?
90,?,?,?,?,?,?
91,?,?,?,?,?,?
92,2814.33,1250510.06,100.06,7.50,?,0.06
93,2769.02,2780700.05,250.05,14.05,0.06,0.05
94,2766.19,14442060.05,1020.05,74.12,0.05,0.05
95,2760.91,911420.05,120.05,4.56,0.05,0.05
96,?,?,?,?,0.05,?
97,?,?,?,?,?,?
98,2764.28,618020.05,130.05,3.09,?,0.05
99,2767.26,44020.05,50.05,0.22,0.05,0.05
100,2780.21,1053020.05,120.05,4.38,0.05,0.05
101,2794.43,8993920.04,380.04,36.75,0.05,0.04
102,2783.53,8388180.05,480.05,41.72,0.04,0.05
103,?,?,?,?,0.05,?
104,?,?,?,?,?,?
105,2754.91,140020.05,40.05,0.70,?,0.05
106,?,?,?,?,0.05,?
107,2705.88,610020.05,50.05,3.05,?,0.05
108,2695.55,373030.05,80.05,1.87,0.05,0.05
109,2685.57,197520.05,70.05,0.97,0.05,0.05
110,?,?,?,?,0.05,?
111,?,?,?,?,?,?
112,2660.28,489020.05,70.05,2.42,?,0.05
113,2624.40,20.05,20.05,0.00,0.05,0.05
114,2636.70,20.05,20.05,0.00,0.05,0.05
115,2658.57,20.05,20.05,0.00,0.05,0.05
116,2669.93,1820800.04,130.04,7.39,0.05,0.04
117,?,?,?,?,0.04,?
118,?,?,?,?,?,?
119,2685.14,122810.04,40.04,0.61,?,0.04
120,2704.84,220010.05,40.05,0.88,0.04,0.05
121,?,?,?,?,0.05,?
122,2695.22,3691180.05,170.05,17.49,?,0.05
123,?,?,?,?,0.05,?
124,?,?,?,?,?,?
125,?,?,?,?,?,?
126,2714.72,563200.05,100.05,2.80,?,0.05
127,2733.96,126780.05,50.05,0.56,0.05,0.05
128,2752.14,3478870.05,150.05,13.93,0.05,0.05
129,2760.20,114920.05,30.05,0.57,0.05,0.05
130,2769.85,20.05,20.05,0.00,0.05,0.05
131,?,?,?,?,0.05,?
132,?,?,?,?,?,?
133,2790.62,7445390.05,210.05,29.83,?,0.05
134,2822.41,1010020.05,90.05,4.04,0.05,0.05
135,2848.38,4129470.04,180.04,16.64,0.05,0.04
136,2871.70,5173080.04,170.04,20.63,0.04,0.04
137,2885.19,14817670.04,360.04,47.42,0.04,0.04
138,?,?,?,?,0.04,?
139,?,?,?,?,?,?
140,2921.95,756040.04,90.04,3.02,?,0.04
141,2893.12,6805340.04,270.04,20.72,0.04,0.04
142,2912.70,16335580.04,300.04,49.07,0.04,0.04
143,2894.53,6690440.03,280.03,20.06,0.04,0.03
144,2929.62,824790.03,110.03,2.47,0.03,0.03
145,?,?,?,?,0.03,?
146,?,?,?,?,?,?
147,2976.83,15854810.03,390.03,47.63,?,0.03
148,2997.81,2310010.04,100.04,9.24,0.03,0.04
149,3000.58,25831100.04,630.04,103.32,0.04,0.04
150,?,?,?,?,0.04,?
151,2994.25,12338090.05,190.05,49.35,?,0.05
152,?,?,?,?,0.05,?
153,?,?,?,?,?,?
154,2970.24,5197050.05,270.05,25.49,?,0.05
155,2998.79,142130.04,60.04,0.71,0.05,0.04
156,3026.87,6629920.04,140.04,26.52,0.04,0.04
157,3020.15,50.05,40.05,0.00,0.04,0.05
158,3044.38,216010.05,40.05,0.87,0.05,0.05
159,?,?,?,?,0.05,?
160,?,?,?,?,?,?
161,3065.91,190020.05,80.05,0.95,?,0.05
162,3074.89,1063010.05,70.05,4.38,0.05,0.05
163,3098.83,2058020.05,140.05,8.23,0.05,0.05
164,3089.32,540020.05,40.05,2.20,0.05,0.05
165,3092.65,1933310.05,170.05,8.34,0.05,0.05
166,?,?,?,?,0.05,?
167,?,?,?,?,?,?
168,3100.24,6798120.05,270.05,27.88,?,0.05
169,3120.39,20.05,20.05,0.00,0.05,0.05
170,3122.21,20.05,20.05,0.00,0.05,0.05
171,3038.18,395160.05,50.05,1.68,0.05,0.05
172,3001.68,1010.05,20.05,0.01,0.05,0.05
173,?,?,?,?,0.05,?
174,?,?,?,?,?,?
175,2990.89,157440.05,40.05,0.79,?,0.05
176,2999.31,3182950.05,140.05,12.73,0.05,0.05
177,2972.55,11310.05,40.05,0.05,0.05,0.05
178,2915.58,15730.05,40.05,0.06,0.05,0.05
179,2948.80,2084880.05,50.05,10.42,0.05,0.05
180,?,?,?,?,0.05,?
181,?,?,?,?,?,?
182,2963.91,110.05,20.05,0.00,?,0.05
183,2981.48,537560.05,50.05,2.69,0.05,0.05
184,2971.57,10.05,10.05,0.00,0.05,0.05
185,2988.19,23010.04,20.04,0.09,0.05,0.04
186,2977.06,732260.04,50.04,2.93,0.04,0.04
187,?,?,?,?,0.04,?
188,?,?,?,?,?,?
189,2948.16,4963630.04,170.04,19.85,?,0.04
190,2924.69,1520000.03,70.03,5.86,0.04,0.03
191,2962.09,365010.04,60.04,1.46,0.03,0.04
192,2992.86,1240510.04,30.04,4.96,0.04,0.04
193,3017.66,155000.04,40.04,0.62,0.04,0.04
194,?,?,?,?,0.04,?
195,?,?,?,?,?,?
196,3022.70,80000.04,20.04,0.32,?,0.04
197,3017.11,146260.03,40.03,0.52,0.04,0.03
198,3021.27,500.04,10.04,0.00,0.03,0.04
199,3023.16,65500.03,40.03,0.20,0.04,0.03
200,3019.85,64820.04,30.04,0.26,0.03,0.04
201,?,?,?,?,0.04,?
202,?,?,?,?,?,?
203,3021.70,500.04,10.04,0.00,?,0.04
204,3029.97,2826390.04,90.04,11.31,0.04,0.04
205,3050.63,17520.03,30.03,0.05,0.04,0.03
206,3036.16,78230.03,30.03,0.23,0.03,0.03
207,3015.00,296000.03,40.03,1.11,0.03,0.03
208,?,?,?,?,0.03,?
209,?,?,?,?,?,?
210,3032.94,00.03,00.03,0.00,?,0.03
211,3038.42,4330.03,10.03,0.01,0.03,0.03
212,3046.08,694470.03,130.03,2.08,0.03,0.03
213,3060.17,990040.03,70.03,2.97,0.03,0.03
214,3110.79,3339230.03,130.03,10.02,0.03,0.03
215,?,?,?,?,0.03,?
216,?,?,?,?,?,?
217,3127.41,00.03,00.03,0.00,?,0.03
218,3127.38,232010.03,50.03,0.70,0.03,0.03
219,3168.23,37820.03,10.03,0.11,0.03,0.03
220,3190.86,269500.04,30.04,1.08,0.03,0.04
221,3206.86,1017500.04,80.04,3.33,0.04,0.04
222,?,?,?,?,0.04,?
223,?,?,?,?,?,?
224,3225.79,1072930.04,70.04,4.29,?,0.04
225,3233.22,1172600.04,110.04,4.69,0.04,0.04
226,3271.49,991550.03,110.03,3.96,0.04,0.03
227,?,?,?,?,0.03,?
228,3253.28,814520.04,80.04,3.26,?,0.04
229,?,?,?,?,0.04,?
230,?,?,?,?,?,?
231,3237.31,2222500.04,130.04,8.89,?,0.04
232,3210.57,1570000.04,70.04,6.28,0.04,0.04
233,3221.87,1400000.04,110.04,6.73,0.04,0.04
234,3260.69,10000.05,10.05,0.05,0.04,0.05
235,3260.35,1038800.05,90.05,5.19,0.05,0.05
236,?,?,?,?,0.05,?
237,?,?,?,?,?,?
238,3255.45,2011520.05,140.05,10.06,?,0.05
239,3197.48,40000.05,50.05,0.20,0.05,0.05
240,3183.87,1060000.04,100.04,4.24,0.05,0.04
241,3204.20,80800.05,90.05,0.40,0.04,0.05
242,3196.27,63120.05,30.05,0.32,0.05,0.05
243,?,?,?,?,0.05,?
244,?,?,?,?,?,?
245,3230.20,641160.04,70.04,2.71,?,0.04
246,3226.75,5828080.04,240.04,23.37,0.04,0.04
247,3174.71,1533730.04,90.04,6.13,0.04,0.04
248,3061.25,1469270.04,80.04,5.88,0.04,0.04
249,3142.61,1920000.04,70.04,7.68,0.04,0.04
250,?,?,?,?,0.04,?
251,?,?,?,?,?,?
252,3199.68,10000.04,10.04,0.04,?,0.04
253,3256.85,33670.04,40.04,0.13,0.04,0.04
254,3285.29,85500.04,30.04,0.34,0.04,0.04
255,3303.55,720000.04,60.04,2.88,0.04,0.04
256,3285.49,643000.05,70.05,2.71,0.04,0.05
257,?,?,?,?,0.05,?
258,?,?,?,?,?,?
259,3260.05,203250.04,80.04,0.92,?,0.04
260,3286.61,555240.04,60.04,2.22,0.04,0.04
261,3277.41,9000.04,40.04,0.04,0.04,0.04
262,3316.59,625000.04,30.04,2.50,0.04,0.04
263,3316.08,985000.04,30.04,3.94,0.04,0.04
264,?,?,?,?,0.04,?
265,?,?,?,?,?,?
266,3291.57,1592090.04,150.04,6.37,?,0.04
267,3275.67,579710.04,60.04,2.32,0.04,0.04
268,3299.72,1996280.04,130.04,7.99,0.04,0.04
269,3336.44,290000.04,100.04,1.16,0.04,0.04
270,3352.18,36000.04,40.04,0.14,0.04,0.04
271,?,?,?,?,0.04,?
272,?,?,?,?,?,?
273,3349.29,1333010.04,60.04,5.33,?,0.04
274,3351.68,519060.04,100.04,2.08,0.04,0.04
275,3364.40,951000.04,100.04,3.80,0.04,0.04
276,3383.62,333500.04,50.04,1.33,0.04,0.04
277,3381.52,326000.04,90.04,1.30,0.04,0.04
278,?,?,?,?,0.04,?
279,?,?,?,?,?,?
280,3383.60,401700.04,40.04,1.46,?,0.04
281,3368.14,6000.04,20.04,0.02,0.04,0.04
282,3379.96,3000.04,10.04,0.01,0.04,0.04
283,3454.41,126000.03,40.03,0.38,0.04,0.03
284,3477.04,33000.04,110.04,0.13,0.03,0.04
285,?,?,?,?,0.04,?
286,?,?,?,?,?,?
287,3508.85,268500.04,100.04,1.07,?,0.04
288,3544.07,1914470.04,190.04,7.66,0.04,0.04
289,3548.14,146000.04,40.04,0.58,0.04,0.04
290,3572.96,26500.04,40.04,0.11,0.04,0.04
291,3535.97,429440.04,30.04,1.72,0.04,0.04
292,?,?,?,?,0.04,?
293,?,?,?,?,?,?
294,3606.06,790000.05,110.05,3.95,?,0.05
295,3615.60,23000.05,30.05,0.12,0.05,0.05
296,3596.10,236000.05,70.05,0.96,0.05,0.05
297,3637.76,378430.04,50.04,1.62,0.05,0.04
298,3651.19,898280.04,90.04,3.59,0.04,0.04
299,?,?,?,?,0.04,?
300,?,?,?,?,?,?
301,3660.45,2117000.04,140.04,8.47,?,0.04
302,3688.57,1190910.04,140.04,4.76,0.04,0.04
303,3660.80,596490.04,90.04,2.39,0.04,0.04
304,3628.73,1444720.04,80.04,5.78,0.04,0.04
305,?,?,?,?,0.04,?
306,?,?,?,?,?,?
307,?,?,?,?,?,?
308,3668.56,95207,10,3.81,?,0.04
309,3645.18,40640,16,1.63,0.04,0.04
310,3650.27,50900,8,2.04,0.04,0.04
340,3215.763816454578,?,?,?,?,?,? 
370,3267.20146029432,?,?,?,?,?,? 
400,3318.639104134063,?,?,?,?,?,? 
490,3472.9520356532903,?,?,?,?,?,? 
670,3781.5778986917467,?,?,?,?,?,? 
