%310
@RELATION PLMCIMG00012
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE sWIG80 NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
111,?,?,?,?,?,?,?,?,?
112,10335.77,43360.30,43892.82,2660.28,1215016.74,1346.74,814.10,?,6.74
113,10282.22,43159.57,43707.88,2624.40,1157976.65,1016.65,764.34,6.74,6.65
114,10264.95,43356.73,43908.95,2636.70,338036.68,766.68,223.05,6.65,6.68
115,10327.20,43482.18,44027.03,2658.57,642736.69,796.69,424.26,6.68,6.69
116,10407.26,43665.21,44226.06,2669.93,91506.81,326.81,61.65,6.69,6.81
117,?,?,?,?,?,?,?,6.81,?
118,?,?,?,?,?,?,?,?,?
119,10465.41,43882.16,44420.22,2685.14,325426.85,676.85,219.56,?,6.85
120,10511.46,44162.18,44653.34,2704.84,128786.99,476.99,88.37,6.85,6.99
121,?,?,?,?,?,?,?,6.99,?
122,10554.34,43991.51,44466.89,2695.22,229667.00,777.00,164.33,?,7.00
123,?,?,?,?,?,?,?,7.00,?
124,?,?,?,?,?,?,?,?,?
125,?,?,?,?,?,?,?,?,?
126,10605.72,44541.73,45060.80,2714.72,621347.20,1347.20,442.17,?,7.20
127,10618.63,44742.22,45244.29,2733.96,600577.15,777.15,431.35,7.20,7.15
128,10692.81,45117.94,45647.76,2752.14,297407.17,657.17,213.12,7.15,7.17
129,10714.80,44943.16,45475.08,2760.20,666357.21,1137.21,482.83,7.17,7.21
130,10758.03,44895.35,45408.06,2769.85,224017.20,687.20,161.82,7.21,7.20
131,?,?,?,?,?,?,?,7.20,?
132,?,?,?,?,?,?,?,?,?
133,10762.74,45207.84,45746.01,2790.62,509797.06,1117.06,356.75,?,7.06
134,10819.27,45771.11,46336.62,2822.41,1288247.35,1687.35,924.56,7.06,7.35
135,10913.18,46102.42,46676.61,2848.38,2126677.38,3027.38,1586.24,7.35,7.38
136,10976.80,45992.03,46581.16,2871.70,1840857.60,2877.60,1395.42,7.38,7.60
137,10991.63,46078.68,46646.58,2885.19,527777.57,1297.57,401.51,7.60,7.57
138,?,?,?,?,?,?,?,7.57,?
139,?,?,?,?,?,?,?,?,?
140,11070.23,46041.35,46615.31,2921.95,837657.67,1197.67,644.54,?,7.67
141,11089.17,45851.80,46439.10,2893.12,390707.60,1047.60,299.13,7.67,7.60
142,11082.19,45933.66,46529.96,2912.70,266897.55,647.55,201.62,7.60,7.55
143,11050.12,45687.76,46311.26,2894.53,781807.35,1677.35,567.29,7.55,7.35
144,11130.47,46145.44,46783.61,2929.62,521177.65,1277.65,393.35,7.35,7.65
145,?,?,?,?,?,?,?,7.65,?
146,?,?,?,?,?,?,?,?,?
147,11329.88,47277.10,47957.54,2976.83,756147.83,1557.83,582.97,?,7.83
148,11439.53,47579.87,48258.02,2997.81,677697.79,1597.79,533.11,7.83,7.79
149,11434.08,47476.64,48138.07,3000.58,475257.80,897.80,365.72,7.79,7.80
150,?,?,?,?,?,?,?,7.80,?
151,11518.87,47806.34,48503.87,2994.25,283347.80,667.80,218.81,?,7.80
152,?,?,?,?,?,?,?,7.80,?
153,?,?,?,?,?,?,?,?,?
154,11428.58,47175.79,47868.36,2970.24,403107.72,917.72,308.66,?,7.72
155,11527.78,47620.68,48323.88,2998.79,296527.75,817.75,228.23,7.72,7.75
156,11566.33,47805.94,48513.29,3026.87,378797.80,767.80,293.36,7.75,7.80
157,11598.90,47573.66,48259.19,3020.15,322637.80,747.80,252.09,7.80,7.80
158,11721.20,48209.65,48918.37,3044.38,442977.70,957.70,339.81,7.80,7.70
159,?,?,?,?,?,?,?,7.70,?
160,?,?,?,?,?,?,?,?,?
161,11855.82,48495.01,49207.65,3065.91,529857.74,1277.74,405.09,?,7.74
162,11906.69,48324.52,49050.96,3074.89,1841837.80,2317.80,1441.90,7.74,7.80
163,12044.12,48383.93,49098.70,3098.83,3207378.25,3668.25,2593.04,7.80,8.25
164,11997.09,48152.82,48890.47,3089.32,770788.19,1818.19,633.26,8.25,8.19
165,11980.74,48273.42,49057.66,3092.65,436308.03,1068.03,355.48,8.19,8.03
166,?,?,?,?,?,?,?,8.03,?
167,?,?,?,?,?,?,?,?,?
168,11950.70,48131.61,48917.56,3100.24,1077148.01,838.01,870.23,?,8.01
169,12001.25,48119.72,48891.04,3120.39,948657.95,987.95,757.02,8.01,7.95
170,11995.61,47743.10,48509.84,3122.21,413247.95,987.95,326.52,7.95,7.95
171,11755.38,45870.00,46587.68,3038.18,1527837.63,2547.63,1152.44,7.95,7.63
172,11698.05,44732.92,45456.77,3001.68,1023357.55,2237.55,752.80,7.63,7.55
173,?,?,?,?,?,?,?,7.55,?
174,?,?,?,?,?,?,?,?,?
175,11694.70,44824.62,45531.46,2990.89,385627.49,797.49,285.97,?,7.49
176,11846.22,44966.09,45672.10,2999.31,557477.75,927.75,424.47,7.49,7.75
177,11772.39,44893.99,45601.51,2972.55,562747.60,1407.60,426.06,7.75,7.60
178,11665.86,43667.37,44326.49,2915.58,465227.56,897.56,354.64,7.60,7.56
179,11716.43,44747.79,45442.51,2948.80,695977.50,1087.50,522.84,7.56,7.50
180,?,?,?,?,?,?,?,7.50,?
181,?,?,?,?,?,?,?,?,?
182,11756.83,44769.00,45461.06,2963.91,470377.95,957.95,363.52,?,7.95
183,11805.57,45533.94,46254.71,2981.48,248027.99,747.99,196.07,7.95,7.99
184,11736.24,45184.98,45899.36,2971.57,443367.99,777.99,349.36,7.99,7.99
185,11820.50,45613.75,46344.42,2988.19,435888.18,788.18,352.90,7.99,8.18
186,11822.63,45110.89,45805.34,2977.06,306538.19,628.19,248.28,8.18,8.19
187,?,?,?,?,?,?,?,8.19,?
188,?,?,?,?,?,?,?,?,?
189,11711.98,44534.34,45172.40,2948.16,301528.10,658.10,241.40,?,8.10
190,11610.73,44342.23,44969.23,2924.69,333418.02,718.02,265.41,8.10,8.02
191,11643.94,45068.55,45727.71,2962.09,115288.07,278.07,92.21,8.02,8.07
192,11739.32,45712.72,46390.36,2992.86,487288.16,1038.16,395.05,8.07,8.16
193,11784.60,46150.78,46839.89,3017.66,496328.18,1168.18,407.71,8.16,8.18
194,?,?,?,?,?,?,?,8.18,?
195,?,?,?,?,?,?,?,?,?
196,11770.78,46218.05,46922.43,3022.70,176908.20,468.20,144.64,?,8.20
197,11753.20,46155.10,46860.35,3017.11,190898.20,348.20,155.74,8.20,8.20
198,11768.81,46287.08,47003.76,3021.27,365428.15,438.15,296.03,8.20,8.15
199,11813.42,46221.23,46919.83,3023.16,404418.10,608.10,326.61,8.15,8.10
200,11837.95,46399.74,47120.88,3019.85,402278.15,618.15,325.27,8.10,8.15
201,?,?,?,?,?,?,?,8.15,?
202,?,?,?,?,?,?,?,?,?
203,11864.19,46361.70,47075.43,3021.70,228618.18,468.18,185.21,?,8.18
204,11905.16,46714.43,47454.90,3029.97,317398.24,608.24,259.71,8.18,8.24
205,11975.99,46835.98,47575.74,3050.63,426938.23,1098.23,352.06,8.24,8.23
206,11939.68,46713.02,47446.69,3036.16,440788.25,978.25,363.38,8.23,8.25
207,11930.54,46258.91,46981.22,3015.00,187408.20,318.20,153.43,8.25,8.20
208,?,?,?,?,?,?,?,8.20,?
209,?,?,?,?,?,?,?,?,?
210,11917.93,46480.62,47214.30,3032.94,226468.20,648.20,185.09,?,8.20
211,11914.45,46663.41,47398.08,3038.42,226298.20,518.20,185.28,8.20,8.20
212,11934.08,46925.65,47676.43,3046.08,1470138.29,1018.29,1207.47,8.20,8.29
213,12025.60,47370.81,48147.76,3060.17,1375668.47,2518.47,1150.88,8.29,8.47
214,12096.51,48325.33,49133.14,3110.79,1776068.42,2358.42,1515.06,8.47,8.42
215,?,?,?,?,?,?,?,8.42,?
216,?,?,?,?,?,?,?,?,?
217,12181.61,48458.44,49272.86,3127.41,193778.45,628.45,163.59,?,8.45
218,12213.07,47942.81,48742.34,3127.38,346598.41,658.41,291.58,8.45,8.41
219,12294.72,48306.55,49124.78,3168.23,3252328.35,1778.35,2723.36,8.41,8.35
220,12425.78,48862.88,49700.18,3190.86,736758.60,1898.60,633.83,8.35,8.60
221,12524.35,49125.36,49994.77,3206.86,1328978.85,2108.85,1158.78,8.60,8.85
222,?,?,?,?,?,?,?,8.85,?
223,?,?,?,?,?,?,?,?,?
224,12613.68,49580.16,50476.37,3225.79,561918.83,1228.83,497.05,?,8.83
225,12783.95,49747.66,50646.05,3233.22,1105098.83,2458.83,966.10,8.83,8.83
226,12961.14,50223.95,51152.95,3271.49,452818.73,1038.73,397.59,8.83,8.73
227,?,?,?,?,?,?,?,8.73,?
228,12933.31,49976.48,50906.11,3253.28,452878.62,1168.62,389.14,?,8.62
229,?,?,?,?,?,?,?,8.62,?
230,?,?,?,?,?,?,?,?,?
231,12877.73,49772.46,50713.14,3237.31,752258.58,1468.58,641.28,?,8.58
232,12831.52,49162.16,50077.30,3210.57,742048.65,1938.65,626.41,8.58,8.65
233,12826.21,49128.05,50032.45,3221.87,1151058.95,2258.95,1017.66,8.65,8.95
234,12985.38,49846.48,50780.47,3260.69,1239418.87,2008.87,1106.15,8.95,8.87
235,13050.37,49895.10,50836.47,3260.35,1121628.86,1248.86,1001.21,8.87,8.86
236,?,?,?,?,?,?,?,8.86,?
237,?,?,?,?,?,?,?,?,?
238,13056.86,49818.48,50756.86,3255.45,1314919.18,3179.18,1192.02,?,9.18
239,12781.02,48833.58,49731.02,3197.48,876968.90,2108.90,786.38,9.18,8.90
240,12706.26,48537.65,49421.50,3183.87,456228.85,988.85,401.73,8.90,8.85
241,12801.41,48676.45,49569.11,3204.20,2256008.90,3828.90,2024.58,8.85,8.90
242,12801.04,48871.98,49771.98,3196.27,844689.04,1919.04,765.52,8.90,9.04
243,?,?,?,?,?,?,?,9.04,?
244,?,?,?,?,?,?,?,?,?
245,12870.44,49187.22,50099.55,3230.20,1120109.30,2959.30,1043.33,?,9.30
246,12843.19,48968.87,49861.54,3226.75,2067579.60,3219.60,1970.66,9.30,9.60
247,12637.81,47919.09,48781.63,3174.71,1422689.32,3249.32,1348.95,9.60,9.32
248,12178.22,45830.66,46598.42,3061.25,3525248.95,6898.95,3153.32,9.32,8.95
249,12457.22,46717.04,47514.09,3142.61,845329.22,2669.22,770.04,8.95,9.22
250,?,?,?,?,?,?,?,9.22,?
251,?,?,?,?,?,?,?,?,?
252,12726.39,47808.90,48651.54,3199.68,828739.48,1959.48,781.40,?,9.48
253,12962.91,48961.51,49839.90,3256.85,1712369.80,3909.80,1674.38,9.48,9.80
254,12983.95,49437.02,50312.63,3285.29,477579.85,1439.85,465.93,9.80,9.85
255,13011.41,49771.55,50644.38,3303.55,2706049.97,5119.97,2715.21,9.85,9.97
256,12998.59,49348.61,50196.31,3285.49,1538399.90,2299.90,1533.43,9.97,9.90
257,?,?,?,?,?,?,?,9.90,?
258,?,?,?,?,?,?,?,?,?
259,13003.37,48917.85,49741.35,3260.05,1707329.72,2229.72,1690.25,?,9.72
