%310
@RELATION PLFAM0000012
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
96,?,?,?,?,1.49,?
97,?,?,?,?,?,?
98,2764.28,60111.48,91.48,8.81,?,1.48
99,2767.26,389621.46,151.46,56.78,1.48,1.46
100,2780.21,113431.45,81.45,16.58,1.46,1.45
101,2794.43,66001.45,81.45,9.62,1.45,1.45
102,2783.53,442741.43,451.43,63.13,1.45,1.43
103,?,?,?,?,1.43,?
104,?,?,?,?,?,?
105,2754.91,99851.37,131.37,13.87,?,1.37
106,?,?,?,?,1.37,?
107,2705.88,90001.36,51.36,12.31,?,1.36
108,2695.55,298101.37,211.37,39.10,1.36,1.37
109,2685.57,74691.39,61.39,10.38,1.37,1.39
110,?,?,?,?,1.39,?
111,?,?,?,?,?,?
112,2660.28,138501.38,111.38,19.29,?,1.38
113,2624.40,78251.39,91.39,10.62,1.38,1.39
114,2636.70,179701.37,141.37,23.63,1.39,1.37
115,2658.57,144501.40,131.40,19.79,1.37,1.40
116,2669.93,13701.40,31.40,1.92,1.40,1.40
117,?,?,?,?,1.40,?
118,?,?,?,?,?,?
119,2685.14,881281.31,561.31,112.19,?,1.31
120,2704.84,117361.27,101.27,14.84,1.31,1.27
121,?,?,?,?,1.27,?
122,2695.22,46861.27,51.27,5.97,?,1.27
123,?,?,?,?,1.27,?
124,?,?,?,?,?,?
125,?,?,?,?,?,?
126,2714.72,118861.31,121.31,15.43,?,1.31
127,2733.96,157721.31,181.31,20.59,1.31,1.31
128,2752.14,66201.31,71.31,8.64,1.31,1.31
129,2760.20,21001.32,31.32,2.77,1.31,1.32
130,2769.85,43691.31,61.31,5.73,1.32,1.31
131,?,?,?,?,1.31,?
132,?,?,?,?,?,?
133,2790.62,19831.31,51.31,2.60,?,1.31
134,2822.41,31151.32,41.32,4.05,1.31,1.32
135,2848.38,219301.28,151.28,28.15,1.32,1.28
136,2871.70,255351.27,141.27,32.63,1.28,1.27
137,2885.19,232591.32,161.32,30.56,1.27,1.32
138,?,?,?,?,1.32,?
139,?,?,?,?,?,?
140,2921.95,144441.32,111.32,19.08,?,1.32
141,2893.12,290031.33,141.33,37.82,1.32,1.33
142,2912.70,135501.31,41.31,17.87,1.33,1.31
143,2894.53,73991.30,111.30,9.43,1.31,1.30
144,2929.62,17661.27,31.27,2.26,1.30,1.27
145,?,?,?,?,1.27,?
146,?,?,?,?,?,?
147,2976.83,81671.29,51.29,10.50,?,1.29
148,2997.81,311411.29,121.29,40.27,1.29,1.29
149,3000.58,236251.30,71.30,30.58,1.29,1.30
150,?,?,?,?,1.30,?
151,2994.25,139551.29,161.29,17.95,?,1.29
152,?,?,?,?,1.29,?
153,?,?,?,?,?,?
154,2970.24,72981.28,111.28,9.34,?,1.28
155,2998.79,6401.28,31.28,0.82,1.28,1.28
156,3026.87,24871.28,31.28,3.18,1.28,1.28
157,3020.15,69001.29,61.29,8.90,1.28,1.29
158,3044.38,28891.30,81.30,3.74,1.29,1.30
159,?,?,?,?,1.30,?
160,?,?,?,?,?,?
161,3065.91,299851.27,111.27,38.38,?,1.27
162,3074.89,122471.25,81.25,15.39,1.27,1.25
163,3098.83,97551.28,81.28,12.41,1.25,1.28
164,3089.32,139001.28,81.28,17.78,1.28,1.28
165,3092.65,2481.28,21.28,0.32,1.28,1.28
166,?,?,?,?,1.28,?
167,?,?,?,?,?,?
168,3100.24,156111.28,71.28,19.97,?,1.28
169,3120.39,65201.26,41.26,8.28,1.28,1.26
170,3122.21,176091.25,101.25,22.05,1.26,1.25
171,3038.18,501.27,11.27,0.06,1.25,1.27
172,3001.68,111311.17,191.17,13.27,1.27,1.17
173,?,?,?,?,1.17,?
174,?,?,?,?,?,?
175,2990.89,83381.20,71.20,9.99,?,1.20
176,2999.31,142051.25,101.25,17.20,1.20,1.25
177,2972.55,23091.20,41.20,2.79,1.25,1.20
178,2915.58,15251.23,31.23,1.83,1.20,1.23
179,2948.80,38331.23,51.23,4.68,1.23,1.23
180,?,?,?,?,1.23,?
181,?,?,?,?,?,?
182,2963.91,24391.23,61.23,3.00,?,1.23
183,2981.48,1001.24,11.24,0.12,1.23,1.24
184,2971.57,55441.25,81.25,6.82,1.24,1.25
185,2988.19,101.26,11.26,0.01,1.25,1.26
186,2977.06,22001.24,61.24,2.68,1.26,1.24
187,?,?,?,?,1.24,?
188,?,?,?,?,?,?
189,2948.16,201.24,11.24,0.02,?,1.24
190,2924.69,4351.24,21.24,0.54,1.24,1.24
191,2962.09,101.24,11.24,0.01,1.24,1.24
192,2992.86,10301.21,21.21,1.25,1.24,1.21
193,3017.66,11201.20,51.20,1.35,1.21,1.20
194,?,?,?,?,1.20,?
195,?,?,?,?,?,?
196,3022.70,201.24,11.24,0.02,?,1.24
197,3017.11,201.24,11.24,0.02,1.24,1.24
198,3021.27,101.24,11.24,0.01,1.24,1.24
199,3023.16,59001.24,71.24,7.30,1.24,1.24
200,3019.85,30501.22,71.22,3.70,1.24,1.22
201,?,?,?,?,1.22,?
202,?,?,?,?,?,?
203,3021.70,154141.22,121.22,19.09,?,1.22
204,3029.97,48201.23,71.23,5.81,1.22,1.23
205,3050.63,91881.22,121.22,11.20,1.23,1.22
206,3036.16,106941.20,111.20,12.81,1.22,1.20
207,3015.00,80991.25,121.25,9.89,1.20,1.25
208,?,?,?,?,1.25,?
209,?,?,?,?,?,?
210,3032.94,1061.27,31.27,0.13,?,1.27
211,3038.42,101.26,11.26,0.01,1.27,1.26
212,3046.08,3501.27,31.27,0.43,1.26,1.27
213,3060.17,14551.26,51.26,1.81,1.27,1.26
214,3110.79,31101.24,61.24,3.86,1.26,1.24
215,?,?,?,?,1.24,?
216,?,?,?,?,?,?
217,3127.41,91921.25,51.25,11.49,?,1.25
218,3127.38,388981.30,211.30,49.99,1.25,1.30
219,3168.23,91861.31,81.31,11.93,1.30,1.31
220,3190.86,380641.34,181.34,50.33,1.31,1.34
221,3206.86,76481.38,101.38,10.32,1.34,1.38
222,?,?,?,?,1.38,?
223,?,?,?,?,?,?
224,3225.79,20201.37,41.37,2.74,?,1.37
225,3233.22,35101.33,21.33,4.67,1.37,1.33
226,3271.49,256101.37,141.37,35.09,1.33,1.37
227,?,?,?,?,1.37,?
228,3253.28,352211.27,271.27,45.02,?,1.27
229,?,?,?,?,1.27,?
230,?,?,?,?,?,?
231,3237.31,245811.24,131.24,31.11,?,1.24
232,3210.57,54101.30,51.30,6.91,1.24,1.30
233,3221.87,101.32,11.32,0.01,1.30,1.32
234,3260.69,12911.30,41.30,1.68,1.32,1.30
235,3260.35,51201.30,51.30,6.40,1.30,1.30
236,?,?,?,?,1.30,?
237,?,?,?,?,?,?
238,3255.45,42311.30,51.30,5.43,?,1.30
239,3197.48,101.30,11.30,0.01,1.30,1.30
240,3183.87,25101.29,41.29,3.24,1.30,1.29
241,3204.20,58101.26,41.26,7.33,1.29,1.26
242,3196.27,12101.26,21.26,1.53,1.26,1.26
243,?,?,?,?,1.26,?
244,?,?,?,?,?,?
245,3230.20,15201.26,31.26,1.92,?,1.26
246,3226.75,119141.20,111.20,14.48,1.26,1.20
247,3174.71,62821.27,121.27,7.79,1.20,1.27
248,3061.25,38901.21,51.21,4.73,1.27,1.21
249,3142.61,174111.23,61.23,20.91,1.21,1.23
250,?,?,?,?,1.23,?
251,?,?,?,?,?,?
252,3199.68,17101.24,51.24,2.12,?,1.24
253,3256.85,16211.25,41.25,2.00,1.24,1.25
254,3285.29,33441.23,91.23,4.15,1.25,1.23
255,3303.55,29471.20,61.20,3.59,1.23,1.20
256,3285.49,45051.21,91.21,5.46,1.20,1.21
257,?,?,?,?,1.21,?
258,?,?,?,?,?,?
259,3260.05,4921.25,21.25,0.60,?,1.25
260,3286.61,30051.21,31.21,3.64,1.25,1.21
261,3277.41,104101.23,91.23,12.84,1.21,1.23
262,3316.59,105061.23,81.23,12.92,1.23,1.23
263,3316.08,197811.23,101.23,24.26,1.23,1.23
264,?,?,?,?,1.23,?
265,?,?,?,?,?,?
266,3291.57,71071.20,91.20,8.53,?,1.20
267,3275.67,125611.16,181.16,14.97,1.20,1.16
268,3299.72,43501.19,51.19,5.19,1.16,1.19
269,3336.44,145331.20,81.20,17.56,1.19,1.20
270,3352.18,20101.21,51.21,2.43,1.20,1.21
271,?,?,?,?,1.21,?
272,?,?,?,?,?,?
273,3349.29,53101.18,61.18,6.35,?,1.18
274,3351.68,44651.17,61.17,5.22,1.18,1.17
275,3364.40,172831.17,131.17,20.22,1.17,1.17
276,3383.62,260501.15,231.15,29.96,1.17,1.15
277,3381.52,150001.15,51.15,17.25,1.15,1.15
278,?,?,?,?,1.15,?
279,?,?,?,?,?,?
280,3383.60,111601.14,71.14,12.77,?,1.14
281,3368.14,774501.15,141.15,89.07,1.14,1.15
282,3379.96,859361.15,131.15,98.83,1.15,1.15
283,3454.41,125001.17,71.17,14.63,1.15,1.17
284,3477.04,7001.17,31.17,0.82,1.17,1.17
285,?,?,?,?,1.17,?
286,?,?,?,?,?,?
287,3508.85,64001.17,51.17,7.49,?,1.17
288,3544.07,566401.17,121.17,66.27,1.17,1.17
289,3548.14,75101.19,71.19,8.84,1.17,1.19
290,3572.96,114901.18,71.18,13.56,1.19,1.18
291,3535.97,201011.18,71.18,23.73,1.18,1.18
292,?,?,?,?,1.18,?
293,?,?,?,?,?,?
294,3606.06,34811.18,51.18,4.11,?,1.18
295,3615.60,233901.18,91.18,27.60,1.18,1.18
296,3596.10,131001.18,71.18,15.46,1.18,1.18
297,3637.76,01.18,01.18,0.00,1.18,1.18
298,3651.19,3361.18,31.18,0.40,1.18,1.18
299,?,?,?,?,1.18,?
300,?,?,?,?,?,?
301,3660.45,501.18,11.18,0.06,?,1.18
302,3688.57,130301.18,81.18,15.41,1.18,1.18
303,3660.80,39161.17,41.17,4.58,1.18,1.17
304,3628.73,135331.22,101.22,16.24,1.17,1.22
305,?,?,?,?,1.22,?
306,?,?,?,?,?,?
307,?,?,?,?,?,?
308,3668.56,2590,2,3.11,?,1.20
309,3645.18,4000,3,4.80,1.20,1.20
310,3650.27,2500,3,2.93,1.20,1.17
340,3215.763816454578,?,?,?,?,?,? 
370,3267.20146029432,?,?,?,?,?,? 
400,3318.639104134063,?,?,?,?,?,? 
490,3472.9520356532903,?,?,?,?,?,? 
670,3781.5778986917467,?,?,?,?,?,? 
