%310
@RELATION PLPKN0000018
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG30 NUMERIC 
@ATTRIBUTE WIG20 NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE RESPECT NUMERIC 
@ATTRIBUTE WIG30TR NUMERIC 
@ATTRIBUTE WIG20TR NUMERIC 
@ATTRIBUTE WIG-PALIWA NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
67,2538.66,2490.70,47074.39,2543.21,3665.45,3596.20,4048.79,47436.21,72087156.80,132156.80,40951.35,56.00,56.80
68,?,?,?,?,?,?,?,?,?,?,?,56.80,?
69,?,?,?,?,?,?,?,?,?,?,?,?,?
70,2525.69,2479.20,46933.03,2522.52,3646.72,3579.59,3954.03,47269.75,65023255.00,119455.00,36340.62,?,55.00
71,2532.30,2482.39,47010.40,2517.65,3656.26,3584.20,3956.89,47340.43,38787655.40,66155.40,21491.61,55.00,55.40
72,2525.33,2473.95,46888.37,2503.94,3646.20,3572.01,3915.99,47235.72,130652154.50,157454.50,70926.87,55.40,54.50
73,2548.95,2498.84,47223.68,2532.24,3680.31,3607.96,3983.68,47606.16,82727355.10,164355.10,45773.60,54.50,55.10
74,2543.87,2486.30,47125.93,2511.47,3672.97,3589.85,3952.89,47522.10,309912654.75,317754.75,171934.85,55.10,54.75
75,?,?,?,?,?,?,?,?,?,?,?,54.75,?
76,?,?,?,?,?,?,?,?,?,?,?,?,?
77,2516.69,2453.90,46668.41,2495.62,3633.72,3543.06,3925.66,47094.18,83181154.50,156154.50,45040.08,?,54.50
78,2480.67,2421.94,46029.35,2464.10,3581.72,3496.92,3918.94,46473.62,57353254.50,80154.50,31066.59,54.50,54.50
79,2479.47,2422.61,46068.24,2469.12,3579.99,3497.89,3909.56,46511.62,71378654.50,115954.50,38830.55,54.50,54.50
80,2453.97,2395.82,45580.47,2438.71,3543.16,3459.21,3847.08,46017.88,84840153.10,131253.10,45407.04,54.50,53.10
81,2426.14,2370.02,45066.18,2419.55,3502.98,3421.95,3791.82,45473.08,50259352.15,93252.15,26485.02,53.10,52.15
82,?,?,?,?,?,?,?,?,?,?,?,52.15,?
83,?,?,?,?,?,?,?,?,?,?,?,?,?
84,2395.40,2339.48,44585.10,2366.31,3458.60,3377.86,3682.00,44946.32,62274050.75,158650.75,32292.95,?,50.75
85,2406.05,2353.41,44724.88,2370.58,3473.97,3397.98,3685.71,45119.16,170274951.00,147751.00,86271.10,50.75,51.00
86,2440.82,2385.27,45247.90,2408.57,3524.18,3443.98,3807.99,45644.09,43535153.70,113453.70,22403.50,51.00,53.70
87,2430.73,2370.07,45147.57,2399.27,3509.61,3422.02,3693.72,45528.85,87618051.40,129151.40,45499.93,53.70,51.40
88,?,?,?,?,?,?,?,?,?,?,?,51.40,?
89,?,?,?,?,?,?,?,?,?,?,?,?,?
90,?,?,?,?,?,?,?,?,?,?,?,?,?
91,?,?,?,?,?,?,?,?,?,?,?,?,?
92,2440.15,2375.67,45304.74,2400.60,3523.22,3430.12,3693.53,45679.51,62782651.30,78151.30,32159.65,?,51.30
93,2398.83,2336.45,44604.61,2358.53,3463.55,3373.48,3570.69,44940.36,131533849.75,224349.75,65791.62,51.30,49.75
94,2402.20,2342.64,44623.89,2372.92,3468.42,3382.42,3597.71,44980.62,110709149.81,172549.81,55281.37,49.75,49.81
95,2400.73,2346.37,44597.66,2366.71,3466.30,3387.81,3596.75,44960.02,128156250.00,169450.00,64213.00,49.81,50.00
96,?,?,?,?,?,?,?,?,?,?,?,50.00,?
97,?,?,?,?,?,?,?,?,?,?,?,?,?
98,2401.04,2344.72,44590.97,2363.50,3466.74,3385.42,3578.45,44963.96,89945850.00,120550.00,45184.70,?,50.00
99,2403.05,2347.10,44725.03,2366.79,3477.52,3396.49,3612.34,45096.35,169626350.10,126950.10,85441.14,50.00,50.10
100,2423.82,2370.51,45091.63,2381.73,3507.58,3430.37,3663.20,45495.34,162692651.15,144851.15,83196.89,50.10,51.15
101,2462.75,2409.02,45688.48,2424.99,3563.91,3486.10,3703.24,46131.66,178765951.50,123451.50,91884.55,51.15,51.50
102,2456.16,2397.08,45525.92,2426.63,3554.37,3468.81,3725.60,45960.10,99288851.45,77451.45,50950.42,51.50,51.45
103,?,?,?,?,?,?,?,?,?,?,?,51.45,?
104,?,?,?,?,?,?,?,?,?,?,?,?,?
105,2411.63,2350.08,44724.14,2384.90,3489.94,3400.81,3650.58,45167.65,90584650.20,143650.20,45483.77,?,50.20
106,?,?,?,?,?,?,?,?,?,?,?,50.20,?
107,2372.48,2304.59,43916.24,2368.24,3433.28,3334.98,3655.63,44404.81,180618750.00,224650.00,90012.95,?,50.00
108,2338.69,2269.22,43364.70,2329.94,3387.52,3283.79,3551.78,43850.06,170211448.44,169948.44,84250.61,50.00,48.44
109,2342.83,2277.71,43447.75,2326.99,3393.51,3296.08,3490.48,43993.98,145822347.50,218847.50,70098.87,48.44,47.50
110,?,?,?,?,?,?,?,?,?,?,?,47.50,?
111,?,?,?,?,?,?,?,?,?,?,?,?,?
112,2337.88,2278.07,43360.30,2324.80,3386.35,3296.60,3488.71,43892.82,105121247.50,132047.50,50037.49,?,47.50
113,2331.94,2273.47,43159.57,2322.43,3377.74,3289.95,3475.81,43707.88,142418547.61,140247.61,67600.21,47.50,47.61
114,2345.85,2286.71,43356.73,2333.85,3397.89,3309.10,3553.45,43908.95,121662149.70,184049.70,59100.26,47.61,49.70
115,2349.59,2288.09,43482.18,2351.74,3403.31,3311.10,3573.45,44027.03,97092849.24,170049.24,47988.29,49.70,49.24
116,2359.18,2294.06,43665.21,2347.25,3417.20,3319.74,3529.71,44226.06,68183148.70,89648.70,33396.17,49.24,48.70
117,?,?,?,?,?,?,?,?,?,?,?,48.70,?
118,?,?,?,?,?,?,?,?,?,?,?,?,?
119,2372.13,2303.18,43882.16,2352.08,3435.94,3332.94,3528.05,44420.22,40962149.10,100849.10,20098.71,?,49.10
120,2388.07,2319.15,44162.18,2365.51,3459.03,3356.04,3527.90,44653.34,77175849.00,115949.00,37818.16,49.10,49.00
121,?,?,?,?,?,?,?,?,?,?,?,49.00,?
122,2374.97,2305.90,43991.51,2371.23,3440.07,3336.87,3487.44,44466.89,95379647.00,211547.00,45623.10,?,47.00
123,?,?,?,?,?,?,?,?,?,?,?,47.00,?
124,?,?,?,?,?,?,?,?,?,?,?,?,?
125,?,?,?,?,?,?,?,?,?,?,?,?,?
126,2407.08,2339.22,44541.73,2405.15,3486.58,3385.09,3536.18,45060.80,80210947.24,110247.24,38149.97,?,47.24
127,2417.54,2347.82,44742.22,2406.38,3501.73,3397.54,3560.06,45244.29,161815548.16,116448.16,77453.52,47.24,48.16
128,2439.21,2367.91,45117.94,2431.87,3533.12,3426.60,3622.35,45647.76,73646348.91,104548.91,35680.29,48.16,48.91
129,2431.22,2348.95,44943.16,2432.74,3521.54,3399.18,3631.29,45475.08,52099348.70,95348.70,25284.40,48.91,48.70
130,2426.35,2338.16,44895.35,2418.77,3514.48,3383.56,3585.45,45408.06,34196848.32,51748.32,16491.13,48.70,48.32
131,?,?,?,?,?,?,?,?,?,?,?,48.32,?
132,?,?,?,?,?,?,?,?,?,?,?,?,?
133,2443.14,2354.34,45207.84,2429.59,3541.49,3409.58,3617.11,45746.01,72155848.80,84548.80,34905.20,?,48.80
134,2479.96,2386.81,45771.11,2464.03,3594.88,3456.59,3684.10,46336.62,83246449.50,162849.50,41128.83,48.80,49.50
135,2500.68,2408.86,46102.42,2475.71,3624.90,3488.53,3771.80,46676.61,171659251.20,239351.20,86324.89,49.50,51.20
136,2488.92,2390.32,45992.03,2482.49,3611.62,3465.30,3771.09,46581.16,71388451.20,95151.20,36533.98,51.20,51.20
137,2493.28,2391.07,46078.68,2496.00,3617.94,3466.38,3782.90,46646.58,39261151.61,64151.61,20268.98,51.20,51.61
138,?,?,?,?,?,?,?,?,?,?,?,51.61,?
139,?,?,?,?,?,?,?,?,?,?,?,?,?
140,2488.97,2376.78,46041.35,2490.85,3611.69,3445.67,3773.81,46615.31,40975951.70,75951.70,21303.39,?,51.70
141,2472.29,2370.32,45851.80,2463.54,3587.49,3436.30,3726.44,46439.10,75190550.80,179250.80,38333.95,51.70,50.80
142,2474.43,2371.95,45933.66,2469.68,3590.59,3438.66,3774.47,46529.96,99625451.40,156551.40,51063.89,50.80,51.40
143,2459.61,2359.42,45687.76,2453.92,3569.08,3420.51,3774.96,46311.26,187983350.85,322950.85,95540.36,51.40,50.85
144,2486.10,2384.58,46145.44,2484.35,3607.51,3456.98,3817.04,46783.61,44991951.50,92551.50,23114.17,50.85,51.50
145,?,?,?,?,?,?,?,?,?,?,?,51.50,?
146,?,?,?,?,?,?,?,?,?,?,?,?,?
147,2556.62,2451.06,47277.10,2561.94,3709.85,3553.36,3979.24,47957.54,72224154.49,124154.49,38322.65,?,54.49
148,2573.63,2469.37,47579.87,2578.46,3734.53,3579.90,3978.79,48258.02,116946353.88,182053.88,63293.45,54.49,53.88
149,2563.21,2463.37,47476.64,2562.11,3723.76,3575.43,3914.03,48138.07,66131253.04,143853.04,35594.38,53.88,53.04
150,?,?,?,?,?,?,?,?,?,?,?,53.04,?
151,2583.50,2485.50,47806.34,2578.05,3753.24,3607.54,3911.72,48503.87,194651553.00,290253.00,103438.20,?,53.00
152,?,?,?,?,?,?,?,?,?,?,?,53.00,?
153,?,?,?,?,?,?,?,?,?,?,?,?,?
154,2546.43,2443.65,47175.79,2540.78,3699.39,3546.80,3882.96,47868.36,128547552.55,147852.55,67580.02,?,52.55
155,2569.08,2462.92,47620.68,2555.93,3732.30,3574.77,3951.95,48323.88,147714553.25,122153.25,78149.88,52.55,53.25
156,2578.21,2461.51,47805.94,2580.38,3745.56,3572.72,3978.73,48513.29,92196953.80,132553.80,49127.96,53.25,53.80
157,2559.39,2446.29,47573.66,2554.45,3718.21,3550.63,3930.30,48259.19,55470352.74,98452.74,29555.53,53.80,52.74
158,2595.30,2488.84,48209.65,2580.49,3771.86,3613.82,4011.58,48918.37,84780953.99,96053.99,45358.79,52.74,53.99
159,?,?,?,?,?,?,?,?,?,?,?,53.99,?
160,?,?,?,?,?,?,?,?,?,?,?,?,?
161,2608.91,2503.41,48495.01,2587.96,3791.64,3634.98,4011.02,49207.65,69805154.20,107454.20,37772.14,?,54.20
162,2595.04,2484.11,48324.52,2579.42,3771.49,3606.96,3975.14,49050.96,77889153.64,115953.64,41936.90,54.20,53.64
163,2591.90,2481.60,48383.93,2564.00,3766.92,3603.31,3932.32,49098.70,21211153.54,53553.54,11391.72,53.64,53.54
164,2573.85,2472.75,48152.82,2551.55,3740.69,3590.46,3874.52,48890.47,125907852.55,116152.55,66497.13,53.54,52.55
165,2583.39,2478.43,48273.42,2554.84,3754.56,3598.71,3892.86,49057.66,52047652.70,80252.70,27422.47,52.55,52.70
166,?,?,?,?,?,?,?,?,?,?,?,52.70,?
167,?,?,?,?,?,?,?,?,?,?,?,?,?
168,2575.47,2463.37,48131.61,2552.66,3743.05,3576.84,3874.73,48917.56,55119752.90,90652.90,29187.37,?,52.90
169,2571.29,2455.15,48119.72,2541.67,3736.96,3564.90,3817.02,48891.04,53397051.50,143951.50,27789.13,52.90,51.50
170,2537.36,2413.40,47743.10,2537.78,3707.74,3526.33,3792.01,48509.84,148752850.07,298750.07,75305.07,51.50,50.07
171,2429.92,2297.91,45870.00,2447.48,3550.74,3357.59,3626.85,46587.68,159438447.50,421647.50,78542.73,50.07,47.50
172,2359.89,2233.64,44732.92,2351.03,3448.40,3263.68,3454.63,45456.77,289220845.50,623845.50,134058.70,47.50,45.50
173,?,?,?,?,?,?,?,?,?,?,?,45.50,?
174,?,?,?,?,?,?,?,?,?,?,?,?,?
175,2366.01,2244.27,44824.62,2350.17,3457.35,3279.21,3485.54,45531.46,58176545.80,157245.80,26619.78,?,45.80
