%310
@RELATION PLKGNRC00015
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE sWIG80 NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE RESPECT NUMERIC 
@ATTRIBUTE WIG-ENERG NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
249,12457.22,46717.04,2424.82,3398.06,47514.09,3142.61,19859.60,659.60,11.71,58.52,59.60
250,?,?,?,?,?,?,?,?,?,59.60,?
251,?,?,?,?,?,?,?,?,?,?,?
252,12726.39,47808.90,2485.12,3433.11,48651.54,3199.68,11258.65,558.65,6.58,?,58.65
253,12962.91,48961.51,2564.76,3511.43,49839.90,3256.85,259.60,259.60,0.12,58.65,59.60
254,12983.95,49437.02,2593.59,3547.13,50312.63,3285.29,56861.50,1661.50,33.92,59.60,61.50
255,13011.41,49771.55,2597.06,3611.85,50644.38,3303.55,20163.00,1963.00,12.66,61.50,63.00
256,12998.59,49348.61,2569.37,3638.67,50196.31,3285.49,16363.50,1363.50,10.27,63.00,63.50
257,?,?,?,?,?,?,?,?,?,63.50,?
258,?,?,?,?,?,?,?,?,?,?,?
259,13003.37,48917.85,2534.63,3612.56,49741.35,3260.05,227464.06,7264.06,144.12,?,64.06
260,13085.22,49434.46,2557.81,3636.53,50258.11,3286.61,25664.73,2464.73,16.78,64.06,64.73
261,13049.76,49413.33,2556.48,3635.76,50227.43,3277.41,4465.50,3865.50,2.88,64.73,65.50
262,13124.47,50300.53,2610.88,3688.14,51171.25,3316.59,39568.00,2868.00,26.09,65.50,68.00
263,13140.38,50308.19,2624.43,3741.62,51202.75,3316.08,1899368.00,168.00,1291.52,68.00,68.00
264,?,?,?,?,?,?,?,?,?,68.00,?
265,?,?,?,?,?,?,?,?,?,?,?
266,13089.15,49955.87,2620.53,3743.20,50869.00,3291.57,29068.00,5168.00,19.77,?,68.00
267,13131.43,49979.47,2612.43,3729.68,50887.67,3275.67,10467.98,6267.98,7.07,68.00,67.98
268,13114.91,50301.69,2624.16,3691.44,51221.45,3299.72,8067.89,4167.89,5.43,67.98,67.89
269,13233.88,50936.34,2641.40,3687.65,51846.54,3336.44,18666.90,3066.90,12.33,67.89,66.90
270,13346.97,50819.81,2634.42,3673.80,51704.53,3352.18,46365.00,1265.00,30.19,66.90,65.00
271,?,?,?,?,?,?,?,?,?,65.00,?
272,?,?,?,?,?,?,?,?,?,?,?
273,13314.68,50301.85,2599.89,3605.39,51191.50,3349.29,53564.55,864.55,34.57,?,64.55
274,13338.19,50782.48,2628.58,3649.03,51691.24,3351.68,58365.10,1265.10,37.59,64.55,65.10
275,13386.01,50803.40,2622.62,3673.66,51709.58,3364.40,2366.90,366.90,1.53,65.10,66.90
276,13476.11,50982.03,2627.30,3672.11,51911.61,3383.62,75067.00,1567.00,50.32,66.90,67.00
277,13513.64,50601.24,2591.38,3640.08,51511.63,3381.52,64468.00,1668.00,43.04,67.00,68.00
278,?,?,?,?,?,?,?,?,?,68.00,?
279,?,?,?,?,?,?,?,?,?,?,?
280,13477.58,50338.71,2578.81,3608.90,51239.47,3383.60,26068.44,1268.44,17.76,?,68.44
281,13399.64,50137.88,2564.69,3604.78,51021.26,3368.14,34768.75,868.75,23.75,68.44,68.75
282,13361.98,50335.02,2565.09,3633.45,51215.99,3379.96,15568.44,1268.44,10.42,68.75,68.44
