%310
@RELATION LU0122624777
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-DEWEL NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
69,?,?,?,?,?,?,?
70,46933.03,1396.97,010.51,010.51,0.00,?,10.51
71,47010.40,1423.31,14969.65,149.65,14.41,10.51,9.65
72,46888.37,1423.72,14159.50,129.50,13.72,9.65,9.50
73,47223.68,1436.51,21109.11,149.11,19.81,9.50,9.11
74,47125.93,1431.31,26888.90,258.90,24.21,9.11,8.90
75,?,?,?,?,?,8.90,?
76,?,?,?,?,?,?,?
77,46668.41,1419.01,41169.30,419.30,36.86,?,9.30
78,46029.35,1400.23,6839.69,119.69,6.39,9.30,9.69
79,46068.24,1396.66,2769.69,39.69,2.67,9.69,9.69
80,45580.47,1372.60,3510.00,510.00,0.34,9.69,10.00
81,45066.18,1354.95,3679.80,79.80,3.50,10.00,9.80
82,?,?,?,?,?,9.80,?
83,?,?,?,?,?,?,?
84,44585.10,1336.25,1029.30,59.30,0.96,?,9.30
85,44724.88,1334.81,9599.69,79.69,8.73,9.30,9.69
86,45247.90,1332.17,999.80,69.80,0.96,9.69,9.80
87,45147.57,1335.61,5359.80,59.80,4.74,9.80,9.80
88,?,?,?,?,?,9.80,?
89,?,?,?,?,?,?,?
90,?,?,?,?,?,?,?
91,?,?,?,?,?,?,?
92,45304.74,1342.68,53338.70,348.70,44.81,?,8.70
93,44604.61,1315.67,22128.50,158.50,19.00,8.70,8.50
94,44623.89,1312.91,16318.86,138.86,13.92,8.50,8.86
95,44597.66,1319.91,28908.76,188.76,24.88,8.86,8.76
96,?,?,?,?,?,8.76,?
97,?,?,?,?,?,?,?
98,44590.97,1329.86,29519.02,189.02,26.40,?,9.02
99,44725.03,1322.63,13298.66,128.66,11.16,9.02,8.66
100,45091.63,1341.74,10728.92,118.92,9.28,8.66,8.92
101,45688.48,1350.66,53969.00,249.00,45.40,8.92,9.00
102,45525.92,1356.50,110168.70,208.70,91.77,9.00,8.70
103,?,?,?,?,?,8.70,?
104,?,?,?,?,?,?,?
105,44724.14,1314.18,40678.35,168.35,33.12,?,8.35
106,?,?,?,?,?,8.35,?
107,43916.24,1291.19,20308.00,78.00,15.97,?,8.00
108,43364.70,1280.02,2508.14,48.14,1.95,8.00,8.14
109,43447.75,1280.06,2048.13,38.13,1.59,8.14,8.13
110,?,?,?,?,?,8.13,?
111,?,?,?,?,?,?,?
112,43360.30,1292.08,1148.50,48.50,0.97,?,8.50
113,43159.57,1277.53,22078.30,108.30,18.24,8.50,8.30
114,43356.73,1283.16,4588.65,98.65,3.87,8.30,8.65
115,43482.18,1295.48,34538.90,128.90,29.25,8.65,8.90
116,43665.21,1299.40,5838.95,58.95,5.19,8.90,8.95
117,?,?,?,?,?,8.95,?
118,?,?,?,?,?,?,?
119,43882.16,1311.59,1599.10,59.10,1.44,?,9.10
120,44162.18,1303.66,8309.53,59.53,7.63,9.10,9.53
121,?,?,?,?,?,9.53,?
122,43991.51,1274.69,2129.79,69.79,2.00,?,9.79
123,?,?,?,?,?,9.79,?
124,?,?,?,?,?,?,?
125,?,?,?,?,?,?,?
126,44541.73,1283.84,529.79,39.79,0.51,?,9.79
127,44742.22,1301.78,09.79,09.79,0.00,9.79,9.79
128,45117.94,1318.36,09.79,09.79,0.00,9.79,9.79
129,44943.16,1323.45,1009.30,19.30,0.93,9.79,9.30
130,44895.35,1326.21,6259.65,109.65,5.88,9.30,9.65
131,?,?,?,?,?,9.65,?
132,?,?,?,?,?,?,?
133,45207.84,1330.79,1209.70,49.70,1.16,?,9.70
134,45771.11,1313.36,3379.62,69.62,3.13,9.70,9.62
135,46102.42,1324.54,09.62,09.62,0.00,9.62,9.62
136,45992.03,1332.96,1519.50,29.50,1.37,9.62,9.50
137,46078.68,1345.72,09.50,09.50,0.00,9.50,9.50
138,?,?,?,?,?,9.50,?
139,?,?,?,?,?,?,?
140,46041.35,1341.55,2019.40,29.40,1.85,?,9.40
141,45851.80,1351.99,7929.40,89.40,7.19,9.40,9.40
142,45933.66,1344.81,09.40,09.40,0.00,9.40,9.40
143,45687.76,1350.88,9919.38,69.38,8.94,9.40,9.38
144,46145.44,1393.25,9799.35,49.35,8.80,9.38,9.35
145,?,?,?,?,?,9.35,?
146,?,?,?,?,?,?,?
147,47277.10,1431.34,11219.39,39.39,10.19,?,9.39
148,47579.87,1444.94,10019.20,39.20,9.05,9.39,9.20
149,47476.64,1464.18,3619.79,89.79,3.48,9.20,9.79
150,?,?,?,?,?,9.79,?
151,47806.34,1471.74,1969.79,49.79,1.87,?,9.79
152,?,?,?,?,?,9.79,?
153,?,?,?,?,?,?,?
154,47175.79,1461.53,4419.55,39.55,4.21,?,9.55
155,47620.68,1476.35,09.55,09.55,0.00,9.55,9.55
156,47805.94,1489.88,569.51,39.51,0.51,9.55,9.51
157,47573.66,1469.75,4619.55,69.55,4.26,9.51,9.55
158,48209.65,1514.93,1019.55,29.55,0.93,9.55,9.55
159,?,?,?,?,?,9.55,?
160,?,?,?,?,?,?,?
161,48495.01,1524.65,3709.55,59.55,3.51,?,9.55
162,48324.52,1551.97,7429.79,79.79,7.05,9.55,9.79
163,48383.93,1598.45,16709.79,119.79,16.09,9.79,9.79
164,48152.82,1595.96,1019.80,29.80,0.99,9.79,9.80
165,48273.42,1585.79,5019.80,29.80,4.86,9.80,9.80
166,?,?,?,?,?,9.80,?
167,?,?,?,?,?,?,?
168,48131.61,1583.00,4619.75,59.75,4.43,?,9.75
169,48119.72,1588.25,09.75,09.75,0.00,9.75,9.75
170,47743.10,1571.15,332510.19,1810.19,32.64,9.75,10.19
171,45870.00,1544.23,271210.18,1010.18,27.02,10.19,10.18
172,44732.92,1507.70,30310.15,610.15,2.98,10.18,10.15
173,?,?,?,?,?,10.15,?
174,?,?,?,?,?,?,?
175,44824.62,1501.45,23610.11,510.11,2.32,?,10.11
176,44966.09,1503.06,410.13,110.13,0.04,10.11,10.13
177,44893.99,1492.93,9919.85,49.85,9.64,10.13,9.85
178,43667.37,1472.46,1039.90,29.90,0.97,9.85,9.90
179,44747.79,1476.14,09.90,09.90,0.00,9.90,9.90
180,?,?,?,?,?,9.90,?
181,?,?,?,?,?,?,?
182,44769.00,1492.65,09.90,09.90,0.00,?,9.90
183,45533.94,1495.04,09.90,09.90,0.00,9.90,9.90
184,45184.98,1487.37,1769.80,69.80,1.66,9.90,9.80
185,45613.75,1499.27,1259.10,39.10,1.14,9.80,9.10
186,45110.89,1482.20,19.40,19.40,0.01,9.10,9.40
187,?,?,?,?,?,9.40,?
188,?,?,?,?,?,?,?
189,44534.34,1474.90,09.40,09.40,0.00,?,9.40
190,44342.23,1456.02,1039.29,49.29,0.93,9.40,9.29
191,45068.55,1468.88,09.29,09.29,0.00,9.29,9.29
192,45712.72,1484.29,1399.54,29.54,1.29,9.29,9.54
193,46150.78,1481.99,10739.50,39.50,9.85,9.54,9.50
194,?,?,?,?,?,9.50,?
195,?,?,?,?,?,?,?
196,46218.05,1489.11,5699.49,49.49,5.40,?,9.49
197,46155.10,1489.88,9709.43,29.43,9.15,9.49,9.43
198,46287.08,1499.74,09.43,09.43,0.00,9.43,9.43
199,46221.23,1491.54,769.50,29.50,0.70,9.43,9.50
200,46399.74,1495.90,21329.49,79.49,19.61,9.50,9.49
201,?,?,?,?,?,9.49,?
202,?,?,?,?,?,?,?
203,46361.70,1484.19,30199.13,79.13,27.56,?,9.13
204,46714.43,1494.62,10489.51,79.51,9.99,9.13,9.51
205,46835.98,1489.09,29.80,29.80,0.02,9.51,9.80
206,46713.02,1474.03,09.80,09.80,0.00,9.80,9.80
207,46258.91,1469.58,8199.62,59.62,7.88,9.80,9.62
208,?,?,?,?,?,9.62,?
209,?,?,?,?,?,?,?
210,46480.62,1481.47,27009.54,59.54,26.16,?,9.54
211,46663.41,1464.82,34749.51,59.51,33.62,9.54,9.51
212,46925.65,1472.71,12099.51,29.51,11.50,9.51,9.51
213,47370.81,1481.84,1009.58,19.58,0.96,9.51,9.58
214,48325.33,1499.33,2949.75,19.75,2.87,9.58,9.75
215,?,?,?,?,?,9.75,?
216,?,?,?,?,?,?,?
217,48458.44,1492.08,09.75,09.75,0.00,?,9.75
218,47942.81,1487.96,09.75,09.75,0.00,9.75,9.75
219,48306.55,1495.92,09.75,09.75,0.00,9.75,9.75
220,48862.88,1508.03,2509.29,29.29,2.32,9.75,9.29
221,49125.36,1513.10,10009.29,19.29,9.29,9.29,9.29
222,?,?,?,?,?,9.29,?
223,?,?,?,?,?,?,?
224,49580.16,1510.53,1009.25,19.25,0.93,?,9.25
225,49747.66,1507.50,85089.70,199.70,82.51,9.25,9.70
226,50223.95,1512.82,1718810.00,4410.00,177.60,9.70,10.00
227,?,?,?,?,?,10.00,?
228,49976.48,1502.62,241210.20,910.20,24.50,?,10.20
229,?,?,?,?,?,10.20,?
230,?,?,?,?,?,?,?
231,49772.46,1499.73,268910.35,910.35,27.61,?,10.35
232,49162.16,1472.26,139510.10,1010.10,14.36,10.35,10.10
233,49128.05,1477.77,157510.09,510.09,15.92,10.10,10.09
234,49846.48,1471.70,150010.10,210.10,15.15,10.09,10.10
235,49895.10,1463.61,150010.02,210.02,15.07,10.10,10.02
236,?,?,?,?,?,10.02,?
237,?,?,?,?,?,?,?
238,49818.48,1468.33,14010.40,110.40,1.46,?,10.40
239,48833.58,1447.65,21539.83,139.83,21.40,10.40,9.83
240,48537.65,1440.74,09.83,09.83,0.00,9.83,9.83
241,48676.45,1465.81,63210.03,710.03,6.33,9.83,10.03
242,48871.98,1440.79,68510.01,610.01,7.04,10.03,10.01
243,?,?,?,?,?,10.01,?
244,?,?,?,?,?,?,?
245,49187.22,1458.21,173910.05,910.05,17.25,?,10.05
246,48968.87,1451.26,55210.08,210.08,5.59,10.05,10.08
247,47919.09,1426.01,3159.95,39.95,3.11,10.08,9.95
248,45830.66,1364.15,10249.87,79.87,9.79,9.95,9.87
249,46717.04,1375.61,819.87,29.87,0.78,9.87,9.87
250,?,?,?,?,?,9.87,?
251,?,?,?,?,?,?,?
252,47808.90,1385.20,11599.87,59.87,11.25,?,9.87
253,48961.51,1408.19,15009.87,29.87,14.81,9.87,9.87
254,49437.02,1422.23,2599.98,39.98,2.58,9.87,9.98
255,49771.55,1436.34,15809.74,39.74,15.40,9.98,9.74
256,49348.61,1425.63,244610.25,810.25,24.21,9.74,10.25
257,?,?,?,?,?,10.25,?
258,?,?,?,?,?,?,?
259,48917.85,1415.04,167010.35,1110.35,17.31,?,10.35
260,49434.46,1419.82,24910.36,210.36,2.59,10.35,10.36
261,49413.33,1427.60,100110.42,910.42,10.33,10.36,10.42
262,50300.53,1430.45,1310.47,210.47,0.13,10.42,10.47
263,50308.19,1424.93,010.47,010.47,0.00,10.47,10.47
264,?,?,?,?,?,10.47,?
265,?,?,?,?,?,?,?
266,49955.87,1413.29,21010.30,410.30,1.97,?,10.30
267,49979.47,1407.11,10009.70,39.70,9.77,10.30,9.70
268,50301.69,1417.72,5029.99,29.99,4.92,9.70,9.99
269,50936.34,1433.07,19.39,19.39,0.01,9.99,9.39
270,50819.81,1443.45,1039.92,19.92,1.02,9.39,9.92
271,?,?,?,?,?,9.92,?
272,?,?,?,?,?,?,?
273,50301.85,1435.33,6269.90,39.90,6.00,?,9.90
274,50782.48,1430.56,3009.90,29.90,2.97,9.90,9.90
275,50803.40,1447.48,17369.99,119.99,17.45,9.90,9.99
276,50982.03,1455.40,36010.39,410.39,3.71,9.99,10.39
277,50601.24,1444.69,5010.39,110.39,0.52,10.39,10.39
278,?,?,?,?,?,10.39,?
279,?,?,?,?,?,?,?
280,50338.71,1445.73,909.90,29.90,0.89,?,9.90
281,50137.88,1430.85,09.90,09.90,0.00,9.90,9.90
282,50335.02,1441.04,26610.17,410.17,2.68,9.90,10.17
283,51806.83,1467.04,49110.17,1310.17,4.81,10.17,10.17
284,52230.47,1480.78,10010.15,110.15,1.02,10.17,10.15
285,?,?,?,?,?,10.15,?
286,?,?,?,?,?,?,?
287,52520.91,1494.80,10010.27,210.27,1.03,?,10.27
288,52590.73,1502.66,7869.95,109.95,7.67,10.27,9.95
289,52861.41,1515.16,4509.64,19.64,4.34,9.95,9.64
290,52573.59,1562.31,6349.50,39.50,6.06,9.64,9.50
291,52587.24,1560.66,1369.50,29.50,1.29,9.50,9.50
292,?,?,?,?,?,9.50,?
293,?,?,?,?,?,?,?
294,53853.55,1567.16,1009.70,19.70,0.97,?,9.70
295,53781.81,1553.89,1009.70,29.70,0.95,9.70,9.70
296,53389.74,1546.62,09.70,09.70,0.00,9.70,9.70
297,53994.46,1547.05,4409.65,49.65,4.18,9.70,9.65
298,53887.13,1563.80,8719.65,69.65,8.15,9.65,9.65
299,?,?,?,?,?,9.65,?
300,?,?,?,?,?,?,?
301,54180.04,1561.20,3729.65,49.65,3.45,?,9.65
302,54536.95,1571.77,09.65,09.65,0.00,9.65,9.65
303,54095.32,1565.67,4789.64,69.64,4.52,9.65,9.64
304,53607.86,1550.39,1009.60,19.60,0.96,9.64,9.60
305,?,?,?,?,?,9.60,?
306,?,?,?,?,?,?,?
307,?,?,?,?,?,?,?
308,53989.37,1576.65,550,3,5.24,?,9.55
309,53504.47,1569.20,1516,11,13.86,9.55,9.49
310,53924.01,1574.21,148,1,1.39,9.49,9.39
340,45857.110734846676,1517.0604490598248,?,?,?,?,?,? 
370,46189.882480874876,1525.0638171806484,?,?,?,?,?,? 
400,46522.654226903076,1533.067185301472,?,?,?,?,?,? 
490,47520.969464987684,1557.077289663942,?,?,?,?,?,? 
670,49517.5999411569,1605.0974983888825,?,?,?,?,?,? 
