%310
@RELATION CY0101062111
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE sWIG80 NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-SPOZYW NUMERIC 
@ATTRIBUTE WIG-CEE NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
184,11736.24,45184.98,3116.57,831.67,2971.57,303712.50,582.50,75.95,2.48,2.50
185,11820.50,45613.75,3145.35,833.56,2988.19,574522.56,822.56,147.15,2.50,2.56
186,11822.63,45110.89,3176.37,829.03,2977.06,424742.57,722.57,110.48,2.56,2.57
187,?,?,?,?,?,?,?,?,2.57,?
188,?,?,?,?,?,?,?,?,?,?
189,11711.98,44534.34,3202.26,829.35,2948.16,559102.61,932.61,146.92,?,2.61
190,11610.73,44342.23,3223.44,835.95,2924.69,526092.58,962.58,135.99,2.61,2.58
191,11643.94,45068.55,3278.06,834.08,2962.09,596822.50,852.50,150.26,2.58,2.50
192,11739.32,45712.72,3306.79,846.83,2992.86,678912.37,1272.37,165.52,2.50,2.37
193,11784.60,46150.78,3344.00,851.12,3017.66,466932.45,882.45,113.00,2.37,2.45
194,?,?,?,?,?,?,?,?,2.45,?
195,?,?,?,?,?,?,?,?,?,?
196,11770.78,46218.05,3318.87,841.34,3022.70,943462.50,1532.50,235.97,?,2.50
197,11753.20,46155.10,3320.24,847.20,3017.11,6165201.59,6841.59,1087.58,2.50,1.59
198,11768.81,46287.08,3333.09,841.92,3021.27,7384911.60,6521.60,1250.33,1.59,1.60
199,11813.42,46221.23,3389.39,835.62,3023.16,4772141.40,5141.40,695.65,1.60,1.40
200,11837.95,46399.74,3370.14,827.03,3019.85,4208701.63,3461.63,651.33,1.40,1.63
201,?,?,?,?,?,?,?,?,1.63,?
202,?,?,?,?,?,?,?,?,?,?
203,11864.19,46361.70,3363.21,836.07,3021.70,2881071.60,2481.60,458.79,?,1.60
204,11905.16,46714.43,3398.88,826.21,3029.97,4630881.79,2821.79,794.60,1.60,1.79
205,11975.99,46835.98,3451.39,829.10,3050.63,2768791.82,2271.82,499.03,1.79,1.82
206,11939.68,46713.02,3417.55,833.47,3036.16,2408081.88,1811.88,457.94,1.82,1.88
207,11930.54,46258.91,3376.81,828.78,3015.00,382141.90,661.90,71.87,1.88,1.90
208,?,?,?,?,?,?,?,?,1.90,?
209,?,?,?,?,?,?,?,?,?,?
210,11917.93,46480.62,3407.34,828.93,3032.94,1504881.79,1361.79,272.82,?,1.79
211,11914.45,46663.41,3422.75,830.71,3038.42,5086211.98,3211.98,988.65,1.79,1.98
212,11934.08,46925.65,3384.71,834.03,3046.08,2298742.14,2482.14,499.56,1.98,2.14
213,12025.60,47370.81,3341.99,828.08,3060.17,835322.00,1162.00,172.77,2.14,2.00
214,12096.51,48325.33,3426.64,832.32,3110.79,1876771.95,1681.95,374.86,2.00,1.95
215,?,?,?,?,?,?,?,?,1.95,?
216,?,?,?,?,?,?,?,?,?,?
217,12181.61,48458.44,3483.43,832.30,3127.41,2506712.34,1992.34,561.38,?,2.34
218,12213.07,47942.81,3486.01,828.82,3127.38,2404852.34,3182.34,580.54,2.34,2.34
219,12294.72,48306.55,3527.25,825.54,3168.23,2738052.22,2102.22,620.22,2.34,2.22
220,12425.78,48862.88,3579.17,817.92,3190.86,6186952.30,5942.30,1485.32,2.22,2.30
221,12524.35,49125.36,3499.45,808.11,3206.86,3476442.52,4662.52,870.43,2.30,2.52
222,?,?,?,?,?,?,?,?,2.52,?
223,?,?,?,?,?,?,?,?,?,?
224,12613.68,49580.16,3519.19,810.35,3225.79,5667132.78,5632.78,1570.89,?,2.78
225,12783.95,49747.66,3538.38,809.96,3233.22,2457662.70,2812.70,681.90,2.78,2.70
226,12961.14,50223.95,3530.29,810.20,3271.49,3530172.51,3722.51,895.28,2.70,2.51
227,?,?,?,?,?,?,?,?,2.51,?
228,12933.31,49976.48,3459.16,807.81,3253.28,2341632.43,2432.43,575.01,?,2.43
229,?,?,?,?,?,?,?,?,2.43,?
230,?,?,?,?,?,?,?,?,?,?
231,12877.73,49772.46,3428.34,806.40,3237.31,4969312.34,3762.34,1183.02,?,2.34
232,12831.52,49162.16,3400.95,797.53,3210.57,3877522.30,3292.30,860.65,2.34,2.30
233,12826.21,49128.05,3447.66,799.53,3221.87,1282972.36,1812.36,299.38,2.30,2.36
234,12985.38,49846.48,3478.42,808.23,3260.69,840352.38,1302.38,202.02,2.36,2.38
235,13050.37,49895.10,3467.02,807.44,3260.35,667892.38,882.38,160.01,2.38,2.38
236,?,?,?,?,?,?,?,?,2.38,?
237,?,?,?,?,?,?,?,?,?,?
238,13056.86,49818.48,3495.18,802.90,3255.45,1506742.30,1982.30,350.86,?,2.30
239,12781.02,48833.58,3423.51,801.21,3197.48,819032.23,1222.23,184.62,2.30,2.23
240,12706.26,48537.65,3384.22,809.89,3183.87,493502.15,912.15,106.54,2.23,2.15
241,12801.41,48676.45,3385.51,810.38,3204.20,1826002.37,2432.37,425.35,2.15,2.37
242,12801.04,48871.98,3363.18,814.59,3196.27,2022382.38,3042.38,499.46,2.37,2.38
243,?,?,?,?,?,?,?,?,2.38,?
244,?,?,?,?,?,?,?,?,?,?
245,12870.44,49187.22,3393.26,810.85,3230.20,536272.38,922.38,130.02,?,2.38
246,12843.19,48968.87,3405.95,813.16,3226.75,808822.31,1112.31,190.43,2.38,2.31
247,12637.81,47919.09,3338.86,809.19,3174.71,640782.22,952.22,146.06,2.31,2.22
248,12178.22,45830.66,3280.10,802.87,3061.25,1517402.15,1472.15,326.47,2.22,2.15
249,12457.22,46717.04,3320.52,812.70,3142.61,168202.20,592.20,36.89,2.15,2.20
250,?,?,?,?,?,?,?,?,2.20,?
251,?,?,?,?,?,?,?,?,?,?
252,12726.39,47808.90,3374.64,814.52,3199.68,312112.24,482.24,70.47,?,2.24
253,12962.91,48961.51,3449.10,825.20,3256.85,1512302.50,1232.50,365.83,2.24,2.50
254,12983.95,49437.02,3502.00,845.31,3285.29,357712.44,552.44,89.05,2.50,2.44
255,13011.41,49771.55,3561.86,847.48,3303.55,244582.39,372.39,59.25,2.44,2.39
256,12998.59,49348.61,3556.85,847.60,3285.49,316352.30,572.30,73.56,2.39,2.30
257,?,?,?,?,?,?,?,?,2.30,?
258,?,?,?,?,?,?,?,?,?,?
259,13003.37,48917.85,3498.14,844.92,3260.05,807352.21,1042.21,179.63,?,2.21
260,13085.22,49434.46,3583.06,849.85,3286.61,516032.27,692.27,118.77,2.21,2.27
261,13049.76,49413.33,3581.84,847.56,3277.41,2505752.50,1712.50,597.22,2.27,2.50
262,13124.47,50300.53,3605.94,842.09,3316.59,1203592.40,1682.40,297.94,2.50,2.40
263,13140.38,50308.19,3585.84,841.39,3316.08,678532.36,1162.36,158.88,2.40,2.36
264,?,?,?,?,?,?,?,?,2.36,?
265,?,?,?,?,?,?,?,?,?,?
266,13089.15,49955.87,3517.39,831.22,3291.57,225992.38,412.38,54.86,?,2.38
267,13131.43,49979.47,3512.70,833.19,3275.67,1053032.48,1482.48,261.85,2.38,2.48
268,13114.91,50301.69,3515.41,833.30,3299.72,5221412.62,4962.62,1385.28,2.48,2.62
269,13233.88,50936.34,3538.09,846.31,3336.44,1171242.53,1992.53,305.70,2.62,2.53
270,13346.97,50819.81,3532.05,846.91,3352.18,689222.52,1182.52,174.05,2.53,2.52
271,?,?,?,?,?,?,?,?,2.52,?
272,?,?,?,?,?,?,?,?,?,?
273,13314.68,50301.85,3494.36,849.49,3349.29,449202.45,662.45,110.89,?,2.45
274,13338.19,50782.48,3499.03,855.03,3351.68,1949882.56,2122.56,507.43,2.45,2.56
275,13386.01,50803.40,3513.56,852.55,3364.40,3864112.64,3652.64,1036.10,2.56,2.64
276,13476.11,50982.03,3525.92,848.01,3383.62,1482122.59,2162.59,394.31,2.64,2.59
277,13513.64,50601.24,3510.90,847.22,3381.52,616162.60,762.60,159.97,2.59,2.60
278,?,?,?,?,?,?,?,?,2.60,?
279,?,?,?,?,?,?,?,?,?,?
280,13477.58,50338.71,3501.94,848.45,3383.60,392612.60,532.60,102.29,?,2.60
281,13399.64,50137.88,3519.36,853.05,3368.14,1506022.40,1992.40,379.28,2.60,2.40
282,13361.98,50335.02,3561.38,858.02,3379.96,926152.43,1232.43,219.33,2.40,2.43
283,13589.27,51806.83,3648.78,862.39,3454.41,520022.53,842.53,129.72,2.43,2.53
284,13638.56,52230.47,3656.01,862.70,3477.04,542922.53,722.53,137.48,2.53,2.53
285,?,?,?,?,?,?,?,?,2.53,?
286,?,?,?,?,?,?,?,?,?,?
287,13701.85,52520.91,3648.47,860.18,3508.85,257152.46,262.46,64.87,?,2.46
288,13824.94,52590.73,3614.40,855.88,3544.07,570762.48,712.48,143.20,2.46,2.48
289,13886.79,52861.41,3568.21,844.25,3548.14,1174412.40,1282.40,284.23,2.48,2.40
290,14155.74,52573.59,3637.13,855.32,3572.96,656872.41,712.41,158.58,2.40,2.41
291,14253.72,52587.24,3669.50,849.56,3535.97,688662.40,622.40,166.13,2.41,2.40
292,?,?,?,?,?,?,?,?,2.40,?
293,?,?,?,?,?,?,?,?,?,?
294,14459.56,53853.55,3737.21,846.22,3606.06,1445042.39,1112.39,350.90,?,2.39
295,14512.68,53781.81,3771.51,846.38,3615.60,824582.45,1102.45,202.09,2.39,2.45
296,14327.32,53389.74,3696.25,823.65,3596.10,219352.41,292.41,53.16,2.45,2.41
297,14572.10,53994.46,3739.61,822.54,3637.76,90112.41,262.41,21.80,2.41,2.41
298,14753.57,53887.13,3516.88,808.48,3651.19,1996602.32,1772.32,469.08,2.41,2.32
299,?,?,?,?,?,?,?,?,2.32,?
300,?,?,?,?,?,?,?,?,?,?
301,14896.01,54180.04,3427.82,809.15,3660.45,1727592.27,1642.27,395.88,?,2.27
302,14994.44,54536.95,3478.84,813.37,3688.57,1034822.35,1312.35,241.77,2.27,2.35
303,14942.82,54095.32,3394.12,806.76,3660.80,368312.30,642.30,85.61,2.35,2.30
304,14928.63,53607.86,3362.26,799.19,3628.73,154002.29,342.29,35.54,2.30,2.29
305,?,?,?,?,?,?,?,?,2.29,?
306,?,?,?,?,?,?,?,?,?,?
307,?,?,?,?,?,?,?,?,?,?
308,15023.33,53989.37,3422.88,801.72,3668.56,40303,54,93.18,?,2.34
309,14877.29,53504.47,3437.50,799.00,3645.18,11679,38,26.95,2.34,2.32
310,14860.69,53924.01,3426.03,804.57,3650.27,34081,63,77.61,2.32,2.27
340,13476.564027366672,45857.110734846676,2864.893371122059,772.4384498456855,3215.763816454578,?,?,?,?,?,? 
370,13789.514663168062,46189.882480874876,2842.611796073331,764.8922210495718,3267.20146029432,?,?,?,?,?,? 
400,14102.465298969453,46522.654226903076,2820.330221024603,757.345992253458,3318.639104134063,?,?,?,?,?,? 
490,15041.317206373624,47520.969464987684,2753.4854958784194,734.7073058651168,3472.9520356532903,?,?,?,?,?,? 
670,16919.02102118197,49517.5999411569,2619.796045586054,689.4299330884348,3781.5778986917467,?,?,?,?,?,? 
