%310
@RELATION PLAB00000019
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE sWIG80 NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
240,12706.26,48537.65,49421.50,3183.87,348325.98,3125.98,90.05,25.98,25.98
241,12801.41,48676.45,49569.11,3204.20,909725.35,2225.35,233.48,25.98,25.35
242,12801.04,48871.98,49771.98,3196.27,956125.00,625.00,239.03,25.35,25.00
243,?,?,?,?,?,?,?,25.00,?
244,?,?,?,?,?,?,?,?,?
245,12870.44,49187.22,50099.55,3230.20,1277624.97,1124.97,318.98,?,24.97
246,12843.19,48968.87,49861.54,3226.75,94024.33,724.33,23.43,24.97,24.33
247,12637.81,47919.09,48781.63,3174.71,155723.15,1023.15,37.37,24.33,23.15
248,12178.22,45830.66,46598.42,3061.25,119922.70,722.70,27.04,23.15,22.70
249,12457.22,46717.04,47514.09,3142.61,26722.43,422.43,5.99,22.70,22.43
250,?,?,?,?,?,?,?,22.43,?
251,?,?,?,?,?,?,?,?,?
252,12726.39,47808.90,48651.54,3199.68,99023.16,623.16,22.78,?,23.16
253,12962.91,48961.51,49839.90,3256.85,2422.90,222.90,0.55,23.16,22.90
254,12983.95,49437.02,50312.63,3285.29,120623.00,1823.00,28.53,22.90,23.00
255,13011.41,49771.55,50644.38,3303.55,2247324.00,2524.00,540.52,23.00,24.00
256,12998.59,49348.61,50196.31,3285.49,5024.19,124.19,1.21,24.00,24.19
257,?,?,?,?,?,?,?,24.19,?
258,?,?,?,?,?,?,?,?,?
259,13003.37,48917.85,49741.35,3260.05,1947224.24,1824.24,471.17,?,24.24
260,13085.22,49434.46,50258.11,3286.61,56024.45,224.45,13.68,24.24,24.45
261,13049.76,49413.33,50227.43,3277.41,545524.49,2824.49,133.44,24.45,24.49
262,13124.47,50300.53,51171.25,3316.59,1446225.26,8525.26,369.96,24.49,25.26
263,13140.38,50308.19,51202.75,3316.08,412225.50,3025.50,103.88,25.26,25.50
264,?,?,?,?,?,?,?,25.50,?
265,?,?,?,?,?,?,?,?,?
266,13089.15,49955.87,50869.00,3291.57,1073925.20,2025.20,271.65,?,25.20
267,13131.43,49979.47,50887.67,3275.67,19664526.90,28726.90,5415.74,25.20,26.90
268,13114.91,50301.69,51221.45,3299.72,1713526.66,12626.66,459.34,26.90,26.66
269,13233.88,50936.34,51846.54,3336.44,1915926.90,8626.90,515.92,26.66,26.90
270,13346.97,50819.81,51704.53,3352.18,1376227.00,2727.00,371.31,26.90,27.00
271,?,?,?,?,?,?,?,27.00,?
272,?,?,?,?,?,?,?,?,?
273,13314.68,50301.85,51191.50,3349.29,1992327.00,4927.00,537.37,?,27.00
274,13338.19,50782.48,51691.24,3351.68,2534626.70,5926.70,682.91,27.00,26.70
275,13386.01,50803.40,51709.58,3364.40,632027.00,4227.00,170.34,26.70,27.00
276,13476.11,50982.03,51911.61,3383.62,2464427.80,7727.80,667.31,27.00,27.80
277,13513.64,50601.24,51511.63,3381.52,667827.80,2227.80,186.41,27.80,27.80
278,?,?,?,?,?,?,?,27.80,?
279,?,?,?,?,?,?,?,?,?
280,13477.58,50338.71,51239.47,3383.60,84727.69,1727.69,23.29,?,27.69
281,13399.64,50137.88,51021.26,3368.14,235327.30,2427.30,64.20,27.69,27.30
282,13361.98,50335.02,51215.99,3379.96,404226.90,3826.90,108.12,27.30,26.90
283,13589.27,51806.83,52744.48,3454.41,4226527.50,3527.50,1168.53,26.90,27.50
284,13638.56,52230.47,53193.87,3477.04,108727.50,1327.50,30.04,27.50,27.50
285,?,?,?,?,?,?,?,27.50,?
286,?,?,?,?,?,?,?,?,?
287,13701.85,52520.91,53498.97,3508.85,534727.35,1327.35,146.24,?,27.35
288,13824.94,52590.73,53588.87,3544.07,4354027.20,2627.20,1184.18,27.35,27.20
289,13886.79,52861.41,53918.41,3548.14,1865526.50,9426.50,491.79,27.20,26.50
290,14155.74,52573.59,53571.90,3572.96,161026.00,2026.00,42.23,26.50,26.00
291,14253.72,52587.24,53572.92,3535.97,351126.35,2526.35,92.59,26.00,26.35
292,?,?,?,?,?,?,?,26.35,?
293,?,?,?,?,?,?,?,?,?
294,14459.56,53853.55,54903.39,3606.06,2344627.16,5527.16,625.74,?,27.16
295,14512.68,53781.81,54818.06,3615.60,1319528.50,6928.50,368.98,27.16,28.50
296,14327.32,53389.74,54433.41,3596.10,2451228.75,8628.75,708.62,28.50,28.75
297,14572.10,53994.46,55063.75,3637.76,2907330.30,7530.30,878.33,28.75,30.30
298,14753.57,53887.13,55023.42,3651.19,1829831.50,6231.50,563.14,30.30,31.50
299,?,?,?,?,?,?,?,31.50,?
300,?,?,?,?,?,?,?,?,?
301,14896.01,54180.04,55362.19,3660.45,1817232.99,11532.99,598.40,?,32.99
302,14994.44,54536.95,55688.45,3688.57,1455132.45,6732.45,461.91,32.99,32.45
303,14942.82,54095.32,55240.01,3660.80,270431.43,3331.43,86.40,32.45,31.43
304,14928.63,53607.86,54734.18,3628.73,472830.50,5030.50,147.03,31.43,30.50
305,?,?,?,?,?,?,?,30.50,?
306,?,?,?,?,?,?,?,?,?
307,?,?,?,?,?,?,?,?,?
308,15023.33,53989.37,55121.60,3668.56,8045,64,250.67,?,31.39
309,14877.29,53504.47,54600.05,3645.18,27633,104,868.64,31.39,31.20
310,14860.69,53924.01,55035.36,3650.27,6589,56,205.22,31.20,31.00
340,13476.564027366672,45857.110734846676,47106.0108522239,3215.763816454578,?,?,?,?,?,? 
370,13789.514663168062,46189.882480874876,47398.32393415799,3267.20146029432,?,?,?,?,?,? 
400,14102.465298969453,46522.654226903076,47690.63701609208,3318.639104134063,?,?,?,?,?,? 
490,15041.317206373624,47520.969464987684,48567.57626189435,3472.9520356532903,?,?,?,?,?,? 
670,16919.02102118197,49517.5999411569,50321.45475349891,3781.5778986917467,?,?,?,?,?,? 
