%310
@RELATION PLACTIN00018
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE sWIG80 NUMERIC 
@ATTRIBUTE WIGdiv NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
128,10692.81,989.70,45117.94,45647.76,2752.14,1287131.25,3031.25,400.49,31.02,31.25
129,10714.80,982.95,44943.16,45475.08,2760.20,55330.80,1030.80,17.02,31.25,30.80
130,10758.03,983.43,44895.35,45408.06,2769.85,199931.56,1931.56,60.86,30.80,31.56
131,?,?,?,?,?,?,?,?,31.56,?
132,?,?,?,?,?,?,?,?,?,?
133,10762.74,990.06,45207.84,45746.01,2790.62,699432.00,4432.00,223.73,?,32.00
134,10819.27,1004.51,45771.11,46336.62,2822.41,390832.40,2432.40,125.31,32.00,32.40
135,10913.18,1009.60,46102.42,46676.61,2848.38,205632.11,2032.11,66.49,32.40,32.11
136,10976.80,1005.91,45992.03,46581.16,2871.70,897434.30,8634.30,301.22,32.11,34.30
137,10991.63,1003.88,46078.68,46646.58,2885.19,305234.35,2434.35,104.16,34.30,34.35
138,?,?,?,?,?,?,?,?,34.35,?
139,?,?,?,?,?,?,?,?,?,?
140,11070.23,999.39,46041.35,46615.31,2921.95,1438835.49,4535.49,501.21,?,35.49
141,11089.17,996.01,45851.80,46439.10,2893.12,864336.60,4536.60,315.43,35.49,36.60
142,11082.19,995.72,45933.66,46529.96,2912.70,1098136.46,4636.46,399.95,36.60,36.46
143,11050.12,990.26,45687.76,46311.26,2894.53,239435.25,3435.25,84.76,36.46,35.25
144,11130.47,999.44,46145.44,46783.61,2929.62,10685734.50,3534.50,3689.93,35.25,34.50
145,?,?,?,?,?,?,?,?,34.50,?
146,?,?,?,?,?,?,?,?,?,?
147,11329.88,1021.35,47277.10,47957.54,2976.83,7937734.99,2834.99,2762.10,?,34.99
148,11439.53,1028.33,47579.87,48258.02,2997.81,732035.40,4635.40,258.15,34.99,35.40
149,11434.08,1032.73,47476.64,48138.07,3000.58,1333835.06,3435.06,466.12,35.40,35.06
150,?,?,?,?,?,?,?,?,35.06,?
151,11518.87,1043.83,47806.34,48503.87,2994.25,2064935.94,1235.94,722.73,?,35.94
152,?,?,?,?,?,?,?,?,35.94,?
153,?,?,?,?,?,?,?,?,?,?
154,11428.58,1025.46,47175.79,47868.36,2970.24,342035.01,2335.01,121.29,?,35.01
155,11527.78,1028.91,47620.68,48323.88,2998.79,511035.01,3835.01,180.14,35.01,35.01
156,11566.33,1031.84,47805.94,48513.29,3026.87,589636.00,3636.00,210.42,35.01,36.00
157,11598.90,1025.43,47573.66,48259.19,3020.15,389135.98,2235.98,139.55,36.00,35.98
158,11721.20,1036.26,48209.65,48918.37,3044.38,299037.30,2737.30,109.44,35.98,37.30
159,?,?,?,?,?,?,?,?,37.30,?
160,?,?,?,?,?,?,?,?,?,?
161,11855.82,1043.13,48495.01,49207.65,3065.91,1353137.79,6037.79,511.62,?,37.79
162,11906.69,1038.53,48324.52,49050.96,3074.89,738337.80,6037.80,278.98,37.79,37.80
163,12044.12,1039.02,48383.93,49098.70,3098.83,779437.23,4737.23,289.94,37.80,37.23
164,11997.09,1039.63,48152.82,48890.47,3089.32,292337.18,1837.18,108.24,37.23,37.18
165,11980.74,1041.54,48273.42,49057.66,3092.65,219136.46,2336.46,79.62,37.18,36.46
166,?,?,?,?,?,?,?,?,36.46,?
