%310
@RELATION WIG-Plus
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE djia NUMERIC 
@ATTRIBUTE nasdaq NUMERIC 
@ATTRIBUTE eurostoxx NUMERIC 
@ATTRIBUTE dollar NUMERIC 
@ATTRIBUTE euro NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
136,15233.22,3465.24,3465.24,3.2521,3.2521,15644.92,806.45
137,15354.40,3498.97,3498.97,3.2520,3.2520,10453.36,810.69
138,?,?,?,?,?,?,?
139,?,?,?,?,?,?,?
140,15335.28,3496.43,3496.43,3.2380,3.2380,11487.42,815.60
141,15387.58,3502.12,3502.12,3.2490,3.2490,14230.57,819.76
142,15307.17,3463.30,3463.30,3.2322,3.2322,9939.54,818.82
143,15294.50,3459.42,3459.42,3.2587,3.2587,8251.33,814.69
144,15303.10,3459.14,3459.14,3.2400,3.2400,11401.00,820.11
145,?,?,?,?,?,?,?
146,?,?,?,?,?,?,?
147,?,?,?,3.2416,3.2416,18076.10,828.12
148,15409.39,3488.89,3488.89,3.2465,3.2465,27068.14,838.40
149,15302.80,3467.52,3467.52,3.2831,3.2831,13518.69,842.72
150,15324.53,3491.30,3491.30,?,?,?,?
151,15115.57,3455.91,3455.91,3.2953,3.2953,10162.92,841.72
152,?,?,?,?,?,?,?
153,?,?,?,?,?,?,?
154,15254.03,3465.37,3465.37,3.2865,3.2865,10286.86,839.57
155,15177.54,3445.26,3445.26,3.2524,3.2524,22085.84,854.67
156,14960.59,3401.48,3401.48,3.2421,3.2421,17272.63,859.35
157,15040.62,3424.05,3424.05,3.2564,3.2564,20405.40,864.95
158,15248.12,3469.22,3469.22,3.2545,3.2545,15963.75,866.67
159,?,?,?,?,?,?,?
160,?,?,?,?,?,?,?
161,15238.59,3473.77,3473.77,3.2210,3.2210,18636.26,870.65
162,15122.02,3436.95,3436.95,3.2201,3.2201,16671.73,870.60
163,14995.23,3400.43,3400.43,3.2002,3.2002,24535.45,878.91
164,15176.08,3445.36,3445.36,3.2000,3.2000,27955.27,877.48
165,15070.18,3423.56,3423.56,3.1654,3.1654,16359.11,880.65
166,?,?,?,?,?,?,?
167,?,?,?,?,?,?,?
168,15179.85,3452.13,3452.13,3.1719,3.1719,15319.41,883.59
169,15318.23,3482.18,3482.18,3.1682,3.1682,21116.99,886.71
170,15112.19,3443.20,3443.20,3.1777,3.1777,24050.85,885.25
171,14758.32,3364.64,3364.64,3.2693,3.2693,24786.19,864.38
172,14799.40,3357.25,3357.25,3.2743,3.2743,10952.49,855.18
173,?,?,?,?,?,?,?
174,?,?,?,?,?,?,?
175,14659.56,3320.76,3320.76,3.3137,3.3137,7669.80,857.74
176,14760.31,3347.89,3347.89,3.2840,3.2840,7908.41,863.23
177,14910.14,3376.22,3376.22,3.3239,3.3239,9444.74,858.05
178,15024.49,3401.86,3401.86,3.3241,3.3241,11747.39,847.97
179,14909.60,3403.25,3403.25,3.3175,3.3175,7842.83,848.08
180,?,?,?,?,?,?,?
181,?,?,?,?,?,?,?
182,14974.96,3434.49,3434.49,3.3210,3.3210,5237.44,848.80
183,14932.41,3433.40,3433.40,3.3222,3.3222,7276.28,853.37
184,14988.55,3443.67,3443.67,3.3516,3.3516,4990.30,850.45
185,?,?,?,3.3246,3.3246,5979.15,855.94
186,15135.84,3479.38,3479.38,3.3245,3.3245,6675.07,851.88
187,?,?,?,?,?,?,?
188,?,?,?,?,?,?,?
189,15224.69,3484.83,3484.83,3.3576,3.3576,7546.90,849.30
190,15300.34,3504.26,3504.26,3.3588,3.3588,5155.33,842.60
191,15291.66,3520.76,3520.76,3.3724,3.3724,3181.26,844.03
192,15460.92,3578.30,3578.30,3.3225,3.3225,8113.42,845.84
193,15464.30,3600.08,3600.08,3.3201,3.3201,10005.92,849.99
194,?,?,?,?,?,?,?
195,?,?,?,?,?,?,?
196,15484.26,3607.49,3607.49,3.2955,3.2955,6881.77,850.04
197,15451.85,3598.50,3598.50,3.2735,3.2735,7519.53,847.84
198,15470.52,3610.00,3610.00,3.2410,3.2410,5864.45,845.85
199,15548.54,3611.28,3611.28,3.2362,3.2362,12513.66,845.70
200,15543.74,3587.61,3587.61,3.2348,3.2348,10031.31,848.06
201,?,?,?,?,?,?,?
202,?,?,?,?,?,?,?
203,15545.55,3600.39,3600.39,3.2142,3.2142,6098.79,849.27
