%310
@RELATION PLBPRMT00011
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-BUDOW NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
188,?,?,?,?,?,?,?,?,?
189,849.30,44534.34,1768.95,45172.40,1115.35,35.35,0.59,?,5.35
190,842.60,44342.23,1782.40,44969.23,1165.30,45.30,0.61,5.35,5.30
191,844.03,45068.55,1817.53,45727.71,38115.23,85.23,19.60,5.30,5.23
192,845.84,45712.72,1810.46,46390.36,3605.05,35.05,1.83,5.23,5.05
193,849.99,46150.78,1837.14,46839.89,6025.23,45.23,3.06,5.05,5.23
194,?,?,?,?,?,?,?,5.23,?
195,?,?,?,?,?,?,?,?,?
196,850.04,46218.05,1814.28,46922.43,4515.23,65.23,2.36,?,5.23
197,847.84,46155.10,1823.37,46860.35,1525.20,35.20,0.77,5.23,5.20
198,845.85,46287.08,1818.62,47003.76,515.18,25.18,0.26,5.20,5.18
199,845.70,46221.23,1819.97,46919.83,15575.18,75.18,8.07,5.18,5.18
200,848.06,46399.74,1818.57,47120.88,9445.23,55.23,4.91,5.18,5.23
201,?,?,?,?,?,?,?,5.23,?
202,?,?,?,?,?,?,?,?,?
203,849.27,46361.70,1824.40,47075.43,25015.40,85.40,13.13,?,5.40
204,852.44,46714.43,1824.74,47454.90,4405.40,55.40,2.31,5.40,5.40
205,858.02,46835.98,1835.56,47575.74,225.40,25.40,0.12,5.40,5.40
206,858.31,46713.02,1829.12,47446.69,250005.65,395.65,138.82,5.40,5.65
207,858.83,46258.91,1830.71,46981.22,31115.64,65.64,17.57,5.65,5.64
208,?,?,?,?,?,?,?,5.64,?
209,?,?,?,?,?,?,?,?,?
210,862.18,46480.62,1842.00,47214.30,38335.49,115.49,21.13,?,5.49
211,870.15,46663.41,1839.88,47398.08,21505.63,75.63,11.84,5.49,5.63
212,878.25,46925.65,1831.05,47676.43,1275.63,65.63,0.69,5.63,5.63
