%310
@RELATION IM00B58FMW76
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-PALIWA NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
293,?,?,?,?,?,?,?
294,53853.55,3582.49,27010.90,210.90,2.94,?,10.90
295,53781.81,3581.69,60010.90,110.90,6.54,10.90,10.90
296,53389.74,3557.67,31310.90,110.90,3.41,10.90,10.90
297,53994.46,3569.92,111409.93,29.93,110.63,10.90,9.93
298,53887.13,3504.68,509.93,19.93,0.50,9.93,9.93
299,?,?,?,?,?,9.93,?
300,?,?,?,?,?,?,?
301,54180.04,3534.47,1119.50,39.50,1.03,?,9.50
302,54536.95,3588.30,09.50,09.50,0.00,9.50,9.50
303,54095.32,3554.78,09.50,09.50,0.00,9.50,9.50
304,53607.86,3453.93,5110.40,310.40,0.54,9.50,10.40
305,?,?,?,?,?,10.40,?
306,?,?,?,?,?,?,?
307,?,?,?,?,?,?,?
308,53989.37,3508.35,263,6,3.13,?,11.99
309,53504.47,3523.75,83,2,1.00,11.99,11.99
310,53924.01,3526.46,5070,2,60.84,11.99,12.00
340,45857.110734846676,3569.941569538811,?,?,?,?,?,? 
370,46189.882480874876,3547.3199424427057,?,?,?,?,?,? 
400,46522.654226903076,3524.6983153466003,?,?,?,?,?,? 
490,47520.969464987684,3456.833434058284,?,?,?,?,?,? 
670,49517.5999411569,3321.103671481651,?,?,?,?,?,? 
