%310
@RELATION PLMNRTR00012
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE sWIG80 NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
121,?,?,?,?,?,?,?,3.49,?
122,10554.34,43991.51,44466.89,2695.22,259133.47,373.47,89.43,?,3.47
123,?,?,?,?,?,?,?,3.47,?
124,?,?,?,?,?,?,?,?,?
125,?,?,?,?,?,?,?,?,?
126,10605.72,44541.73,45060.80,2714.72,702003.56,983.56,246.73,?,3.56
127,10618.63,44742.22,45244.29,2733.96,895683.62,1363.62,321.05,3.56,3.62
128,10692.81,45117.94,45647.76,2752.14,7587244.23,7334.23,2991.79,3.62,4.23
129,10714.80,44943.16,45475.08,2760.20,10467754.64,13414.64,4751.81,4.23,4.64
130,10758.03,44895.35,45408.06,2769.85,4408284.47,6184.47,1972.74,4.64,4.47
131,?,?,?,?,?,?,?,4.47,?
132,?,?,?,?,?,?,?,?,?
133,10762.74,45207.84,45746.01,2790.62,8769385.10,10325.10,4295.52,?,5.10
134,10819.27,45771.11,46336.62,2822.41,5212604.96,7354.96,2621.24,5.10,4.96
135,10913.18,46102.42,46676.61,2848.38,9155543.94,12163.94,4043.06,4.96,3.94
136,10976.80,45992.03,46581.16,2871.70,7372854.35,9284.35,3073.82,3.94,4.35
137,10991.63,46078.68,46646.58,2885.19,2643414.21,4774.21,1172.96,4.35,4.21
138,?,?,?,?,?,?,?,4.21,?
139,?,?,?,?,?,?,?,?,?
140,11070.23,46041.35,46615.31,2921.95,2958684.30,3654.30,1254.40,?,4.30
141,11089.17,45851.80,46439.10,2893.12,1787284.16,2084.16,765.41,4.30,4.16
142,11082.19,45933.66,46529.96,2912.70,844244.20,1244.20,350.12,4.16,4.20
143,11050.12,45687.76,46311.26,2894.53,1071834.08,1954.08,436.43,4.20,4.08
144,11130.47,46145.44,46783.61,2929.62,2484603.95,3033.95,977.35,4.08,3.95
145,?,?,?,?,?,?,?,3.95,?
146,?,?,?,?,?,?,?,?,?
147,11329.88,47277.10,47957.54,2976.83,1631804.05,2974.05,652.87,?,4.05
148,11439.53,47579.87,48258.02,2997.81,5351674.35,6604.35,2308.00,4.05,4.35
149,11434.08,47476.64,48138.07,3000.58,1256534.24,1734.24,542.32,4.35,4.24
150,?,?,?,?,?,?,?,4.24,?
151,11518.87,47806.34,48503.87,2994.25,415174.15,904.15,173.01,?,4.15
152,?,?,?,?,?,?,?,4.15,?
153,?,?,?,?,?,?,?,?,?
154,11428.58,47175.79,47868.36,2970.24,954224.12,1324.12,391.25,?,4.12
155,11527.78,47620.68,48323.88,2998.79,787294.18,1254.18,327.91,4.12,4.18
156,11566.33,47805.94,48513.29,3026.87,565324.18,964.18,235.71,4.18,4.18
157,11598.90,47573.66,48259.19,3020.15,6047044.26,6414.26,2656.85,4.18,4.26
158,11721.20,48209.65,48918.37,3044.38,3269804.33,2994.33,1418.42,4.26,4.33
159,?,?,?,?,?,?,?,4.33,?
160,?,?,?,?,?,?,?,?,?
161,11855.82,48495.01,49207.65,3065.91,6232484.86,6194.86,2847.52,?,4.86
162,11906.69,48324.52,49050.96,3074.89,6268984.79,7234.79,3022.66,4.86,4.79
163,12044.12,48383.93,49098.70,3098.83,2245804.74,2734.74,1053.66,4.79,4.74
164,11997.09,48152.82,48890.47,3089.32,1757174.60,2454.60,812.09,4.74,4.60
165,11980.74,48273.42,49057.66,3092.65,2648334.39,3284.39,1188.26,4.60,4.39
166,?,?,?,?,?,?,?,4.39,?
167,?,?,?,?,?,?,?,?,?
168,11950.70,48131.61,48917.56,3100.24,1338934.46,2134.46,592.14,?,4.46
169,12001.25,48119.72,48891.04,3120.39,1163484.60,1804.60,522.58,4.46,4.60
170,11995.61,47743.10,48509.84,3122.21,1007324.50,1454.50,454.51,4.60,4.50
171,11755.38,45870.00,46587.68,3038.18,2917084.20,3484.20,1229.68,4.50,4.20
172,11698.05,44732.92,45456.77,3001.68,1207554.12,1464.12,498.30,4.20,4.12
173,?,?,?,?,?,?,?,4.12,?
174,?,?,?,?,?,?,?,?,?
175,11694.70,44824.62,45531.46,2990.89,525894.19,1044.19,215.19,?,4.19
176,11846.22,44966.09,45672.10,2999.31,1157364.34,1494.34,496.26,4.19,4.34
177,11772.39,44893.99,45601.51,2972.55,1056714.30,1384.30,452.73,4.34,4.30
178,11665.86,43667.37,44326.49,2915.58,296834.21,614.21,126.27,4.30,4.21
179,11716.43,44747.79,45442.51,2948.80,581884.37,824.37,249.84,4.21,4.37
180,?,?,?,?,?,?,?,4.37,?
181,?,?,?,?,?,?,?,?,?
182,11756.83,44769.00,45461.06,2963.91,470424.33,754.33,201.94,?,4.33
183,11805.57,45533.94,46254.71,2981.48,382684.29,564.29,164.39,4.33,4.29
184,11736.24,45184.98,45899.36,2971.57,935304.33,1174.33,405.67,4.29,4.33
185,11820.50,45613.75,46344.42,2988.19,660544.37,1184.37,289.65,4.33,4.37
186,11822.63,45110.89,45805.34,2977.06,973354.39,1144.39,427.02,4.37,4.39
187,?,?,?,?,?,?,?,4.39,?
188,?,?,?,?,?,?,?,?,?
189,11711.98,44534.34,45172.40,2948.16,164844.30,294.30,71.54,?,4.30
190,11610.73,44342.23,44969.23,2924.69,361024.18,494.18,152.70,4.30,4.18
191,11643.94,45068.55,45727.71,2962.09,507954.33,584.33,216.31,4.18,4.33
192,11739.32,45712.72,46390.36,2992.86,1453034.50,2264.50,650.57,4.33,4.50
193,11784.60,46150.78,46839.89,3017.66,3149414.80,4264.80,1502.69,4.50,4.80
194,?,?,?,?,?,?,?,4.80,?
195,?,?,?,?,?,?,?,?,?
196,11770.78,46218.05,46922.43,3022.70,1309124.63,2584.63,626.50,?,4.63
197,11753.20,46155.10,46860.35,3017.11,461824.68,854.68,213.78,4.63,4.68
198,11768.81,46287.08,47003.76,3021.27,1136244.82,1794.82,545.99,4.68,4.82
199,11813.42,46221.23,46919.83,3023.16,447434.79,734.79,212.05,4.82,4.79
200,11837.95,46399.74,47120.88,3019.85,284184.79,524.79,135.62,4.79,4.79
201,?,?,?,?,?,?,?,4.79,?
202,?,?,?,?,?,?,?,?,?
203,11864.19,46361.70,47075.43,3021.70,278544.66,514.66,131.54,?,4.66
204,11905.16,46714.43,47454.90,3029.97,1036404.61,854.61,478.35,4.66,4.61
205,11975.99,46835.98,47575.74,3050.63,2780964.91,3674.91,1342.32,4.61,4.91
206,11939.68,46713.02,47446.69,3036.16,6783545.30,7745.30,3468.58,4.91,5.30
207,11930.54,46258.91,46981.22,3015.00,3034625.35,4585.35,1609.46,5.30,5.35
208,?,?,?,?,?,?,?,5.35,?
209,?,?,?,?,?,?,?,?,?
210,11917.93,46480.62,47214.30,3032.94,4082145.23,4795.23,2194.75,?,5.23
211,11914.45,46663.41,47398.08,3038.42,1882525.29,2195.29,994.07,5.23,5.29
212,11934.08,46925.65,47676.43,3046.08,2512775.11,2435.11,1300.66,5.29,5.11
213,12025.60,47370.81,48147.76,3060.17,737125.15,1445.15,380.59,5.11,5.15
214,12096.51,48325.33,49133.14,3110.79,590225.16,935.16,305.87,5.15,5.16
215,?,?,?,?,?,?,?,5.16,?
216,?,?,?,?,?,?,?,?,?
217,12181.61,48458.44,49272.86,3127.41,982715.27,1205.27,511.36,?,5.27
218,12213.07,47942.81,48742.34,3127.38,823145.29,1115.29,431.51,5.27,5.29
219,12294.72,48306.55,49124.78,3168.23,468775.35,725.35,248.76,5.29,5.35
220,12425.78,48862.88,49700.18,3190.86,3517015.64,4775.64,1962.44,5.35,5.64
221,12524.35,49125.36,49994.77,3206.86,1825575.79,2465.79,1054.88,5.64,5.79
222,?,?,?,?,?,?,?,5.79,?
223,?,?,?,?,?,?,?,?,?
224,12613.68,49580.16,50476.37,3225.79,3635426.38,5616.38,2235.94,?,6.38
225,12783.95,49747.66,50646.05,3233.22,3304736.29,5546.29,2033.93,6.38,6.29
226,12961.14,50223.95,51152.95,3271.49,4145066.50,5816.50,2737.86,6.29,6.50
227,?,?,?,?,?,?,?,6.50,?
228,12933.31,49976.48,50906.11,3253.28,3903386.54,5966.54,2560.85,?,6.54
229,?,?,?,?,?,?,?,6.54,?
230,?,?,?,?,?,?,?,?,?
231,12877.73,49772.46,50713.14,3237.31,2200036.53,3476.53,1420.54,?,6.53
232,12831.52,49162.16,50077.30,3210.57,1457626.45,2456.45,919.91,6.53,6.45
233,12826.21,49128.05,50032.45,3221.87,864816.29,1366.29,547.37,6.45,6.29
234,12985.38,49846.48,50780.47,3260.69,523736.44,916.44,335.83,6.29,6.44
235,13050.37,49895.10,50836.47,3260.35,2017166.54,2876.54,1324.80,6.44,6.54
236,?,?,?,?,?,?,?,6.54,?
237,?,?,?,?,?,?,?,?,?
238,13056.86,49818.48,50756.86,3255.45,339306.55,1136.55,221.49,?,6.55
239,12781.02,48833.58,49731.02,3197.48,1383886.39,2566.39,877.02,6.55,6.39
240,12706.26,48537.65,49421.50,3183.87,2636656.20,3896.20,1598.65,6.39,6.20
241,12801.41,48676.45,49569.11,3204.20,911886.40,1386.40,577.38,6.20,6.40
242,12801.04,48871.98,49771.98,3196.27,235306.25,676.25,147.84,6.40,6.25
243,?,?,?,?,?,?,?,6.25,?
244,?,?,?,?,?,?,?,?,?
245,12870.44,49187.22,50099.55,3230.20,379486.28,976.28,236.77,?,6.28
246,12843.19,48968.87,49861.54,3226.75,1385436.05,2176.05,848.01,6.28,6.05
247,12637.81,47919.09,48781.63,3174.71,1021825.75,2155.75,602.87,6.05,5.75
248,12178.22,45830.66,46598.42,3061.25,5589075.45,5215.45,3015.14,5.75,5.45
249,12457.22,46717.04,47514.09,3142.61,2183555.69,2835.69,1236.93,5.45,5.69
250,?,?,?,?,?,?,?,5.69,?
251,?,?,?,?,?,?,?,?,?
252,12726.39,47808.90,48651.54,3199.68,1383336.00,2226.00,817.46,?,6.00
253,12962.91,48961.51,49839.90,3256.85,1141826.07,2146.07,694.80,6.00,6.07
254,12983.95,49437.02,50312.63,3285.29,659316.10,1146.10,397.73,6.07,6.10
255,13011.41,49771.55,50644.38,3303.55,393556.10,766.10,237.73,6.10,6.10
256,12998.59,49348.61,50196.31,3285.49,715396.10,1006.10,434.86,6.10,6.10
257,?,?,?,?,?,?,?,6.10,?
258,?,?,?,?,?,?,?,?,?
259,13003.37,48917.85,49741.35,3260.05,564266.09,1076.09,341.89,?,6.09
260,13085.22,49434.46,50258.11,3286.61,2145256.52,3526.52,1366.35,6.09,6.52
261,13049.76,49413.33,50227.43,3277.41,1241816.37,1816.37,808.26,6.52,6.37
262,13124.47,50300.53,51171.25,3316.59,920896.40,1696.40,597.57,6.37,6.40
263,13140.38,50308.19,51202.75,3316.08,1231096.63,1986.63,807.06,6.40,6.63
264,?,?,?,?,?,?,?,6.63,?
265,?,?,?,?,?,?,?,?,?
266,13089.15,49955.87,50869.00,3291.57,1464216.66,2636.66,989.53,?,6.66
267,13131.43,49979.47,50887.67,3275.67,546336.68,1396.68,363.55,6.66,6.68
268,13114.91,50301.69,51221.45,3299.72,945506.50,1476.50,614.16,6.68,6.50
269,13233.88,50936.34,51846.54,3336.44,371186.54,816.54,242.92,6.50,6.54
270,13346.97,50819.81,51704.53,3352.18,465436.55,606.55,304.95,6.54,6.55
271,?,?,?,?,?,?,?,6.55,?
272,?,?,?,?,?,?,?,?,?
273,13314.68,50301.85,51191.50,3349.29,649906.58,916.58,425.86,?,6.58
274,13338.19,50782.48,51691.24,3351.68,922956.72,1526.72,610.16,6.58,6.72
275,13386.01,50803.40,51709.58,3364.40,687186.70,1396.70,462.31,6.72,6.70
276,13476.11,50982.03,51911.61,3383.62,3937286.82,5236.82,2732.18,6.70,6.82
277,13513.64,50601.24,51511.63,3381.52,765816.73,1166.73,519.65,6.82,6.73
278,?,?,?,?,?,?,?,6.73,?
279,?,?,?,?,?,?,?,?,?
280,13477.58,50338.71,51239.47,3383.60,653836.57,1266.57,433.60,?,6.57
281,13399.64,50137.88,51021.26,3368.14,685726.61,1236.61,446.40,6.57,6.61
282,13361.98,50335.02,51215.99,3379.96,220426.55,546.55,144.18,6.61,6.55
283,13589.27,51806.83,52744.48,3454.41,2429006.34,3606.34,1561.77,6.55,6.34
284,13638.56,52230.47,53193.87,3477.04,2829586.19,3456.19,1759.07,6.34,6.19
285,?,?,?,?,?,?,?,6.19,?
286,?,?,?,?,?,?,?,?,?
287,13701.85,52520.91,53498.97,3508.85,1526846.25,2646.25,944.85,?,6.25
288,13824.94,52590.73,53588.87,3544.07,3812756.55,2776.55,2480.89,6.25,6.55
289,13886.79,52861.41,53918.41,3548.14,754166.48,1596.48,490.19,6.55,6.48
290,14155.74,52573.59,53571.90,3572.96,471756.45,866.45,305.29,6.48,6.45
291,14253.72,52587.24,53572.92,3535.97,1061906.47,1256.47,674.84,6.45,6.47
292,?,?,?,?,?,?,?,6.47,?
