%310
@RELATION LT0000127466
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-SPOZYW NUMERIC 
@ATTRIBUTE WIG-CEE NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
112,776.37,43360.30,3007.40,754.56,00.53,00.53,0.00,?,0.53
113,769.16,43159.57,3011.64,750.26,26710.50,40.50,1.18,0.53,0.50
114,769.82,43356.73,3012.77,753.01,00.50,00.50,0.00,0.50,0.50
115,774.88,43482.18,2993.56,753.51,00.50,00.50,0.00,0.50,0.50
116,777.86,43665.21,3051.09,754.90,00.50,00.50,0.00,0.50,0.50
117,?,?,?,?,?,?,?,0.50,?
118,?,?,?,?,?,?,?,?,?
119,779.98,43882.16,3107.87,766.31,00.50,00.50,0.00,?,0.50
120,784.81,44162.18,3270.96,776.50,3450.51,10.51,0.18,0.50,0.51
121,?,?,?,?,?,?,?,0.51,?
122,787.45,43991.51,3273.77,778.92,00.51,00.51,0.00,?,0.51
123,?,?,?,?,?,?,?,0.51,?
124,?,?,?,?,?,?,?,?,?
125,?,?,?,?,?,?,?,?,?
126,786.57,44541.73,3221.83,778.13,00.51,00.51,0.00,?,0.51
127,793.09,44742.22,3278.44,781.86,32000.50,40.50,1.45,0.51,0.50
128,798.10,45117.94,3274.88,782.65,46500.45,20.45,2.09,0.50,0.45
129,800.71,44943.16,3287.31,781.58,23000.46,30.46,1.06,0.45,0.46
130,800.42,44895.35,3305.97,783.10,00.46,00.46,0.00,0.46,0.46
131,?,?,?,?,?,?,?,0.46,?
132,?,?,?,?,?,?,?,?,?
133,802.74,45207.84,3331.03,785.63,28620.46,30.46,1.31,?,0.46
134,804.49,45771.11,3344.63,787.41,69760.46,30.46,3.21,0.46,0.46
135,802.28,46102.42,3424.41,791.27,00.46,00.46,0.00,0.46,0.46
136,806.45,45992.03,3377.14,797.55,23250.49,40.49,1.14,0.46,0.49
137,810.69,46078.68,3435.39,807.85,217570.53,110.53,11.41,0.49,0.53
138,?,?,?,?,?,?,?,0.53,?
139,?,?,?,?,?,?,?,?,?
140,815.60,46041.35,3466.14,805.46,00.53,00.53,0.00,?,0.53
141,819.76,45851.80,3392.40,802.36,58350.53,70.53,3.08,0.53,0.53
142,818.82,45933.66,3344.53,802.44,5510.52,10.52,0.29,0.53,0.52
143,814.69,45687.76,3276.68,799.56,185000.52,20.52,9.62,0.52,0.52
144,820.11,46145.44,3277.81,799.95,00.52,00.52,0.00,0.52,0.52
145,?,?,?,?,?,?,?,0.52,?
146,?,?,?,?,?,?,?,?,?
147,828.12,47277.10,3325.92,803.87,63280.60,60.60,3.52,?,0.60
148,838.40,47579.87,3377.00,817.59,00.60,00.60,0.00,0.60,0.60
149,842.72,47476.64,3410.78,818.62,132070.61,50.61,7.99,0.60,0.61
150,?,?,?,?,?,?,?,0.61,?
151,841.72,47806.34,3339.97,812.55,57860.66,30.66,3.53,?,0.66
152,?,?,?,?,?,?,?,0.66,?
153,?,?,?,?,?,?,?,?,?
154,839.57,47175.79,3252.24,811.28,20000.62,10.62,1.24,?,0.62
155,854.67,47620.68,3283.47,827.29,119230.69,50.69,7.87,0.62,0.69
156,859.35,47805.94,3301.92,822.00,349800.70,80.70,22.88,0.69,0.70
157,864.95,47573.66,3301.52,825.44,615430.70,90.70,43.06,0.70,0.70
158,866.67,48209.65,3325.43,833.27,304810.77,150.77,21.42,0.70,0.77
159,?,?,?,?,?,?,?,0.77,?
160,?,?,?,?,?,?,?,?,?
161,870.65,48495.01,3341.26,832.21,13000.79,20.79,1.03,?,0.79
162,870.60,48324.52,3317.02,830.21,00.79,00.79,0.00,0.79,0.79
163,878.91,48383.93,3337.95,834.07,00.79,00.79,0.00,0.79,0.79
164,877.48,48152.82,3294.79,823.27,21770.71,40.71,1.54,0.79,0.71
165,880.65,48273.42,3261.51,812.33,17330.71,20.71,1.23,0.71,0.71
166,?,?,?,?,?,?,?,0.71,?
167,?,?,?,?,?,?,?,?,?
168,883.59,48131.61,3221.03,818.14,97840.75,20.75,7.36,?,0.75
169,886.71,48119.72,3243.93,819.04,00.75,00.75,0.00,0.75,0.75
170,885.25,47743.10,3245.92,821.56,00.75,00.75,0.00,0.75,0.75
