%310
@RELATION WIG-ENERG
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE djia NUMERIC 
@ATTRIBUTE nasdaq NUMERIC 
@ATTRIBUTE eurostoxx NUMERIC 
@ATTRIBUTE dollar NUMERIC 
@ATTRIBUTE euro NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
169,15318.23,3482.18,3482.18,3.1682,3.1682,60896.40,3503.57
170,15112.19,3443.20,3443.20,3.1777,3.1777,78139.19,3542.29
171,14758.32,3364.64,3364.64,3.2693,3.2693,162160.70,3430.81
172,14799.40,3357.25,3357.25,3.2743,3.2743,465878.12,3366.10
173,?,?,?,?,?,?,?
174,?,?,?,?,?,?,?
175,14659.56,3320.76,3320.76,3.3137,3.3137,40375.32,3346.29
176,14760.31,3347.89,3347.89,3.2840,3.2840,73102.57,3274.94
177,14910.14,3376.22,3376.22,3.3239,3.3239,105176.00,3271.84
178,15024.49,3401.86,3401.86,3.3241,3.3241,136644.01,3088.69
179,14909.60,3403.25,3403.25,3.3175,3.3175,150643.21,3207.57
180,?,?,?,?,?,?,?
181,?,?,?,?,?,?,?
182,14974.96,3434.49,3434.49,3.3210,3.3210,47751.56,3201.72
183,14932.41,3433.40,3433.40,3.3222,3.3222,75254.12,3247.58
184,14988.55,3443.67,3443.67,3.3516,3.3516,53652.43,3225.89
185,?,?,?,3.3246,3.3246,51925.22,3244.75
186,15135.84,3479.38,3479.38,3.3245,3.3245,65747.58,3219.53
187,?,?,?,?,?,?,?
188,?,?,?,?,?,?,?
189,15224.69,3484.83,3484.83,3.3576,3.3576,41151.89,3124.92
190,15300.34,3504.26,3504.26,3.3588,3.3588,59268.81,3106.11
191,15291.66,3520.76,3520.76,3.3724,3.3724,34876.14,3165.06
192,15460.92,3578.30,3578.30,3.3225,3.3225,39540.17,3184.09
193,15464.30,3600.08,3600.08,3.3201,3.3201,100515.76,3129.51
194,?,?,?,?,?,?,?
195,?,?,?,?,?,?,?
196,15484.26,3607.49,3607.49,3.2955,3.2955,51518.48,3109.48
197,15451.85,3598.50,3598.50,3.2735,3.2735,65544.93,3140.34
198,15470.52,3610.00,3610.00,3.2410,3.2410,64989.28,3187.22
199,15548.54,3611.28,3611.28,3.2362,3.2362,38793.86,3170.04
200,15543.74,3587.61,3587.61,3.2348,3.2348,57008.25,3190.83
201,?,?,?,?,?,?,?
202,?,?,?,?,?,?,?
203,15545.55,3600.39,3600.39,3.2142,3.2142,26019.93,3164.20
204,15567.74,3579.27,3579.27,3.2001,3.2001,28454.61,3186.76
205,15542.24,3579.60,3579.60,3.1800,3.1800,37384.93,3208.69
206,15555.61,3605.19,3605.19,3.2143,3.2143,44823.59,3204.96
207,15558.83,3613.16,3613.16,3.1831,3.1831,24894.20,3161.68
208,?,?,?,?,?,?,?
209,?,?,?,?,?,?,?
210,15521.97,3599.14,3599.14,3.1859,3.1859,17614.64,3202.70
211,15520.59,3616.47,3616.47,3.1798,3.1798,31667.29,3212.62
212,15499.54,3626.37,3626.37,3.1929,3.1929,66824.20,3195.68
213,15628.02,3675.74,3675.74,3.1961,3.1961,36440.01,3240.67
214,15658.36,3689.59,3689.59,3.2201,3.2201,80420.26,3326.15
215,?,?,?,?,?,?,?
216,?,?,?,?,?,?,?
217,15612.13,3692.95,3692.95,3.1771,3.1771,31063.84,3346.04
218,15518.74,3665.77,3665.77,3.1744,3.1744,44326.96,3337.32
219,15470.67,3654.01,3654.01,3.1725,3.1725,34975.35,3320.57
220,15498.32,3669.12,3669.12,3.1503,3.1503,42330.43,3320.48
221,15425.51,3660.11,3660.11,3.1336,3.1336,52918.84,3256.82
222,?,?,?,?,?,?,?
223,?,?,?,?,?,?,?
224,15419.68,3669.95,3669.95,3.1510,3.1510,55096.44,3284.21
225,15451.01,3684.44,3684.44,3.1489,3.1489,37923.16,3312.53
226,15337.66,3669.27,3669.27,3.1643,3.1643,35727.08,3357.35
227,15112.19,3606.12,3606.12,?,?,?,?
228,15081.47,3602.78,3602.78,3.1665,3.1665,20585.62,3331.08
229,?,?,?,?,?,?,?
230,?,?,?,?,?,?,?
231,15010.74,3589.09,3589.09,3.1873,3.1873,24380.90,3364.85
232,15002.99,3613.59,3613.59,3.1761,3.1761,55407.58,3287.19
233,14897.55,3599.79,3599.79,3.1698,3.1698,50495.14,3272.91
234,14963.74,3638.71,3638.71,3.1811,3.1811,57538.48,3343.02
235,15010.51,3657.79,3657.79,3.1673,3.1673,42898.42,3290.60
236,?,?,?,?,?,?,?
237,?,?,?,?,?,?,?
238,14946.46,3657.57,3657.57,3.1658,3.1658,31873.44,3263.92
239,14776.13,3578.52,3578.52,3.1849,3.1849,60625.62,3222.52
240,14824.51,3593.35,3593.35,3.1840,3.1840,51414.56,3270.58
241,14840.95,3620.30,3620.30,3.2269,3.2269,78530.22,3320.91
242,14810.31,3589.87,3589.87,3.2209,3.2209,149987.41,3440.96
243,?,?,?,?,?,?,?
244,?,?,?,?,?,?,?
245,?,?,?,3.2164,3.2164,65888.17,3459.63
246,14833.96,3612.61,3612.61,3.2433,3.2433,229023.00,3428.16
247,14930.87,3649.04,3649.04,3.2387,3.2387,95883.65,3391.15
248,14937.48,3658.78,3658.78,3.2463,3.2463,88596.66,3321.92
249,14922.50,3660.01,3660.01,3.2732,3.2732,171694.23,3398.06
250,?,?,?,?,?,?,?
251,?,?,?,?,?,?,?
252,15063.12,3706.18,3706.18,3.2357,3.2357,99364.38,3433.11
253,15191.06,3729.02,3729.02,3.2181,3.2181,103843.94,3511.43
254,15326.60,3725.01,3725.01,3.1955,3.1955,82290.61,3547.13
255,15300.64,3715.97,3715.97,3.1782,3.1782,97518.79,3611.85
