%310
@RELATION PLINPRO00015
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-DEWEL NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
152,?,?,?,?,?,?,?,?,4.00,?
153,?,?,?,?,?,?,?,?,?,?
154,839.57,47175.79,1461.53,47868.36,2970.24,2303.80,13.80,0.87,?,3.80
155,854.67,47620.68,1476.35,48323.88,2998.79,43.80,13.80,0.02,3.80,3.80
156,859.35,47805.94,1489.88,48513.29,3026.87,2003.80,13.80,0.76,3.80,3.80
157,864.95,47573.66,1469.75,48259.19,3020.15,42534.04,34.04,16.81,3.80,4.04
158,866.67,48209.65,1514.93,48918.37,3044.38,2204.14,14.14,0.91,4.04,4.14
159,?,?,?,?,?,?,?,?,4.14,?
160,?,?,?,?,?,?,?,?,?,?
161,870.65,48495.01,1524.65,49207.65,3065.91,04.14,04.14,0.00,?,4.14
162,870.60,48324.52,1551.97,49050.96,3074.89,354.14,14.14,0.14,4.14,4.14
163,878.91,48383.93,1598.45,49098.70,3098.83,04.14,04.14,0.00,4.14,4.14
164,877.48,48152.82,1595.96,48890.47,3089.32,04.14,04.14,0.00,4.14,4.14
165,880.65,48273.42,1585.79,49057.66,3092.65,04.14,04.14,0.00,4.14,4.14
166,?,?,?,?,?,?,?,?,4.14,?
167,?,?,?,?,?,?,?,?,?,?
168,883.59,48131.61,1583.00,48917.56,3100.24,14.05,14.05,0.00,?,4.05
169,886.71,48119.72,1588.25,48891.04,3120.39,04.05,04.05,0.00,4.05,4.05
170,885.25,47743.10,1571.15,48509.84,3122.21,204.20,14.20,0.08,4.05,4.20
171,864.38,45870.00,1544.23,46587.68,3038.18,10004.13,34.13,4.13,4.20,4.13
172,855.18,44732.92,1507.70,45456.77,3001.68,21754.19,34.19,9.00,4.13,4.19
173,?,?,?,?,?,?,?,?,4.19,?
174,?,?,?,?,?,?,?,?,?,?
175,857.74,44824.62,1501.45,45531.46,2990.89,7004.19,14.19,2.93,?,4.19
176,863.23,44966.09,1503.06,45672.10,2999.31,14.18,14.18,0.00,4.19,4.18
177,858.05,44893.99,1492.93,45601.51,2972.55,04.18,04.18,0.00,4.18,4.18
178,847.97,43667.37,1472.46,44326.49,2915.58,1004.25,14.25,0.43,4.18,4.25
179,848.08,44747.79,1476.14,45442.51,2948.80,404.18,14.18,0.17,4.25,4.18
180,?,?,?,?,?,?,?,?,4.18,?
181,?,?,?,?,?,?,?,?,?,?
182,848.80,44769.00,1492.65,45461.06,2963.91,11904.18,24.18,4.97,?,4.18
183,853.37,45533.94,1495.04,46254.71,2981.48,20264.00,54.00,8.25,4.18,4.00
184,850.45,45184.98,1487.37,45899.36,2971.57,14.00,14.00,0.00,4.00,4.00
185,855.94,45613.75,1499.27,46344.42,2988.19,20694.09,24.09,8.46,4.00,4.09
186,851.88,45110.89,1482.20,45805.34,2977.06,594.17,14.17,0.25,4.09,4.17
187,?,?,?,?,?,?,?,?,4.17,?
188,?,?,?,?,?,?,?,?,?,?
189,849.30,44534.34,1474.90,45172.40,2948.16,114.17,34.17,0.05,?,4.17
190,842.60,44342.23,1456.02,44969.23,2924.69,24.17,24.17,0.01,4.17,4.17
191,844.03,45068.55,1468.88,45727.71,2962.09,24.17,24.17,0.01,4.17,4.17
192,845.84,45712.72,1484.29,46390.36,2992.86,2264.17,24.17,0.94,4.17,4.17
193,849.99,46150.78,1481.99,46839.89,3017.66,28724.31,54.31,12.23,4.17,4.31
194,?,?,?,?,?,?,?,?,4.31,?
195,?,?,?,?,?,?,?,?,?,?
196,850.04,46218.05,1489.11,46922.43,3022.70,3724.20,24.20,1.56,?,4.20
197,847.84,46155.10,1489.88,46860.35,3017.11,24.28,24.28,0.01,4.20,4.28
198,845.85,46287.08,1499.74,47003.76,3021.27,2024.28,44.28,0.83,4.28,4.28
199,845.70,46221.23,1491.54,46919.83,3023.16,24.28,24.28,0.01,4.28,4.28
200,848.06,46399.74,1495.90,47120.88,3019.85,1454.28,44.28,0.60,4.28,4.28
201,?,?,?,?,?,?,?,?,4.28,?
202,?,?,?,?,?,?,?,?,?,?
203,849.27,46361.70,1484.19,47075.43,3021.70,22004.29,24.29,9.44,?,4.29
204,852.44,46714.43,1494.62,47454.90,3029.97,139484.45,104.45,61.34,4.29,4.45
205,858.02,46835.98,1489.09,47575.74,3050.63,04.45,04.45,0.00,4.45,4.45
206,858.31,46713.02,1474.03,47446.69,3036.16,04.45,04.45,0.00,4.45,4.45
