%310
@RELATION WIG30TR
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE djia NUMERIC 
@ATTRIBUTE nasdaq NUMERIC 
@ATTRIBUTE eurostoxx NUMERIC 
@ATTRIBUTE dollar NUMERIC 
@ATTRIBUTE euro NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
239,14776.13,3578.52,3578.52,3.1849,3.1849,0.00,3739.99
240,14824.51,3593.35,3593.35,3.1840,3.1840,0.00,3717.43
241,14840.95,3620.30,3620.30,3.2269,3.2269,0.00,3724.11
242,14810.31,3589.87,3589.87,3.2209,3.2209,0.00,3752.23
243,?,?,?,?,?,?,?
244,?,?,?,?,?,?,?
245,?,?,?,3.2164,3.2164,0.00,3774.19
246,14833.96,3612.61,3612.61,3.2433,3.2433,0.00,3751.23
247,14930.87,3649.04,3649.04,3.2387,3.2387,0.00,3665.29
248,14937.48,3658.78,3658.78,3.2463,3.2463,0.00,3497.48
249,14922.50,3660.01,3660.01,3.2732,3.2732,0.00,3559.13
250,?,?,?,?,?,?,?
251,?,?,?,?,?,?,?
252,15063.12,3706.18,3706.18,3.2357,3.2357,0.00,3647.13
253,15191.06,3729.02,3729.02,3.2181,3.2181,0.00,3741.93
254,15326.60,3725.01,3725.01,3.1955,3.1955,0.00,3778.98
255,15300.64,3715.97,3715.97,3.1782,3.1782,0.00,3805.64
256,15376.06,3722.18,3722.18,3.1696,3.1696,0.00,3768.45
257,?,?,?,?,?,?,?
258,?,?,?,?,?,?,?
259,15494.78,3717.85,3717.85,3.1435,3.1435,0.00,3726.60
260,15529.73,3745.70,3745.70,3.1552,3.1552,0.00,3772.16
261,15676.94,3783.64,3783.64,3.1689,3.1689,0.00,3770.95
262,15636.55,3789.38,3789.38,3.0833,3.0833,0.00,3846.56
263,15451.09,3774.73,3774.73,3.1152,3.1152,0.00,3854.39
264,?,?,?,?,?,?,?
265,?,?,?,?,?,?,?
266,15401.38,3765.29,3765.29,3.1260,3.1260,720883.99,3826.61
267,15334.59,3768.25,3768.25,3.1338,3.1338,609270.73,3831.80
268,15273.26,3761.10,3761.10,3.1234,3.1234,697325.54,3857.84
269,15328.30,3787.43,3787.43,3.1277,3.1277,804948.01,3904.36
270,15258.24,3781.59,3781.59,3.1328,3.1328,677019.44,3886.45
271,?,?,?,?,?,?,?
272,?,?,?,?,?,?,?
273,15129.67,3771.48,3771.48,3.1227,3.1227,620891.55,3839.44
274,15191.70,3817.98,3817.98,3.1170,3.1170,695622.19,3888.26
275,15133.14,3815.02,3815.02,3.1212,3.1212,764586.58,3885.87
276,14996.48,3774.34,3774.34,3.0951,3.0951,751692.95,3896.16
277,15072.58,3807.75,3807.75,3.0902,3.0902,656318.98,3857.08
278,?,?,?,?,?,?,?
279,?,?,?,?,?,?,?
280,14936.24,3770.38,3770.38,3.0976,3.0976,587834.40,3834.97
281,14776.53,3694.83,3694.83,3.0873,3.0873,522732.60,3819.04
282,14802.98,3677.78,3677.78,3.1057,3.1057,541334.56,3838.07
283,15126.07,3760.75,3760.75,3.0994,3.0994,1192320.71,3957.50
284,15237.11,3791.87,3791.87,3.0850,3.0850,972204.52,3996.56
285,?,?,?,?,?,?,?
286,?,?,?,?,?,?,?
287,15301.26,3815.28,3815.28,3.0936,3.0936,501918.27,4013.06
288,15168.01,3794.01,3794.01,3.0893,3.0893,1123321.31,4010.19
289,15373.83,3839.43,3839.43,3.0854,3.0854,828460.01,4038.26
290,15371.65,3863.15,3863.15,3.0625,3.0625,670113.70,3994.89
291,15399.65,3914.28,3914.28,3.0506,3.0506,875916.37,3986.54
292,?,?,?,?,?,?,?
293,?,?,?,?,?,?,?
294,15392.20,3920.05,3920.05,3.0620,3.0620,918226.38,4094.35
295,15467.66,3929.57,3929.57,3.0564,3.0564,909967.74,4085.59
296,15413.33,3907.07,3907.07,3.0385,3.0385,756213.48,4054.22
297,15509.21,3928.96,3928.96,3.0323,3.0323,620861.81,4096.41
298,15570.28,3943.36,3943.36,3.0326,3.0326,799892.17,4070.93
299,?,?,?,?,?,?,?
300,?,?,?,?,?,?,?
301,15568.93,3940.13,3940.13,3.0271,3.0271,581524.88,4090.12
302,15680.35,3952.34,3952.34,3.0436,3.0436,791593.30,4113.25
303,15618.76,3930.62,3930.62,3.0433,3.0433,919862.71,4078.41
304,15545.75,3919.71,3919.71,3.0507,3.0507,647866.90,4032.99
305,15615.55,3922.04,3922.04,?,?,?,?
306,?,?,?,?,?,?,?
307,?,?,?,?,?,?,?
308,15619.64,3943.52,3943.52,3.0436,3.0436,559921.49,4062.79
309,15630.45,3941.67,3941.67,3.0981,3.0981,676070.40,4023.35
310,15733.62,3928.06,3928.06,3.0896,3.0896,768668.04,4059.89
340,15773.258690459654,3955.732892747954,3006.5164887559176,3.242646836230678,4.274749244608683,?,?
370,15916.432538019446,4014.2969659541477,3038.5361136515453,3.243445977637349,4.281527215426011,?,?
400,16059.606385579236,4072.8610391603415,3070.555738547173,3.2442451190440202,4.288305186243338,?,?
490,16489.127928258607,4248.553258778922,3166.614613234056,3.2466425432640333,4.308639098695322,?,?
670,17348.17101361735,4599.937698016085,3358.7323626078214,3.2514373917040587,4.349306923599286,?,?
