%310
@RELATION PLMSTWS00019
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-BUDOW NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
109,783.37,43447.75,1551.70,43993.98,2685.57,18365.00,255.00,9.12,5.00,5.00
110,?,?,?,?,?,?,?,?,5.00,?
111,?,?,?,?,?,?,?,?,?,?
112,776.37,43360.30,1572.53,43892.82,2660.28,195944.50,474.50,88.96,?,4.50
113,769.16,43159.57,1577.62,43707.88,2624.40,247093.36,563.36,91.04,4.50,3.36
114,769.82,43356.73,1568.91,43908.95,2636.70,278843.28,903.28,95.81,3.36,3.28
115,774.88,43482.18,1578.90,44027.03,2658.57,409902.98,732.98,126.16,3.28,2.98
116,777.86,43665.21,1567.21,44226.06,2669.93,254753.27,313.27,81.96,2.98,3.27
117,?,?,?,?,?,?,?,?,3.27,?
118,?,?,?,?,?,?,?,?,?,?
119,779.98,43882.16,1568.27,44420.22,2685.14,311442.88,862.88,91.63,?,2.88
120,784.81,44162.18,1577.58,44653.34,2704.84,114082.87,232.87,32.74,2.88,2.87
121,?,?,?,?,?,?,?,?,2.87,?
122,787.45,43991.51,1593.50,44466.89,2695.22,51303.14,153.14,15.52,?,3.14
123,?,?,?,?,?,?,?,?,3.14,?
124,?,?,?,?,?,?,?,?,?,?
125,?,?,?,?,?,?,?,?,?,?
126,786.57,44541.73,1610.11,45060.80,2714.72,477753.27,623.27,156.93,?,3.27
127,793.09,44742.22,1618.85,45244.29,2733.96,502303.24,603.24,163.96,3.27,3.24
128,798.10,45117.94,1640.06,45647.76,2752.14,591512.86,1162.86,172.95,3.24,2.86
129,800.71,44943.16,1640.84,45475.08,2760.20,242962.90,332.90,70.12,2.86,2.90
130,800.42,44895.35,1627.28,45408.06,2769.85,314872.66,542.66,85.89,2.90,2.66
131,?,?,?,?,?,?,?,?,2.66,?
132,?,?,?,?,?,?,?,?,?,?
133,802.74,45207.84,1680.51,45746.01,2790.62,260012.71,552.71,70.51,?,2.71
134,804.49,45771.11,1669.79,46336.62,2822.41,257162.93,362.93,71.82,2.71,2.93
135,802.28,46102.42,1662.38,46676.61,2848.38,73912.99,212.99,21.77,2.93,2.99
136,806.45,45992.03,1668.63,46581.16,2871.70,186023.11,503.11,56.20,2.99,3.11
137,810.69,46078.68,1720.89,46646.58,2885.19,901393.57,1923.57,327.56,3.11,3.57
138,?,?,?,?,?,?,?,?,3.57,?
139,?,?,?,?,?,?,?,?,?,?
140,815.60,46041.35,1720.79,46615.31,2921.95,854673.28,1493.28,295.57,?,3.28
141,819.76,45851.80,1715.41,46439.10,2893.12,200743.16,643.16,64.66,3.28,3.16
142,818.82,45933.66,1721.17,46529.96,2912.70,41523.25,173.25,13.39,3.16,3.25
143,814.69,45687.76,1700.24,46311.26,2894.53,181523.20,363.20,57.73,3.25,3.20
144,820.11,46145.44,1717.23,46783.61,2929.62,444703.59,753.59,152.81,3.20,3.59
145,?,?,?,?,?,?,?,?,3.59,?
146,?,?,?,?,?,?,?,?,?,?
147,828.12,47277.10,1770.93,47957.54,2976.83,736644.87,2024.87,319.44,?,4.87
148,838.40,47579.87,1794.53,48258.02,2997.81,753217.00,2547.00,455.50,4.87,7.00
149,842.72,47476.64,1826.11,48138.07,3000.58,2636437.30,6697.30,2039.75,7.00,7.30
150,?,?,?,?,?,?,?,?,7.30,?
151,841.72,47806.34,1832.70,48503.87,2994.25,804536.84,2796.84,580.30,?,6.84
152,?,?,?,?,?,?,?,?,6.84,?
153,?,?,?,?,?,?,?,?,?,?
154,839.57,47175.79,1796.86,47868.36,2970.24,494837.18,1377.18,346.65,?,7.18
155,854.67,47620.68,1812.04,48323.88,2998.79,963707.88,2397.88,749.96,7.18,7.88
156,859.35,47805.94,1846.56,48513.29,3026.87,479497.71,1567.71,376.40,7.88,7.71
157,864.95,47573.66,1856.88,48259.19,3020.15,2479477.63,5447.63,1906.47,7.71,7.63
158,866.67,48209.65,1849.90,48918.37,3044.38,853937.19,1947.19,626.93,7.63,7.19
