%310
@RELATION RESPECT
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE djia NUMERIC 
@ATTRIBUTE nasdaq NUMERIC 
@ATTRIBUTE eurostoxx NUMERIC 
@ATTRIBUTE dollar NUMERIC 
@ATTRIBUTE euro NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
259,15494.78,3717.85,3717.85,3.1435,3.1435,310302.56,2534.63
260,15529.73,3745.70,3745.70,3.1552,3.1552,269134.44,2557.81
261,15676.94,3783.64,3783.64,3.1689,3.1689,213603.65,2556.48
262,15636.55,3789.38,3789.38,3.0833,3.0833,565638.95,2610.88
263,15451.09,3774.73,3774.73,3.1152,3.1152,544054.87,2624.43
264,?,?,?,?,?,?,?
265,?,?,?,?,?,?,?
266,15401.38,3765.29,3765.29,3.1260,3.1260,498583.90,2620.53
267,15334.59,3768.25,3768.25,3.1338,3.1338,338637.29,2612.43
268,15273.26,3761.10,3761.10,3.1234,3.1234,386697.15,2624.16
269,15328.30,3787.43,3787.43,3.1277,3.1277,368417.71,2641.40
270,15258.24,3781.59,3781.59,3.1328,3.1328,326105.72,2634.42
271,?,?,?,?,?,?,?
272,?,?,?,?,?,?,?
273,15129.67,3771.48,3771.48,3.1227,3.1227,289164.96,2599.89
274,15191.70,3817.98,3817.98,3.1170,3.1170,371475.60,2628.58
275,15133.14,3815.02,3815.02,3.1212,3.1212,447950.28,2622.62
276,14996.48,3774.34,3774.34,3.0951,3.0951,219857.25,2627.30
277,15072.58,3807.75,3807.75,3.0902,3.0902,380177.30,2591.38
278,?,?,?,?,?,?,?
279,?,?,?,?,?,?,?
280,14936.24,3770.38,3770.38,3.0976,3.0976,410733.94,2578.81
281,14776.53,3694.83,3694.83,3.0873,3.0873,300156.17,2564.69
282,14802.98,3677.78,3677.78,3.1057,3.1057,310350.74,2565.09
283,15126.07,3760.75,3760.75,3.0994,3.0994,719369.58,2650.07
