%310
@RELATION CY1000031710
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE sWIG80 NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
123,?,?,?,?,?,?,4.00,?
124,?,?,?,?,?,?,?,?
125,?,?,?,?,?,?,?,?
126,10605.72,44541.73,2714.72,418954.00,804.00,164.57,?,4.00
127,10618.63,44742.22,2733.96,15213.94,43.94,5.96,4.00,3.94
128,10692.81,45117.94,2752.14,626864.15,334.15,252.00,3.94,4.15
129,10714.80,44943.16,2760.20,7054344.29,1014.29,3014.53,4.15,4.29
130,10758.03,44895.35,2769.85,1092584.53,984.53,488.29,4.29,4.53
131,?,?,?,?,?,?,4.53,?
132,?,?,?,?,?,?,?,?
133,10762.74,45207.84,2790.62,3340644.40,894.40,1498.99,?,4.40
134,10819.27,45771.11,2822.41,1936004.30,724.30,829.66,4.40,4.30
135,10913.18,46102.42,2848.38,203204.35,234.35,87.85,4.30,4.35
136,10976.80,45992.03,2871.70,656734.37,344.37,283.62,4.35,4.37
137,10991.63,46078.68,2885.19,667134.54,714.54,300.11,4.37,4.54
138,?,?,?,?,?,?,4.54,?
139,?,?,?,?,?,?,?,?
140,11070.23,46041.35,2921.95,1283484.90,1444.90,619.01,?,4.90
141,11089.17,45851.80,2893.12,1601834.84,674.84,784.24,4.90,4.84
142,11082.19,45933.66,2912.70,738864.84,274.84,350.91,4.84,4.84
143,11050.12,45687.76,2894.53,924284.73,374.73,433.20,4.84,4.73
144,11130.47,46145.44,2929.62,123754.68,224.68,58.19,4.73,4.68
145,?,?,?,?,?,?,4.68,?
146,?,?,?,?,?,?,?,?
147,11329.88,47277.10,2976.83,1263204.80,274.80,607.76,?,4.80
148,11439.53,47579.87,2997.81,1021534.75,674.75,503.46,4.80,4.75
149,11434.08,47476.64,3000.58,210304.74,224.74,99.28,4.75,4.74
150,?,?,?,?,?,?,4.74,?
151,11518.87,47806.34,2994.25,458514.69,344.69,215.71,?,4.69
152,?,?,?,?,?,?,4.69,?
153,?,?,?,?,?,?,?,?
154,11428.58,47175.79,2970.24,732344.91,514.91,345.75,?,4.91
155,11527.78,47620.68,2998.79,1562045.13,585.13,778.43,4.91,5.13
156,11566.33,47805.94,3026.87,816195.33,1155.33,437.69,5.13,5.33
157,11598.90,47573.66,3020.15,693405.38,1315.38,372.39,5.33,5.38
158,11721.20,48209.65,3044.38,911535.39,445.39,491.49,5.38,5.39
159,?,?,?,?,?,?,5.39,?
160,?,?,?,?,?,?,?,?
161,11855.82,48495.01,3065.91,195925.34,205.34,104.99,?,5.34
162,11906.69,48324.52,3074.89,838555.20,985.20,433.05,5.34,5.20
163,12044.12,48383.93,3098.83,151445.27,325.27,78.18,5.20,5.27
164,11997.09,48152.82,3089.32,598595.47,575.47,319.42,5.27,5.47
165,11980.74,48273.42,3092.65,3781835.80,885.80,2138.53,5.47,5.80
166,?,?,?,?,?,?,5.80,?
167,?,?,?,?,?,?,?,?
168,11950.70,48131.61,3100.24,349295.68,605.68,201.10,?,5.68
169,12001.25,48119.72,3120.39,855145.72,465.72,484.08,5.68,5.72
170,11995.61,47743.10,3122.21,843575.80,535.80,486.90,5.72,5.80
171,11755.38,45870.00,3038.18,681195.47,415.47,382.48,5.80,5.47
172,11698.05,44732.92,3001.68,1341685.28,965.28,710.10,5.47,5.28
173,?,?,?,?,?,?,5.28,?
174,?,?,?,?,?,?,?,?
175,11694.70,44824.62,2990.89,232275.18,265.18,121.60,?,5.18
176,11846.22,44966.09,2999.31,522575.47,725.47,272.38,5.18,5.47
177,11772.39,44893.99,2972.55,498825.40,1015.40,265.04,5.47,5.40
178,11665.86,43667.37,2915.58,588805.35,745.35,312.18,5.40,5.35
179,11716.43,44747.79,2948.80,272465.27,215.27,143.24,5.35,5.27
180,?,?,?,?,?,?,5.27,?
181,?,?,?,?,?,?,?,?
182,11756.83,44769.00,2963.91,528675.22,605.22,273.51,?,5.22
183,11805.57,45533.94,2981.48,829145.35,495.35,432.71,5.22,5.35
184,11736.24,45184.98,2971.57,237745.33,465.33,125.20,5.35,5.33
185,11820.50,45613.75,2988.19,119705.34,255.34,63.28,5.33,5.34
186,11822.63,45110.89,2977.06,60005.36,135.36,32.10,5.34,5.36
187,?,?,?,?,?,?,5.36,?
188,?,?,?,?,?,?,?,?
189,11711.98,44534.34,2948.16,146215.65,365.65,79.98,?,5.65
190,11610.73,44342.23,2924.69,166265.55,415.55,92.73,5.65,5.55
191,11643.94,45068.55,2962.09,122465.56,145.56,68.26,5.55,5.56
192,11739.32,45712.72,2992.86,139375.57,345.57,77.32,5.56,5.57
193,11784.60,46150.78,3017.66,3251875.77,675.77,1818.37,5.57,5.77
194,?,?,?,?,?,?,5.77,?
195,?,?,?,?,?,?,?,?
196,11770.78,46218.05,3022.70,540635.68,205.68,307.22,?,5.68
197,11753.20,46155.10,3017.11,62305.62,155.62,35.10,5.68,5.62
198,11768.81,46287.08,3021.27,2318665.61,195.61,1298.38,5.62,5.61
199,11813.42,46221.23,3023.16,42295.67,125.67,23.92,5.61,5.67
200,11837.95,46399.74,3019.85,205635.69,435.69,114.39,5.67,5.69
201,?,?,?,?,?,?,5.69,?
202,?,?,?,?,?,?,?,?
203,11864.19,46361.70,3021.70,48025.67,165.67,26.76,?,5.67
204,11905.16,46714.43,3029.97,72595.67,185.67,40.70,5.67,5.67
205,11975.99,46835.98,3050.63,1150005.90,655.90,661.91,5.67,5.90
206,11939.68,46713.02,3036.16,127205.90,285.90,74.74,5.90,5.90
207,11930.54,46258.91,3015.00,224485.90,325.90,132.72,5.90,5.90
208,?,?,?,?,?,?,5.90,?
209,?,?,?,?,?,?,?,?
210,11917.93,46480.62,3032.94,188035.88,275.88,111.54,?,5.88
211,11914.45,46663.41,3038.42,195905.98,555.98,116.25,5.88,5.98
212,11934.08,46925.65,3046.08,221085.99,585.99,130.97,5.98,5.99
213,12025.60,47370.81,3060.17,181415.99,315.99,108.60,5.99,5.99
214,12096.51,48325.33,3110.79,694626.01,616.01,418.11,5.99,6.01
215,?,?,?,?,?,?,6.01,?
216,?,?,?,?,?,?,?,?
217,12181.61,48458.44,3127.41,283386.10,446.10,172.52,?,6.10
218,12213.07,47942.81,3127.38,170976.16,286.16,105.16,6.10,6.16
219,12294.72,48306.55,3168.23,2273966.50,1276.50,1436.91,6.16,6.50
220,12425.78,48862.88,3190.86,1017686.80,1056.80,689.49,6.50,6.80
221,12524.35,49125.36,3206.86,213686.94,526.94,147.23,6.80,6.94
222,?,?,?,?,?,?,6.94,?
223,?,?,?,?,?,?,?,?
224,12613.68,49580.16,3225.79,689236.99,576.99,473.21,?,6.99
225,12783.95,49747.66,3233.22,162496.94,426.94,113.03,6.99,6.94
226,12961.14,50223.95,3271.49,673267.50,497.50,467.81,6.94,7.50
227,?,?,?,?,?,?,7.50,?
228,12933.31,49976.48,3253.28,211747.30,817.30,152.67,?,7.30
229,?,?,?,?,?,?,7.30,?
230,?,?,?,?,?,?,?,?
231,12877.73,49772.46,3237.31,1675427.35,617.35,1207.77,?,7.35
232,12831.52,49162.16,3210.57,199077.40,477.40,147.91,7.35,7.40
233,12826.21,49128.05,3221.87,726447.30,657.30,541.18,7.40,7.30
234,12985.38,49846.48,3260.69,350367.40,937.40,261.30,7.30,7.40
235,13050.37,49895.10,3260.35,217307.38,457.38,160.02,7.40,7.38
236,?,?,?,?,?,?,7.38,?
237,?,?,?,?,?,?,?,?
238,13056.86,49818.48,3255.45,600757.29,427.29,438.58,?,7.29
239,12781.02,48833.58,3197.48,852467.05,1397.05,595.38,7.29,7.05
240,12706.26,48537.65,3183.87,1060886.86,1386.86,709.27,7.05,6.86
241,12801.41,48676.45,3204.20,272047.01,587.01,192.53,6.86,7.01
242,12801.04,48871.98,3196.27,241276.94,696.94,167.62,7.01,6.94
243,?,?,?,?,?,?,6.94,?
244,?,?,?,?,?,?,?,?
245,12870.44,49187.22,3230.20,113617.00,367.00,79.67,?,7.00
246,12843.19,48968.87,3226.75,639316.83,546.83,447.19,7.00,6.83
247,12637.81,47919.09,3174.71,260866.73,966.73,173.79,6.83,6.73
248,12178.22,45830.66,3061.25,649876.87,1796.87,417.35,6.73,6.87
249,12457.22,46717.04,3142.61,493036.83,626.83,336.95,6.87,6.83
250,?,?,?,?,?,?,6.83,?
251,?,?,?,?,?,?,?,?
252,12726.39,47808.90,3199.68,56197.00,327.00,39.10,?,7.00
253,12962.91,48961.51,3256.85,900427.00,827.00,630.30,7.00,7.00
254,12983.95,49437.02,3285.29,455356.89,306.89,318.31,7.00,6.89
255,13011.41,49771.55,3303.55,208556.95,436.95,142.87,6.89,6.95
256,12998.59,49348.61,3285.49,2214777.00,677.00,1544.62,6.95,7.00
257,?,?,?,?,?,?,7.00,?
258,?,?,?,?,?,?,?,?
259,13003.37,48917.85,3260.05,181846.90,276.90,126.72,?,6.90
260,13085.22,49434.46,3286.61,187736.83,336.83,128.55,6.90,6.83
261,13049.76,49413.33,3277.41,265416.80,336.80,180.78,6.83,6.80
262,13124.47,50300.53,3316.59,871886.99,1226.99,608.82,6.80,6.99
263,13140.38,50308.19,3316.08,96137.00,327.00,67.09,6.99,7.00
264,?,?,?,?,?,?,7.00,?
265,?,?,?,?,?,?,?,?
266,13089.15,49955.87,3291.57,595936.99,266.99,415.76,?,6.99
267,13131.43,49979.47,3275.67,801346.99,756.99,557.27,6.99,6.99
268,13114.91,50301.69,3299.72,173996.92,596.92,119.73,6.99,6.92
269,13233.88,50936.34,3336.44,4311027.09,1037.09,3015.03,6.92,7.09
270,13346.97,50819.81,3352.18,1821607.48,1677.48,1336.84,7.09,7.48
271,?,?,?,?,?,?,7.48,?
272,?,?,?,?,?,?,?,?
273,13314.68,50301.85,3349.29,769127.50,727.50,574.52,?,7.50
274,13338.19,50782.48,3351.68,232757.56,397.56,176.24,7.50,7.56
275,13386.01,50803.40,3364.40,1078727.59,897.59,804.22,7.56,7.59
276,13476.11,50982.03,3383.62,516547.56,687.56,391.97,7.59,7.56
277,13513.64,50601.24,3381.52,131517.47,297.47,98.55,7.56,7.47
278,?,?,?,?,?,?,7.47,?
279,?,?,?,?,?,?,?,?
280,13477.58,50338.71,3383.60,1492777.40,1017.40,1078.81,?,7.40
281,13399.64,50137.88,3368.14,937907.20,857.20,679.38,7.40,7.20
282,13361.98,50335.02,3379.96,940207.00,1447.00,653.93,7.20,7.00
283,13589.27,51806.83,3454.41,904397.47,1157.47,636.33,7.00,7.47
284,13638.56,52230.47,3477.04,195847.28,357.28,143.41,7.47,7.28
285,?,?,?,?,?,?,7.28,?
286,?,?,?,?,?,?,?,?
287,13701.85,52520.91,3508.85,1114957.28,607.28,805.65,?,7.28
288,13824.94,52590.73,3544.07,307047.24,367.24,223.20,7.28,7.24
289,13886.79,52861.41,3548.14,944897.23,387.23,677.06,7.24,7.23
290,14155.74,52573.59,3572.96,271937.17,357.17,194.90,7.23,7.17
291,14253.72,52587.24,3535.97,223457.24,547.24,158.07,7.17,7.24
292,?,?,?,?,?,?,7.24,?
293,?,?,?,?,?,?,?,?
294,14459.56,53853.55,3606.06,2267287.30,3037.30,1659.36,?,7.30
295,14512.68,53781.81,3615.60,544777.27,1307.27,393.98,7.30,7.27
296,14327.32,53389.74,3596.10,2247767.24,637.24,1614.08,7.27,7.24
297,14572.10,53994.46,3637.76,497667.40,857.40,358.79,7.24,7.40
298,14753.57,53887.13,3651.19,359627.40,917.40,261.91,7.40,7.40
299,?,?,?,?,?,?,7.40,?
300,?,?,?,?,?,?,?,?
301,14896.01,54180.04,3660.45,2104957.78,2087.78,1611.59,?,7.78
302,14994.44,54536.95,3688.57,756927.85,1947.85,594.62,7.78,7.85
303,14942.82,54095.32,3660.80,592587.80,1667.80,464.38,7.85,7.80
304,14928.63,53607.86,3628.73,653247.85,1557.85,508.84,7.80,7.85
305,?,?,?,?,?,?,7.85,?
306,?,?,?,?,?,?,?,?
307,?,?,?,?,?,?,?,?
308,15023.33,53989.37,3668.56,90120,172,719.52,?,7.93
309,14877.29,53504.47,3645.18,83751,176,659.32,7.93,7.90
310,14860.69,53924.01,3650.27,135547,253,1042.00,7.90,7.69
340,13476.564027366672,45857.110734846676,3215.763816454578,?,?,?,?,?,? 
370,13789.514663168062,46189.882480874876,3267.20146029432,?,?,?,?,?,? 
400,14102.465298969453,46522.654226903076,3318.639104134063,?,?,?,?,?,? 
490,15041.317206373624,47520.969464987684,3472.9520356532903,?,?,?,?,?,? 
670,16919.02102118197,49517.5999411569,3781.5778986917467,?,?,?,?,?,? 
